SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927826,interacts with,BCAS2 (interacts with) IKBKB,0.144518824,0.023809524,-0.698529412,FALSE,interacts with,BCAS2 (interacts with) IKBKB,IKBKB,BCAS2
9927827,interacts with,BCAS2 (interacts with) AKAP12,0.71346315,0.019544537,0.764705882,FALSE,interacts with,BCAS2 (interacts with) AKAP12,AKAP12,BCAS2
9927828,interacts with,BCAS2 (interacts with) SKIV2L2,0.109507431,0.012301587,0.708333333,FALSE,interacts with,BCAS2 (interacts with) SKIV2L2,SKIV2L2,BCAS2
9927829,interacts with,PAPSS1 (interacts with) NFATC1,0.813252505,0.083085317,0.666666667,FALSE,interacts with,PAPSS1 (interacts with) NFATC1,NFATC1,PAPSS1
9927830,interacts with,SNAPC1 (interacts with) TERF2,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,SNAPC1 (interacts with) TERF2,TERF2,SNAPC1
9927831,interacts with,TAX1BP1 (interacts with) RPS4X,0.230751883,0.066269841,-0.612745098,FALSE,interacts with,TAX1BP1 (interacts with) RPS4X,RPS4X,TAX1BP1
9927832,interacts with,TAX1BP1 (interacts with) VPS35,0.846554538,0.114980159,0.619047619,FALSE,interacts with,TAX1BP1 (interacts with) VPS35,VPS35,TAX1BP1
9927833,interacts with,TAX1BP1 (interacts with) ARL1,0.337886344,0.138888889,0.776470588,FALSE,interacts with,TAX1BP1 (interacts with) ARL1,ARL1,TAX1BP1
9927834,interacts with,LRIF1 (interacts with) TRIP10,0.265737006,0.088095238,0.642857143,FALSE,interacts with,LRIF1 (interacts with) TRIP10,TRIP10,LRIF1
9927835,interacts with,ARL6IP5 (interacts with) VPS35,0.051975842,3.97E-04,1,FALSE,interacts with,ARL6IP5 (interacts with) VPS35,VPS35,ARL6IP5
9927836,interacts with,SPI1 (interacts with) RAB27A,0.813252505,0.083085317,0.708823529,FALSE,interacts with,SPI1 (interacts with) RAB27A,RAB27A,SPI1
9927837,interacts with,SPI1 (interacts with) MYH9,0.764862125,0.038998274,0.723529412,FALSE,interacts with,SPI1 (interacts with) MYH9,MYH9,SPI1
9927838,interacts with,NFIL3 (interacts with) KCNE4,0.197267262,0.048015873,-0.785714286,FALSE,interacts with,NFIL3 (interacts with) KCNE4,KCNE4,NFIL3
9927839,interacts with,NDFIP1 (interacts with) RNF14,0.371077115,0.166666667,0.607142857,FALSE,interacts with,NDFIP1 (interacts with) RNF14,RNF14,NDFIP1
9927840,interacts with,NDFIP1 (interacts with) VPS35,0.868018022,0.151140873,0.686813187,FALSE,interacts with,NDFIP1 (interacts with) VPS35,VPS35,NDFIP1
9927841,interacts with,NDFIP1 (interacts with) IKBKB,0.813252505,0.083085317,0.666666667,FALSE,interacts with,NDFIP1 (interacts with) IKBKB,IKBKB,NDFIP1
9927842,interacts with,NDFIP1 (interacts with) TOR1AIP2,0.089107644,0.006746032,0.652941176,FALSE,interacts with,NDFIP1 (interacts with) TOR1AIP2,TOR1AIP2,NDFIP1
9927843,interacts with,NDFIP1 (interacts with) ARL1,0.71346315,0.017629751,0.678571429,FALSE,interacts with,NDFIP1 (interacts with) ARL1,ARL1,NDFIP1
9927844,interacts with,DYNLT3 (interacts with) HPRT1,0.071858659,0.002777778,0.821428571,FALSE,interacts with,DYNLT3 (interacts with) HPRT1,HPRT1,DYNLT3
9927845,interacts with,MCM4 (interacts with) CYFIP2,0.197267262,0.048015873,0.659340659,FALSE,interacts with,MCM4 (interacts with) CYFIP2,CYFIP2,MCM4
9927846,interacts with,TSNAX (interacts with) PRKRA,0.891347804,0.196626984,-0.510989011,FALSE,interacts with,TSNAX (interacts with) PRKRA,PRKRA,TSNAX
9927847,interacts with,PCBD1 (interacts with) TMEM165,0.297098605,0.10952381,0.522058824,FALSE,interacts with,PCBD1 (interacts with) TMEM165,TMEM165,PCBD1
9927848,interacts with,RNF11 (interacts with) SKIV2L2,0.872262273,0.170982143,0.527472527,FALSE,interacts with,RNF11 (interacts with) SKIV2L2,SKIV2L2,RNF11
9927849,interacts with,RNF11 (interacts with) BCAS2,0.071858659,0.002777778,0.964285714,FALSE,interacts with,RNF11 (interacts with) BCAS2,BCAS2,RNF11
9927850,interacts with,RNF11 (interacts with) DLG2,0.868018022,0.151140873,0.571428571,FALSE,interacts with,RNF11 (interacts with) DLG2,DLG2,RNF11
9927851,interacts with,RNF11 (interacts with) UBE2D2,0.846554538,0.114980159,0.619047619,FALSE,interacts with,RNF11 (interacts with) UBE2D2,UBE2D2,RNF11
9927852,interacts with,RNF11 (interacts with) RING1,0.371077115,0.166666667,0.607142857,FALSE,interacts with,RNF11 (interacts with) RING1,RING1,RNF11
9927853,interacts with,ENO2 (interacts with) BASP1,0.144518824,0.023809524,0.803921569,FALSE,interacts with,ENO2 (interacts with) BASP1,BASP1,ENO2
9927854,interacts with,SNAP91 (interacts with) STMN2,0.846554538,0.116753544,0.598813131,FALSE,interacts with,SNAP91 (interacts with) STMN2,STMN2,SNAP91
9927855,interacts with,SNAP91 (interacts with) GULP1,0.109507431,0.012301587,0.571428571,FALSE,interacts with,SNAP91 (interacts with) GULP1,GULP1,SNAP91
9927856,interacts with,SNAP91 (interacts with) SNAP25,0.071858659,0.002777778,0.964285714,FALSE,interacts with,SNAP91 (interacts with) SNAP25,SNAP25,SNAP91
9927857,interacts with,SNAP91 (interacts with) VDAC3,0.203683343,6.55E-05,0.736263736,FALSE,interacts with,SNAP91 (interacts with) VDAC3,VDAC3,SNAP91
9927858,interacts with,LDB1 (interacts with) SREK1,0.109507431,0.012301587,-0.526960784,FALSE,interacts with,LDB1 (interacts with) SREK1,SREK1,LDB1
9927859,interacts with,AHCY (interacts with) GATM,0.811703227,0.069831196,-0.607142857,FALSE,interacts with,AHCY (interacts with) GATM,GATM,AHCY
9927860,interacts with,ADSS (interacts with) RPS18,0.745690873,0.030512759,-0.713235294,FALSE,interacts with,ADSS (interacts with) RPS18,RPS18,ADSS
9927861,interacts with,ADSS (interacts with) KIAA0368,0.230751883,0.066269841,0.554945055,FALSE,interacts with,ADSS (interacts with) KIAA0368,KIAA0368,ADSS
9927862,interacts with,ADSS (interacts with) GABRG2,0.658210522,0.009323116,0.838338383,FALSE,interacts with,ADSS (interacts with) GABRG2,GABRG2,ADSS
9927863,interacts with,ADSS (interacts with) EPS15,0.297098605,0.10952381,0.714285714,FALSE,interacts with,ADSS (interacts with) EPS15,EPS15,ADSS
9927864,interacts with,VDAC2 (interacts with) VDAC3,0.809065931,0.069394841,0.847058824,FALSE,interacts with,VDAC2 (interacts with) VDAC3,VDAC3,VDAC2
9927865,interacts with,TMED2 (interacts with) TXNL1,0.809065931,0.069394841,0.69047619,FALSE,interacts with,TMED2 (interacts with) TXNL1,TXNL1,TMED2
9927866,interacts with,TMED2 (interacts with) HABP4,0.782649554,0.050063395,0.647058824,FALSE,interacts with,TMED2 (interacts with) HABP4,HABP4,TMED2
9927867,interacts with,COPS4 (interacts with) HINT1,0.800379888,0.062092692,0.546568627,FALSE,interacts with,COPS4 (interacts with) HINT1,HINT1,COPS4
9927868,interacts with,SARAF (interacts with) EPM2AIP1,0.868018022,0.151140873,0.571428571,FALSE,interacts with,SARAF (interacts with) EPM2AIP1,EPM2AIP1,SARAF
9927869,interacts with,SARAF (interacts with) CSDE1,0.109507431,0.012301587,0.892857143,FALSE,interacts with,SARAF (interacts with) CSDE1,CSDE1,SARAF
9927870,interacts with,SARAF (interacts with) SKIV2L2,0.813252505,0.083085317,0.666666667,FALSE,interacts with,SARAF (interacts with) SKIV2L2,SKIV2L2,SARAF
9927871,interacts with,SARAF (interacts with) PCMT1,0.051975842,3.97E-04,0.892857143,FALSE,interacts with,SARAF (interacts with) PCMT1,PCMT1,SARAF
9927872,interacts with,SARAF (interacts with) CLTC,0.197267262,0.048015873,-0.547058824,FALSE,interacts with,SARAF (interacts with) CLTC,CLTC,SARAF
9927873,interacts with,SARAF (interacts with) KIF3A,0.144518824,0.023809524,0.604395604,FALSE,interacts with,SARAF (interacts with) KIF3A,KIF3A,SARAF
9927874,interacts with,SARAF (interacts with) VPS35,0.071858659,0.002777778,0.964285714,FALSE,interacts with,SARAF (interacts with) VPS35,VPS35,SARAF
9927875,interacts with,SARAF (interacts with) ATP6V1A,0.071858659,0.002777778,0.678571429,FALSE,interacts with,SARAF (interacts with) ATP6V1A,ATP6V1A,SARAF
9927876,interacts with,SARAF (interacts with) ZC3H15,0.144518824,0.023809524,0.857142857,FALSE,interacts with,SARAF (interacts with) ZC3H15,ZC3H15,SARAF
9927877,interacts with,RBX1 (interacts with) GLRX5,0.197267262,0.048015873,0.642156863,FALSE,interacts with,RBX1 (interacts with) GLRX5,GLRX5,RBX1
9927878,interacts with,GPI (interacts with) SMC5,0.337886344,0.138888889,-0.714285714,FALSE,interacts with,GPI (interacts with) SMC5,SMC5,GPI
9927879,interacts with,MAGED1 (interacts with) EIF4E2,0.891347804,0.196626984,-0.520588235,FALSE,interacts with,MAGED1 (interacts with) EIF4E2,EIF4E2,MAGED1
9927880,interacts with,MAGED1 (interacts with) HPRT1,0.071858659,0.002777778,0.785714286,FALSE,interacts with,MAGED1 (interacts with) HPRT1,HPRT1,MAGED1
9927881,interacts with,MAGED1 (interacts with) RUNDC3A,0.371077115,0.166666667,-0.571428571,FALSE,interacts with,MAGED1 (interacts with) RUNDC3A,RUNDC3A,MAGED1
9927882,interacts with,MAGED1 (interacts with) MYOT,0.371077115,0.166666667,-0.507352941,FALSE,interacts with,MAGED1 (interacts with) MYOT,MYOT,MAGED1
9927883,interacts with,MAGED1 (interacts with) CLK1,0.86360028,0.132291667,-0.571428571,FALSE,interacts with,MAGED1 (interacts with) CLK1,CLK1,MAGED1
9927884,interacts with,MAGED1 (interacts with) STMN2,0.197267262,0.048015873,0.785714286,FALSE,interacts with,MAGED1 (interacts with) STMN2,STMN2,MAGED1
9927885,interacts with,PSMC6 (interacts with) EPS15,0.109507431,0.012301587,0.892857143,FALSE,interacts with,PSMC6 (interacts with) EPS15,EPS15,PSMC6
9927886,interacts with,PSMC6 (interacts with) RNF14,0.891347804,0.196626984,0.714285714,FALSE,interacts with,PSMC6 (interacts with) RNF14,RNF14,PSMC6
9927887,interacts with,PSMC6 (interacts with) SYNJ1,0.197267262,0.040769463,0.754901961,FALSE,interacts with,PSMC6 (interacts with) SYNJ1,SYNJ1,PSMC6
9927888,interacts with,PSMC6 (interacts with) YBX1,0.297098605,0.10952381,-0.607142857,FALSE,interacts with,PSMC6 (interacts with) YBX1,YBX1,PSMC6
9927889,interacts with,PSMC6 (interacts with) TRIM8,0.868018022,0.151140873,-0.678571429,FALSE,interacts with,PSMC6 (interacts with) TRIM8,TRIM8,PSMC6
9927890,interacts with,PSMC6 (interacts with) BCL2,0.868018022,0.151140873,-0.582417582,FALSE,interacts with,PSMC6 (interacts with) BCL2,BCL2,PSMC6
9927891,interacts with,PSMC6 (interacts with) PDHB,0.109507431,0.012301587,0.626373626,FALSE,interacts with,PSMC6 (interacts with) PDHB,PDHB,PSMC6
9927892,interacts with,PSMC6 (interacts with) CASP10,0.265737006,0.088095238,-0.558823529,FALSE,interacts with,PSMC6 (interacts with) CASP10,CASP10,PSMC6
9927893,interacts with,PSMC6 (interacts with) RANBP6,0.109507431,0.012301587,0.8,FALSE,interacts with,PSMC6 (interacts with) RANBP6,RANBP6,PSMC6
9927894,interacts with,PSMC6 (interacts with) OXCT1,0.144518824,0.023809524,0.857142857,FALSE,interacts with,PSMC6 (interacts with) OXCT1,OXCT1,PSMC6
9927895,interacts with,PSMC6 (interacts with) SNAP25,0.109507431,0.012301587,0.796703297,FALSE,interacts with,PSMC6 (interacts with) SNAP25,SNAP25,PSMC6
9927896,interacts with,PSMC6 (interacts with) KIF3A,0.813252505,0.083085317,0.666666667,FALSE,interacts with,PSMC6 (interacts with) KIF3A,KIF3A,PSMC6
9927897,interacts with,PSMC6 (interacts with) AGTPBP1,0.813252505,0.083085317,0.666666667,FALSE,interacts with,PSMC6 (interacts with) AGTPBP1,AGTPBP1,PSMC6
9927898,interacts with,PSMC6 (interacts with) VPS35,0.109507431,0.012301587,0.796703297,FALSE,interacts with,PSMC6 (interacts with) VPS35,VPS35,PSMC6
9927899,interacts with,PSMC6 (interacts with) SUMO1,0.764862125,0.036755952,0.526960784,FALSE,interacts with,PSMC6 (interacts with) SUMO1,SUMO1,PSMC6
9927900,interacts with,PSMC6 (interacts with) DLG2,0.144518824,0.023809524,0.857142857,FALSE,interacts with,PSMC6 (interacts with) DLG2,DLG2,PSMC6
9927901,interacts with,PSMC6 (interacts with) ZC3H15,0.745690873,0.027926587,0.705882353,FALSE,interacts with,PSMC6 (interacts with) ZC3H15,ZC3H15,PSMC6
9927902,interacts with,PSMC6 (interacts with) ARL1,0.265737006,0.088095238,0.714285714,FALSE,interacts with,PSMC6 (interacts with) ARL1,ARL1,PSMC6
9927903,interacts with,PSMC6 (interacts with) CS,0.71346315,0.021775794,0.664835165,FALSE,interacts with,PSMC6 (interacts with) CS,CS,PSMC6
9927904,interacts with,PSMC6 (interacts with) PCMT1,0.575659484,0.004563492,0.844117647,FALSE,interacts with,PSMC6 (interacts with) PCMT1,PCMT1,PSMC6
9927905,interacts with,PSMC6 (interacts with) EPRS,0.526882415,0.002232143,0.928571429,FALSE,interacts with,PSMC6 (interacts with) EPRS,EPRS,PSMC6
9927906,interacts with,PSMC6 (interacts with) TRIM38,0.337886344,0.138888889,-0.642857143,FALSE,interacts with,PSMC6 (interacts with) TRIM38,TRIM38,PSMC6
9927907,interacts with,STXBP1 (interacts with) GAB1,0.698932738,0.013844257,0.814385858,FALSE,interacts with,STXBP1 (interacts with) GAB1,GAB1,STXBP1
9927908,interacts with,RARS (interacts with) DNPH1,0.764862125,0.036755952,0.714285714,FALSE,interacts with,RARS (interacts with) DNPH1,DNPH1,RARS
9927909,interacts with,RAB14 (interacts with) FLNA,0.371077115,0.166666667,-0.607142857,FALSE,interacts with,RAB14 (interacts with) FLNA,FLNA,RAB14
9927910,interacts with,RAB14 (interacts with) TRIM38,0.071858659,0.002777778,-0.587912088,FALSE,interacts with,RAB14 (interacts with) TRIM38,TRIM38,RAB14
9927911,interacts with,PSMD1 (interacts with) NDEL1,0.813252505,0.075689688,0.832352941,FALSE,interacts with,PSMD1 (interacts with) NDEL1,NDEL1,PSMD1
9927912,interacts with,ATP6V1E1 (interacts with) BCL2,0.872262273,0.170982143,-0.661764706,FALSE,interacts with,ATP6V1E1 (interacts with) BCL2,BCL2,ATP6V1E1
9927913,interacts with,COPS3 (interacts with) TRIP10,0.230751883,0.066269841,-0.602941176,FALSE,interacts with,COPS3 (interacts with) TRIP10,TRIP10,COPS3
9927914,interacts with,COPS3 (interacts with) ADAMTSL4,0.872262273,0.161938228,-0.805882353,FALSE,interacts with,COPS3 (interacts with) ADAMTSL4,ADAMTSL4,COPS3
9927915,interacts with,COPS3 (interacts with) DLG2,0.764862125,0.036755952,0.747252747,FALSE,interacts with,COPS3 (interacts with) DLG2,DLG2,COPS3
9927916,interacts with,PPP2R2B (interacts with) TAL1,0.109507431,0.012301587,0.892857143,FALSE,interacts with,PPP2R2B (interacts with) TAL1,TAL1,PPP2R2B
9927917,interacts with,NUAK1 (interacts with) CAMK1D,0.872262273,0.170982143,0.726470588,FALSE,interacts with,NUAK1 (interacts with) CAMK1D,CAMK1D,NUAK1
9927918,interacts with,NUAK1 (interacts with) GAB1,0.71346315,0.022867334,-0.517647059,FALSE,interacts with,NUAK1 (interacts with) GAB1,GAB1,NUAK1
9927919,interacts with,ACAT2 (interacts with) TUBA1A,0.872262273,0.170982143,0.535714286,FALSE,interacts with,ACAT2 (interacts with) TUBA1A,TUBA1A,ACAT2
9927920,interacts with,ACAT2 (interacts with) TUBB2A,0.813252505,0.083085317,0.666666667,FALSE,interacts with,ACAT2 (interacts with) TUBB2A,TUBB2A,ACAT2
9927921,interacts with,TMOD1 (interacts with) TRIP10,0.371077115,0.166666667,-0.607142857,FALSE,interacts with,TMOD1 (interacts with) TRIP10,TRIP10,TMOD1
9927922,interacts with,FKBP3 (interacts with) PCMT1,0.86360028,0.132291667,0.576923077,FALSE,interacts with,FKBP3 (interacts with) PCMT1,PCMT1,FKBP3
9927923,interacts with,ATP6V1B2 (interacts with) MRPL9,0.071858659,0.002777778,0.964285714,FALSE,interacts with,ATP6V1B2 (interacts with) MRPL9,MRPL9,ATP6V1B2
9927924,interacts with,ATP6V1B2 (interacts with) GOT2,0.799253672,0.057589286,0.714285714,FALSE,interacts with,ATP6V1B2 (interacts with) GOT2,GOT2,ATP6V1B2
9927925,interacts with,CSF2RA (interacts with) MYOF,0.809065931,0.069394841,0.69047619,FALSE,interacts with,CSF2RA (interacts with) MYOF,MYOF,CSF2RA
9927926,interacts with,CDC123 (interacts with) PSMD1,0.265737006,0.088095238,0.75,FALSE,interacts with,CDC123 (interacts with) PSMD1,PSMD1,CDC123
9927927,interacts with,CDC123 (interacts with) ATP6V1A,0.144518824,0.023809524,0.607142857,FALSE,interacts with,CDC123 (interacts with) ATP6V1A,ATP6V1A,CDC123
9927928,interacts with,CDC123 (interacts with) MAPRE2,0.197267262,0.048015873,0.769607843,FALSE,interacts with,CDC123 (interacts with) MAPRE2,MAPRE2,CDC123
9927929,interacts with,UQCRC2 (interacts with) SP1,0.265737006,0.088095238,-0.714285714,FALSE,interacts with,UQCRC2 (interacts with) SP1,SP1,UQCRC2
9927930,interacts with,TUBA4A (interacts with) TUBB,0.846554538,0.107721237,0.610789394,FALSE,interacts with,TUBA4A (interacts with) TUBB,TUBB,TUBA4A
9927931,interacts with,TUBA4A (interacts with) TUBB4B,0.575659484,0.004563492,0.904761905,FALSE,interacts with,TUBA4A (interacts with) TUBB4B,TUBB4B,TUBA4A
9927932,interacts with,DZIP3 (interacts with) FBXW7,0.197267262,0.048015873,-0.785714286,FALSE,interacts with,DZIP3 (interacts with) FBXW7,FBXW7,DZIP3
9927933,interacts with,PPME1 (interacts with) SEL1L,0.109507431,0.012301587,-0.892857143,FALSE,interacts with,PPME1 (interacts with) SEL1L,SEL1L,PPME1
9927934,interacts with,GGH (interacts with) MYH9,0.144518824,0.023809524,-0.623529412,FALSE,interacts with,GGH (interacts with) MYH9,MYH9,GGH
9927935,interacts with,GGH (interacts with) MAPRE2,0.109507431,0.012301587,0.811764706,FALSE,interacts with,GGH (interacts with) MAPRE2,MAPRE2,GGH
9927936,interacts with,KCNAB1 (interacts with) GRIA3,0.371077115,0.166666667,0.607142857,FALSE,interacts with,KCNAB1 (interacts with) GRIA3,GRIA3,KCNAB1
9927937,interacts with,SYNJ1 (interacts with) HERC1,0.868018022,0.149871283,0.678571429,FALSE,interacts with,SYNJ1 (interacts with) HERC1,HERC1,SYNJ1
9927938,interacts with,SYNJ1 (interacts with) RPL11,0.836879784,0.091162664,-0.538461538,FALSE,interacts with,SYNJ1 (interacts with) RPL11,RPL11,SYNJ1
9927939,interacts with,SYNJ1 (interacts with) VPS35,0.071858659,0.00185103,0.714285714,FALSE,interacts with,SYNJ1 (interacts with) VPS35,VPS35,SYNJ1
9927940,interacts with,RHOC (interacts with) S100A11,0.891347804,0.194223421,-0.512347538,FALSE,interacts with,RHOC (interacts with) S100A11,S100A11,RHOC
9927941,interacts with,CCNH (interacts with) GIT1,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,CCNH (interacts with) GIT1,GIT1,CCNH
9927942,interacts with,CCNH (interacts with) FH,0.526882415,0.001690861,0.910195959,FALSE,interacts with,CCNH (interacts with) FH,FH,CCNH
9927943,interacts with,ITPR1 (interacts with) KLF6,0.782649554,0.048092214,0.75,FALSE,interacts with,ITPR1 (interacts with) KLF6,KLF6,ITPR1
9927944,interacts with,ALAS1 (interacts with) DYNLT3,0.071858659,0.002777778,0.964285714,FALSE,interacts with,ALAS1 (interacts with) DYNLT3,DYNLT3,ALAS1
9927945,interacts with,ZDHHC17 (interacts with) SOS1,0.86360028,0.126198986,0.532967033,FALSE,interacts with,ZDHHC17 (interacts with) SOS1,SOS1,ZDHHC17
9927946,interacts with,ZDHHC17 (interacts with) ARGLU1,0.779493665,0.045833333,0.823529412,FALSE,interacts with,ZDHHC17 (interacts with) ARGLU1,ARGLU1,ZDHHC17
9927947,interacts with,SPOCK1 (interacts with) HERC1,0.071858659,0.002777778,0.708823529,FALSE,interacts with,SPOCK1 (interacts with) HERC1,HERC1,SPOCK1
9927948,interacts with,OAT (interacts with) PPP3CA,0.109507431,0.012301587,0.708333333,FALSE,interacts with,OAT (interacts with) PPP3CA,PPP3CA,OAT
9927949,interacts with,OAT (interacts with) PFN2,0.051975842,3.97E-04,-0.892857143,FALSE,interacts with,OAT (interacts with) PFN2,PFN2,OAT
9927950,interacts with,OAT (interacts with) HPRT1,0.071858659,0.002777778,0.964285714,FALSE,interacts with,OAT (interacts with) HPRT1,HPRT1,OAT
9927951,interacts with,OAT (interacts with) AKAP12,0.109507431,0.012301587,0.674019608,FALSE,interacts with,OAT (interacts with) AKAP12,AKAP12,OAT
9927952,interacts with,OAT (interacts with) UBE2V2,0.658210522,0.010857955,0.642857143,FALSE,interacts with,OAT (interacts with) UBE2V2,UBE2V2,OAT
9927953,interacts with,YWHAQ (interacts with) GABRG2,0.051975842,3.97E-04,-0.607142857,FALSE,interacts with,YWHAQ (interacts with) GABRG2,GABRG2,YWHAQ
9927954,interacts with,YWHAQ (interacts with) ARL1,0.556236806,0.00264617,0.642857143,FALSE,interacts with,YWHAQ (interacts with) ARL1,ARL1,YWHAQ
9927955,interacts with,STK39 (interacts with) EPS15,0.109507431,0.012301587,0.653846154,FALSE,interacts with,STK39 (interacts with) EPS15,EPS15,STK39
9927956,interacts with,PSMC2 (interacts with) TXNL1,0.144518824,0.023809524,0.535714286,FALSE,interacts with,PSMC2 (interacts with) TXNL1,TXNL1,PSMC2
9927957,interacts with,HSPA9 (interacts with) DGKZ,0.8386611,0.096180556,-0.607843137,FALSE,interacts with,HSPA9 (interacts with) DGKZ,DGKZ,HSPA9
9927958,interacts with,ITSN2 (interacts with) FKBP8,0.265737006,0.088095238,0.785714286,FALSE,interacts with,ITSN2 (interacts with) FKBP8,FKBP8,ITSN2
9927959,interacts with,GARS (interacts with) CALD1,0.337886344,0.138888889,-0.505494505,FALSE,interacts with,GARS (interacts with) CALD1,CALD1,GARS
9927960,interacts with,GARS (interacts with) PSMD1,0.297098605,0.10952381,0.678571429,FALSE,interacts with,GARS (interacts with) PSMD1,PSMD1,GARS
9927961,interacts with,CUL2 (interacts with) SOS1,0.891347804,0.179628967,0.673529412,FALSE,interacts with,CUL2 (interacts with) SOS1,SOS1,CUL2
9927962,interacts with,DDB1 (interacts with) PFN2,0.168425923,0.034126984,0.579411765,FALSE,interacts with,DDB1 (interacts with) PFN2,PFN2,DDB1
9927963,interacts with,DDB1 (interacts with) CLK1,0.012507646,5.30E-07,-0.763736264,FALSE,interacts with,DDB1 (interacts with) CLK1,CLK1,DDB1
9927964,interacts with,ABCA5 (interacts with) RPS16,0.144518824,0.023809524,-0.664705882,FALSE,interacts with,ABCA5 (interacts with) RPS16,RPS16,ABCA5
9927965,interacts with,FGR (interacts with) B2M,0.872262273,0.170760316,0.607142857,FALSE,interacts with,FGR (interacts with) B2M,B2M,FGR
9927966,interacts with,PAFAH1B1 (interacts with) ANK2,0.197267262,0.048015873,0.642857143,FALSE,interacts with,PAFAH1B1 (interacts with) ANK2,ANK2,PAFAH1B1
9927967,interacts with,PAFAH1B1 (interacts with) PFN2,0.799253672,0.057589286,0.714285714,FALSE,interacts with,PAFAH1B1 (interacts with) PFN2,PFN2,PAFAH1B1
9927968,interacts with,XRCC1 (interacts with) CEP57,0.197267262,0.048015873,-0.785714286,FALSE,interacts with,XRCC1 (interacts with) CEP57,CEP57,XRCC1
9927969,interacts with,MORF4L1 (interacts with) PCMT1,0.764862125,0.036755952,0.607142857,FALSE,interacts with,MORF4L1 (interacts with) PCMT1,PCMT1,MORF4L1
9927970,interacts with,MORF4L1 (interacts with) EFEMP2,0.745690873,0.027926587,-0.639705882,FALSE,interacts with,MORF4L1 (interacts with) EFEMP2,EFEMP2,MORF4L1
9927971,interacts with,VKORC1 (interacts with) S100A11,0.371077115,0.159089994,-0.594618725,FALSE,interacts with,VKORC1 (interacts with) S100A11,S100A11,VKORC1
9927972,interacts with,HNRNPK (interacts with) POLI,0.86360028,0.132291667,0.808823529,FALSE,interacts with,HNRNPK (interacts with) POLI,POLI,HNRNPK
9927973,interacts with,HNRNPK (interacts with) CD2AP,0.8386611,0.096180556,0.587912088,FALSE,interacts with,HNRNPK (interacts with) CD2AP,CD2AP,HNRNPK
9927974,interacts with,RAN (interacts with) PFN2,0.089107644,0.006746032,0.840659341,FALSE,interacts with,RAN (interacts with) PFN2,PFN2,RAN
9927975,interacts with,RAN (interacts with) PCMT1,0.799253672,0.055884726,0.607142857,FALSE,interacts with,RAN (interacts with) PCMT1,PCMT1,RAN
9927976,interacts with,RAN (interacts with) VPS35,0.089107644,0.006746032,0.656862745,FALSE,interacts with,RAN (interacts with) VPS35,VPS35,RAN
9927977,interacts with,RAN (interacts with) STAU1,0.614809278,0.007471415,0.850314646,FALSE,interacts with,RAN (interacts with) STAU1,STAU1,RAN
9927978,interacts with,EIF4ENIF1 (interacts with) MAPRE2,0.464712985,9.16E-04,-0.927105069,FALSE,interacts with,EIF4ENIF1 (interacts with) MAPRE2,MAPRE2,EIF4ENIF1
9927979,interacts with,PSMD7 (interacts with) PFKP,0.071858659,0.002777778,0.786764706,FALSE,interacts with,PSMD7 (interacts with) PFKP,PFKP,PSMD7
9927980,interacts with,PSMD7 (interacts with) DCTN1,0.464712985,0.001110817,0.922172222,FALSE,interacts with,PSMD7 (interacts with) DCTN1,DCTN1,PSMD7
9927981,interacts with,CTC1 (interacts with) CLK1,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,CTC1 (interacts with) CLK1,CLK1,CTC1
9927982,interacts with,SDHA (interacts with) PFKP,0.089107644,0.006746032,0.824175824,FALSE,interacts with,SDHA (interacts with) PFKP,PFKP,SDHA
9927983,interacts with,PSMD2 (interacts with) CFLAR,0.071858659,0.002777778,-0.678571429,FALSE,interacts with,PSMD2 (interacts with) CFLAR,CFLAR,PSMD2
9927984,interacts with,PSMD2 (interacts with) AMPH,0.168425923,0.034126984,-0.642857143,FALSE,interacts with,PSMD2 (interacts with) AMPH,AMPH,PSMD2
9927985,interacts with,PSMD2 (interacts with) CLK1,0.089107644,0.006746032,0.785714286,FALSE,interacts with,PSMD2 (interacts with) CLK1,CLK1,PSMD2
9927986,interacts with,PSMD2 (interacts with) RCAN2,0.051975842,3.97E-04,-0.75,FALSE,interacts with,PSMD2 (interacts with) RCAN2,RCAN2,PSMD2
9927987,interacts with,ANKMY2 (interacts with) COPS7A,0.891347804,0.191549313,-0.714285714,FALSE,interacts with,ANKMY2 (interacts with) COPS7A,COPS7A,ANKMY2
9927988,interacts with,ANKMY2 (interacts with) PAFAH1B1,0.86360028,0.126198986,0.785714286,FALSE,interacts with,ANKMY2 (interacts with) PAFAH1B1,PAFAH1B1,ANKMY2
9927989,interacts with,ANKMY2 (interacts with) WBP11,0.448780165,0.235714286,-0.535714286,FALSE,interacts with,ANKMY2 (interacts with) WBP11,WBP11,ANKMY2
9927990,interacts with,ANKMY2 (interacts with) PTGER3,0.109507431,0.012301587,0.504901961,FALSE,interacts with,ANKMY2 (interacts with) PTGER3,PTGER3,ANKMY2
9927991,interacts with,ANKMY2 (interacts with) SKIV2L2,0.144518824,0.023809524,0.857142857,FALSE,interacts with,ANKMY2 (interacts with) SKIV2L2,SKIV2L2,ANKMY2
