SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,shared name,G1,G2
9927699,interacts with,RTCA (interacts with) EFEMP2,0.872262273,0.170982143,-0.549450549,FALSE,interacts with,RTCA (interacts with) EFEMP2,EFEMP2,RTCA
9927700,interacts with,RTCA (interacts with) NPEPPS,0.144518824,0.023809524,0.681372549,FALSE,interacts with,RTCA (interacts with) NPEPPS,NPEPPS,RTCA
9927701,interacts with,ZFPM2 (interacts with) HERC1,0.265737006,0.088095238,0.805882353,FALSE,interacts with,ZFPM2 (interacts with) HERC1,HERC1,ZFPM2
9927702,interacts with,ZFPM2 (interacts with) RPS24,0.71346315,0.021775794,-0.80952381,FALSE,interacts with,ZFPM2 (interacts with) RPS24,RPS24,ZFPM2
9927703,interacts with,PIR (interacts with) NACA,0.265737006,0.088095238,0.714285714,FALSE,interacts with,PIR (interacts with) NACA,NACA,PIR
9927704,interacts with,CALM1 (interacts with) PXN,0.614809278,0.007471415,-0.629411765,FALSE,interacts with,CALM1 (interacts with) PXN,PXN,CALM1
9927705,interacts with,NACC2 (interacts with) LAMB2,0.337886344,0.128887696,0.526960784,FALSE,interacts with,NACC2 (interacts with) LAMB2,LAMB2,NACC2
9927706,interacts with,YWHAB (interacts with) TBC1D2B,0.265737006,0.088095238,-0.692307692,FALSE,interacts with,YWHAB (interacts with) TBC1D2B,TBC1D2B,YWHAB
9927707,interacts with,TSPYL5 (interacts with) MAPRE2,0.168425923,0.034126984,0.554945055,FALSE,interacts with,TSPYL5 (interacts with) MAPRE2,MAPRE2,TSPYL5
9927708,interacts with,TSPYL5 (interacts with) BASP1,0.297098605,0.10952381,0.857142857,FALSE,interacts with,TSPYL5 (interacts with) BASP1,BASP1,TSPYL5
9927709,interacts with,TSPYL5 (interacts with) ERBB4,0.197267262,0.048015873,0.535714286,FALSE,interacts with,TSPYL5 (interacts with) ERBB4,ERBB4,TSPYL5
9927710,interacts with,TOMM20 (interacts with) VPS35,0.051975842,3.97E-04,0.826470588,FALSE,interacts with,TOMM20 (interacts with) VPS35,VPS35,TOMM20
9927711,interacts with,CHUK (interacts with) RBM5,0.891347804,0.179628967,-0.607843137,FALSE,interacts with,CHUK (interacts with) RBM5,RBM5,CHUK
