SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
9927969,interacts with,MORF4L1 (interacts with) PCMT1,0.764862125,0.036755952,0.607142857,FALSE,interacts with,PCMT1,MORF4L1
9927967,interacts with,PAFAH1B1 (interacts with) PFN2,0.799253672,0.057589286,0.714285714,FALSE,interacts with,PFN2,PAFAH1B1
9927981,interacts with,CTC1 (interacts with) CLK1,0.144518824,0.023809524,-0.857142857,FALSE,interacts with,CLK1,CTC1
9927978,interacts with,EIF4ENIF1 (interacts with) MAPRE2,0.464712985,9.16E-04,-0.927105069,FALSE,interacts with,MAPRE2,EIF4ENIF1
9927977,interacts with,RAN (interacts with) STAU1,0.614809278,0.007471415,0.850314646,FALSE,interacts with,STAU1,RAN
9927976,interacts with,RAN (interacts with) VPS35,0.089107644,0.006746032,0.656862745,FALSE,interacts with,VPS35,RAN
9927975,interacts with,RAN (interacts with) PCMT1,0.799253672,0.055884726,0.607142857,FALSE,interacts with,PCMT1,RAN
9927956,interacts with,PSMC2 (interacts with) TXNL1,0.144518824,0.023809524,0.535714286,FALSE,interacts with,TXNL1,PSMC2
9927955,interacts with,STK39 (interacts with) EPS15,0.109507431,0.012301587,0.653846154,FALSE,interacts with,EPS15,STK39
9927954,interacts with,YWHAQ (interacts with) ARL1,0.556236806,0.00264617,0.642857143,FALSE,interacts with,ARL1,YWHAQ
9927953,interacts with,YWHAQ (interacts with) GABRG2,0.051975842,3.97E-04,-0.607142857,FALSE,interacts with,GABRG2,YWHAQ
9927952,interacts with,OAT (interacts with) UBE2V2,0.658210522,0.010857955,0.642857143,FALSE,interacts with,UBE2V2,OAT
9927951,interacts with,OAT (interacts with) AKAP12,0.109507431,0.012301587,0.674019608,FALSE,interacts with,AKAP12,OAT
9927966,interacts with,PAFAH1B1 (interacts with) ANK2,0.197267262,0.048015873,0.642857143,FALSE,interacts with,ANK2,PAFAH1B1
9927963,interacts with,DDB1 (interacts with) CLK1,0.012507646,5.30E-07,-0.763736264,FALSE,interacts with,CLK1,DDB1
9927962,interacts with,DDB1 (interacts with) PFN2,0.168425923,0.034126984,0.579411765,FALSE,interacts with,PFN2,DDB1
9927960,interacts with,GARS (interacts with) PSMD1,0.297098605,0.10952381,0.678571429,FALSE,interacts with,PSMD1,GARS
9927959,interacts with,GARS (interacts with) CALD1,0.337886344,0.138888889,-0.505494505,FALSE,interacts with,CALD1,GARS
9927990,interacts with,ANKMY2 (interacts with) PTGER3,0.109507431,0.012301587,0.504901961,FALSE,interacts with,PTGER3,ANKMY2
9927989,interacts with,ANKMY2 (interacts with) WBP11,0.448780165,0.235714286,-0.535714286,FALSE,interacts with,WBP11,ANKMY2
9927988,interacts with,ANKMY2 (interacts with) PAFAH1B1,0.86360028,0.126198986,0.785714286,FALSE,interacts with,PAFAH1B1,ANKMY2
9927987,interacts with,ANKMY2 (interacts with) COPS7A,0.891347804,0.191549313,-0.714285714,FALSE,interacts with,COPS7A,ANKMY2
9927986,interacts with,PSMD2 (interacts with) RCAN2,0.051975842,3.97E-04,-0.75,FALSE,interacts with,RCAN2,PSMD2
9927985,interacts with,PSMD2 (interacts with) CLK1,0.089107644,0.006746032,0.785714286,FALSE,interacts with,CLK1,PSMD2
9927984,interacts with,PSMD2 (interacts with) AMPH,0.168425923,0.034126984,-0.642857143,FALSE,interacts with,AMPH,PSMD2
9927983,interacts with,PSMD2 (interacts with) CFLAR,0.071858659,0.002777778,-0.678571429,FALSE,interacts with,CFLAR,PSMD2
9927995,interacts with,ANKMY2 (interacts with) TXNL1,0.614809278,0.007471415,0.571428571,FALSE,interacts with,TXNL1,ANKMY2
9927994,interacts with,ANKMY2 (interacts with) YWHAB,0.658210522,0.009323116,-0.535714286,FALSE,interacts with,YWHAB,ANKMY2
9927993,interacts with,ANKMY2 (interacts with) COPS2,0.698932738,0.016540723,0.802409595,FALSE,interacts with,COPS2,ANKMY2
9927992,interacts with,ANKMY2 (interacts with) RPS25,0.168425923,0.034126984,0.821428571,FALSE,interacts with,RPS25,ANKMY2
9927991,interacts with,ANKMY2 (interacts with) SKIV2L2,0.144518824,0.023809524,0.857142857,FALSE,interacts with,SKIV2L2,ANKMY2
