SUID,interaction,name,p.adj,p.vec,reg.mat,selected,shared interaction,Gene1,Gene2
9927832,interacts with,TAX1BP1 (interacts with) VPS35,0.846554538,0.114980159,0.619047619,FALSE,interacts with,VPS35,TAX1BP1
9927831,interacts with,TAX1BP1 (interacts with) RPS4X,0.230751883,0.066269841,-0.612745098,FALSE,interacts with,RPS4X,TAX1BP1
9927876,interacts with,SARAF (interacts with) ZC3H15,0.144518824,0.023809524,0.857142857,FALSE,interacts with,ZC3H15,SARAF
9927875,interacts with,SARAF (interacts with) ATP6V1A,0.071858659,0.002777778,0.678571429,FALSE,interacts with,ATP6V1A,SARAF
9927874,interacts with,SARAF (interacts with) VPS35,0.071858659,0.002777778,0.964285714,FALSE,interacts with,VPS35,SARAF
9927873,interacts with,SARAF (interacts with) KIF3A,0.144518824,0.023809524,0.604395604,FALSE,interacts with,KIF3A,SARAF
9927872,interacts with,SARAF (interacts with) CLTC,0.197267262,0.048015873,-0.547058824,FALSE,interacts with,CLTC,SARAF
9927871,interacts with,SARAF (interacts with) PCMT1,0.051975842,3.97E-04,0.892857143,FALSE,interacts with,PCMT1,SARAF
9927886,interacts with,PSMC6 (interacts with) RNF14,0.891347804,0.196626984,0.714285714,FALSE,interacts with,RNF14,PSMC6
9927885,interacts with,PSMC6 (interacts with) EPS15,0.109507431,0.012301587,0.892857143,FALSE,interacts with,EPS15,PSMC6
9927884,interacts with,MAGED1 (interacts with) STMN2,0.197267262,0.048015873,0.785714286,FALSE,interacts with,STMN2,MAGED1
9927883,interacts with,MAGED1 (interacts with) CLK1,0.86360028,0.132291667,-0.571428571,FALSE,interacts with,CLK1,MAGED1
9927882,interacts with,MAGED1 (interacts with) MYOT,0.371077115,0.166666667,-0.507352941,FALSE,interacts with,MYOT,MAGED1
9927881,interacts with,MAGED1 (interacts with) RUNDC3A,0.371077115,0.166666667,-0.571428571,FALSE,interacts with,RUNDC3A,MAGED1
9927880,interacts with,MAGED1 (interacts with) HPRT1,0.071858659,0.002777778,0.785714286,FALSE,interacts with,HPRT1,MAGED1
9927879,interacts with,MAGED1 (interacts with) EIF4E2,0.891347804,0.196626984,-0.520588235,FALSE,interacts with,EIF4E2,MAGED1
9927862,interacts with,ADSS (interacts with) GABRG2,0.658210522,0.009323116,0.838338383,FALSE,interacts with,GABRG2,ADSS
9927861,interacts with,ADSS (interacts with) KIAA0368,0.230751883,0.066269841,0.554945055,FALSE,interacts with,KIAA0368,ADSS
9927860,interacts with,ADSS (interacts with) RPS18,0.745690873,0.030512759,-0.713235294,FALSE,interacts with,RPS18,ADSS
9927859,interacts with,AHCY (interacts with) GATM,0.811703227,0.069831196,-0.607142857,FALSE,interacts with,GATM,AHCY
9927857,interacts with,SNAP91 (interacts with) VDAC3,0.203683343,6.55E-05,0.736263736,FALSE,interacts with,VDAC3,SNAP91
9927856,interacts with,SNAP91 (interacts with) SNAP25,0.071858659,0.002777778,0.964285714,FALSE,interacts with,SNAP25,SNAP91
9927855,interacts with,SNAP91 (interacts with) GULP1,0.109507431,0.012301587,0.571428571,FALSE,interacts with,GULP1,SNAP91
9927870,interacts with,SARAF (interacts with) SKIV2L2,0.813252505,0.083085317,0.666666667,FALSE,interacts with,SKIV2L2,SARAF
9927869,interacts with,SARAF (interacts with) CSDE1,0.109507431,0.012301587,0.892857143,FALSE,interacts with,CSDE1,SARAF
9927868,interacts with,SARAF (interacts with) EPM2AIP1,0.868018022,0.151140873,0.571428571,FALSE,interacts with,EPM2AIP1,SARAF
9927867,interacts with,COPS4 (interacts with) HINT1,0.800379888,0.062092692,0.546568627,FALSE,interacts with,HINT1,COPS4
9927866,interacts with,TMED2 (interacts with) HABP4,0.782649554,0.050063395,0.647058824,FALSE,interacts with,HABP4,TMED2
9927865,interacts with,TMED2 (interacts with) TXNL1,0.809065931,0.069394841,0.69047619,FALSE,interacts with,TXNL1,TMED2
9927864,interacts with,VDAC2 (interacts with) VDAC3,0.809065931,0.069394841,0.847058824,FALSE,interacts with,VDAC3,VDAC2
9927863,interacts with,ADSS (interacts with) EPS15,0.297098605,0.10952381,0.714285714,FALSE,interacts with,EPS15,ADSS
9927910,interacts with,RAB14 (interacts with) TRIM38,0.071858659,0.002777778,-0.587912088,FALSE,interacts with,TRIM38,RAB14
9927909,interacts with,RAB14 (interacts with) FLNA,0.371077115,0.166666667,-0.607142857,FALSE,interacts with,FLNA,RAB14
9927906,interacts with,PSMC6 (interacts with) TRIM38,0.337886344,0.138888889,-0.642857143,FALSE,interacts with,TRIM38,PSMC6
9927905,interacts with,PSMC6 (interacts with) EPRS,0.526882415,0.002232143,0.928571429,FALSE,interacts with,EPRS,PSMC6
9927904,interacts with,PSMC6 (interacts with) PCMT1,0.575659484,0.004563492,0.844117647,FALSE,interacts with,PCMT1,PSMC6
9927903,interacts with,PSMC6 (interacts with) CS,0.71346315,0.021775794,0.664835165,FALSE,interacts with,CS,PSMC6
9927916,interacts with,PPP2R2B (interacts with) TAL1,0.109507431,0.012301587,0.892857143,FALSE,interacts with,TAL1,PPP2R2B
9927915,interacts with,COPS3 (interacts with) DLG2,0.764862125,0.036755952,0.747252747,FALSE,interacts with,DLG2,COPS3
9927914,interacts with,COPS3 (interacts with) ADAMTSL4,0.872262273,0.161938228,-0.805882353,FALSE,interacts with,ADAMTSL4,COPS3
9927913,interacts with,COPS3 (interacts with) TRIP10,0.230751883,0.066269841,-0.602941176,FALSE,interacts with,TRIP10,COPS3
9927912,interacts with,ATP6V1E1 (interacts with) BCL2,0.872262273,0.170982143,-0.661764706,FALSE,interacts with,BCL2,ATP6V1E1
9927911,interacts with,PSMD1 (interacts with) NDEL1,0.813252505,0.075689688,0.832352941,FALSE,interacts with,NDEL1,PSMD1
9927894,interacts with,PSMC6 (interacts with) OXCT1,0.144518824,0.023809524,0.857142857,FALSE,interacts with,OXCT1,PSMC6
9927893,interacts with,PSMC6 (interacts with) RANBP6,0.109507431,0.012301587,0.8,FALSE,interacts with,RANBP6,PSMC6
9927892,interacts with,PSMC6 (interacts with) CASP10,0.265737006,0.088095238,-0.558823529,FALSE,interacts with,CASP10,PSMC6
9927891,interacts with,PSMC6 (interacts with) PDHB,0.109507431,0.012301587,0.626373626,FALSE,interacts with,PDHB,PSMC6
9927890,interacts with,PSMC6 (interacts with) BCL2,0.868018022,0.151140873,-0.582417582,FALSE,interacts with,BCL2,PSMC6
9927889,interacts with,PSMC6 (interacts with) TRIM8,0.868018022,0.151140873,-0.678571429,FALSE,interacts with,TRIM8,PSMC6
9927888,interacts with,PSMC6 (interacts with) YBX1,0.297098605,0.10952381,-0.607142857,FALSE,interacts with,YBX1,PSMC6
9927887,interacts with,PSMC6 (interacts with) SYNJ1,0.197267262,0.040769463,0.754901961,FALSE,interacts with,SYNJ1,PSMC6
9927902,interacts with,PSMC6 (interacts with) ARL1,0.265737006,0.088095238,0.714285714,FALSE,interacts with,ARL1,PSMC6
9927901,interacts with,PSMC6 (interacts with) ZC3H15,0.745690873,0.027926587,0.705882353,FALSE,interacts with,ZC3H15,PSMC6
9927900,interacts with,PSMC6 (interacts with) DLG2,0.144518824,0.023809524,0.857142857,FALSE,interacts with,DLG2,PSMC6
9927899,interacts with,PSMC6 (interacts with) SUMO1,0.764862125,0.036755952,0.526960784,FALSE,interacts with,SUMO1,PSMC6
