"SUID","EdgeBetweenness","interaction","name","p.adj","p.vec","reg.mat","selected","shared interaction","shared name","X"
"9932508","676.44542902","interacts with","MAGED1 (interacts with) HPRT1","0.0718586588842205","0.00277777777777778","0.964285714285714","false","interacts with","MAGED1 (interacts with) HPRT1","HPRT1:MAGED1"
"9932509","390.0","interacts with","MAGED1 (interacts with) RUNDC3A","0.371077114943798","0.166666666666667","0.607142857142857","false","interacts with","MAGED1 (interacts with) RUNDC3A","RUNDC3A:MAGED1"
"9932510","390.0","interacts with","MAGED1 (interacts with) MYOT","0.371077114943798","0.166666666666667","-0.607142857142857","false","interacts with","MAGED1 (interacts with) MYOT","MYOT:MAGED1"
"9932511","726.70079365","interacts with","MAGED1 (interacts with) CLK1","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","MAGED1 (interacts with) CLK1","CLK1:MAGED1"
"9932512","1207.36209568","interacts with","MAGED1 (interacts with) STMN2","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","MAGED1 (interacts with) STMN2","STMN2:MAGED1"
"9932513","1598.42953329","interacts with","YWHAQ (interacts with) GABRG2","0.051975842430622","3.96825396825397E-4","1.0","false","interacts with","YWHAQ (interacts with) GABRG2","GABRG2:YWHAQ"
"9932514","1906.42953329","interacts with","YWHAQ (interacts with) ARL1","0.556236805809344","0.00264617029354669","0.642857142857143","false","interacts with","YWHAQ (interacts with) ARL1","ARL1:YWHAQ"
"9932515","390.0","interacts with","STK39 (interacts with) EPS15","0.109507430764323","0.0123015873015873","0.653846153846154","false","interacts with","STK39 (interacts with) EPS15","EPS15:STK39"
"9932516","390.0","interacts with","PRKCE (interacts with) VDAC3","0.83866110030021","0.0961805555555556","0.857142857142857","false","interacts with","PRKCE (interacts with) VDAC3","VDAC3:PRKCE"
"9932517","4281.65907943","interacts with","PSMC6 (interacts with) SNAP25","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) SNAP25","SNAP25:PSMC6"
"9932518","715.74973621","interacts with","PSMC6 (interacts with) KIF3A","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) KIF3A","KIF3A:PSMC6"
"9932519","390.0","interacts with","PSMC6 (interacts with) AGTPBP1","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) AGTPBP1","AGTPBP1:PSMC6"
"9932520","4372.74476002","interacts with","PSMC6 (interacts with) VPS35","0.109507430764323","0.0123015873015873","0.796703296703297","false","interacts with","PSMC6 (interacts with) VPS35","VPS35:PSMC6"
"9932521","390.0","interacts with","PSMC6 (interacts with) SUMO1","0.764862124895442","0.0367559523809524","0.526960784313726","false","interacts with","PSMC6 (interacts with) SUMO1","SUMO1:PSMC6"
"9932522","2586.97342363","interacts with","PSMC6 (interacts with) DLG2","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","PSMC6 (interacts with) DLG2","DLG2:PSMC6"
"9932523","905.20568222","interacts with","PSMC6 (interacts with) ZC3H15","0.745690873445073","0.0279265873015873","0.705882352941177","false","interacts with","PSMC6 (interacts with) ZC3H15","ZC3H15:PSMC6"
"9932524","1854.10979784","interacts with","PSMC6 (interacts with) ARL1","0.265737005578696","0.0880952380952381","0.714285714285714","false","interacts with","PSMC6 (interacts with) ARL1","ARL1:PSMC6"
"9932525","2391.18974359","interacts with","PSMC6 (interacts with) SYNJ1","0.19726726209115","0.0407694625204203","-0.774806217918181","false","interacts with","PSMC6 (interacts with) SYNJ1","SYNJ1:PSMC6"
"9932526","1330.72566007","interacts with","PSMC6 (interacts with) YBX1","0.297098604729228","0.10952380952381","-0.678571428571428","false","interacts with","PSMC6 (interacts with) YBX1","YBX1:PSMC6"
"9932527","861.08664353","interacts with","PSMC6 (interacts with) TRIM8","0.868018022055965","0.151140873015873","-0.678571428571428","false","interacts with","PSMC6 (interacts with) TRIM8","TRIM8:PSMC6"
"9932528","776.0","interacts with","PSMC6 (interacts with) BCL2","0.868018022055965","0.151140873015873","-0.582417582417582","false","interacts with","PSMC6 (interacts with) BCL2","BCL2:PSMC6"
"9932529","493.32213342","interacts with","PSMC6 (interacts with) PDHB","0.109507430764323","0.0123015873015873","0.626373626373626","false","interacts with","PSMC6 (interacts with) PDHB","PDHB:PSMC6"
"9932530","390.0","interacts with","PSMC6 (interacts with) CASP10","0.265737005578696","0.0880952380952381","-0.558823529411765","false","interacts with","PSMC6 (interacts with) CASP10","CASP10:PSMC6"
"9932531","2587.23134512","interacts with","PSMC6 (interacts with) RANBP6","0.109507430764323","0.0123015873015873","0.8","false","interacts with","PSMC6 (interacts with) RANBP6","RANBP6:PSMC6"
"9932532","390.0","interacts with","PSMC6 (interacts with) OXCT1","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","PSMC6 (interacts with) OXCT1","OXCT1:PSMC6"
"9932533","390.0","interacts with","PSMC6 (interacts with) CS","0.19726726209115","0.048015873015873","0.785714285714285","false","interacts with","PSMC6 (interacts with) CS","CS:PSMC6"
"9932534","1862.58185441","interacts with","PSMC6 (interacts with) PCMT1","0.575659484384287","0.00456349206349206","0.844117647058823","false","interacts with","PSMC6 (interacts with) PCMT1","PCMT1:PSMC6"
"9932535","390.0","interacts with","PSMC6 (interacts with) EPRS","0.526882415098","0.00223214285714286","0.928571428571429","false","interacts with","PSMC6 (interacts with) EPRS","EPRS:PSMC6"
"9932536","1536.0","interacts with","PSMC6 (interacts with) TRIM38","0.337886344327174","0.138888888888889","-0.642857142857143","false","interacts with","PSMC6 (interacts with) TRIM38","TRIM38:PSMC6"
"9932537","4902.01586919","interacts with","PSMC6 (interacts with) EPS15","0.109507430764323","0.0123015873015873","0.892857142857143","false","interacts with","PSMC6 (interacts with) EPS15","EPS15:PSMC6"
"9932538","740.52971521","interacts with","PSMC6 (interacts with) RNF14","0.409830052785837","0.2","0.571428571428571","false","interacts with","PSMC6 (interacts with) RNF14","RNF14:PSMC6"
"9932539","388.0","interacts with","PSMD2 (interacts with) CFLAR","0.0718586588842205","0.00277777777777778","-0.964285714285714","false","interacts with","PSMD2 (interacts with) CFLAR","CFLAR:PSMD2"
"9932540","388.0","interacts with","PSMD2 (interacts with) AMPH","0.168425923122207","0.0341269841269841","-0.642857142857143","false","interacts with","PSMD2 (interacts with) AMPH","AMPH:PSMD2"
"9932541","1536.0","interacts with","PSMD2 (interacts with) CLK1","0.089107643904515","0.00674603174603175","0.785714285714285","false","interacts with","PSMD2 (interacts with) CLK1","CLK1:PSMD2"
"9932542","390.0","interacts with","PSMD2 (interacts with) RCAN2","0.051975842430622","3.96825396825397E-4","1.0","false","interacts with","PSMD2 (interacts with) RCAN2","RCAN2:PSMD2"
"9932543","2013.89727155","interacts with","ANKMY2 (interacts with) SKIV2L2","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","ANKMY2 (interacts with) SKIV2L2","SKIV2L2:ANKMY2"
"9932544","390.0","interacts with","ANKMY2 (interacts with) RPS25","0.168425923122207","0.0341269841269841","0.821428571428571","false","interacts with","ANKMY2 (interacts with) RPS25","RPS25:ANKMY2"
"9932545","390.0","interacts with","ANKMY2 (interacts with) COPS2","0.144518824391785","0.0238095238095238","0.857142857142857","false","interacts with","ANKMY2 (interacts with) COPS2","COPS2:ANKMY2"
"9932546","776.0","interacts with","ANKMY2 (interacts with) YWHAB","0.089107643904515","0.00674603174603175","0.928571428571428","false","interacts with","ANKMY2 (interacts with) YWHAB","YWHAB:ANKMY2"
"9932547","1232.22769234","interacts with","ANKMY2 (interacts with) TXNL1","0.614809277797713","0.00747141463995345","0.571428571428571","false","interacts with","ANKMY2 (interacts with) TXNL1","TXNL1:ANKMY2"
"9932548","390.0","interacts with","ANKMY2 (interacts with) COPS7A","0.891347803718289","0.191549313415866","-0.714285714285714","false","interacts with","ANKMY2 (interacts with) COPS7A","COPS7A:ANKMY2"
