"SUID","corMean","EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"364555","0.701879983","81.29654528","interacts with","TAX1BP1 (interacts with) ARL1","false","interacts with","TAX1BP1 (interacts with) ARL1"
"364556","0.719934641","180.69337068","interacts with","TAX1BP1 (interacts with) VPS35","false","interacts with","TAX1BP1 (interacts with) VPS35"
"364553","0.697687789","206.0","interacts with","SPI1 (interacts with) MYH9","false","interacts with","SPI1 (interacts with) MYH9"
"364554","0.756800797","206.0","interacts with","ARL6IP5 (interacts with) VPS35","false","interacts with","ARL6IP5 (interacts with) VPS35"
"364547","0.604395604","214.15371214","interacts with","SARAF (interacts with) KIF3A","false","interacts with","SARAF (interacts with) KIF3A"
"364548","0.872710623","289.42175223","interacts with","SARAF (interacts with) PCMT1","false","interacts with","SARAF (interacts with) PCMT1"
"364549","0.676434676","602.64153245","interacts with","SARAF (interacts with) SKIV2L2","false","interacts with","SARAF (interacts with) SKIV2L2"
"364543","-0.547058824","206.0","interacts with","SARAF (interacts with) CLTC","false","interacts with","SARAF (interacts with) CLTC"
"364544","0.857142857","154.96735107","interacts with","SARAF (interacts with) ZC3H15","false","interacts with","SARAF (interacts with) ZC3H15"
"364545","0.678571429","379.66944444","interacts with","SARAF (interacts with) ATP6V1A","false","interacts with","SARAF (interacts with) ATP6V1A"
"364546","0.964285714","397.60654285","interacts with","SARAF (interacts with) VPS35","false","interacts with","SARAF (interacts with) VPS35"
"364539","0.577268728","206.0","interacts with","COPS4 (interacts with) HINT1","false","interacts with","COPS4 (interacts with) HINT1"
"364540","0.710679272","206.0","interacts with","OAT (interacts with) PPP3CA","false","interacts with","OAT (interacts with) PPP3CA"
"364541","0.686198197","153.94903691","interacts with","OAT (interacts with) UBE2V2","false","interacts with","OAT (interacts with) UBE2V2"
"364542","0.71049253","406.00185823","interacts with","OAT (interacts with) AKAP12","false","interacts with","OAT (interacts with) AKAP12"
"364531","0.648351648","206.0","interacts with","DDX1 (interacts with) TUBA1B","false","interacts with","DDX1 (interacts with) TUBA1B"
"364532","0.74424693","224.38237025","interacts with","DDX1 (interacts with) AKAP12","false","interacts with","DDX1 (interacts with) AKAP12"
"364533","0.713116962","462.35729413","interacts with","DDX1 (interacts with) UBE2V2","false","interacts with","DDX1 (interacts with) UBE2V2"
"364527","0.625","206.0","interacts with","SNAP91 (interacts with) GULP1","false","interacts with","SNAP91 (interacts with) GULP1"
"364528","0.771444694","206.0","interacts with","TBK1 (interacts with) EPS15","false","interacts with","TBK1 (interacts with) EPS15"
"364529","0.752824463","206.0","interacts with","VDAC2 (interacts with) VDAC3","false","interacts with","VDAC2 (interacts with) VDAC3"
"364530","0.83015873","637.70940415","interacts with","DDX1 (interacts with) RANBP6","false","interacts with","DDX1 (interacts with) RANBP6"
"364523","0.783344624","256.0","interacts with","RNF11 (interacts with) BCAS2","false","interacts with","RNF11 (interacts with) BCAS2"
"364524","0.611841916","152.0","interacts with","RNF11 (interacts with) SKIV2L2","false","interacts with","RNF11 (interacts with) SKIV2L2"
"364525","0.7527688","1502.97418098","interacts with","SNAP91 (interacts with) VDAC3","false","interacts with","SNAP91 (interacts with) VDAC3"
"364526","0.964285714","1809.64084764","interacts with","SNAP91 (interacts with) SNAP25","false","interacts with","SNAP91 (interacts with) SNAP25"
"364519","-0.635807656","206.0","interacts with","ATP6V1E1 (interacts with) BCL2","false","interacts with","ATP6V1E1 (interacts with) BCL2"
"364520","-0.662464986","408.0","interacts with","GGH (interacts with) MYH9","false","interacts with","GGH (interacts with) MYH9"
"364521","0.792770955","606.0","interacts with","GGH (interacts with) MAPRE2","false","interacts with","GGH (interacts with) MAPRE2"
"364522","0.673534799","206.0","interacts with","RNF11 (interacts with) UBE2D2","false","interacts with","RNF11 (interacts with) UBE2D2"
"364517","-0.587912088","408.0","interacts with","RAB14 (interacts with) TRIM38","false","interacts with","RAB14 (interacts with) TRIM38"
"364518","-0.607142857","206.0","interacts with","RAB14 (interacts with) FLNA","false","interacts with","RAB14 (interacts with) FLNA"
"364511","-0.636530246","206.0","interacts with","AAAS (interacts with) PCMT1","false","interacts with","AAAS (interacts with) PCMT1"
"364679","0.892857143","206.0","interacts with","LRRC40 (interacts with) ELP3","false","interacts with","LRRC40 (interacts with) ELP3"
"364680","0.720646592","408.0","interacts with","LRRC40 (interacts with) CDC42","false","interacts with","LRRC40 (interacts with) CDC42"
"364681","0.5746337","206.0","interacts with","PAM (interacts with) RNF14","false","interacts with","PAM (interacts with) RNF14"
"364675","1.0","800.0","interacts with","HSPE1 (interacts with) ATP6V1A","false","interacts with","HSPE1 (interacts with) ATP6V1A"
"364676","0.656381527","206.0","interacts with","DDB1 (interacts with) PFN2","false","interacts with","DDB1 (interacts with) PFN2"
"364677","0.691086691","206.0","interacts with","GARS (interacts with) PSMD1","false","interacts with","GARS (interacts with) PSMD1"
"364678","-0.674019608","314.0","interacts with","CDC42 (interacts with) TRIM8","false","interacts with","CDC42 (interacts with) TRIM8"
"364671","1.0","1312.0","interacts with","ATP6V1A (interacts with) VPS35","false","interacts with","ATP6V1A (interacts with) VPS35"
"364672","-0.696545285","206.0","interacts with","HSPE1 (interacts with) VDAC1","false","interacts with","HSPE1 (interacts with) VDAC1"
"364673","-0.642857143","206.0","interacts with","HSPE1 (interacts with) GOLIM4","false","interacts with","HSPE1 (interacts with) GOLIM4"
"364674","0.964285714","206.0","interacts with","HSPE1 (interacts with) PSMD12","false","interacts with","HSPE1 (interacts with) PSMD12"
"364667","0.612637475","304.0","interacts with","RPA3 (interacts with) HINT1","false","interacts with","RPA3 (interacts with) HINT1"
"364668","0.755888599","206.0","interacts with","CHCHD2 (interacts with) HINT1","false","interacts with","CHCHD2 (interacts with) HINT1"
"364663","0.692042843","228.30751431","interacts with","COPS5 (interacts with) VDAC3","false","interacts with","COPS5 (interacts with) VDAC3"
"364664","0.753695324","238.35915236","interacts with","COPS5 (interacts with) UBE2V2","false","interacts with","COPS5 (interacts with) UBE2V2"
"364665","0.535714286","206.0","interacts with","PSMC2 (interacts with) TXNL1","false","interacts with","PSMC2 (interacts with) TXNL1"
"364666","0.761904762","496.0","interacts with","RPA3 (interacts with) VDAC3","false","interacts with","RPA3 (interacts with) VDAC3"
"364659","0.653846154","206.0","interacts with","STK39 (interacts with) EPS15","false","interacts with","STK39 (interacts with) EPS15"
"364660","0.642857143","206.0","interacts with","YWHAQ (interacts with) ARL1","false","interacts with","YWHAQ (interacts with) ARL1"
"364655","0.721354952","206.0","interacts with","PSMC6 (interacts with) AGTPBP1","false","interacts with","PSMC6 (interacts with) AGTPBP1"
"364656","0.768382353","308.14101372","interacts with","PSMC6 (interacts with) KIF3A","false","interacts with","PSMC6 (interacts with) KIF3A"
"364657","0.776468793","1588.94756326","interacts with","PSMC6 (interacts with) SNAP25","false","interacts with","PSMC6 (interacts with) SNAP25"
"364658","0.857142857","206.0","interacts with","PRKCE (interacts with) VDAC3","false","interacts with","PRKCE (interacts with) VDAC3"
"364651","0.683150183","472.73836495","interacts with","PSMC6 (interacts with) ARL1","false","interacts with","PSMC6 (interacts with) ARL1"
"364652","0.705882353","411.82198405","interacts with","PSMC6 (interacts with) ZC3H15","false","interacts with","PSMC6 (interacts with) ZC3H15"
"364653","0.679146017","206.0","interacts with","PSMC6 (interacts with) SUMO1","false","interacts with","PSMC6 (interacts with) SUMO1"
"364654","0.8118078","1724.35129873","interacts with","PSMC6 (interacts with) VPS35","false","interacts with","PSMC6 (interacts with) VPS35"
"364647","0.709096459","206.0","interacts with","PSMC6 (interacts with) CS","false","interacts with","PSMC6 (interacts with) CS"
"364648","0.857142857","206.0","interacts with","PSMC6 (interacts with) OXCT1","false","interacts with","PSMC6 (interacts with) OXCT1"
"364649","0.8","787.70940415","interacts with","PSMC6 (interacts with) RANBP6","false","interacts with","PSMC6 (interacts with) RANBP6"
"364650","0.652696976","239.40872777","interacts with","PSMC6 (interacts with) PDHB","false","interacts with","PSMC6 (interacts with) PDHB"
"364643","0.654151404","391.09192078","interacts with","PSMC6 (interacts with) RNF14","false","interacts with","PSMC6 (interacts with) RNF14"
"364644","0.793956044","606.0","interacts with","PSMC6 (interacts with) EPS15","false","interacts with","PSMC6 (interacts with) EPS15"
"364645","0.876373626","206.0","interacts with","PSMC6 (interacts with) EPRS","false","interacts with","PSMC6 (interacts with) EPRS"
"364646","0.833468003","823.51751074","interacts with","PSMC6 (interacts with) PCMT1","false","interacts with","PSMC6 (interacts with) PCMT1"
"364639","-0.558823529","206.0","interacts with","PSMC6 (interacts with) CASP10","false","interacts with","PSMC6 (interacts with) CASP10"
"364640","-0.580586081","408.0","interacts with","PSMC6 (interacts with) BCL2","false","interacts with","PSMC6 (interacts with) BCL2"
"364641","-0.691701681","456.55408979","interacts with","PSMC6 (interacts with) TRIM8","false","interacts with","PSMC6 (interacts with) TRIM8"
"364642","-0.591687316","263.55793594","interacts with","PSMC6 (interacts with) YBX1","false","interacts with","PSMC6 (interacts with) YBX1"
