“Gene”,”P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"SIK1",65.23572383,77.36004495,88.08003702,39.93636604,64.25322441,41.64257253,44.22156939,4
"PHYKPL",34.278046,26.98556708,31.41170887,31.23757446,34.32315545,34.27235516,25.50576343,3
"SSX2IP",133.2029335,45.48831906,233.854488,47.81535436,64.31152045,44.00713202,223.6503757,9
"BDNF",36.08104173,95.97535136,35.54710257,35.5840531,30.37638936,27.87601622,35.88464705,3
"MECOM",16.80731647,48.71528119,32.89524805,9.586687972,19.89668693,16.13961398,36.05826731,10
"U2SURP",39.53127618,55.88120221,51.115182,48.99017867,42.97735842,93.51507012,48.94587327,6
"SAT2",207.5405523,98.42980714,89.68264577,60.1127576,68.25790816,72.04165325,80.91507012,8
"YWHAZ",64.66878568,66.96234839,79.13474935,69.71507017,81.7441482,65.21025811,91.26985126,8
"GNL1",85.14831952,27.80293559,38.99346984,27.0950916,21.44203211,21.55619817,22.58583797,8
"TDG",115.7414005,106.3150701,134.0003922,87.40155974,196.3351366,104.6477749,166.7150701,10
"RPL7",577.4805715,369.1079456,550.0242837,103.219628,393.888681,225.1890594,198.4150701,10
"WBP4",58.21377345,46.84488338,42.38298636,26.47073979,35.39446844,30.06563999,38.69362417,9
"DIDO1",88.07918731,71.21507014,151.9026989,58.19682312,56.16118918,64.62905012,70.64185599,7
"KRAS",3.659498512,4.146574059,4.603788213,3.536296899,3.760762012,3.613958764,3.664163516,3
"PIH1D2",6.068469563,5.884187821,5.878292597,5.363650051,6.172628739,6.784470447,5.939438611,8
"FANCF",12.74705687,12.50548622,9.524067071,16.45324549,16.17669306,15.06260541,12.96591367,4
"GIGYF2",49.71835312,35.92603128,45.91204921,33.11740362,38.46906847,47.34007218,31.90692172,8
"EIF3F",47.98826198,20.59740385,31.85098767,8.792543992,12.07254497,12.61784546,12.73918867,9
"RPL11",101.4891467,95.18603655,108.0355076,42.6162887,67.62520369,37.93612688,28.95402065,3
"SON",61.12131845,52.31512796,55.1836556,68.46802882,55.33922966,50.865576,64.45999756,6
"TMEM38B",33.81376665,20.77903815,42.37135642,9.899808785,13.74659417,12.6570944,24.39067727,10
"UBE2D3",28.15087614,19.49129368,25.53939391,7.922200246,16.25320427,14.35604147,15.15600492,10
"YWHAH",24.96480239,22.16123899,50.10175568,29.83163237,21.50977108,26.8345299,31.55746105,10
"SIRT2",146.9763484,168.8456646,184.3747835,222.326155,222.7950071,187.0124858,200.4640777,8
"KPNB1",608.4902519,424.3409898,607.4539455,251.1907819,442.6527693,313.0989947,963.6366093,10
"A2M",146.7635358,171.3584663,160.9177447,74.88784771,257.5718401,124.2492792,83.67019039,9
"PIK3R1",27.330381,24.0079618,25.98757469,18.84713089,26.15296216,20.77158719,26.79998544,10
"TXNIP",122.4688182,203.1782238,161.7150701,59.67244199,163.2334943,83.20064555,83.41507012,9
"RBM3",46.00557046,10.52859824,29.86170947,5.469273695,9.450767957,6.666664028,22.68375935,8
"SWAP70",7.265300101,7.410786848,11.99655116,3.489552851,7.036980541,4.415510002,3.935235041,8
"GTPBP4",31.14078109,12.90250884,36.58713079,9.91499882,8.510865621,8.700880034,19.10881088,5
"CHFR",30.14831244,25.56048051,45.21576343,14.34354916,22.33540887,22.41805931,29.59266449,10
"NUP214",32.23340337,46.18861059,48.51528152,65.08319292,70.71350933,54.53923963,44.78072605,4
"TRIT1",85.30780099,61.1182206,101.620399,49.02861027,44.60976022,39.31850159,62.05176015,10
"ZNF292",146.3102255,94.72001826,153.5231186,45.33398756,80.45628872,63.57813,104.7088943,9
"WDR26",7.466863435,8.42573649,7.815193961,5.934918543,6.862665211,6.962454471,6.197691703,3
"EPAS1",145.1622673,253.017354,108.0410284,83.0035427,171.1150701,83.0869418,185.4648996,10
"PGRMC1",564.9340326,203.8112913,155.4655343,125.2921243,157.9393326,92.624379,177.3150701,7
"USP10",27.08825194,28.56453499,28.09076131,40.37448156,31.22011055,42.21430626,30.3018673,8
"NBPF1",65.68401598,54.21322907,134.9150701,42.22755724,53.49811661,47.1154574,40.45997971,9
"RIT1",4.066241618,7.493661512,5.604453789,6.655348617,5.766473756,6.957030785,4.845767087,5
"RPS12",445.590007,367.9648447,393.8789569,79.98593328,352.9489373,184.5010901,126.9112163,7
"STK3",63.31507075,29.31148865,45.07624182,23.76718923,32.3362914,37.65223496,30.24763519,7
"SRSF4",32.39700151,14.28795673,33.53407551,19.45604531,30.35485694,17.386775,22.40538387,5
"SEPHS1",182.3807055,96.31507012,155.0605818,78.67591719,81.41507012,67.20490503,85.51445823,10
"RECQL5",5.047051582,6.133480054,4.571976728,6.624160928,6.766028561,5.268365279,6.869200541,5
"RAI2",85.61249967,93.48460871,79.58111596,62.53752639,72.31765788,51.03318041,67.81105268,7
"CSTB",10.27674165,11.47403855,11.38821625,16.40648557,13.08030414,10.67641383,11.90224159,3
"LMO1",12.24675298,17.93169596,23.50658919,22.51544256,19.05339072,24.39198847,21.34743116,3
"TRAPPC2L",36.39963893,28.56453499,36.37872317,34.41717862,35.71594687,38.32472342,30.24763519,3
"COX6A2",22.06608807,33.14558162,25.31173243,39.43599112,32.54124332,31.29999897,29.1617763,8
"SFMBT1",10.0007158,10.00544373,8.185056215,12.15780267,8.559184347,9.591845201,7.666294463,7
"RNF219",111.1230956,47.0154574,65.30330659,17.60523967,22.7277338,29.83355112,34.44450891,9
"EIF3H",35.89711962,16.84433526,14.18011966,5.495243536,9.408254142,13.13872195,11.56023373,8
"GOLGA4",17.27364073,27.20607688,18.36175026,31.23757446,28.9634009,29.31458042,23.75378456,3
