Gene,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
AMPH,12.02073333,16.09564458,29.15948242,19.84019308,21.18292612,11.23515128,8.347553353,15.71864755
ANK2,27.26734226,68.08986951,43.49824418,43.30289212,65.12107394,34.94387008,37.97711951,43.30289212
ANKMY2,9.918793242,13.01820421,13.01820421,21.22166013,20.61167093,9.766410461,10.23514367,11.89991382
ANKRD10,2.549663096,2.616128103,3.236125132,2.616128103,4.067280754,2.616128103,2.469721811,3.564760025
ANKRD27,17.66357957,20.11856828,21.58015019,12.33351073,11.82923577,13.77127571,7.111322934,13.51285667
ANP32B,51.26001167,71.39380121,52.01671128,34.66414831,52.30289212,50.95590689,70.59195825,61.36034496
ANXA1,1.108837727,1.331731059,1.331731059,1.740239475,1.318111906,1.068094764,1.36444318,1.4468584
ANXA11,46.63254698,38.29019347,44.76275568,39.21198303,26.65014864,32.28461676,40.63389247,39.21198303
ANXA2,208.2290877,285.3042218,249.6665285,280.7152898,256.9948076,209.9914044,183.2212287,208.211983
ANXA5,22.99073496,26.51979569,21.79078694,19.86758257,23.10557887,14.67205846,16.37152896,21.01016555
ANXA7,66.11943889,53.66652848,63.39380121,48.64548875,56.83068591,47.02222249,41.99306559,38.6298744
AP1M1,7.343710782,11.23515128,9.234655419,7.977919453,9.726086619,5.517517436,4.392475289,4.946995957
AP2B1,5.39484529,7.018410631,12.41125859,9.753486575,10.09710444,5.754699204,9.88736591,6.930131551
AP2M1,3.744381181,5.886729175,5.886729175,6.136091478,8.878125456,4.163201074,4.540669605,3.653642419
AP3M1,3.919718003,5.22676087,4.080390422,2.929791475,7.083159606,3.01691689,3.457589346,4.294526412
AP3S1,257.5620637,206.8483467,223.3814709,202.6659615,240.8487993,176.13345,129.0481844,206.8483467
APEX1,24.59660497,32.17791747,22.21643597,38.01828479,31.10178511,23.54821272,21.05730224,24.80050006
APLP1,5.032673853,4.783783293,4.946995957,4.774815564,5.426470524,4.88646584,5.136144855,5.628504324
APLP2,2.674062532,2.438661175,2.383446156,1.536196403,2.063514735,1.370675352,2.832744653,1.60322239
APP,67.03016485,73.37350723,70.9696865,40.86778551,82.01123525,58.33409813,67.728466,65.27285632
APPBP2,24.38462406,27.30313299,27.65308012,27.43668126,25.21161655,17.50959375,24.09797466,34.71198327
APTX,3.665805001,4.59658581,4.637667603,4.479174301,4.59658581,4.644514569,2.64340223,3.240886627
ARAF,1.181509522,1.178806997,1.31762338,1.200373377,1.775502387,1.144500266,1.049499674,1.155351047
ARF6,3.587477594,3.091198025,2.678345534,3.09874984,3.485302389,2.251901695,3.043188956,2.702668505
ARFGEF2,10.5605766,9.245216406,9.120730862,7.403712137,9.147281181,6.257707061,5.466720705,8.172794165
ARGLU1,1.70121647,2.043186984,1.856712989,2.321842777,2.351737696,1.260022177,1.395413864,1.381016684
ARHGAP17,8.565578859,10.73822408,7.474740905,5.753537841,6.848430624,8.112221645,7.109286385,6.261431898
ARHGAP24,1.821493166,2.032654129,1.840525449,3.653567015,3.46570785,1.736575419,2.220712715,2.246374928
ARHGEF7,15.14309062,13.19690546,15.56286012,15.10689643,16.77619932,16.2507066,15.58467726,17.17474729
ARID1B,32.3952551,24.61000407,21.03985567,22.45804511,21.63707385,14.28157105,19.29544118,16.93021596
ARID4A,1.523177708,1.117609546,1.239041886,1.045000927,1.170482918,0.931936083,1.072835546,1.683611593
ARL1,2.68175255,2.68175255,2.256402744,2.68175255,3.093689674,1.854595396,2.05293693,2.256402744
ARL15,2.770648581,3.327591296,8.205858669,1.966664623,1.764838678,4.530121357,3.661316871,4.946995957
ARL6IP1,78.87482017,94.16733812,110.1974465,64.10373067,103.9392558,50.03016485,56.2294249,50.21746563
ARL6IP5,9.920317997,6.257707061,5.44004686,5.75834157,5.281934356,3.497903626,4.152750726,3.107670348
ARMC1,20.40376456,27.18201426,24.55813329,20.97423995,22.81306673,18.36533598,18.45292488,18.80761236
ARMC7,6.302443492,8.662101309,7.175762052,7.075565128,6.504442665,6.429518642,6.504442665,8.012406362
ARMC8,1.687024097,1.351644223,1.523177708,1.457964706,1.457964706,1.314155742,0.942373821,1.414124532
ARNT2,6.460821429,11.23515128,6.745659112,5.898383031,7.430347101,4.883424547,6.03615316,4.883424547
ARPC2,165.0159389,137.0693894,165.0159389,165.3249499,181.914338,153.9708248,156.8638765,165.0159389
ARRB1,2.015677973,3.235811426,2.399137711,2.455711545,2.777519736,3.118062617,1.826485733,2.091461516
ASB13,18.3679775,27.77537061,24.10242425,33.39452257,21.92701469,18.44081683,21.59512092,20.18391576
ASB8,3.789113527,7.018410631,6.972032608,6.161924299,4.553685698,5.364880211,5.037921797,6.813210545
ASH2L,16.97630176,12.47647336,13.94059369,12.24032492,16.97801246,20.34502619,7.028869742,13.61267391
ASXL2,1.337286845,1.571037208,1.331731059,1.276055322,1.409499288,1.139670379,1.102010998,1.557324959
ATF2,32.21198827,27.12755094,29.29494421,28.92924871,31.22525871,28.00481167,19.63878419,28.1632964
ATF7IP,12.11682193,13.39498274,9.429359622,8.081482272,10.76977329,8.696415356,13.8187116,10.28968309
ATG12,5.363117349,9.260823005,10.27502405,5.306730748,6.267832995,6.267832995,2.653741314,3.605906865
ATG4B,3.216142986,4.312291884,4.312291884,4.357956891,5.358020544,3.989423426,3.735103483,3.129307106
ATG9A,5.662781965,7.627263701,6.789536188,6.389806249,6.579583848,5.01171644,4.71301316,7.116762311
ATM,1.470230079,1.735744826,1.292212254,1.41073501,1.82732525,1.341621502,1.470230079,1.693625092
ATP13A2,5.206144487,6.567696862,5.753537841,7.002036078,6.433751545,4.608100787,4.018896592,3.899348166
ATP5C1,50.57856271,52.12994232,54.56394477,70.46403643,64.12639375,46.93925575,39.62896883,53.44504066
ATP5L,36.44028508,51.75743757,51.75743757,74.66963002,51.75743757,35.53823036,54.83130773,46.50586992
ATP6V0C,45.12331778,63.86338391,58.72032024,76.01293784,81.95215859,42.26117522,45.56977747,36.29398682
ATP6V1A,160.1786234,212.3714799,200.3728675,146.1290869,232.7574376,167.7574376,128.2015399,173.3397531
ATP6V1B2,11.64744335,20.72751605,16.72221657,12.46700462,18.68664981,10.06068783,12.5930767,10.54554904
ATP6V1E1,89.56155637,131.0181037,98.39380121,133.8150631,137.566292,79.42428362,86.32618079,83.12107394
ATP6V1H,1.979830928,1.740109812,1.979830928,1.979830928,1.949082384,1.86801314,3.521942153,2.943334902
ATP8B1,27.81834607,27.30313299,32.1868091,23.010018,28.66660297,38.70931912,44.45377137,22.51228308
ATRX,8.306644765,7.497069275,10.17753405,8.220955298,11.13828679,9.814208038,9.889987028,14.81306333
ATXN1,7.58938199,5.767746202,14.26614641,7.200188576,9.48110002,7.58938199,5.890110017,7.837220424
ATXN1L,39.36697233,31.51847369,27.93949651,22.55695839,27.93949651,24.99274524,24.95136656,37.12454076
ATXN7,1.470336789,1.432125504,2.145064235,1.464228244,1.464228244,1.821386557,1.279042911,1.590453586
AUH,48.77823517,48.77823517,36.57561944,44.13960977,58.53120127,44.34635898,46.26016807,48.77823517
AUTS2,3.978017058,3.642082636,5.20860339,2.146688354,2.357133474,4.279012138,2.985305808,2.998031466
B2M,2.287064332,8.622670071,6.181329976,4.924392525,3.629408446,4.924392525,7.36074399,5.216027114
B4GALT3,2.287351586,2.254478384,2.578577104,2.220660554,2.661959541,1.917815288,2.806295049,2.692467977
BAG3,61.34530298,49.43762123,53.95852126,59.05126664,57.75743757,54.1069493,29.31934834,57.75743757
BAG6,3.360495598,3.449491654,3.284056208,4.511592874,4.556168553,3.141700288,3.559577207,3.175082385
BANF1,1.891244113,1.979830928,1.979830928,2.194198221,2.168419778,1.743627862,1.960124879,2.009762709
BASP1,200.4117091,218.2937833,247.5275494,177.7808475,219.1240181,158.3774679,111.5974958,188.807496
BAZ2B,19.27355956,17.6853131,15.93179053,15.12342084,21.74936038,21.12113362,29.01011086,22.7618866
BBS10,1.250548553,1.370124989,1.528612189,1.648852992,2.238593403,1.200373377,1.556578286,1.771015721
BBS2,6.183889204,6.88358852,8.688489687,6.636369807,10.53467243,5.284118861,4.701211848,6.183889204
BCAP31,12.80425131,19.25502379,15.34611109,18.23375817,16.36835624,12.89794605,11.01678338,12.8970548
BCAS2,19.70329834,24.41082462,22.5790025,21.566505,19.70329834,18.77498184,11.74940444,15.73068854
BCAT1,48.40945616,49.71345791,43.55351274,69.94981676,80.44412053,46.45909404,30.97308983,37.51133264
BCKDK,8.485407238,8.37595633,8.982424968,8.485407238,7.317167304,6.694862062,8.360684111,9.380914455
BCL10,12.72349868,4.16026789,6.789536188,5.917960855,5.966959081,5.211920516,6.177563667,8.711875204
BCL2,4.346987989,7.982236879,5.285237704,3.67659568,3.442622493,4.3764703,7.119023002,9.194516082
BCL6,3.513528999,3.055776797,3.306711064,3.479095395,2.140725357,2.486859846,2.82561048,3.9034625
BCLAF1,14.83108825,20.13103987,18.79447836,15.53509706,20.42243896,13.06545085,11.23515128,15.53509706
BEND7,3.706364974,6.384334468,3.78799329,4.633653619,4.633092172,3.615435951,2.773562437,3.115303138
BHLHE40,7.612092859,6.257707061,13.97004481,7.153329512,4.807227919,6.824212713,8.018944153,7.570990992
BID,3.249505828,2.610289467,2.851594391,3.392862036,2.310304403,1.917815288,2.610289467,2.610289467
BIN1,14.26961332,26.40540895,18.95937709,22.55222989,24.03118679,18.20365212,17.92556005,16.71370442
BIRC2,14.229666,14.73957824,12.43229154,16.64814611,18.3749948,11.35180004,9.955819272,12.70615253
BLOC1S6,66.05459359,60.44294903,59.71410171,74.59743669,64.65891476,58.12107394,62.7088683,67.16864252
BLZF1,1.241476179,1.24850649,1.24850649,1.327949087,1.182749077,1.152233073,0.993324855,1.410135142
BNIP3,229.1293679,191.4727366,222.721672,264.2176751,235.2736382,206.0340942,139.2681478,224.6123792
BNIP3L,42.09103592,41.3117597,47.78646233,51.0907948,51.03016485,38.57070939,41.6787376,34.62152143
BPGM,8.439897522,6.769092224,5.109994356,10.52098932,7.934446402,5.692318421,5.37676683,6.376528547
BRAF,8.452705127,8.703096258,10.39389339,10.39389339,8.746456438,12.64229737,11.65399713,10.27083089
BRAP,18.00372636,8.829671092,10.17074292,11.12694104,13.7665547,6.849157475,8.851045401,6.790481469
BRD4,33.86704803,27.25626566,29.65461194,28.65120117,29.39387568,20.13914485,29.39387568,25.36377427
BRWD1,5.153137156,5.084654397,4.258054636,4.930217729,7.23978141,4.3764703,5.945145993,3.999219629
BTBD1,72.96299986,90.57561939,77.75743757,61.64401793,70.84834666,81.32111646,65.31425426,67.92117498
BTBD2,2.074556245,2.449097686,1.897747367,1.897747367,2.279223594,1.897747367,1.882004306,1.790565531
BTF3,127.1639632,134.7895652,138.1150368,182.372933,145.1023328,132.7573597,91.93925575,141.3028921
BTG1,4.49990076,5.564525682,6.529142509,3.341643651,3.840033776,5.259896827,5.903683197,5.866041738
BZRAP1,2.995716967,2.870797442,4.073547365,3.383691208,3.629408446,2.78724884,3.261856605,2.40501943
C11orf68,22.69512666,23.39168339,24.48656937,30.64911931,25.31239454,23.03461378,22.19094969,25.66723221
C14orf1,14.45418964,14.7797806,14.77385857,9.031648798,13.96797054,9.25285818,5.553088817,9.694478114
C16orf45,23.6469015,24.12293302,21.8421112,24.02551764,34.04538553,20.20004357,16.85704475,34.46656184
C1orf109,8.264967868,6.725507448,7.26423225,7.855614763,8.931548894,7.619866816,6.525841464,8.652103076
C1orf123,7.242588844,7.397022048,8.360684111,8.104744429,8.965856905,8.50172937,9.658442471,8.360684111
C1QBP,36.89014597,38.5629202,38.10590464,46.04936439,37.5428409,20.94908931,23.64177793,23.0305645
C6orf120,3.070646755,3.999219629,4.071419021,5.26622584,3.881348703,3.006655198,3.999219629,4.411826887
C8orf33,2.033853268,1.806583581,2.32864693,2.033853268,1.829935454,2.033853268,1.939627338,2.697025219
C9orf72,7.919453982,7.203049972,7.521195064,6.223065234,6.765998386,6.953167256,5.149603053,7.521195064
CACNA1C,19.23366575,9.56048026,13.49223324,16.10700571,10.36740286,8.696415356,8.696415356,10.17853343
CACYBP,11.42668007,11.02888197,11.71213748,17.35052559,11.7350878,11.06237355,8.404029743,6.938432185
CALD1,28.22897988,29.30296659,26.12177766,16.28759997,20.61203215,29.34108844,23.22253147,31.70665428
CALR,1.90165444,2.074853832,1.687504539,3.815384462,2.561552525,1.347750477,1.110450622,1.874118459
CALU,22.7618866,28.1139095,17.24956255,22.7618866,21.7470803,21.59391122,22.73560476,23.15940208
CAMK2B,1.890489072,1.987329629,4.6845333,1.589950735,1.716772195,1.374359607,1.331731059,1.322811587
CAMK2D,103.1024652,69.89443559,91.01491771,60.57561939,70.95894599,104.6444543,66.75045025,76.16723087
CAMKK2,8.758877875,7.077153302,11.14802322,15.46126386,12.40532261,12.20811487,14.77896472,9.059434519
CAND1,1.523177708,2.008315563,2.008315563,3.14535915,2.174423119,1.217643638,1.556578286,1.714178248
CANX,6.588943641,3.880942289,3.299147624,4.643854842,3.592990128,3.592990128,2.675175447,4.811987998
CAPN3,8.010678548,16.80648153,16.53106059,12.59779265,13.62489687,20.23430131,39.91246537,12.32034949
CAPNS1,9.331851561,16.49441719,13.54299299,22.07648059,19.76137596,10.80403983,12.47395901,9.448123812
CAPZA1,90.71005005,79.66784147,90.5301882,97.4768309,90.03016485,82.00310035,90.5301882,82.2652748
CASK,2.487170765,2.472795612,2.40345897,2.61415535,2.267007304,2.617948906,1.94016384,2.081972309
CASP9,13.16286444,10.41330726,10.17753405,12.41125859,14.82752648,10.14523579,9.955612945,5.958375455
CAST,19.55433061,22.61889456,21.06761358,11.59671573,22.35942477,20.55051991,16.0643619,13.40699187
CBL,10.65278998,10.73532619,10.23428035,7.727133096,8.005938977,7.375133125,7.727133096,5.489494082
CBLB,10.10097629,11.23515128,10.69766258,6.343862275,7.628443225,4.62513239,7.542271486,7.628443225
CBX1,3.961795718,4.457343541,4.080390422,3.961795718,4.758405871,2.76402666,2.876318996,3.069900982
CBX3,40.21198303,21.89769559,30.20008279,32.57562464,43.16528805,20.92465857,23.29803677,38.61335539
CBX4,64.09119811,41.62578332,53.15235173,50.85108758,46.77656698,35.82178395,30.15262739,40.30289212
CBX5,5.195415357,3.831073855,3.676580864,4.576488095,3.11956585,4.86485318,5.326661051,4.605059039
CCDC130,13.46689691,10.29483191,9.636387867,13.0643084,12.80246482,8.696415356,8.737002797,11.02687042
CCDC14,6.929830029,6.62191735,7.344862819,8.855153454,5.440382578,5.233869173,5.598816508,7.688166083
CCDC33,3.668704474,4.186235167,3.750942704,3.198424161,3.253988747,4.453626025,3.323241488,3.115303138
CCDC50,1.979830928,1.720677431,3.043188956,1.979830928,1.979830928,1.54820824,1.835952753,1.979830928
CCDC59,13.11609976,10.91276582,9.329810706,9.887709724,11.90748197,5.852892529,8.252235812,6.742460275
CCDC6,11.49326504,22.54906391,16.55764048,20.22194896,14.81594763,8.059306526,10.49015192,12.22491317
CCDC85B,5.398584494,6.009746692,5.973452618,6.308370189,5.398584494,4.586917024,3.121307886,3.648554142
CCDC90B,18.50483163,20.13103987,11.92992116,16.18655367,16.18655367,8.507159908,13.78715948,22.07844865
CCNA2,1.476519164,1.448595104,1.279319046,1.476519164,2.041119303,1.056626378,1.754256912,1.476519164
CCNB1,2.637570699,3.291276251,1.997542587,3.999350556,3.955814878,2.19607779,1.978402422,4.453013159
CCNC,8.608223559,8.696415356,9.151897139,8.360684111,8.360684111,6.736228952,5.709967518,7.899388669
CCND3,4.643603393,4.510646095,4.5878614,3.946965202,4.905716166,3.971937347,4.510646095,4.313538351
CCNH,10.48480235,10.48480235,11.93611776,13.13262214,11.50922667,5.72616238,7.135213268,10.17291534
CCNL1,3.413750845,3.999219629,4.357279459,3.617772668,4.856178337,4.977543389,5.963798457,4.907004713
CCSER2,20.19340888,31.47916399,23.52541183,36.88416487,31.84835191,25.66401015,23.35419551,26.46912325
CCT5,11.77848823,16.63847377,11.385735,16.51502214,15.73200821,11.48952413,10.5109409,10.60307301
CD24,47.97360729,62.66929436,57.20121258,52.10127369,30.79927683,62.96470209,32.63119094,55.00739874
CD2AP,1.661472316,2.110713866,1.998320821,1.988414888,1.750057837,1.812674655,1.94016384,1.696622835
CD40,6.450658721,6.383873945,7.10105563,6.392125178,6.521454676,8.403349252,6.497623046,6.258088289
CD44,1.979830928,3.137309826,2.159266999,2.058379005,3.278002418,3.825119183,3.043188956,14.00104878
CD47,73.99504168,35.09548745,15.22269348,13.39957453,28.3938757,21.80463567,32.01443674,38.582531
CD55,3.115303138,3.115303138,3.427545085,3.237891324,3.073783553,2.299768223,3.335848402,2.551433437
CD63,38.35037859,53.45449944,38.51517631,39.9198447,32.49053707,25.79904364,27.68445884,18.56760671
CD81,12.09577894,20.33158137,20.52919444,15.12331194,16.1230004,12.5930767,19.46646956,17.43138073
CDAN1,2.478808008,1.523177708,1.656116407,1.41621159,1.836172248,1.704546818,1.724446984,1.268736376
CDC123,4.718651823,8.079650815,6.503580852,5.753537841,7.383533134,3.858344424,5.903683197,4.785522363
CDC14B,3.049058808,2.288353064,3.140007063,2.288353064,2.511711285,1.905348826,3.043188956,2.475476041
CDC34,4.957572094,4.478759579,5.919815337,4.334524842,4.754424745,4.729367852,3.550452787,3.504552935
CDC42,8.760287086,7.600097848,9.469598648,9.394472458,11.32927754,5.954323426,6.883078841,9.295562813
CDC42BPB,3.77153877,3.638035176,5.061322846,3.735103483,4.162696216,3.142068211,3.735103483,2.86571692
CDH11,1.523177708,1.95024925,1.531454865,1.043001764,1.935784487,1.922372176,2.353044755,2.582023821
CDH2,113.6631968,88.39380121,103.7531956,66.03016485,76.17285147,94.3376113,73.44560327,71.42360741
CDH22,9.814208038,10.60848277,12.11326097,11.38623353,7.033254018,9.814208038,7.732995144,8.554354433
CDK12,2.092981354,1.596056912,1.546825557,1.683330265,1.866344844,2.471112195,1.556578286,1.683330265
CDK13,2.412095912,1.655921767,1.449451044,1.470230079,1.360793827,1.352693472,1.622853651,2.362343327
CDK19,3.021855656,3.315456663,2.660693647,2.916812043,3.665500616,3.387643574,3.043188956,4.946995957
CDK2,1.331731059,1.096123927,1.298569667,1.331731059,1.166573353,1.355925032,1.331731059,1.979830928
CDK5,6.030296371,8.084366396,10.12835136,13.88182227,12.46957484,12.63365228,7.273202729,10.02714546
CDK6,4.807227919,5.478100779,4.662948499,6.504442665,4.807227919,3.247597955,4.807227919,4.044758814
CDK8,6.751659963,7.917198476,6.751659963,5.990870633,9.230506766,6.257707061,5.628233713,6.103302907
CDKN1A,16.21683571,17.26151608,17.79390835,18.35624833,16.21683571,15.5506841,14.16527171,41.84834666
CDKN1B,16.16980318,20.58286936,23.42136072,16.86026042,18.81462886,18.30276986,22.10161755,16.90003272
CDKN1C,2.631391134,2.589366501,2.353044755,2.231744497,2.283947674,2.883889714,2.880130611,2.006438325
CDKN2B,1.490933322,0.951175883,1.10372611,1.457042382,1.157111516,1.170482918,1.082438405,1.170482918
CDKN2C,3.629408446,3.492675528,3.629408446,3.939561021,4.298680097,3.154655844,2.877009923,3.499871997
CDS1,8.372706579,8.517020385,6.163251928,8.372706579,9.911982655,6.955243717,6.663634407,7.200188576
CEBPB,14.79635243,16.30998236,22.64144525,13.97565823,13.78654877,14.79635243,30.3058506,21.15237375
CEBPZ,9.642064477,5.903683197,5.797615305,6.770760218,5.903683197,5.378202481,5.903683197,4.981551248
CELSR2,10.29400843,10.81532208,11.24595693,8.99655085,10.77144917,10.59382774,14.52564055,8.692424939
CENPL,1.143765869,1.276055322,1.237522078,1.16191657,1.204643479,2.032392269,1.331731059,1.276055322
CENPN,2.213834106,1.377705572,1.70121647,1.486058527,1.70121647,2.217595358,1.70121647,1.368643719
CENPU,2.829576631,1.767747233,1.638347855,2.011358854,1.60128759,1.556297661,1.60128759,1.638347855
CEP170B,52.40112963,51.4847103,48.84834666,52.97535716,48.84834666,43.98815228,45.17394114,38.37277971
CEP57,3.807541261,7.327856689,3.712729799,3.628412784,3.516685465,3.091326018,3.497336023,3.999219629
CEP70,1.068094764,1.170482918,1.170482918,1.276055322,1.170482918,0.922424564,1.066702521,1.222180934
CFL1,992.5933924,992.5933924,1113.793761,1263.489984,1018.824712,758.2636846,726.83041,992.5933924
CFL2,81.42838696,98.25558459,78.22390482,78.86733157,75.84209547,57.73249849,48.50133454,62.96597696
CFLAR,4.992310046,4.740613703,6.180822346,5.40683958,5.530791454,4.442168017,4.464227616,5.485341031
CGGBP1,4.045032912,4.906511205,7.198879011,4.151388163,4.151388163,2.415630341,2.219197239,4.574385408
CHCHD2,41.53854059,85.13924936,73.03016485,84.39324299,73.44897305,46.17153901,50.53810078,44.33082307
CHCHD3,12.32034949,12.40973559,9.803909369,12.32034949,14.49044758,10.95738833,9.814208038,11.64058203
CHD1,3.162215565,3.199479711,1.860435728,2.250468467,2.754867137,1.594952934,2.353044755,4.165344389
CHD4,4.955712957,3.377465809,3.234599661,3.377465809,2.808963106,3.377465809,2.715173674,2.65352718
