HGNC ID	Approved Symbol	Synonyms	UniProt ID(supplied by UniProt)
HGNC:20293	ABHD13	"bA153I24.2, FLJ14906, BEM46L1"	Q7L211
HGNC:24538	ABHD14A	"DKFZP564O243, DORZ1"	Q9BUJ0
HGNC:38856	ABHD14A-ACY1		
HGNC:28235	ABHD14B	"MGC15429, CIB"	Q96IU4
HGNC:26971	ABHD15		Q6UXT9
HGNC:49685	ABHD15-AS1	"linc-TP53I13, lnc-TP53I13"	
HGNC:13921	ABHD16A	"NG26, D6S82E"	O95870
HGNC:16128	ABHD16B	dJ591C20.1	Q9H3Z7
HGNC:28756	ABHD17A	MGC5244	Q96GS6
HGNC:28394	ABHD17AP1	C1orf47	
HGNC:33538	ABHD17AP2~withdrawn		
HGNC:34041	ABHD17AP3		
HGNC:34042	ABHD17AP4		
HGNC:34043	ABHD17AP5		
HGNC:34044	ABHD17AP6		
HGNC:38508	ABHD17AP7		
HGNC:38509	ABHD17AP8		
HGNC:38510	ABHD17AP9		
HGNC:24278	ABHD17B	CGI-67	Q5VST6
HGNC:26925	ABHD17C		Q6PCB6
HGNC:26111	ABHD18	FLJ21106	Q0P651
HGNC:11320	ABI1	"E3B1, ABI-1"	Q8IZP0
HGNC:20035	ABI1P1		
HGNC:24011	ABI2	"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2"	Q9NYB9
HGNC:29859	ABI3	"NESH, SSH3BP3"	Q9P2A4
HGNC:17265	ABI3BP	"NESHBP, DKFZP586L2024, TARSH"	Q7Z7G0
HGNC:76	ABL1	"JTK7, c-ABL, p150"	P00519
HGNC:77	ABL2	ARG	P42684
HGNC:78	ABLIM1	"abLIM, limatin"	O14639
HGNC:19195	ABLIM2	KIAA1808	Q6H8Q1
HGNC:29132	ABLIM3	KIAA0843	O94929
HGNC:79	ABO	"A3GALNT, A3GALT1"	P16442
HGNC:81	ABR	MDB	Q12979
HGNC:30655	ABRA	STARS	Q8N0Z2
HGNC:21230	ABRACL	"PRO2013, HSPC280, Costars"	Q9P1F3
HGNC:25829	ABRAXAS1	"FLJ13614, ABRA1, ABRAXAS"	Q6UWZ7
HGNC:28975	ABRAXAS2	"Em:AC068896.4, ABRO1"	Q15018
HGNC:17369	ABT1		Q9ULW3
HGNC:39557	ABT1P1		
HGNC:18275	ABTB1	"BPOZ, EF1ABP, Btb3, BTBD21"	Q969K4
HGNC:23842	ABTB2	"DKFZP586C1619, BTBD22, ABTB2A"	Q8N961
HGNC:82	ACAA1		P09110
HGNC:83	ACAA2	DSAEC	P42765
HGNC:84	ACACA	ACC1	Q13085
HGNC:85	ACACB	"HACC275, ACC2, ACCB"	O00763
HGNC:86	ACAD~withdrawn		
HGNC:87	ACAD8		Q9UKU7
HGNC:21497	ACAD9	"NPD002, MGC14452"	Q9H845
HGNC:21597	ACAD10	MGC5601	Q6JQN1
HGNC:30211	ACAD11	FLJ12592	Q709F0
HGNC:88	ACADL	"LCAD, ACAD4"	P28330
HGNC:89	ACADM	"MCAD, MCADH, ACAD1"	P11310
HGNC:90	ACADS	"SCAD, ACAD3"	P16219
HGNC:91	ACADSB	"SBCAD, ACAD7"	P45954
HGNC:92	ACADVL	"VLCAD, LCACD, ACAD6"	P49748
HGNC:319	ACAN	CSPGCP	P16112
HGNC:16467	ACAP1	KIAA0050	Q15027
HGNC:16469	ACAP2	"KIAA0041, CNT-B2"	Q15057
HGNC:41426	ACAP2-IT1		
HGNC:16754	ACAP3	KIAA1716	Q96P50
HGNC:93	ACAT1	THIL	P24752
HGNC:94	ACAT2		Q9BWD1
HGNC:15453	ACBD3	"GCP60, PAP7"	Q9H3P7
HGNC:40701	ACBD3-AS1		
HGNC:23337	ACBD4	FLJ13322	Q8NC06
HGNC:23338	ACBD5	"DKFZp434A2417, KIAA1996"	Q5T8D3
HGNC:23339	ACBD6	MGC2404	Q9BR61
HGNC:17715	ACBD7	"FLJ38219, bA455B2.2"	Q8N6N7
HGNC:96	ACBP~withdrawn		
HGNC:97	ACC~withdrawn		
HGNC:98	ACCN~withdrawn		
HGNC:14594	ACCPN~withdrawn		
HGNC:23989	ACCS	"PHACS, ACS"	Q96QU6
HGNC:34391	ACCSL		Q4AC99
HGNC:25070	ACD	"Ptop, Pip1, Tpp1, Tint1"	Q96AP0
HGNC:2707	ACE	"ACE1, CD143"	P12821
HGNC:13557	ACE2		Q9BYF1
HGNC:44365	ACE3P		
HGNC:18356	ACER1		Q8TDN7
HGNC:23675	ACER2	"FLJ41587, ALKCDase2"	Q5QJU3
HGNC:16066	ACER3	"FLJ11238, APHC"	Q9NUN7
HGNC:106	ACH~withdrawn		
HGNC:107	ACHAP~withdrawn		
HGNC:108	ACHE		P22303
HGNC:109	ACHM1~withdrawn		
HGNC:110	ACHM2~withdrawn		
HGNC:111	ACHM3~withdrawn		
HGNC:112	ACHRD~withdrawn		
HGNC:113	ACHRG~withdrawn		
HGNC:17066	ACIN1	"KIAA0670, fSAP152"	Q9UKV3
HGNC:4035	ACKR1	"CCBP1, GPD, Dfy, CD234"	Q16570
HGNC:1565	ACKR2	"CCR10, D6, CCR9"	O00590
HGNC:23692	ACKR3	"RDC1, GPR159"	P25106
HGNC:1611	ACKR4	"CCR11, CCBP2, VSHK1, CCX-CKR, PPR1"	Q9NPB9
HGNC:114	ACLS		
HGNC:115	ACLY	"ATPCL, CLATP, ACL"	P53396
HGNC:116	ACMG~withdrawn		
HGNC:19288	ACMSD		Q8TDX5
HGNC:117	ACO1	"IRP1, IREBP"	P21399
HGNC:118	ACO2	ACONM	Q99798
HGNC:33904	ACOD1	CAD	A6NK06
HGNC:33128	ACOT1	"ACH2, CTE-1, LACH2"	Q86TX2
HGNC:18431	ACOT2	"Mte1, ZAP128"	P49753
HGNC:19748	ACOT4	"FLJ31235, PTE-Ib, PTE2B"	Q8N9L9
HGNC:33159	ACOT6		Q3I5F7
HGNC:24157	ACOT7	"BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH"	O00154
HGNC:15919	ACOT8	"hACTE-III, hTE, PTE-2, NAP1"	O14734
HGNC:17152	ACOT9	"CGI-16, MT-ACT48, ACATE2"	Q9Y305
HGNC:18156	ACOT11	"STARD14, BFIT, KIAA0707, BFIT1, THEM1"	Q8WXI4
HGNC:24436	ACOT12	"Cach, THEAL, STARD15"	Q8WYK0
HGNC:20999	ACOT13	HT012	Q9NPJ3
HGNC:119	ACOX1	PALMCOX	Q15067
HGNC:120	ACOX2	"BRCACOX, BRCOX, THCCox"	Q99424
HGNC:121	ACOX3		O15254
HGNC:25621	ACOXL	FLJ11042	Q9NUZ1
HGNC:41112	ACOXL-AS1		
HGNC:122	ACP1	"HAAP, LMW-PTP, LMWPTP"	P24666
HGNC:123	ACP2	LAP	P11117
HGNC:124	ACP5	"TRAP, HPAP"	P13686
HGNC:29609	ACP6	"LPAP, ACPL1"	Q9NPH0
HGNC:33781	ACP7	"FLJ16165, PAPL1, PAPL"	Q6ZNF0
HGNC:125	ACPP	"ACP3, ACP-3, PAP"	P15309
HGNC:14376	ACPT		Q9BZG2
HGNC:126	ACR		P10323
HGNC:17195	ACRBP	"SP32, OY-TES-1, CT23"	Q8NEB7
HGNC:127	ACRV1	"SPACA2, SP-10, D11S4365"	P26436
HGNC:128	ACS3~withdrawn		
HGNC:29567	ACSBG1	"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG"	Q96GR2
HGNC:24174	ACSBG2	"BGR, PRTD-NY3, DKFZp434K1635"	Q5FVE4
HGNC:26101	ACSF2	"FLJ20920, ACSMW"	Q96CM8
HGNC:27288	ACSF3		Q4G176
HGNC:3569	ACSL1	"LACS2, LACS, ACS1, LACS1, FACL1"	P33121
HGNC:3570	ACSL3	"ACS3, PRO2194"	O95573
HGNC:3571	ACSL4	"ACS4, LACS4"	O60488
HGNC:16526	ACSL5	"ACS5, ACS2"	Q9ULC5
HGNC:16496	ACSL6	"KIAA0837, ACS2, LACS5, LACS2"	Q9UKU0
HGNC:18049	ACSM1	MACS1	Q08AH1
HGNC:32017	ACSM2A	"A-923A4.1, MGC150530"	Q08AH3
HGNC:30931	ACSM2B	"HXMA, HYST1046"	Q68CK6
HGNC:10522	ACSM3	SA	Q53FZ2
HGNC:32016	ACSM4		P0C7M7
HGNC:26060	ACSM5	FLJ20581	Q6NUN0
HGNC:51295	ACSM5P1		
HGNC:31665	ACSM6	bA310E22.3	Q6P461
HGNC:16091	ACSS1	"dJ568C11.3, AceCS2L, MGC33843"	Q9NUB1
HGNC:15814	ACSS2	"ACS, ACSA, AceCS, dJ1161H23.1"	Q9NR19
HGNC:24723	ACSS3	FLJ21963	Q9H6R3
HGNC:129	ACTA1	NEM3	P68133
HGNC:130	ACTA2	ACTSA	P62736
HGNC:45169	ACTA2-AS1	"uc001kfo.1, ZXF1"	
HGNC:131	ACTA3~withdrawn		
HGNC:132	ACTB		P60709
HGNC:17780	ACTBL2	DKFZp686D0972	Q562R1
HGNC:134	ACTBP1		
HGNC:135	ACTBP2		
HGNC:136	ACTBP3		
HGNC:137	ACTBP4		
HGNC:138	ACTBP5~withdrawn		
HGNC:139	ACTBP6		
HGNC:140	ACTBP7		
HGNC:141	ACTBP8	ACTBP2	
HGNC:142	ACTBP9		
HGNC:31819	ACTBP10		
HGNC:33971	ACTBP11		
HGNC:150	ACTBP12		
HGNC:44626	ACTBP13		
HGNC:45086	ACTBP14		
HGNC:143	ACTC1	CMD1R	P68032
HGNC:144	ACTG1		P63261
HGNC:146	ACTG1P1		
HGNC:147	ACTG1P2		
HGNC:148	ACTG1P3		
HGNC:149	ACTG1P4		
HGNC:151	ACTG1P6		
HGNC:152	ACTG1P7		
HGNC:153	ACTG1P8		
HGNC:154	ACTG1P9		
HGNC:155	ACTG1P10		
HGNC:37651	ACTG1P11		
HGNC:44496	ACTG1P12		
HGNC:49058	ACTG1P13		
HGNC:49751	ACTG1P14		
HGNC:51495	ACTG1P15		
HGNC:51496	ACTG1P16		
HGNC:51497	ACTG1P17		
HGNC:51498	ACTG1P18		
HGNC:51499	ACTG1P19		
HGNC:51500	ACTG1P20		
HGNC:51501	ACTG1P21		
HGNC:51502	ACTG1P22		
HGNC:51503	ACTG1P23		
HGNC:49661	ACTG1P24		
HGNC:145	ACTG2	ACTSG	P63267
HGNC:156	ACTL2~withdrawn		
HGNC:157	ACTL3~withdrawn		
HGNC:158	ACTL4~withdrawn		
HGNC:159	ACTL5~withdrawn		
HGNC:24124	ACTL6A	"Actl6, BAF53A, Arp4, Baf53a, INO80K"	O96019
HGNC:160	ACTL6B	BAF53B	O94805
HGNC:161	ACTL7A		Q9Y615
HGNC:162	ACTL7B	Tact1	Q9Y614
HGNC:24018	ACTL8	CT57	Q9H568
HGNC:28494	ACTL9	MGC33407	Q8TC94
HGNC:16127	ACTL10		Q5JWF8
HGNC:163	ACTN1		P12814
HGNC:20131	ACTN1-AS1		
HGNC:164	ACTN2		P35609
HGNC:165	ACTN3		Q08043
HGNC:166	ACTN4		O43707
HGNC:44028	ACTN4P1		
HGNC:44032	ACTN4P2		
HGNC:51621	ACTP1		
HGNC:167	ACTR1A	"ARP1, Arp1A"	P61163
HGNC:168	ACTR1B	Arp1B	P42025
HGNC:169	ACTR2	ARP2	P61160
HGNC:170	ACTR3	ARP3	P61158
HGNC:17256	ACTR3B	"ARP11, ARP3beta"	Q9P1U1
HGNC:37724	ACTR3BP1		
HGNC:38677	ACTR3BP2	FKSG73	
HGNC:38678	ACTR3BP3		
HGNC:38681	ACTR3BP4		
HGNC:38682	ACTR3BP5		
HGNC:38683	ACTR3BP6		
HGNC:37282	ACTR3C	ARP11	Q9C0K3
HGNC:31820	ACTR3P1		
HGNC:38676	ACTR3P2		
HGNC:38679	ACTR3P3		
HGNC:14671	ACTR5	"FLJ12785, Arp5, INO80M"	Q9H9F9
HGNC:24025	ACTR6	"ARP6, FLJ13433"	Q9GZN1
HGNC:44210	ACTR6P1		
HGNC:14672	ACTR8	INO80N	Q9H981
HGNC:17372	ACTR10	"HARP11, ACTR11, Arp11, Arp10"	Q9NZ32
HGNC:24027	ACTRT1	"AIP1, KIAA0705, ARIP1, Arp-T1"	Q8TDG2
HGNC:24026	ACTRT2	"Arp-T2, ARPM2, FLJ25424"	Q8TDY3
HGNC:24022	ACTRT3	ARPM1	Q9BYD9
HGNC:171	ACVR1	"SKR1, ALK2, ACVR1A"	Q04771
HGNC:172	ACVR1B	"ALK4, SKR2, ActRIB"	P36896
HGNC:18123	ACVR1C	"ALK7, ACVRLK7"	Q8NER5
HGNC:173	ACVR2A	ACTRII	P27037
HGNC:174	ACVR2B	ActR-IIB	Q13705
HGNC:44161	ACVR2B-AS1		
HGNC:175	ACVRL1	"HHT2, ALK1, HHT"	P37023
HGNC:176	ACVRLK2~withdrawn		
HGNC:177	ACY1		Q03154
HGNC:178	ACY1L~withdrawn		
HGNC:24104	ACY3	"HCBP1, MGC9740, ACY-3"	Q96HD9
HGNC:179	ACYP1		P07311
HGNC:180	ACYP2		P14621
HGNC:181	AD1~withdrawn		
HGNC:182	AD2~withdrawn		
HGNC:183	AD3~withdrawn		
HGNC:184	AD4~withdrawn		
HGNC:185	AD5		
HGNC:186	ADA		P00813
HGNC:1839	ADA2	ADGF	Q9NZK5
HGNC:30713	ADAD1	Tenr	Q96M93
HGNC:44550	ADAD1P1		
HGNC:44552	ADAD1P2		
HGNC:30714	ADAD2	"TENRL, FLJ00337"	Q8NCV1
HGNC:31853	ADAL		Q6DHV7
HGNC:187	ADAM1A	"FTNAP, PH-30a, Ftna, ADAM1P"	
HGNC:44366	ADAM1B		
HGNC:198	ADAM2	"PH-30b, PH30, CT15"	Q99965
HGNC:209	ADAM3A	"ADAM3, tMDCI"	
HGNC:210	ADAM3B		
HGNC:212	ADAM5	tMDCII	Q6NVV9
HGNC:213	ADAM6	tMDCIV	
HGNC:214	ADAM7	"GP-83, EAPI"	Q9H2U9
HGNC:215	ADAM8	"CD156, MS2, CD156a"	P78325
HGNC:216	ADAM9	"MDC9, KIAA0021, MCMP, Mltng"	Q13443
HGNC:188	ADAM10	"kuz, MADM, HsT18717, CD156c"	O14672
HGNC:189	ADAM11		O75078
HGNC:190	ADAM12	"MCMPMltna, MLTN"	O43184
HGNC:43841	ADAM12-OT1~withdrawn		
HGNC:193	ADAM15	MDC15	Q13444
HGNC:195	ADAM17	"cSVP, CD156B"	P78536
HGNC:196	ADAM18	"tMDCIII, ADAM27"	Q9Y3Q7
HGNC:197	ADAM19	MLTNB	Q9H013
HGNC:199	ADAM20		O43506
HGNC:20102	ADAM20P1		
HGNC:43901	ADAM20P2		
HGNC:43902	ADAM20P3		
HGNC:200	ADAM21	ADAM31	Q9UKJ8
HGNC:19822	ADAM21P1		
HGNC:201	ADAM22	MDC2	Q9P0K1
HGNC:202	ADAM23	MDC3	O75077
HGNC:203	ADAM24P		
HGNC:206	ADAM28	"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	Q9UKQ2
HGNC:207	ADAM29	"svph1, CT73"	Q9UKF5
HGNC:208	ADAM30	svph4	Q9UKF2
HGNC:15479	ADAM32		Q8TC27
HGNC:15478	ADAM33	"DKFZp434K0521, dJ964F7.1"	Q9BZ11
HGNC:16299	ADAMDEC1	M12.219	O15204
HGNC:217	ADAMTS1	"C3-C5, METH1, KIAA1346"	Q9UHI8
HGNC:218	ADAMTS2	"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI"	O95450
HGNC:219	ADAMTS3	"KIAA0366, ADAMTS-4"	O15072
HGNC:220	ADAMTS4	"KIAA0688, ADAMTS-2, ADMP-1"	O75173
HGNC:221	ADAMTS5	"ADMP-2, ADAMTS11"	Q9UNA0
HGNC:222	ADAMTS6	ADAM-TS6	Q9UKP5
HGNC:223	ADAMTS7	"ADAM-TS7, DKFZp434H204"	Q9UKP4
HGNC:49407	ADAMTS7P1		
HGNC:49408	ADAMTS7P2~withdrawn		
HGNC:49409	ADAMTS7P3		
HGNC:49410	ADAMTS7P4		
HGNC:224	ADAMTS8	"METH2, FLJ41712, ADAM-TS8"	Q9UP79
HGNC:13202	ADAMTS9	KIAA1312	Q9P2N4
HGNC:40625	ADAMTS9-AS1		
HGNC:42435	ADAMTS9-AS2		
HGNC:13201	ADAMTS10	ADAM-TS10	Q9H324
HGNC:14605	ADAMTS12		P58397
HGNC:1366	ADAMTS13	"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322"	Q76LX8
HGNC:14899	ADAMTS14		Q8WXS8
HGNC:16305	ADAMTS15		Q8TE58
HGNC:17108	ADAMTS16	ADAMTS16s	Q8TE57
HGNC:17109	ADAMTS17	"FLJ32769, FLJ16363"	Q8TE56
HGNC:17110	ADAMTS18		Q8TE60
HGNC:17111	ADAMTS19		Q8TE59
HGNC:40797	ADAMTS19-AS1	RP11-346A9.1	
HGNC:17178	ADAMTS20	GON-1	P59510
HGNC:16662	ADAMTS21~withdrawn		
HGNC:14632	ADAMTSL1	"ADAMTSR1, FLJ35283"	Q8N6G6
HGNC:14631	ADAMTSL2	KIAA0605	Q86TH1
HGNC:14633	ADAMTSL3	"KIAA1233, punctin-2"	P82987
HGNC:19706	ADAMTSL4	DKFZP434K1772	Q6UY14
HGNC:32041	ADAMTSL4-AS1	FLJ45786	Q5T5F5
HGNC:27912	ADAMTSL5		Q6ZMM2
HGNC:16486	ADAP1	GCS1L	O75689
HGNC:16487	ADAP2		Q9NPF8
HGNC:225	ADAR	ADAR1	P55265
HGNC:226	ADARB1	"ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d"	P78563
HGNC:227	ADARB2	"RED2, hRED2, ADAR3"	Q9NS39
HGNC:23299	ADARB2-AS1	bA466B20.1	A8MUL3
HGNC:228	ADAT1		Q9BUB4
HGNC:21172	ADAT2	"dJ20N2.1, TAD2"	Q7Z6V5
HGNC:25151	ADAT3	TAD3	Q96EY9
HGNC:19038	ADCK1	FLJ39600	Q86TW2
HGNC:19039	ADCK2	MGC20727	Q7Z695
HGNC:21738	ADCK5	FLJ35454	Q3MIX3
HGNC:229	ADCP1		
HGNC:230	ADCP2~withdrawn		
HGNC:231	ADCR~withdrawn		
HGNC:232	ADCY1	AC1	Q08828
HGNC:233	ADCY2	"HBAC2, KIAA1060, AC2"	Q08462
HGNC:234	ADCY3	AC3	O60266
HGNC:235	ADCY4	AC4	Q8NFM4
HGNC:236	ADCY5	AC5	O95622
HGNC:237	ADCY6	AC6	O43306
HGNC:238	ADCY7	"KIAA0037, AC7"	P51828
HGNC:239	ADCY8	"HBAC1, AC8"	P40145
HGNC:240	ADCY9	AC9	O60503
HGNC:21285	ADCY10	"SAC, Sacy, SACI, HCA2, RP1-313L4.2"	Q96PN6
HGNC:44143	ADCY10P1		
HGNC:241	ADCYAP1	PACAP	P18509
HGNC:242	ADCYAP1R1	"PAC1, PACAPR, PAC1R"	P41586
HGNC:243	ADD1		P35611
HGNC:244	ADD2	ADDB	P35612
HGNC:245	ADD3		Q9UEY8
HGNC:48682	ADD3-AS1		
HGNC:246	ADDL~withdrawn		
HGNC:247	ADFN		
HGNC:21212	ADGB	"FLJ23121, dJ408K24.1, CAPN16"	Q8N7X0
HGNC:13838	ADGRA1	KIAA1828	Q86SQ6
HGNC:49543	ADGRA1-AS1		
HGNC:17849	ADGRA2	"TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390"	Q96PE1
HGNC:13839	ADGRA3	"FLJ38547, PGR21"	Q8IWK6
HGNC:943	ADGRB1		O14514
HGNC:944	ADGRB2		O60241
HGNC:945	ADGRB3	KIAA0550	O60242
HGNC:19893	ADGRD1	"DKFZp434B1272, PGR25"	Q6QNK2
