Genename,VCPonly
PPP2R5E,true
GSS,true
RNF150,true
KRT34,true
ZNF566,true
EDC3,true
KIAA1524,true
MICALL2,true
KNDC1,true
RIMS2,true
FOSL1,true
XDH,true
SDK1,true
RIN3,true
ADIPOR1,true
ZCCHC11,true
DNAJB12,true
MZT2B,true
OPA1,true
TXN,true
SMTN,true
SRP9,true
EFNB1,true
TONSL,true
GPX2,true
BRD3,true
USP37,true
METTL13,true
RACGAP1,true
TAF6L,true
UBL7,true
CDCA7L,true
GSK3A,true
MNT,true
HIST1H2BL,true
RIOX1,true
RPP30,true
RNGTT,true
DIMT1,true
MRPS34,true
TNNI1,true
SMC2,true
MRPS22,true
PSMA5,true
BCR,true
PSMA4,true
PSMC3,true
DNAJA2,true
CCT2,true
MYO9B,true
CCT6A,true
AKAP8,true
CYR61,true
SLC25A12,true
NUP153,true
IPO9,true
MYO9A,true
P4HA1,true
CD6,true
IDH3G,true
CEPT1,true
ETFA,true
ILVBL,true
DARS2,true
RNF141,true
NKX3-2,true
UBE2S,true
SELL,true
TOP2B,true
GLUD1,true
KRT83,true
LOC51035,true
PTPRE,true
BUD31,true
COPB1,true
SS18L1,true
ZC3HAV1L,true
GFM1,true
SRCAP,true
IGF1R,true
DKC1,true
HLA-DRA,true
HLA-DRB5,true
DNASE2,true
E2F7,true
CCDC87,true
NTPCR,true
DPCD,true
YEATS4,true
TTI2,true
H2AFZ,true
ACTR5,true
INO80B,true
INO80D,true
ING3,true
HLA-DRB1,true
CD59,true
ARMCX5,true
SRM,true
PSME1,true
ZNF324B,true
ABCG1,true
ADAT1,true
RHOQ,true
IDH3A,true
ALK,true
FYTTD1,true
DTX3,true
OGFR,true
PJA1,true
TAF3,true
HNRNPH3,true
HLA-DRB3,true
HLA-DRB4,true
TCP1,true
WFS1,true
ZNF251,true
ERRFI1,true
PELI2,true
CBX7,true
B3GNT5,true
EPHX2,true
EPS15L1,true
THG1L,true
HIST1H1B,true
EIF5,true
TAF8,true
CREB3L3,true
FLJ13057,true
HMG20A,true
SERTAD3,true
NMNAT1,true
SGK1,true
SLC2A2,true
ARL4A,true
PMS1,true
PRPF31,true
PLRG1,true
RPL14,true
SMARCD1,true
ATIC,true
FRS2,true
LMCD1,true
BLVRB,true
KCTD15,true
PIK3AP1,true
ITFG1,true
DNAJB4,true
SCPEP1,true
TNNI2,true
RPL10,true
SCAI,true
CNBP,true
LSM1,true
PINX1,true
ATG10,true
MAP1B,true
AP4S1,true
RPL26,true
RYDEN,true
DDX56,true
EPC1,true
SLIT2,true
ARFIP2,true
SYCE1,true
TRIM69,true
AK8,true
CAGE1,true
LURAP1,true
PPM1A,true
CHMP3,true
TRIM46,true
RNF144A,true
OAZ1,true
ZCCHC12,true
ZNF227,true
MRPL39,true
ERP44,true
CHAMP1,true
VPS33B,true
ZNF829,true
FHOD1,true
POMP,true
CTPS1,true
NDUFAB1,true
TAP2,true
ARHGAP12,true
OLA1,true
DPPA4,true
SCAF4,true
DSN1,true
S100A10,true
GLA,true
ZC3H12A,true
RASSF2,true
CDYL,true
KDM5B,true
NLRX1,true
SEC31B,true
SCO2,true
RCOR3,true
XYLT1,true
IGF2BP3,true
RBMS2,true
ETV3,true
CKAP4,true
SH3BP4,true
TFAM,true
ACTC1,true
CTNND1,true
LGALS1,true
LONP1,true
NEK11,true
TTC5,true
EXOC4,true
RBP4,true
TAF5,true
SUPT3H,true
BRD8,true
UBE3C,true
HBP1,true
POLR2B,true
HELLS,true
GTF3C2,true
ERCC3,true
DPM1,true
GSG2,true
MAPKAP1,true
IQGAP2,true
IPO7,true
COPG2,true
NDUFA8,true
IDH3B,true
NDUFA5,true
AASS,true
ALDH18A1,true
PLOD3,true
FBXW8,true
TTC27,true
TRMT1L,true
HIGD1A,true
ZNF121,true
CDR2,true
TRPC4AP,true
FBXO8,true
GCHFR,true
AMBP,true
EMC7,true
DDA1,true
HMGN4,true
ITPKB,true
PGM3,true
IL27RA,true
FXYD3,true
RYR2,true
POGZ,true
SKI,true
DYDC1,true
ATG7,true
ORC2L,true
BBS9,true
ORC1,true
BBS7,true
AR,true
EP400,true
HJURP,true
IFNAR1,true
ZC3HAV1,true
HAUS4,true
BBS12,true
ORC3,true
NCBP2,true
HAUS6,true
BBS5,true
DROSHA,true
TAF12,true
TRIP12,true
PNRC2,true
SH2B,true
SYT11,true
DTX1,true
PRKACB,true
ADAM12,true
SHKBP1,true
PIK3C2B,true
VPS8,true
PTPN1,true
RHOU,true
LAT2,true
SHC3,true
IL21R,true
IFNGR1,true
IL4R,true
IL3RA,true
CCR1,true
FBXO30,true
ATL1-gamma,true
ZNF423,true
SH2D1A,true
CD72,true
DAG1,true
NGFR,true
REPS2,true
IL10RA,true
IL5RA,true
MDK,true
IFNAR2,true
TSHR,true
PTPN2,true
JAKMIP1,true
UNKL,true
CLCN5,true
MCM10,true
PNRC1,true
MIS12,true
MERTK,true
PDE6G,true
CHRM4,true
