"Gene.symbol","Cell.type","SUID","name","selected","DEG","ALSOD"
"LRCH2","Neurons",38196,"LRCH2","false",FALSE,FALSE
"LYN","Microglia",37747,"LYN","false",TRUE,FALSE
"MBP","Oligodendrocytes",37755,"MBP","false",FALSE,FALSE
"MCL1","Endothelial",38864,"MCL1","false",FALSE,FALSE
"MECOM","Endothelial",42995,"MECOM","false",FALSE,FALSE
"MRPS23","Neurons",40963,"MRPS23","false",FALSE,FALSE
"MTUS2","Neurons",40331,"MTUS2","false",FALSE,FALSE
"MYBPC1","Astrocytes",45547,"MYBPC1","false",FALSE,FALSE
"MYL6B","Neurons",40742,"MYL6B","false",FALSE,FALSE
"NACC2","Astrocytes",41598,"NACC2","false",FALSE,FALSE
"NAPB","Neurons",43501,"NAPB","false",FALSE,FALSE
"NECAB2","Neurons",38513,"NECAB2","false",FALSE,FALSE
"NEDD4L","Neurons",37753,"NEDD4L","false",FALSE,FALSE
"NFKBIA","Endothelial",41653,"NFKBIA","false",FALSE,FALSE
"NOTCH2","Astrocytes",39690,"NOTCH2","false",FALSE,FALSE
"NPTX1","Neurons",42285,"NPTX1","false",FALSE,FALSE
"NR4A1","Endothelial",39177,"NR4A1","false",FALSE,FALSE
"NREP","Neurons",45483,"NREP","false",FALSE,FALSE
"NTN4","Neurons",41487,"NTN4","false",FALSE,FALSE
"OXCT1","Neurons",40503,"OXCT1","false",FALSE,FALSE
"PAFAH1B3","Neurons",44051,"PAFAH1B3","false",FALSE,FALSE
"PAK1","Neurons",42182,"PAK1","false",FALSE,FALSE
"PALLD","Astrocytes",45387,"PALLD","false",TRUE,FALSE
"PAM","Neurons",43565,"PAM","false",FALSE,FALSE
"PDLIM3","Astrocytes",45396,"PDLIM3","false",FALSE,FALSE
"PHYHIP","Neurons",44860,"PHYHIP","false",FALSE,FALSE
"PIN1","Neurons",40439,"PIN1","false",FALSE,FALSE
"PLCB1","Neurons",37843,"PLCB1","false",TRUE,FALSE
"PLK2","Neurons",40170,"PLK2","false",FALSE,FALSE
"PRKAA2","Neurons",41855,"PRKAA2","false",FALSE,FALSE
"PRKAR2A","Neurons",42020,"PRKAR2A","false",FALSE,FALSE
"PRKCE","Neurons",43032,"PRKCE","false",FALSE,FALSE
"PTPN4","Neurons",44948,"PTPN4","false",FALSE,FALSE
"PTPN5","Neurons",40725,"PTPN5","false",FALSE,FALSE
"RAB24","Neurons",39765,"RAB24","false",FALSE,FALSE
"RAB3A","Neurons",44648,"RAB3A","false",FALSE,FALSE
"RAB3B","Neurons",40485,"RAB3B","false",FALSE,FALSE
"RGS12","Neurons",42309,"RGS12","false",FALSE,FALSE
"RIMBP2","Neurons",41812,"RIMBP2","false",FALSE,FALSE
"RIMS1","Neurons",41710,"RIMS1","false",FALSE,FALSE
"ROBO2","Neurons",44494,"ROBO2","false",FALSE,FALSE
"RPH3A","Neurons",44852,"RPH3A","false",TRUE,FALSE
"RPS6KA6","Neurons",44152,"RPS6KA6","false",FALSE,FALSE
"SERPINB9","Microglia",45190,"SERPINB9","false",FALSE,FALSE
"SERTAD1","Endothelial",38811,"SERTAD1","false",FALSE,FALSE
"SGCD","Astrocytes",44625,"SGCD","false",FALSE,FALSE
"SH3GL2","Neurons",37810,"SH3GL2","false",FALSE,FALSE
"SLC1A5","Microglia",45038,"SLC1A5","false",FALSE,FALSE
"SMARCD3","Neurons",45692,"SMARCD3","false",FALSE,FALSE
"SNAP25","Neurons",41354,"SNAP25","false",FALSE,FALSE
"SOCS6","Microglia",40937,"SOCS6","false",FALSE,FALSE
"SOX2","Astrocytes",38290,"SOX2","false",FALSE,FALSE
"SOX9","Astrocytes",38722,"SOX9","false",FALSE,FALSE
"SPAG1","Neurons",38426,"SPAG1","false",FALSE,FALSE
"SSBP3","Neurons",42148,"SSBP3","false",TRUE,FALSE
"STMN2","Neurons",44941,"STMN2","false",FALSE,FALSE
"STX1A","Neurons",41356,"STX1A","false",FALSE,FALSE
"TAC3","Neurons",42849,"TAC3","false",FALSE,FALSE
"TAL1","Microglia",42147,"TAL1","false",FALSE,FALSE
"TCEAL2","Neurons",41768,"TCEAL2","false",FALSE,FALSE
"TCEAL5","Neurons",44198,"TCEAL5","false",FALSE,FALSE
"TGM2","Endothelial",42294,"TGM2","false",FALSE,FALSE
"TMEM165","Oligodendrocytes",38473,"TMEM165","false",TRUE,FALSE
"TP53BP2","Astrocytes",42515,"TP53BP2","false",FALSE,FALSE
"TRAPPC2L","Neurons",38738,"TRAPPC2L","false",FALSE,FALSE
"TRIM24","Neurons",40075,"TRIM24","false",FALSE,FALSE
"TRIM3","Neurons",39278,"TRIM3","false",FALSE,FALSE
"TRIM32","Neurons",43765,"TRIM32","false",FALSE,FALSE
"TRPC4","Neurons",42781,"TRPC4","false",FALSE,FALSE
"TWIST1","Endothelial",37889,"TWIST1","false",TRUE,FALSE
"UBASH3B","Neurons",45436,"UBASH3B","false",FALSE,FALSE
"UCHL1","Neurons",38015,"UCHL1","false",TRUE,FALSE
"UTRN","Endothelial",38741,"UTRN","false",FALSE,FALSE
"VCAM1","Endothelial",37987,"VCAM1","false",FALSE,FALSE
"WASF1","Neurons",37773,"WASF1","false",TRUE,FALSE
"XIRP1","Microglia",40932,"XIRP1","false",FALSE,FALSE
"-",NA,39264,"-","false",FALSE,FALSE
