SrNo	V1	V2
258	P52803	Q6UWM0
259	A0A024R5U5	Q5HYK7
260	P62136	Q5TID7
261	P62136	Q12972
262	P62136	Q13625
263	P21675	Q9Y294
264	A0A024R7I3	Q96QF0
265	P05412	Q10586
266	Q13948	Q8TBA6
267	O75112	P35609
268	Q9BST9	Q9BZR6
269	P18848	P49716
270	P17544	P18848
271	P17676	P18848
272	P18848	Q16534
273	O95870	P00403
274	P58340	Q9UNS2
275	A0A024RAE4	O15068
276	A0A024QZQ1	B2R4R0
277	A0A024R328	D9IAI1
278	Q02078	Q9UKV0
279	Q15797	Q9BZL6
280	P45983	Q04864
281	P05412	P45983
282	P12004	Q92841
283	O00623	P50542
284	P02545	P02545
285	P02545	P20700
286	Q5U623	Q9UIS9
287	A0A024QZW3	A0A024R3D7
288	A0A024R3D7	P30101
289	A0A024R4C3	E9KL35
290	A0A024R3Z8	Q14790
291	P05412	P45984
292	A0A024R4C3	O15350
293	A0A024RD37	X5D2Q8
294	P49763	X5D2Q8
295	A0A024R6A3	Q13190
296	P17544	P25490
297	A0A024RD47	Q06455
298	A0A024RBV9	A0A024RD47
299	P02545	P02545
300	Q14203	Q15436
301	P17098	Q14203
302	B0LPF3	Q658W2
303	P29353	Q92835
304	P05106	P29353
305	A0A024R720	Q08499
306	P07949	P29353
307	A2I2P5	P49418
308	P27540	Q9UBP5
309	A0A024R7T2	P29353
310	P09619	P29353
311	A0A024RDA0	P07948
312	A0A087WXL6	O43752
313	O14776	Q1W6G4
314	O43464	P05067
315	Q04637	Q9BUB5
316	A0A024R3D7	Q92542
317	O95551	P14921
318	A0A024R3D7	A0A024R466
319	A0A024QZQ2	A0A024R3D7
320	A0A024R3D7	A3KLL5
321	P63092	Q99614
322	B0LPF3	P29353
323	A0A024RCW6	Q8WUI4
324	A0A024R878	P17813
325	P29353	P32927
326	A0A024RAY1	Q10567
327	P02545	P02545
328	P02675	P02679
329	A0A024QZG3	Q9NR55
330	P09619	P54762
331	P42166	P49023
332	A0A024R1J8	O14964
333	D0VY79	Q9HBZ2
334	D0VY79	P27540
335	P38398	Q15796
336	B2RDW1	P25686
337	A0A024R1C4	Q15796
338	B2RDW1	Q15796
339	B2RDW1	P54578
340	A0A024RB77	Q15796
341	Q15796	Q969K4
342	Q15796	Q8NF50
343	Q15796	Q6ZW49
344	B2RDW1	P15374
345	Q15796	Q96S59
346	P09012	P18206
347	A0A024R3E4	A8K3E0
348	Q8TEY5	Q96BA8
349	O95248	Q13614
350	Q05513	Q13501
351	P27540	Q16665
352	P27540	Q16665
353	N0E4C7	P07948
354	P05067	Q13564
355	A0A024RCR3	Q9UQB8
356	P29353	Q13094
357	A0A024R597	Q9P2H0
358	P18847	P53567
359	P15336	P18847
360	P17544	P18847
361	A0A024R9C1	P18206
362	G4XXL9	P18206
363	P18206	P62308
364	A3RJH1	P18206
365	A0A024R5K8	P18206
366	A0A024RBH2	P18206
367	P18206	P20618
368	P18206	Q13277
369	P18206	P35637
370	P05067	Q7Z5F4
371	P18206	Q07666
372	P18206	Q8N5D0
373	P18206	P30101
374	P09382	P18206
375	P18206	Q9Y3I0
376	P18206	P62847
377	A0A024R1N1	P18206
378	P18206	Q99584
379	P18206	P31943
380	P18206	Q96AG4
381	P00338	P18206
382	P21796	Q07812
383	P18206	Q96PB7
384	P18206	Q14781
385	P18206	P68032
386	P06576	P18206
387	P18206	P30533
388	P18206	Q549M8
389	I4AY87	P18206
390	P18206	P61769
391	B0LPF3	P29353
392	P18206	P68104
393	A0A024R5Z7	P18206
394	P05067	P17538
395	Q07812	Q9BXH1
396	P18206	P60660
397	E9KL35	P18206
398	P04278	Q8TEP8
399	P15407	P17544
400	O43508	Q8N302
401	P27540	Q9Y5J3
402	A0A024R732	Q15303
403	P00533	P19174
404	P09619	P19174
405	A0A024R7T2	P19174
406	A0A024QZD6	P19174
407	P07949	P19174
408	A0A024R8F1	O95999
409	A0A024RDA0	P19174
410	A0A024R178	A0A024R454
411	A0A024RAP4	Q9UBZ9
412	A0A024R328	P40189
413	A0A024RDA0	P27986
414	O43464	P98170
415	A0A024RDA0	P07948
416	B3KUN1	P30154
417	A0A024RDF3	Q07021
418	A0A024RDF3	Q15424
419	Q8TEY5	Q9NR55
420	B2R4R0	Q09028
421	O75533	Q01081
422	Q07817	Q16611
423	P32121	Q08499
424	P14866	P26599
425	A0A090N7X8	P78352
426	A7E2E1	B2R4P9
427	A7E2E1	P15036
428	P22392	Q12802
429	A0A024R261	P49023
430	P49023	P67809
431	O14974	Q14005
432	P26718	Q29983
433	O75832	Q1RN33
434	P05412	P45984
435	A0A024RDI7	Q04724
436	P15408	P17544
437	P15408	P53567
438	P19957	Q9UNI1
439	Q05586	Q12879
440	P53567	Q8TEY5
441	P46100	Q96KM6
442	B2R6Q4	P30530
443	Q14005	Q9BZL4
444	A0A024RAE4	Q15811
445	O15350	O15350
446	A0A024R5T1	Q06455
447	A0A024RDR0	O15350
448	B0YIY4	P07766
449	A0A024RCM1	O15457
450	A8K5I0	K7PPA8
451	P04628	P34925
452	Q07817	Q96LC9
453	P18206	Q13283
454	P27986	P61978
455	P06241	P61978
456	A3RJH1	P61978
457	O00165	P01583
458	Q8NFH8	Q99962
459	A0A024QZA8	P52798
460	Q15797	Q9BRB3
461	Q15797	Q9UIS9
462	P38398	Q13547
463	P25963	Q9NYS0
464	P51812	Q9UBP6
465	P52292	Q9P2H0
466	A0A024R7Y9	P63167
467	A0A024R4X6	Q16548
468	A0A024R4X6	Q07817
469	O95257	Q9P2H0
470	P16333	P21917
471	Q10587	Q9NR55
472	Q10587	Q16520
473	P53567	Q10587
474	P35638	Q10587
475	A0A024R5Z3	Q14511
476	A0A024R7J0	P30419
477	A0A024R9C2	Q15759
478	P52797	Q6UWM0
479	O60508	P42566
480	A0A024R5Z3	Q14213
481	A0A024QZQ1	Q16695
482	A0A024R1E5	Q99962
483	A0A024R6R3	P33993
484	A0A024R6R3	Q9UBD5
485	A0A024RD16	Q14192
486	P48061	P61073
487	B4DJ51	P34998
488	P81172	Q9NP59
489	P24385	Q99612
490	P30519	Q12791
491	P43403	P46109
492	A4D0P7	Q9UBD5
493	P49716	Q16520
494	P35638	P49716
495	P04278	Q9H939
496	A0A024R328	E9KL35
497	P01100	P17544
498	Q10586	Q10587
499	O43236	Q99719
500	Q96KM6	Q9UIS9
501	P19438	Q9BXW9
502	P19438	Q9NS23
503	P49005	Q9BY77
504	A0A024R2F2	Q8TEY7
505	P51693	Q9P2H0
506	A0A024R2U4	P78527
507	Q09028	Q71DI3
508	P51693	Q8WYH8
509	O43889	Q9NR55
510	A0A024R804	O43889
511	P10909	Q96AJ1
512	O43439	Q06455
513	Q15797	Q9P2P5
514	Q15797	Q9NZX4
515	P29350	Q03135
516	A0A024R8H5	Q9NQC7
517	A0A024R8H5	P28908
518	A0A024R3Z2	P25445
519	P26358	Q9UBC3
520	P19838	Q9Y230
521	P49023	P52272
522	P18206	Q08380
523	O75381	P50542
524	P18848	Q14494
525	P61978	Q08881
526	P04278	Q10567
527	A0A024R9K4	P04278
528	A0A024R069	Q9UBK9
529	P14209	P62937
530	P62937	Q08209
531	H9ZYJ2	P42574
532	P17676	Q10586
533	A0A0A0MSC5	P01215
534	Q14908	Q969Q1
535	P63279	Q9UBC3
536	D4HNR6	P31785
537	A0A024R1Q0	Q969H0
538	P11362	Q12982
539	P62136	Q03135
540	A0A024R2Q3	Q12778
541	A0A024RBV9	B2R4R0
542	A0A024R968	P78352
543	A0A024QZD5	O75494
544	A0A024R8X1	P05412
545	P63167	Q9UBX3
