"SUID","DEGPPI","name","selected","shared name"
"85976","true","MCM5","false","MCM5"
"84183","true","PIN1","false","PIN1"
"83159","true","ANXA5","false","ANXA5"
"82903","true","ENO2","false","ENO2"
"83164","true","AKT1","false","AKT1"
"84955","true","SOS2","false","SOS2"
"84960","true","TGM2","false","TGM2"
"82655","true","ZFC3H1","false","ZFC3H1"
"82911","true","KAT6A","false","KAT6A"
"82658","true","LIMA1","false","LIMA1"
"83426","true","HNMT","false","HNMT"
"82916","true","PRKACA","false","PRKACA"
"85480","true","KTN1","false","KTN1"
"82663","true","BCLAF1","false","BCLAF1"
