GeneSymbol,GeneSymbol.1,INT
SUZ12,SAMM50,PPI
HSPA4L,TCEAL1,PPI
FBL,EEF1A1,PPI
UCHL1,PMAIP1,PPI
LRCH2,CRLF3,PPI
SASH1,UBC,PPI
RELA,TWIST1,PPI
UBC,LAPTM5,PPI
DHX29,PAPOLG,PPI
HNRNPA1,CPSF6,PPI
SUMO3,SMC5,PPI
KIAA2010,PPP4R2,PPI
NUCB1,REL,PPI
TUBG1,EEF1A1,PPI
HCLS1,TERF1,PPI
RAB7A,EEF1A1,PPI
OAT,ATF2,PPI
UBD,EIF3E,PPI
SAFB,TMOD2,PPI
NAP1L4,EIF3E,PPI
PLOD2,OS9,PPI
ENO1,FLNC,PPI
EIF3E,IGSF8,PPI
FLNC,IGSF8,PPI
PHYH,FKBP4,PPI
FLNC,SYNPO2,PPI
SIAH2,SETD2,PPI
PLOD2,XPO7,PPI
PLOD2,SF1,PPI
EIF3E,RPS18,PPI
PLOD2,USP15,PPI
PLOD2,SEC23A,PPI
CAMKK2,FLNC,PPI
KCND2,FLNC,PPI
STAU1,EIF3E,PPI
FLNC,RASSF5,PPI
PLSCR1,SLPI,PPI
EIF3L,EIF3E,PPI
EIF3E,NCOA3,PPI
EIF3E,FBXW7,PPI
SRF,REL,PPI
MAP3K11,EPS8,PPI
CNOT1,SIRT7,PPI
RFXAP,EPS8,PPI
U2SURP,SIRT7,PPI
SRSF10,MAGOH,PPI
MAGOH,EEF1A1,PPI
ANXA1,SIRT7,PPI
SCAF11,SIRT7,PPI
STAG2,SIRT7,PPI
ADNP,SIRT7,PPI
DIDO1,SIRT7,PPI
GDI1,SIRT7,PPI
OAT,SIRT7,PPI
ZCCHC8,SIRT7,PPI
SURF1,SAMM50,PPI
SOX2,EPS8,PPI
SOX2,SPEN,PPI
XRCC6,PLOD2,PPI
VCP,STAG2,PPI
CHMP6,METTL9,PPI
EFEMP1,ATN1,PPI
ATN1,KAT6A,PPI
SRSF10,TRA2A,PPI
SLC26A2,MGAT4B,PPI
PRKACA,WASF1,PPI
UBC,SLC26A2,PPI
PCNA,CBX1,PPI
SIRT1,PCNA,PPI
PCNA,DCLRE1A,PPI
PCNA,UBE2A,PPI
PCNA,CUL4B,PPI
PCNA,PPP1CC,PPI
PCNA,TFAP4,PPI
CUL3,PCNA,PPI
PCNA,CUL5,PPI
CUL1,PCNA,PPI
PCNA,SLX4,PPI
FOXO3,PCNA,PPI
PCNA,UBE2D3,PPI
POLA1,PCNA,PPI
PCNA,SNU13,PPI
PCNA,CHAF1B,PPI
PCNA,HSP90B1,PPI
RECQL5,PCNA,PPI
PCNA,MLH1,PPI
KIN,PCNA,PPI
PCNA,FBXO6,PPI
PCNA,GNPDA1,PPI
HEXA,PCNA,PPI
PCNA,PLAA,PPI
SGTA,PCNA,PPI
PCNA,USP5,PPI
PCNA,WARS,PPI
PCNA,XPNPEP1,PPI
PCNA,ASB8,PPI
PCNA,PARP10,PPI
PCNA,ZBTB1,PPI
PCNA,MAGED1,PPI
ISG15,PCNA,PPI
PCNA,TRIM25,PPI
PCNA,USP18,PPI
MCM7,PCNA,PPI
PCNA,TDG,PPI
SIVA1,PCNA,PPI
PCNA,FUS,PPI
PCNA,SUMO3,PPI
USP2,PCNA,PPI
PCNA,CCND3,PPI
PCNA,POLL,PPI
RFC3,PCNA,PPI
PCNA,RFC5,PPI
PCNA,OTUB1,PPI
PCNA,PCLAF,PPI
PCNA,CLSPN,PPI
AIRE,PCNA,PPI
EGFR,PCNA,PPI
MBD1,PCNA,PPI
PCNA,FAN1,PPI
PCNA,ATAD5,PPI
PCNA,FANCD2,PPI
PCNA,POLN,PPI
PCNA,L3MBTL1,PPI
PCNA,KAT5,PPI
PCNA,CDKN2A,PPI
PCNA,SPAG1,PPI
PFKM,PCNA,PPI
PCNA,TPI1,PPI
POLK,PCNA,PPI
PCNA,CDC25C,PPI
RPA3,PCNA,PPI
CDK4,PCNA,PPI
PCNA,UBE2B,PPI
PCNA,ABL1,PPI
RAD21,PCNA,PPI
PCNA,SMARCAD1,PPI
E2F3,PCNA,PPI
UBC,PCNA,PPI
PCNA,KDM5C,PPI
C8orf36,STAG2,PPI
C8orf36,SMC5,PPI
RPS24,PNISR,PPI
TRMT10C,CEP57,PPI
ZBTB5,PPARG,PPI
PTPN11,CBLB,PPI
GRB2,MAP4K5,PPI
HCK,MAP4K5,PPI
EPS8,MDC1,PPI
MDC1,CPSF6,PPI
CUL3,TMEM165,PPI
CUL3,SMNDC1,PPI
CUL3,ZCCHC8,PPI
CDK2,ANXA1,PPI
NCL,KCTD12,PPI
NCL,PLOD2,PPI
MED4,MED14,PPI
MED14,FBXW7,PPI
MED14,EPAS1,PPI
MED14,PPARG,PPI
MED19,MED14,PPI
MED14,MYC,PPI
SURB7,MED14,PPI
MED14,BRD4,PPI
HNRNPA1,RBM12,PPI
PARP1,MED14,PPI
MED14,MED12,PPI
MED14,MED18,PPI
MED14,STN1,PPI
MED14,VDR,PPI
MED14,MED17,PPI
MED14,ACTN2,PPI
MED14,NECAB2,PPI
MED14,MED10,PPI
MED14,UBC,PPI
PSMD1,RBM12,PPI
GRB2,EPS8,PPI
SMNDC1,SF3B5,PPI
