"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_155_Cytoplasm","Control_159_Cytoplasm","Control_170_Cytoplasm","Control_2303_Cytoplasm","Control_155_Whole_Transcriptome","Control_159_Whole_Transcriptome","Control_170_Whole_Transcriptome","Control_2303_Whole_Transcriptome","hgnc_symbol"
"ENSG00000139211",505.915717015701,5.6757094552048,0.413895427456741,13.7129068810455,8.49836326490838e-43,1.13572126672236e-38,27.7937203547359,92.6598040899557,132.237950757088,2111.61559792159,41.0280923030181,158.891382670006,125.221532198445,1357.87765583077,"AMIGO2"
"ENSG00000162591",729.651160448968,4.19847502151855,0.31104980888809,13.4977579202727,1.61207794154223e-41,1.07719048053852e-37,53.734526019156,180.37775196178,228.411005853152,1193.78268177954,184.170547671326,630.676565059409,497.715963421669,2868.34024182572,"MEGF6"
"ENSG00000165617",626.45781754608,3.70993269719816,0.325588919942412,11.394529942402,4.45226349362436e-30,1.98333497762653e-26,164.9094074381,470.711804776975,257.262922381971,1685.69313356809,96.6439507582204,361.783455925552,298.788086321607,1675.86977919813,"DACT1"
"ENSG00000249669",147.919719790738,3.96569327449433,0.355066827266651,11.168864478337,5.79165288749295e-29,1.9349912297114e-25,22.2349762837887,18.5319608179911,28.0504744030186,344.508713621948,41.0280923030181,37.8894835597707,43.5897738665474,647.52428346982,"CARMN"
"ENSG00000243137",212.06507415562,-7.2040383062988,0.673948953489317,-10.6892937054067,1.14237595089105e-26,3.05334244154161e-23,353.906705850304,205.087033052435,8.01442125800532,2.57096054941752,593.539735316995,512.119148759481,17.435909546619,3.8466789117019,"PSG4"
"ENSG00000221852",345.209753735134,-3.44327115898233,0.332635279413876,-10.3514911739055,4.12017870034637e-25,8.69484633438067e-22,464.155129924089,700.508118920065,268.483112143178,38.5644082412628,436.721249181015,622.120875223331,186.247215611612,44.8779206365221,"KRTAP1-5"
"ENSG00000162545",492.738534425794,-3.21418452319284,0.310792550854242,-10.3418969159922,4.55431939095067e-25,8.69484633438067e-22,789.341658074499,785.755138682824,1016.22861551507,89.1266323798074,462.249839947337,331.227420796705,419.254370461883,48.724599548224,"CAMK2N1"
"ENSG00000135480",671.670859645994,2.99644516985501,0.293841962816358,10.1974719374159,2.03500554601861e-24,3.39947676462409e-21,183.438554341257,179.142287907248,904.026717903,1286.33726155857,143.142455368308,176.002762342161,1179.30151842586,1321.97531932155,"KRT7"
"ENSG00000187800",200.044292945209,3.86306850581688,0.384817407977038,10.0387051774108,1.03017500049186e-23,1.52969541184147e-20,33.3524644256831,38.299385690515,19.2346110192128,695.873322042342,64.7332123003175,34.222759344309,32.4941950641535,682.144393675137,"PEAR1"
"ENSG00000133110",9272.29027256706,4.15510726094141,0.41615238905267,9.98458105791511,1.78051622383331e-23,2.37948188153083e-20,690.210722142608,368.168288250757,96.9744972218644,16495.2828850628,4056.31072569172,4030.95215419754,603.123962044411,47837.2989459248,"POSTN"
"ENSG00000253368",1034.44261736311,-2.59095761816223,0.264066700104292,-9.81175444362708,1.0021086479388e-22,1.21747090645946e-19,1244.23221454701,1365.18778025868,2315.36630143774,212.532738751848,838.796553750592,705.233290773796,1458.27607117177,135.915988213467,"TRNP1"
"ENSG00000117152",98.1192912028357,-4.07195917814739,0.422931074078694,-9.62794986634093,6.0933001093099e-22,6.78590522173479e-19,311.289667973042,69.1859870538336,38.4692220384255,16.282750146311,258.021113816758,45.222931990694,28.5314883490129,17.9511682546089,"RGS4"
"ENSG00000130635",14327.1612304227,2.70133433503727,0.307259520063273,8.79170264433464,1.47310229766494e-18,1.51434916199956e-15,2681.16755688685,4563.80421744395,4137.84569550815,18793.7216162421,7185.38656533524,17969.3931385725,16822.4825471152,42463.4885062773,"COL5A1"
"ENSG00000115129",527.810147741973,2.24271318678026,0.257418766692831,8.71231424030717,2.97732957210509e-18,2.84207374297232e-15,245.511196466834,245.857346852016,406.33115778087,1281.19534045973,269.873673815408,223.670177143162,388.345258083786,1161.69703133397,"TP53I3"
"ENSG00000137959",82.3852041422121,3.90639551627777,0.44919569715914,8.69642238557289,3.42511751601879e-18,3.051551365605e-15,15.7497748676837,46.9476340722442,77.7398862026516,208.247804502819,10.9408246141382,55.0008632319252,54.6853526689413,189.769492977294,"IFI44L"
"ENSG00000151632",149.63786464931,-3.33006993361543,0.396942373462138,-8.38930322447187,4.89031871529682e-17,4.08463870695167e-14,196.408957173467,113.662693017012,141.855256266694,23.1386449447577,285.373175352104,227.336901358624,186.247215611612,23.0800734702114,"AKR1C2"
"ENSG00000164530",109.754127719643,4.83486549687187,0.578286030728835,8.36068180789066,6.23568208395395e-17,4.90197972764474e-14,3.70582938063145,32.1220654178513,9.61730550960638,146.544751316799,19.1464430747418,227.336901358624,79.2541343028135,360.305591396078,"PI16"
"ENSG00000157168",147.127053810554,2.74346075950574,0.328733812285668,8.34553872152853,7.08899881191812e-17,5.26318778458187e-14,37.0582938063145,143.313830325798,41.6749905416277,253.668107542529,57.4393292242254,195.558624824623,71.3287208725321,376.974533346786,"NRG1"
"ENSG00000060718",429.138876822597,3.72773873476015,0.448877628240514,8.30457679384007,1.00175860283921e-16,7.04605366754903e-14,47.249324603051,2.47092810906548,16.0288425160106,872.412613102345,232.492523050436,2.44448281030779,121.258825483305,2138.75347490626,"COL11A1"
"ENSG00000175183",223.10700267419,2.79792034215076,0.337341847083579,8.29402093555728,1.09483172339703e-16,7.31566557573897e-14,80.601789028734,130.959189780471,141.855256266694,425.922464353503,73.8505661454326,136.891037377236,133.146945628727,661.628772812727,"CSRP2"
