,C9,sALS,FTLD,VCP,PET,RAV,corMean
COPS5 (interacts with) MAPRE2,1,1,0.80952380952381,1,0.883333333333333,0.614457831325301,0.884552495697074
COPS5 (interacts with) PCMT1,1,1,1,1,0.8,0.831325301204819,0.93855421686747
COPS5 (interacts with) VPS35,1,1,0.738095238095238,1,0.866666666666667,0.614457831325301,0.869869956014534
VDAC2 (interacts with) ATP6V1A,1,1,0.714285714285714,1,0.983333333333333,0.759036144578313,0.909442532032893
