"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","countP"
"FAM46A",0.590168789,6.465752121,2.180187983,0.038970262,0.196768027,-3.909660206,1.505422865,53.87845818,66.87716628,79.98191163,45.61376667,77.33905039,138.4114919,57.96667495,51.52767025,97.30725958,64.28319265,264.2333273,306.647095,132.3659511,134.2215497,132.6700158,89.68778463,50.51482379,75.33845098,68.97697671,78.37521205,110.9253906,68.52817272,69.1415763,106.1074366,22
"KLF6",0.462737936,6.868004481,2.169403136,0.039866761,0.199048721,-3.928785113,1.37815479,101.0412568,129.0106153,66.40405546,62.99227552,90.93876575,113.626184,96.83379534,114.8205687,99.62249642,70.19842616,281.7663821,256.189326,144.8749327,158.934473,123.4432561,158.8410665,80.34228912,128.1163239,153.1375218,78.27068035,140.8903965,90.43608679,114.1306697,162.5163173,7
"POGZ",0.288102695,9.198143602,2.161238232,0.040557779,0.200217944,-3.943222448,1.221033426,788.2310404,518.3891146,367.3938023,494.3406252,423.243873,519.1049122,613.8166595,488.0204899,487.7531375,494.4138027,633.3885787,788.1036887,889.7749928,611.997493,805.4246919,668.5239505,556.7373603,567.4738945,523.8450143,681.8763934,535.6708261,490.6099601,602.1262758,924.0135821,24
"RAB31",0.398713896,10.36577378,2.140242631,0.042384412,0.203404989,-3.980181436,1.318332147,1251.549189,910.2131794,1879.552127,931.0448333,1471.853767,634.2050357,1391.274993,812.8583261,1973.608326,1136.569474,1966.504159,1750.20027,2028.816659,1691.493024,1816.568888,1366.088863,943.1916595,1142.887884,1188.796618,1729.712493,1956.122051,867.3530489,1163.020303,1282.112839,24
"TBCB",-0.295701996,10.52336237,-2.135801857,0.042780098,0.204377491,-3.987967836,-1.227482109,1504.941659,1932.376148,1320.562191,1749.089584,1489.691659,1551.316659,1889.233326,2240.086179,1334.425104,1851.660577,982.9526147,922.760599,1376.649993,928.3766123,1415.55251,1780.191659,1954.982549,1394.74615,1319.663365,1308.024993,1488.629159,1987.233326,1480.008053,1092.399993,24
"TUG1",0.344487424,8.170101476,2.123956388,0.04385182,0.207084351,-4.008684602,1.26969979,292.471871,241.4164928,280.0000771,201.5794992,199.053785,260.3215642,262.0684849,244.986246,241.1691917,190.9612109,287.9973549,455.6227274,397.8290409,339.8522305,465.9844194,288.901511,171.6229576,401.8016849,375.4970247,301.6369225,271.6207922,218.8718455,352.3776938,445.6499928,24
"G3BP1",0.300826729,8.238889429,2.06408929,0.049644551,0.219053898,-4.112192649,1.231850116,340.1417786,255.8900441,245.5866521,217.7387697,327.1000185,266.9308743,256.0521614,219.2733125,309.2333719,266.7433546,509.1902359,407.0725776,303.5249928,474.1264111,344.5667393,393.9097298,381.3071232,288.8266114,307.1955285,317.1345346,235.488439,214.9297771,202.812794,397.9222855,24
"JMJD1C",0.432058205,8.077518443,1.970027184,0.060125485,0.238882721,-4.270672418,1.349156964,378.6486989,202.7895148,150.1727998,147.9446511,253.8882045,214.6576647,219.3572267,281.4639606,236.6916833,236.1149316,222.3921432,508.4485874,415.8519063,245.9013281,456.9082158,268.0818144,220.5730759,455.5838072,331.8872299,225.1006933,157.150547,190.2658073,403.4052974,553.9834625,24
"HMOX2",-0.235536491,7.267549342,-1.952334288,0.062301579,0.242680938,-4.299898246,-1.177344472,147.3072742,176.6760664,166.6473478,185.1600886,161.645097,184.4192718,184.3195885,171.9756675,172.2754142,180.9847193,97.95711936,128.4344875,157.4623698,152.5622342,109.92883,122.9550606,239.0400303,137.0877037,129.6603512,156.4300394,146.1770443,200.438959,145.7981798,116.8365369,16
"RBMS1",0.393961103,7.656479407,1.952122104,0.062328091,0.242741762,-4.300247597,1.3139962,177.1998976,166.6935538,111.4218219,183.14002,167.4885995,242.2562172,181.7403769,143.9760963,163.8588055,111.6032443,495.6206403,359.6017653,237.6425652,365.8621935,247.7851009,178.3662948,172.336379,302.6736497,195.161848,164.1622579,226.6202972,177.4295466,170.8403003,224.9566729,24
"GLG1",0.219916746,7.719115172,1.924646174,0.065845794,0.248997921,-4.345254676,1.164666375,177.8313121,197.0300132,157.2551316,198.1798562,163.0961941,157.4488801,206.1406216,298.1637557,258.5220185,192.6689834,174.1216032,258.207556,219.5698838,199.1455161,247.4314635,219.0829472,248.6622507,204.2968079,186.9820408,211.1188761,252.8158822,331.8473036,182.7439265,208.6010172,24
"C1orf61",-0.323717056,7.314167548,-1.920587358,0.0663799,0.249746837,-4.351864221,-1.251550978,206.1440075,177.6176059,258.9335087,117.9491935,291.7958262,117.9772578,160.7460178,220.008073,204.9538566,181.5676555,116.7811095,127.3517957,146.19804,196.8874924,141.9410924,137.6095829,147.1618393,89.53720173,140.5982947,215.9256089,204.7707705,129.1801414,112.440218,138.1524395,24
"CBR4",0.424913974,7.274832677,1.919739233,0.066491983,0.249914275,-4.353244067,1.342492449,269.5402373,105.4082157,86.306005,137.681233,131.0815075,76.50545808,162.0557236,125.3239867,109.9583219,121.244979,124.5253285,266.1157261,239.983342,127.6115644,243.6192511,144.9044185,121.9973497,222.0001484,200.909518,136.3025228,112.8495113,160.4387605,272.18465,301.5206015,24
"CYCS",-0.332971124,11.16497313,-1.914188446,0.067229634,0.251203382,-4.362263947,-1.259604768,2704.90549,3185.944696,1675.298924,2904.932188,2710.253005,3422.087551,2349.461765,2894.872556,1351.796367,2511.722456,1453.062816,1433.38592,1615.389297,1881.074415,2027.441659,2272.679577,2267.260465,3403.44485,3176.265328,2023.383387,1510.709261,2793.864628,3538.997473,2376.316659,24
"ARIH1",0.245008274,7.536586129,1.907693375,0.068101838,0.253019454,-4.372794194,1.185099567,140.742944,202.2462457,116.2322344,202.0019327,171.1894748,152.412684,172.9791968,189.2637829,148.8062918,170.8663491,207.874794,171.7100488,201.5133067,183.3753493,216.4416954,235.6457874,182.8697151,267.733327,302.9939571,130.0709905,188.1949477,189.7819901,243.5250049,171.8656792,24
"TARDBP",0.265734845,8.695270228,1.89426349,0.069936658,0.256659891,-4.394484961,1.202248266,476.0369481,557.7709369,257.3999839,339.4453245,311.8469338,400.4256132,329.5236145,341.8511103,330.4291938,318.310988,449.5426734,437.1360249,573.5150362,413.5952399,605.5813747,432.8840183,502.8517165,486.7320696,495.1341669,345.8456922,340.3043345,503.1565451,350.0366466,628.3893373,24
"RPS29",0.156702601,11.93329074,1.882877302,0.071525842,0.259804529,-4.412787191,1.114736402,3977.186966,4381.50419,3493.673822,3407.846657,3619.306183,2767.962391,4332.794572,3405.081122,4569.310401,4249.388698,4431.441659,4297.587493,4366.263127,4063.030588,3492.268695,4458.711372,4244.933218,3768.832151,3370.696928,4109.73936,4378.490953,4387.379159,3134.72298,3921.714971,24
"UBE2W",-0.498429118,7.230551022,-1.875297273,0.072601126,0.261546955,-4.424926503,-1.41267453,349.2625711,193.6115551,296.7903645,142.7623041,208.1612587,261.210059,84.12274539,124.6455136,103.7067715,136.5032327,156.0545576,120.8044275,127.5874612,129.6865246,79.20007064,88.3544182,57.62542787,246.3976129,342.4416595,219.8584506,144.1570721,138.9942691,133.6215636,119.9287792,24
"OSBPL3",-0.512954353,6.824867393,-1.866782014,0.073825801,0.263930652,-4.438520606,-1.426969355,146.5827142,224.4000789,44.85710716,127.7572038,127.3320174,345.5666595,125.1138169,175.1322161,38.52037619,123.6458539,83.60799582,108.3144262,59.12803174,86.15434819,156.046403,117.8888423,109.1644254,133.8203692,87.27219434,78.37521205,91.60946622,108.2483825,196.7257696,141.8436055,21
"CRYL1",0.350665623,8.803729206,1.848277549,0.076549059,0.268844929,-4.467904258,1.275148813,455.2716869,334.4036052,415.992426,506.3990369,543.8092556,144.9054973,594.3931674,289.5849933,598.3780813,508.1858069,559.3115576,343.8877528,483.60599,421.679744,514.6585311,713.9768027,412.4167289,443.9034681,371.7110545,487.4526149,732.0024407,539.2097522,409.3636768,393.6295405,24
"MYOF",0.777514775,7.342395355,1.84521932,0.077007405,0.269577538,-4.4727396,1.714175443,82.06693128,273.5272419,152.518716,67.68148201,148.767974,142.3306632,139.133064,39.78827534,115.3680731,89.76589557,889.9608319,682.5199331,307.8356533,307.2365426,342.0673253,196.8057228,99.51273273,214.2576858,138.2087222,132.621442,378.4341773,95.88769478,65.9170587,109.5103052,24
"MMRN2",0.272792169,7.111831437,1.837848058,0.078121923,0.27128558,-4.484369782,1.208143788,123.7576813,113.2625636,135.9930126,91.81140876,135.641326,116.2531307,156.9343274,112.8351108,198.1104206,87.81797291,140.3831422,193.6617062,208.5396504,159.9452511,102.8148067,164.0465889,117.3662769,140.14386,106.8345224,144.8228622,244.0135478,152.2406461,138.0049631,141.7169126,24
"KPNA6",-0.234790564,5.253121714,-1.802270557,0.08369906,0.281045191,-4.54001329,-1.176735898,31.34139637,45.75267686,30.77972367,50.42577301,28.9426258,59.10051904,42.50820354,65.86856871,41.25973202,37.0062534,32.13745646,28.30054966,34.46808175,28.86731302,39.80269366,33.58628904,38.50307865,40.65707009,31.61301544,40.13158742,32.73290139,39.69371372,47.59649802,37.05354296,19
"UBE2L3",-0.244889897,8.704744697,-1.783603693,0.086759833,0.286840269,-4.568880774,-1.185002331,554.5143904,445.4156675,350.6926892,612.217364,435.0366318,397.2639793,566.4252479,437.5471621,433.6498775,431.311824,373.1723731,379.7642646,323.3615343,359.2077878,337.8899024,422.7202002,557.9416595,399.2085078,278.1510532,491.9249534,409.9816474,610.9779967,238.8180111,425.6154168,24
"ANKRD40",0.166800387,6.574574401,1.778558579,0.087603358,0.288007675,-4.576643758,1.122566092,97.58318728,88.81145267,83.8705537,85.47812926,78.5368473,97.47179449,91.59968992,84.37251633,120.6841349,84.31009189,112.5390057,87.72767232,126.5453691,107.6358716,82.83350248,95.09797545,113.2488641,74.78816416,95.97610639,119.3375998,104.3487025,87.6669668,78.49653457,114.4384271,21
"RPS16",0.221982622,11.17223017,1.776610475,0.087930948,0.288560544,-4.579636867,1.166335321,2361.083381,2956.195572,2097.505042,1944.123213,1941.892437,1773.198589,2367.743018,1525.566659,2666.711273,2430.774993,3460.551816,2578.614601,2971.796252,2831.428724,2199.311211,2856.18459,2802.627131,2159.036803,1864.281033,2272.574435,2552.774993,1949.644995,1536.624216,2451.733326,24
"TCF4",0.238446098,10.40306774,1.736865819,0.094846582,0.299616747,-4.640154351,1.17972132,1620.894051,972.0945872,1787.82311,1120.591555,1542.009707,778.7132681,1059.423516,1165.441659,1212.47576,1371.881074,1362.334112,1765.178712,1844.924813,1492.979433,1176.641559,1263.671939,1030.569811,1483.855685,2061.59042,1737.537295,1327.60189,1158.619397,1414.2731,1579.320197,24
"MOB1A",0.200140353,5.78980729,1.729333528,0.096208097,0.301524355,-4.65150502,1.148810112,51.85587016,50.34424857,53.64319781,38.10023415,52.96215344,57.38813229,53.25929281,48.47837946,52.56807124,54.74473656,76.65361403,70.14864154,69.98004372,60.77002189,59.54386061,56.44609127,35.56975387,56.77488694,72.580275,63.99104566,57.72601412,38.37130651,55.17142611,63.64972211,17
"MCMBP",0.201796183,5.614227543,1.723452554,0.097282631,0.303267511,-4.660340823,1.150129397,53.90823424,53.55237906,39.27001723,32.19990453,47.79616287,48.02117993,41.89118208,44.78439339,56.85124377,44.43386148,64.74040106,72.73730983,68.3245739,64.60131005,48.44318292,49.0867487,41.06884405,42.22949542,51.38065789,51.29493627,54.04793294,40.76497006,39.50461547,46.63138164,24
"ADAMTS1",0.78145692,8.354791169,1.696741446,0.10229206,0.311008629,-4.700179094,1.718865811,284.7749929,458.3118169,102.2239309,103.2926025,724.4492379,395.1369106,138.168139,134.6697235,192.7443956,106.2488412,736.8354396,792.4833261,869.3343695,1202.995763,186.281968,615.7607204,196.4827707,688.2068236,510.0215143,209.307877,434.7407174,130.7850384,253.6461546,1047.546521,23
"ALMS1",0.344554735,8.005721348,1.654175303,0.110724196,0.323740564,-4.762659209,1.269759031,356.2333261,220.5441006,366.4384039,153.2915533,237.8146642,192.7243587,193.4703816,136.1378387,399.6544441,245.6238762,346.2998835,404.3957583,366.6481067,328.7333261,256.7767252,240.106505,132.6953075,257.5424299,273.697814,349.856997,302.0307577,125.1666025,305.7619506,335.3669604,24
"CST3",0.296765795,12.29818879,1.651380849,0.111297588,0.324865875,-4.766717355,1.228387549,3596.461766,2690.203772,4677.954458,5888.207382,5573.497183,2137.941659,7158.698369,6079.625443,4876.441659,6487.28511,4960.144643,5029.866375,4031.998573,5841.482857,8085.582778,5877.607596,4859.149993,4788.057095,5413.750463,6106.584927,7033.925197,6543.883616,4598.608326,3569.330575,24
"RPL12",0.199850553,10.99616249,1.639086327,0.11384991,0.328644608,-4.784507228,1.148579369,1969.034407,2498.938115,2359.474738,1586.651948,1632.912541,1375.519043,1989.855419,1757.852271,2359.474738,2241.493257,2850.363014,2312.515411,2676.277695,2106.354288,2436.438482,2462.009192,1623.983326,2094.566659,1949.611752,2084.358326,2370.813015,2239.646114,1377.908602,1611.817896,24
"AR",-0.122899404,4.388940052,-1.622406343,0.117390669,0.334019924,-4.808474217,-1.088921085,19.61673554,20.2539573,19.47500342,22.85796473,21.90770286,22.89785842,23.62357386,27.89625944,21.30453138,19.25581014,22.27534003,20.7869895,19.89112908,19.29690896,20.90826567,23.75570064,25.90510607,19.22186565,20.00279328,18.39392998,21.95008099,16.62837359,18.97606583,19.0373538,11
"CCDC93",-0.165178915,4.868217742,-1.594977019,0.123412413,0.341543208,-4.847461384,-1.121305127,28.76980282,36.25668801,40.411841,27.63749787,31.97295849,28.17569655,31.48420822,29.5085273,46.00336204,25.33814019,26.39114165,27.17325422,26.0934402,23.32481335,24.47243342,23.9685116,26.51807233,27.28327866,27.586577,28.52717024,32.47416142,25.36832203,37.26410763,29.18314553,22
"PPFIBP1",0.335300103,6.126624029,1.581331967,0.126502075,0.345026244,-4.866657479,1.261639823,121.973,68.00762279,63.57053724,57.13658475,44.72824512,56.5070538,42.36189083,50.98089393,42.93355721,64.40778495,154.1074438,85.49447995,76.78686913,79.51617149,75.66453438,84.42870849,54.02632647,151.7705842,110.6156419,62.61291401,74.86838972,44.72704883,66.31984156,62.18364421,24
"SRI",0.275901848,10.05805869,1.543522024,0.135398524,0.357498091,-4.919152593,1.210750709,1380.04681,780.8395171,1302.524993,1076.941458,1054.970019,449.8203398,1198.596768,699.6394292,829.895558,1313.440586,1033.958528,827.4097826,849.2726261,938.8166595,1500.383263,1519.533498,819.4502133,1323.500202,1181.776609,1442.264819,1465.73524,908.1837965,1568.290634,1179.547829,24
"ZNF148",0.323124492,7.599216952,1.49424609,0.147755847,0.37568082,-4.986010024,1.251037029,257.819464,177.0301324,82.28422462,151.8807522,101.3809522,325.8855392,140.7853823,228.140571,129.4090859,163.6633073,198.9743318,241.9545748,256.6737692,194.4291562,231.5191925,212.7807264,152.2698884,285.0249929,319.462902,184.4136817,121.777226,188.9217043,269.1158268,332.3864275,24
"PHTF2",-0.231591922,5.073545736,-1.487918611,0.149406988,0.377842164,-4.994465919,-1.174129812,33.34560345,30.98284176,53.60560047,24.27291446,67.97400076,40.40222829,33.7876294,31.19874307,31.76621795,45.41142107,34.51005216,32.09722559,33.26842041,26.51283775,25.19983245,27.01606608,26.47070902,28.08327962,33.56536821,45.03846351,39.02640449,21.02895292,36.66433851,35.78093112,21
"RIOK3",0.382782075,9.702401093,1.473037929,0.153348983,0.383363852,-5.01423517,1.303853768,934.4070588,813.5998489,1429.076383,505.9732173,708.9388519,636.6321816,612.3976886,371.1035952,1351.228242,780.0971166,1145.661397,1624.365663,1510.543322,1258.881058,722.6131932,698.0402876,401.8748664,823.6358349,854.0293307,1361.150689,992.9891892,323.0795863,838.3282647,1139.145661,22
"CIAPIN1",-0.360090693,7.2206089,-1.460281935,0.15679458,0.387553954,-5.031050545,-1.283506581,159.6149995,198.7278193,85.77118547,256.2306676,142.8721423,247.6754867,152.6210314,246.2250718,93.64989119,145.6888513,107.6195139,71.27809425,128.2614216,84.9798815,105.5086784,146.2138797,393.3280703,190.721204,142.6295254,114.0174022,102.2735271,264.122422,171.03235,159.7142745,24
"TNFAIP3",0.440811387,6.607616156,1.450760317,0.159406916,0.390403239,-5.043522954,1.35736751,71.54173105,122.3111802,105.5099305,51.44201629,132.9600943,51.00973842,79.96473388,62.24374881,88.23295088,64.94575437,514.4580968,228.1382853,112.8222347,149.0602203,131.0633615,104.7306541,54.23333523,129.62177,102.1985166,79.53074658,125.6117112,65.0124307,60.0940796,78.40556241,24
"RBM15",-0.180137246,7.779936959,-1.412021099,0.170397289,0.404943504,-5.09356339,-1.132991664,313.4088036,206.5752353,200.6082511,190.686697,291.6571752,375.7333261,205.9390967,189.5895672,179.1571059,194.9065014,217.6972301,229.6917115,219.3406515,204.0185687,246.8166674,209.5669797,234.8232989,291.9833262,251.2751262,188.9853052,180.6987727,190.3330866,141.0471063,238.5865069,24
"FAM120A",0.178433969,10.62628906,1.374432319,0.181629179,0.41916018,-5.141025768,1.131654819,1955.251845,1393.170826,1718.524993,1351.219951,1749.461352,1076.073834,1333.695884,1268.49058,1575.684406,1623.191659,2090.518311,2056.566811,2127.358804,1902.927489,1813.77686,1599.103508,936.1671527,1502.107951,1753.54436,1774.024993,1967.073038,1236.289255,1596.274993,1339.195457,24
"RAP1GDS1",-0.400206408,9.550606217,-1.368593386,0.183425128,0.421260103,-5.148300978,-1.319696708,1044.406689,1001.23822,321.8039287,1263.725617,680.0230395,1013.522258,914.2609582,1639.087006,446.8147748,1001.358843,351.6916595,267.8918568,487.2767022,450.7869216,729.0762191,820.3596615,1443.871758,1032.8015,1271.807682,564.7657396,477.9409726,1252.024993,790.0249928,812.7333261,24
"ETV6",-0.156218945,5.471567457,-1.359688826,0.186190856,0.424194488,-5.159345138,-1.114362755,35.28361233,55.42593655,60.12365866,45.89413022,61.84966581,43.99288283,36.03875392,50.59151941,44.27904506,53.35617854,38.58579111,44.29270205,43.81672855,41.34752707,34.15609883,35.30944085,41.7456944,62.76808888,44.87254205,41.44966825,45.96098722,37.70101201,33.30787106,51.06856758,6
"MCL1",-0.253685919,4.946509467,-1.349796621,0.189301586,0.42800248,-5.171542148,-1.192249286,27.71008397,51.20848135,29.37866976,27.29453493,44.59099955,43.76327002,35.39386217,26.56442015,33.45399158,25.92339604,38.84792804,31.22945095,18.60661622,32.6404676,24.93949908,42.54604275,20.64985627,30.24211965,34.05440497,28.9128964,28.10339874,13.61370965,28.94333899,56.64371055,15
"SKIV2L2",0.220033109,8.027302586,1.342490441,0.191625102,0.430456025,-5.180501732,1.164760316,277.4416597,291.5185844,156.8365205,244.1661635,139.3418578,347.3059665,272.9279566,232.5930616,167.5523038,239.9274475,228.2346123,229.0235875,283.1796476,240.4296618,327.2479283,263.7079631,360.8324671,366.1499928,388.9165005,228.7899458,206.6896708,274.1083265,387.1083261,326.3846619,24
"SLC16A7",-0.211262518,5.63042995,-1.230082521,0.230233717,0.473198293,-5.313036711,-1.157700858,50.16616864,48.55873303,44.36649965,69.30165262,45.78739188,66.15103993,57.00644654,61.22423928,45.86269613,47.69626567,34.53217555,28.88774432,45.15757484,41.60405487,38.91353259,43.33552772,43.12462646,94.66216819,91.97303811,55.13841983,38.57497785,34.47448722,53.09827448,59.57707751,23
"RANBP2",0.314212823,8.528369112,1.22061177,0.233738122,0.476873719,-5.323741199,1.243333069,569.7059444,372.7362401,169.1605765,243.5106729,217.687772,677.6147074,267.6623069,313.0539202,235.5254523,295.0208478,298.1040017,431.6397535,410.5944028,334.2829547,659.2288736,334.1277814,504.8191814,623.573185,594.697832,252.8583307,194.7923991,340.2015197,572.8821597,784.7999054,24
"ABHD2",-0.163761826,8.176283176,-1.205170998,0.239537386,0.482474935,-5.341037194,-1.120204265,315.4466065,353.089459,315.0052739,354.1069067,331.6719915,301.5777441,227.8019986,317.2794745,286.260533,358.149337,299.2081567,269.4481272,315.9416595,380.0895024,175.0312803,241.4246361,160.706563,300.1953601,376.953923,333.6762997,322.5192566,230.7206016,294.4561072,235.2920477,24
"HCFC2",0.140161542,5.977524217,1.194988762,0.243420156,0.486556377,-5.35233649,1.102028506,67.38682231,59.83203125,80.3949357,48.43643121,57.13837058,60.32069039,49.18963744,55.60411903,59.54468569,56.46183668,61.59919531,68.16914282,74.34677948,73.47085666,82.01210433,70.22079459,58.76143144,69.11430388,97.26088557,57.94368839,66.13354865,39.76782706,69.74697389,55.60172724,24
"SUN1",0.161294096,8.914584406,1.160247322,0.257021115,0.501502967,-5.390249242,1.118289793,564.8982072,486.7162997,326.7958261,386.5711542,307.180821,479.3806204,523.7309676,604.7376282,362.1766854,350.2921611,527.3675208,713.7939518,575.7110992,399.4556879,480.5666595,604.1265809,571.074021,510.0572748,399.8225897,462.7828228,487.2333261,456.8100547,590.6280111,694.9266073,24
"PSMB2",-0.141863266,7.861540389,-1.153095286,0.259889331,0.504435089,-5.39793062,-1.103329165,182.0838817,240.0257223,225.2334022,326.8818434,222.8716925,326.2028724,229.3916179,269.5027236,258.0852696,249.9237846,189.7656731,183.9029225,155.1852732,242.1318693,226.4143947,202.3883307,253.9577891,230.7591328,236.6916833,185.1702876,232.2908648,364.9200014,260.1193506,197.5807964,23
"SNRPB",-0.264803997,8.062317133,-1.144134961,0.263515834,0.507969284,-5.407494307,-1.201472807,209.1928892,478.2472531,178.6384625,353.7333261,229.1217104,436.0749993,300.249374,365.7425463,98.85719313,284.3121637,248.1083331,239.8486246,270.2088873,178.1991212,258.5868995,338.0580253,430.5731164,326.3212001,220.2388384,145.6268459,218.8423721,536.8863857,298.1152617,229.6343226,24
"OSBPL8",-0.251109225,9.307801946,-1.128132848,0.270084279,0.515964966,-5.424407933,-1.190121796,1094.576929,440.4785218,574.4324665,620.1499928,947.5447736,721.8166595,742.1783494,755.3237571,274.1488569,718.7060909,451.8781151,621.6499928,455.6940733,614.5164707,1000.108326,534.1842877,409.4268814,659.7684346,731.3392424,831.2875399,290.3262343,651.7597799,985.8704785,1055.371318,24
"FOSL2",-0.134190285,6.230805488,-1.104450681,0.2800226,0.526656487,-5.449046651,-1.09747668,54.94648413,110.4424273,88.88576451,85.99514851,92.13726111,90.95451753,73.99909194,57.78943109,87.86231323,76.40079238,75.15823262,80.52524064,60.44506373,107.5307546,55.27389755,73.4457155,71.23543452,82.94122599,73.33256495,73.72868788,73.24770563,70.12587424,53.93365724,65.76377123,3
