"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL","countP"
"NAV2",0.485752591,9.108977235,3.182714099,0.003908316,0.073776615,-1.909563481,1.400316159,533.9729188,459.435843,306.6390439,365.1451252,542.0787261,434.5051227,415.3542922,533.8477954,500.6254505,420.3879229,771.0394652,768.7511317,652.3171476,909.2633488,957.2959567,614.5594033,472.8839279,616.1719385,637.9689661,521.5498403,609.7496001,377.352582,546.6515304,847.4873333,24
"COL1A2",1.626482863,8.203756113,3.161501104,0.00411568,0.074956288,-1.955472773,3.087593581,104.7468923,143.9847626,138.7610855,118.856247,207.6802988,136.3795631,126.2468676,157.1062239,274.8475296,161.3311137,1655.001974,1397.92685,346.5859953,891.9177138,3543.754014,385.218735,99.3630528,997.4682307,120.1183157,294.0742024,891.0389246,279.6083263,129.7420884,271.9045698,24
"RPL35A",0.235048865,11.42936288,3.141386291,0.004322061,0.07631356,-1.998897424,1.176946601,2480.149993,2790.635364,2640.944217,2447.92343,2370.958623,1908.399993,2916.494359,2377.313581,3155.210773,2859.116309,3141.714309,2817.838942,3014.358326,2912.464812,2818.925682,3573.995321,3206.600119,2764.765728,2550.094948,2934.703128,3062.108326,3004.017746,2398.941659,2582.638971,24
"NKTR",0.554131185,7.889298988,3.101240519,0.004764096,0.079617229,-2.085243396,1.468284142,283.6915956,227.9048545,234.8624968,139.7937862,183.0749133,182.0632298,147.4225776,123.4111907,203.7810801,283.0348119,258.4723378,358.3628612,436.0586102,270.5277807,360.0174288,220.3736401,186.8607382,321.1181281,371.3764616,210.1838079,259.1281947,136.2648847,320.7012316,291.5598379,24
"GNAI3",0.50115229,6.66663016,3.03601246,0.005576187,0.084274566,-2.224584799,1.415343555,97.62957014,97.17351165,70.92161858,52.33404464,62.37779499,111.0500813,100.7924646,72.37346397,82.148818,84.60982632,149.0819553,115.2958054,122.3387217,117.8381369,167.7168218,125.8209604,98.76178618,153.484902,121.0981699,90.35878132,106.8143037,61.4539915,126.8069122,163.5919409,17
"MAP2K5",-0.297079631,4.108205374,-3.010813908,0.005924102,0.086312118,-2.278086262,-1.228654796,16.03913562,20.00711976,20.80583543,20.42197326,28.88083505,18.43984635,20.44971394,15.80523848,19.13684192,19.11610653,14.05874631,17.79374135,18.24322628,18.73356998,15.14217765,14.16172555,14.64890431,14.35930074,13.64483116,19.23258022,17.14906022,13.13109499,15.75341951,15.55101837,5
"PPIC",0.609195901,6.342355036,3.00883641,0.005952267,0.086665781,-2.282276926,1.525408772,77.73615619,69.6471451,67.66318542,49.21841623,70.10518341,40.27229441,75.73033264,51.26489884,83.98663972,69.39640728,217.129318,127.1416934,87.14453822,125.3772359,177.706725,84.21855463,67.06584485,94.94404056,74.54593196,80.96228071,117.7028379,66.99275718,53.87307513,78.14463699,23
"IL13RA1",0.868480546,7.754968158,2.963300331,0.006637324,0.090383571,-2.378448871,1.825739009,152.4705234,298.1595706,165.648703,106.8175814,130.5922161,91.17764915,217.6626475,91.71270962,208.9287705,141.4303857,656.0329368,506.5179829,400.8166595,368.1916595,533.1724935,381.5643675,141.0858013,240.9114438,245.9800436,194.4121239,324.6449482,128.4503968,149.9090706,186.0096543,24
"RBFOX2",-0.554314495,9.764574743,-2.91881536,0.00737873,0.094658871,-2.471779635,-1.468470715,1105.493704,1221.13652,809.08998,1356.902208,882.4170647,1149.237226,1068.345493,1583.894254,425.9953542,921.7171203,560.5869431,458.6753944,516.7025563,489.9999442,747.3052207,898.0347684,1168.305255,1156.79967,847.3257707,836.8321413,678.2487384,1166.196277,1095.712753,970.936229,24
"JAG1",0.68088153,8.160445054,2.906220975,0.00760255,0.094948316,-2.498088255,1.60311901,281.0600416,277.1499931,134.5080623,210.2751139,282.9833263,239.0332912,142.4557962,170.6906133,274.6708265,144.8413188,554.5302011,748.3193105,418.3582715,413.1310974,398.0466234,258.0998213,218.633866,419.8273993,349.1361994,170.1045844,486.0927923,306.5250411,276.9810293,378.9319614,24
"IFI16",1.176897504,7.128406986,2.904785161,0.007628473,0.094948316,-2.501084283,2.260900503,114.6986338,143.5105442,96.56187189,30.12860896,112.0519392,74.1077922,95.55408555,49.84874152,137.1120516,82.67059318,316.1180719,717.3583261,407.6255239,288.784682,345.9416595,116.917746,87.50790891,241.8003059,484.1414031,101.2290048,100.9821566,64.96357231,79.50927734,252.630391,24
"RBM39",0.557399461,9.120153884,2.903069867,0.007659551,0.094969733,-2.504662604,1.471614158,623.8883385,533.5637031,325.3166595,310.9866539,404.7124928,558.4284158,411.0772955,374.3166595,482.8638351,390.0364147,617.4833261,927.9556256,993.3847032,734.071847,907.9220483,515.3166595,624.1081103,797.8608867,810.9868413,576.5065032,440.7546031,303.5249928,634.3566294,912.3224792,24
"ZFHX3",0.654623014,6.096951355,2.902228775,0.007674835,0.094969733,-2.506416878,1.574204549,57.15897099,43.16430204,60.64937513,37.55240702,62.53143766,51.77351389,57.82681347,40.73057103,132.434819,57.02102095,101.3033161,144.2249913,103.2158806,177.0597706,105.7098042,74.388169,46.04242622,54.52700153,44.24103416,95.83973405,84.70641665,46.30738685,53.38430925,73.8803422,15
"DDX17",0.505578108,11.33815574,2.859971066,0.008481091,0.098737224,-2.594253476,1.419692133,2671.068289,2428.621153,1476.919524,1766.771068,1756.897162,2576.233326,2195.247124,1851.401786,2195.935466,1734.77865,3401.274993,4139.608326,4279.754159,3322.149993,4381.205787,2983.373521,2094.367853,3219.069873,3103.548652,2433.603061,2152.052686,1695.338288,3159.134955,4513.658787,24
"SREK1",0.71310735,7.685469623,2.829892322,0.009103245,0.101778495,-2.656408546,1.639331192,231.7432037,161.4144471,104.619415,79.88347464,171.215335,268.0720984,119.8042798,134.3633328,210.6567093,132.5837759,223.7334122,418.845218,411.2592012,269.8167061,466.2263351,194.704272,181.354407,291.5587683,340.7356915,206.2809549,115.5208412,132.6217889,269.8999934,358.2476614,24
"ANXA1",1.475364307,8.020516898,2.81078435,0.009520668,0.104303092,-2.695731324,2.780538489,173.3203768,777.4121328,61.56428893,53.85523321,140.742944,155.2577508,168.4318703,53.78731938,111.5398449,100.4823413,781.5716794,1280.148368,423.8791595,532.5313872,1473.715419,615.3542824,163.7871407,339.3592361,1043.453363,131.636111,537.1083261,189.5004067,142.1855163,393.6916595,24
"PNISR",0.856909597,8.249592383,2.758739478,0.010751289,0.109674694,-2.802179766,1.811154471,386.959589,187.5906235,182.5865536,132.5974521,153.9263046,283.253459,225.128811,179.6534645,263.6291662,170.8176152,446.2333261,674.0041595,682.4089956,449.1840578,662.1141459,289.0666595,180.2359596,490.8657607,546.5922995,300.6062231,203.1291212,123.0884711,481.0041595,926.8385359,23
"FXR1",0.389759,7.97614226,2.727011022,0.01157358,0.112685599,-2.866591193,1.310174523,314.9954383,224.5197315,217.7609086,171.7723264,168.9087442,248.1557446,216.6508849,159.2503013,272.7749933,193.6861067,260.5210892,265.1034643,263.0091168,312.1916595,369.0317652,218.575834,299.5666595,293.9700205,334.3015618,277.7950691,213.3637012,196.1181997,274.6955498,485.6414695,24
"TMED10",0.426307727,10.05697024,2.715807597,0.01187782,0.113765924,-2.88924549,1.343790025,1091.509019,1291.913272,757.1505763,701.141101,753.8583261,814.5452169,919.6435482,811.1303082,800.5062565,752.3166595,1473.301081,1497.624588,1496.987532,1304.018587,1761.326685,1224.084105,817.2769472,1506.015303,1558.12722,1012.177679,979.7413552,823.8301661,1144.745475,1325.257125,24
"NACA",0.320347976,11.85879709,2.699071385,0.01234635,0.115665332,-2.922999159,1.24863168,4441.309522,3830.110487,2961.858326,2918.509251,2581.788189,3199.524993,3582.939107,2545.770872,4214.75847,3225.387079,4213.530209,4604.094372,5090.144857,4439.087555,4746.670826,3760.109994,2389.649696,4210.397441,4147.399993,4180.688894,3473.96958,3278.070086,4493.53549,4513.389313,24
"BGN",0.638358135,7.723994987,2.679695736,0.012910446,0.117438137,-2.96194223,1.556556705,124.230618,148.2942316,268.7766281,124.5025138,201.8109987,166.0671223,170.4309178,107.0666722,380.3745684,174.1561507,374.3120384,425.2222701,290.3163889,316.966872,443.321403,297.1422218,155.0228256,238.2580941,127.2681655,231.6037475,360.1186094,183.227541,120.0761045,153.1004225,24
"SF3B1",0.534113223,10.03697003,2.67367726,0.013090532,0.11835664,-2.974009217,1.448051811,1155.285492,1016.495683,725.4157945,598.9487576,868.2964763,903.2326819,788.6421279,652.8267834,1070.421034,862.9862305,1157.104383,2160.38824,1979.914646,1531.20423,1582.09847,978.3380024,679.3583261,1186.591554,1394.649014,1018.710987,762.9522448,642.593453,1375.719939,1895.113846,24
"RPL22",0.288293486,9.636588674,2.618761593,0.014846023,0.126279055,-3.083455279,1.221194914,820.4423134,845.4624928,760.568411,691.0903415,670.6881081,658.6107289,671.4525889,513.3155816,1150.28108,638.4648723,983.5203085,874.6997918,934.4740027,991.9952042,1071.575642,908.5206497,640.2382538,808.3452324,958.8166595,801.9742597,685.1143337,659.265942,822.5960023,894.1834989,24
"PFDN1",-0.314396313,8.431233178,-2.617488067,0.014889233,0.126464561,-3.085979088,-1.243491213,393.0339532,383.9581306,294.1757265,510.6671883,438.9428378,354.6458533,432.6290373,422.1012402,350.4135105,455.3674784,223.5029302,261.7313317,311.917726,310.9482948,251.3166647,294.6910775,358.8482724,318.4007321,303.3937491,396.4361519,341.8999928,481.6673323,309.6857281,270.4416911,24
"PRKAR2A",0.317962216,8.787777092,2.537960655,0.017832399,0.135893905,-3.242255709,1.246568547,458.7325443,418.9833261,442.0666595,315.0892844,384.3825398,376.0874804,403.1050113,288.0324207,445.0249928,433.6626538,602.216617,708.9866914,605.726611,616.2789036,466.6293695,454.8963429,334.9228042,464.03575,452.6646267,491.8912134,444.6419348,296.6713971,454.5502467,506.7137853,24
"CEP57",0.355564246,5.797403167,2.533882579,0.017997025,0.136581542,-3.250197617,1.279485897,48.91228545,54.50281756,55.87321621,37.8122031,36.1184242,51.11742738,47.41003934,49.87022442,54.54566123,42.23152832,50.05582998,52.74004361,48.45011493,52.18584196,81.82638855,55.6118151,56.13766268,93.5706549,74.46946501,61.03762783,49.26941199,49.07196187,92.34055704,83.61009839,24
"TIA1",0.557062738,6.834180772,2.532585721,0.018049673,0.13663288,-3.252721706,1.471270725,115.9064424,81.88513809,79.41474399,65.25904594,65.08739772,124.1180993,91.29535852,101.0070113,155.2239808,79.52783993,104.9467498,167.4496977,180.5288877,139.7112547,282.5429117,96.52252465,67.59782947,162.9565869,195.8849165,105.8003067,78.99330851,79.37740085,193.9460362,156.2326489,24
"RBM5",0.553763855,8.617856813,2.531070568,0.018111363,0.136775635,-3.255669751,1.467910344,441.0935601,383.0145173,174.546022,325.5666595,125.280034,396.2415801,338.7333261,453.7403071,290.9074336,280.7333263,426.5249928,482.2715873,576.2110957,360.3838289,760.0041595,536.0437118,342.8883677,605.6681957,578.893541,397.6916595,316.3164635,361.1587075,665.6621245,482.5519432,23
"MTDH",0.477091271,7.437946968,2.516021694,0.018734812,0.138656281,-3.284896648,1.391934449,166.3325418,175.1018681,84.19590243,124.8006216,114.48396,157.0999743,144.5561343,176.0602491,98.20118648,147.0893942,190.31845,200.935151,225.2133584,201.4239954,327.9310307,236.60128,216.9834846,250.9194243,319.5666595,112.3788819,125.1338759,178.7849705,219.7334506,208.5163282,24
