"","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL"
"TMED10",65.01507039,33.67025247,52.12302704,39.77718713,55.22721501,41.73677746,71.81040365,68.70515724,103.4762897,66.33260028
"ABHD2",43.3833348,55.35518963,35.54740106,48.47086684,23.27965291,75.32696643,13.16055084,25.16309127,13.70991027,53.86896485
"SRSF11",3.803359171,3.776868835,3.796392898,7.36270225,4.181923312,4.514863554,4.043798247,3.480862655,4.022654582,4.144124724
"SCN1B",253.5249377,309.5675316,170.1412189,300.8124059,145.9216508,246.7715541,83.69449122,173.3361999,74.81733649,324.398457
"GNAI3",11.22128308,9.921448626,15.64149885,27.81075574,10.6316125,25.71659446,9.056084203,14.00556966,14.3354509,15.20783179
"RPL35A",152.9312571,67.92506957,123.6397434,73.91990888,173.6433992,87.21507012,216.4588446,185.1447569,205.1989293,135.1497149
"ETV6",81.41507012,120.2129649,68.20954059,73.55804161,70.04068585,65.8194461,71.96332783,87.88379208,73.76235568,94.81507012
"PRKAR2A",430.6672601,309.4522309,345.4175269,364.6869296,436.4703777,282.1150701,471.4709291,449.5620375,500.5292514,415.5728939
"RBM39",64.60518176,65.76018812,47.61986242,113.9966498,89.66155951,136.5248542,36.40014569,84.67746695,52.37671489,65.01420134
"ADAMTS1",73.52456986,47.8734273,42.58704277,65.26543046,143.0142152,84.86852273,41.41712825,73.81507013,58.26914545,45.97543519
"RIOK3",1194.468431,415.0282218,1091.41507,541.5150701,1244.483263,661.5830269,1616.703562,1390.417225,1863.859167,1061.967442
"ARIH1",21.54502763,28.85527737,19.6307571,27.54835576,15.91833795,27.59706439,16.38454045,21.02361778,15.33482843,17.55879876
"SRI",9.498789406,6.901151247,9.13222855,33.16078922,13.57622176,14.8152371,5.82145553,11.26486986,8.27435215,6.994085397
"RBM15",11.01754458,7.16330214,12.89287533,21.27583969,10.58310004,37.34379031,8.282720054,11.740095,7.149477116,15.34740788
"G3BP1",76.31507012,70.00243389,74.72581249,72.95829428,70.39642197,103.9140817,94.61758808,76.81507012,76.10901807,80.34929436
