"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_C05.CEL","C_C08.CEL","C_C10.CEL","P_Sp14.CEL","P_Sp20.CEL","P_Sp25.CEL","P_Sp26.CEL","P_Sp29.CEL","P_Sp31.CEL","P_Sp33.CEL","countP"
"ZNF148",-0.437925562,6.959651809,-1.358053429,0.202334898,0.999972288,-4.5353607,-1.35465508,143.7150701,175.2680181,144.8195547,150.64674,80.67484349,183.7861593,60.82044852,153.2260082,90.13127868,130.4184501,10
"FAM120A",-0.311176758,3.700612625,-1.342595089,0.207134772,0.999972288,-4.538575734,-1.2407193,11.43047419,23.66068901,12.78229989,15.15673815,11.96742474,14.8474147,12.58389434,11.0053563,9.934050215,10.77582609,3
"NKTR",0.58270728,3.933600374,1.337524332,0.208729716,0.999972288,-4.539626583,1.497657032,11.76069096,7.951131704,16.3368134,32.23629852,14.94912778,40.3659952,10.4648332,14.08741967,10.73399513,14.75659161,8
"DDX17",-0.709845977,7.418418519,-1.326653684,0.212183254,0.999972288,-4.541872987,-1.635629487,170.8375555,123.7228367,665.5866804,236.8016,108.4313835,154.9698247,61.41507154,210.2265738,134.8037138,220.2804231,10
"CEP57",0.708522611,3.70461914,1.326057953,0.212373872,0.999972288,-4.541995839,1.634129833,10.83299597,7.280268674,10.01859197,35.64305733,12.98012541,38.90421241,6.852272343,8.613981825,9.191119303,18.39309111,9
"COL1A2",-0.348346041,5.90721423,-1.323609297,0.213158862,0.999972288,-4.542500522,-1.273100261,53.91509921,57.49899835,115.7675412,44.30526278,59.91507327,39.95190315,71.594944,66.93519507,60.23355922,55.16008735,10
"SERBP1",0.340836071,5.400993667,1.307062061,0.218526547,0.999972288,-4.545899057,1.266490338,36.44233433,32.88402403,38.32906325,78.25786139,40.39971196,55.18184306,29.12060768,40.07016992,38.1205658,50.88716425,9
"LPP",0.313347987,8.802844492,1.279681278,0.227651984,0.999972288,-4.551475611,1.242587966,479.9298585,271.0760905,433.9150701,299.5859751,486.7150701,458.8894469,549.3693351,546.2857605,633.5049973,439.5314895,10
"MMRN2",-0.203357917,3.442167575,-1.26630912,0.232220369,0.999972288,-4.554177066,-1.1513751,12.27954765,12.25303705,11.47403855,7.746127902,11.71223583,9.823778576,11.95686271,11.4418887,11.67422072,9.364154785,8
"TAOK3",0.432527338,5.528047934,1.264840505,0.232726606,0.999972288,-4.554472855,1.349595753,37.3053099,37.22068116,37.7000557,117.3652027,41.31712825,68.54008858,37.2820431,36.55051879,36.53895971,50.51518212,5
