"","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL"
"IFI16",84.34898889,64.13471805,87.94949152,155.2365352,79.0183125,146.6835687,77.84826243,102.3207252,102.5198933,94.39102721
"ANKRD40",65.44612906,72.13075904,59.20884866,96.1425169,85.74807104,97.89430327,80.47828321,55.76154654,73.544686,83.26562777
"KLF6",276.3274325,177.5293989,229.5961184,314.3152622,231.5230635,404.3747939,265.6991896,296.7996369,255.614174,243.7542665
"FAM46A",163.4535119,129.4020193,143.3163196,337.277788,165.8166686,212.6209289,155.3924218,272.1383111,164.2209431,147.132977
"RPL35A",2900.07552,2834.60812,2553.636527,3362.76523,2786.650599,3382.105775,2929.360856,2962.293022,2980.186745,3592.234116
"DMD",1700.785649,1442.494559,1605.734167,1555.794549,1376.582008,1609.196285,1327.179654,1376.024156,1099.843775,1198.330429
"G3BP1",10.34333112,11.69275119,11.3482585,24.85073536,24.05010973,23.27844646,11.66685514,10.17428259,13.39843502,12.20488329
"FXR1",995.9603544,1312.042903,1197.18117,2098.63198,2772.344743,2384.388711,1434.663287,1223.806421,1206.303982,1133.677006
"MCMBP",76.59290574,80.45189328,74.83227739,84.03299151,94.59880847,96.25889653,77.13260095,83.98459829,83.29253982,86.01711349
"DCN",1229.942422,794.624658,886.7195285,1207.975443,591.2093002,780.2896045,581.1924218,816.0582309,494.3924218,664.1523427
"SRI",234.9522002,216.6482487,203.3555133,260.0924218,224.8990761,332.9606319,237.1424218,217.3206985,245.9926952,301.2924218
"PFDN1",327.9924218,338.4786859,353.2431935,257.1936789,274.0790049,268.4262202,307.0924218,320.3793294,332.2496714,341.1005834
"SNX27",217.6233495,245.914091,267.6912713,183.3735005,249.2047526,200.7673403,229.9742897,197.1924218,235.9653404,178.2199182
"UBE2L3",240.3189089,250.9659856,250.9980049,273.8457553,269.9484978,410.9382624,306.010734,275.8384741,275.7621672,250.4754097
"KPNA6",438.7333437,421.0688076,449.7786338,541.2291613,472.9924218,669.448493,479.4557904,454.8747273,515.8191185,438.9924218
"PTPN13",12.55873608,13.11050859,12.62478588,18.45918276,13.42747472,15.27632322,14.91171195,14.92423172,12.23827258,13.91567531
"PSMB2",140.8014668,158.5810542,145.5496393,104.9901012,135.7419503,103.6725181,138.0913843,122.370949,150.5125449,142.4418313
"NR2F2",72.98649518,54.33140894,64.46385224,47.29972212,28.69484839,77.03390921,59.76851776,42.34337037,45.02211377,49.28161464
"MYOF",142.560954,72.76641143,82.45549735,267.2191428,91.65556821,198.984201,97.71600384,117.4863415,124.5073279,140.2881138
"COL1A2",553.569895,187.8743771,184.4785522,1180.645565,310.7317147,784.7872309,232.4560693,239.9744131,673.706416,779.332205
"RBM5",78.99164,95.21008164,75.80248663,122.1998128,126.7924218,137.230148,93.14013302,108.4924218,77.39287913,75.80248663
"MED13L",39.31837199,45.28849333,42.69323224,47.45341519,64.35588811,63.02995284,38.03729244,57.29323156,52.91036604,41.27874857
"CCDC93",89.47088379,79.43126433,75.73494077,113.7055725,84.2725955,128.2924218,86.80591571,77.26498642,95.01557728,98.71622646
"KCTD12",434.7107609,375.2795115,499.2135865,802.4924218,567.7732241,618.4928983,416.3924218,389.3678766,598.2510536,515.6919814
"SCAF11",94.7291746,103.0870685,97.38050156,113.7924218,158.7938022,105.0282575,124.5924218,101.2090779,112.1952977,97.72854942
"FAM120A",158.2832708,169.6841314,187.8839851,216.1549776,181.2904192,226.5470553,168.1107282,171.6678011,190.5482859,227.2318598
"ZFYVE26",202.0320695,182.3912191,177.1212902,196.7623539,225.630563,254.5590543,211.6159589,209.1663178,177.9924218,206.2122032
"FOSL2",18.29630705,25.05105337,20.5428583,27.54074467,16.71050053,30.49942235,35.51348644,32.34433508,22.27744944,25.67011176
"SUN1",29.87285465,43.46335703,23.90992424,36.34535121,39.29273866,31.25767541,34.06325313,47.74180917,37.58766271,42.15572113
"CIAPIN1",83.49290083,115.5320085,89.8635023,109.1924218,102.9677297,115.4009118,88.29244855,108.8257137,141.836694,117.4170274
"CST3",928.2847167,759.3052536,984.9519801,1623.993883,833.447569,808.8228423,1408.192422,1182.092422,1369.297435,897.022534
"ARIH1",287.0039937,380.0743927,419.0867983,407.7089267,573.1933467,459.7065578,407.611072,336.3663506,445.399489,378.6505228
"ZFHX3",263.9924218,285.5760945,199.9937036,349.479196,329.6295,376.159808,303.320406,267.6798167,231.3362612,242.6510285
"TMED10",280.3009646,364.7924218,306.0695696,390.6347022,421.0108879,411.4541628,278.2924218,306.6043236,424.241327,377.9224681
"PPIC",127.198698,125.8375579,132.2924218,140.563242,148.5685463,198.6972209,109.3693602,139.502283,190.2798285,147.7685566
