"","C_GSM329660.CEL","C_GSM329663.CEL","C_GSM329664.CEL","C_GSM329666.CEL","C_GSM329667.CEL","C_GSM329670.CEL","C_GSM329672.CEL","C_GSM329674.CEL","P_GRN_GSM329677.CEL","P_GRN_GSM329679.CEL","P_GRN_GSM329681.CEL","P_GRN_GSM329683.CEL","P_GRN_GSM329686.CEL","P_GRN_GSM329689.CEL","P_SP_GSM329692.CEL","P_SP_GSM329694.CEL","P_SP_GSM329697.CEL","P_SP_GSM329700.CEL","P_SP_GSM329703.CEL","P_SP_GSM329704.CEL","P_SP_GSM329707.CEL","P_SP_GSM329709.CEL","P_SP_GSM329711.CEL","P_SP_GSM329714.CEL"
"ZBTB20",706.0697138,342.6008106,386.730972,243.4961595,526.6338265,185.6940721,295.9833262,202.9595146,1143.240765,452.2311378,751.6313438,1611.483326,1681.290107,1374.760085,968.8401811,607.3911017,202.7171853,594.0467773,1866.812752,736.816772,549.2574656,206.7113935,620.1293574,981.3276611
"ZFYVE26",81.29619745,79.77836336,87.52325763,73.74324472,70.19218632,77.40836392,86.38792549,83.21816487,108.3651296,85.7100482,103.6237217,144.4785918,113.9798771,110.4180679,121.5204108,94.9516972,98.774297,79.59879929,84.37162413,72.95107087,111.6393635,92.14810854,89.44934758,99.01556179
"PLA2G16",544.9361627,527.2612746,517.6853878,360.9067174,570.0709341,216.2079428,619.2296933,387.821489,792.8999928,584.023523,663.0388453,777.9900062,1080.043169,635.061612,696.4343288,955.6255301,542.2157445,455.865986,779.9330663,621.0047597,1014.611531,564.0027575,425.4231518,532.1339689
"NAV2",533.9729188,459.435843,306.6390439,365.1451252,542.0787261,434.5051227,415.3542922,533.8477954,500.6254505,420.3879229,771.0394652,768.7511317,652.3171476,909.2633488,957.2959567,614.5594033,472.8839279,616.1719385,637.9689661,521.5498403,609.7496001,377.352582,546.6515304,847.4873333
"COL1A2",104.7468923,143.9847626,138.7610855,118.856247,207.6802988,136.3795631,126.2468676,157.1062239,274.8475296,161.3311137,1655.001974,1397.92685,346.5859953,891.9177138,3543.754014,385.218735,99.3630528,997.4682307,120.1183157,294.0742024,891.0389246,279.6083263,129.7420884,271.9045698
"RPL35A",2480.149993,2790.635364,2640.944217,2447.92343,2370.958623,1908.399993,2916.494359,2377.313581,3155.210773,2859.116309,3141.714309,2817.838942,3014.358326,2912.464812,2818.925682,3573.995321,3206.600119,2764.765728,2550.094948,2934.703128,3062.108326,3004.017746,2398.941659,2582.638971
"NKTR",283.6915956,227.9048545,234.8624968,139.7937862,183.0749133,182.0632298,147.4225776,123.4111907,203.7810801,283.0348119,258.4723378,358.3628612,436.0586102,270.5277807,360.0174288,220.3736401,186.8607382,321.1181281,371.3764616,210.1838079,259.1281947,136.2648847,320.7012316,291.5598379
"GNAI3",97.62957014,97.17351165,70.92161858,52.33404464,62.37779499,111.0500813,100.7924646,72.37346397,82.148818,84.60982632,149.0819553,115.2958054,122.3387217,117.8381369,167.7168218,125.8209604,98.76178618,153.484902,121.0981699,90.35878132,106.8143037,61.4539915,126.8069122,163.5919409
"MAP2K5",16.03913562,20.00711976,20.80583543,20.42197326,28.88083505,18.43984635,20.44971394,15.80523848,19.13684192,19.11610653,14.05874631,17.79374135,18.24322628,18.73356998,15.14217765,14.16172555,14.64890431,14.35930074,13.64483116,19.23258022,17.14906022,13.13109499,15.75341951,15.55101837
"PPIC",77.73615619,69.6471451,67.66318542,49.21841623,70.10518341,40.27229441,75.73033264,51.26489884,83.98663972,69.39640728,217.129318,127.1416934,87.14453822,125.3772359,177.706725,84.21855463,67.06584485,94.94404056,74.54593196,80.96228071,117.7028379,66.99275718,53.87307513,78.14463699
"IL13RA1",152.4705234,298.1595706,165.648703,106.8175814,130.5922161,91.17764915,217.6626475,91.71270962,208.9287705,141.4303857,656.0329368,506.5179829,400.8166595,368.1916595,533.1724935,381.5643675,141.0858013,240.9114438,245.9800436,194.4121239,324.6449482,128.4503968,149.9090706,186.0096543
"RBFOX2",1105.493704,1221.13652,809.08998,1356.902208,882.4170647,1149.237226,1068.345493,1583.894254,425.9953542,921.7171203,560.5869431,458.6753944,516.7025563,489.9999442,747.3052207,898.0347684,1168.305255,1156.79967,847.3257707,836.8321413,678.2487384,1166.196277,1095.712753,970.936229
"JAG1",281.0600416,277.1499931,134.5080623,210.2751139,282.9833263,239.0332912,142.4557962,170.6906133,274.6708265,144.8413188,554.5302011,748.3193105,418.3582715,413.1310974,398.0466234,258.0998213,218.633866,419.8273993,349.1361994,170.1045844,486.0927923,306.5250411,276.9810293,378.9319614
"IFI16",114.6986338,143.5105442,96.56187189,30.12860896,112.0519392,74.1077922,95.55408555,49.84874152,137.1120516,82.67059318,316.1180719,717.3583261,407.6255239,288.784682,345.9416595,116.917746,87.50790891,241.8003059,484.1414031,101.2290048,100.9821566,64.96357231,79.50927734,252.630391
"RBM39",623.8883385,533.5637031,325.3166595,310.9866539,404.7124928,558.4284158,411.0772955,374.3166595,482.8638351,390.0364147,617.4833261,927.9556256,993.3847032,734.071847,907.9220483,515.3166595,624.1081103,797.8608867,810.9868413,576.5065032,440.7546031,303.5249928,634.3566294,912.3224792
"ZFHX3",57.15897099,43.16430204,60.64937513,37.55240702,62.53143766,51.77351389,57.82681347,40.73057103,132.434819,57.02102095,101.3033161,144.2249913,103.2158806,177.0597706,105.7098042,74.388169,46.04242622,54.52700153,44.24103416,95.83973405,84.70641665,46.30738685,53.38430925,73.8803422
"DDX17",2671.068289,2428.621153,1476.919524,1766.771068,1756.897162,2576.233326,2195.247124,1851.401786,2195.935466,1734.77865,3401.274993,4139.608326,4279.754159,3322.149993,4381.205787,2983.373521,2094.367853,3219.069873,3103.548652,2433.603061,2152.052686,1695.338288,3159.134955,4513.658787
"SREK1",231.7432037,161.4144471,104.619415,79.88347464,171.215335,268.0720984,119.8042798,134.3633328,210.6567093,132.5837759,223.7334122,418.845218,411.2592012,269.8167061,466.2263351,194.704272,181.354407,291.5587683,340.7356915,206.2809549,115.5208412,132.6217889,269.8999934,358.2476614
"ANXA1",173.3203768,777.4121328,61.56428893,53.85523321,140.742944,155.2577508,168.4318703,53.78731938,111.5398449,100.4823413,781.5716794,1280.148368,423.8791595,532.5313872,1473.715419,615.3542824,163.7871407,339.3592361,1043.453363,131.636111,537.1083261,189.5004067,142.1855163,393.6916595
"PNISR",386.959589,187.5906235,182.5865536,132.5974521,153.9263046,283.253459,225.128811,179.6534645,263.6291662,170.8176152,446.2333261,674.0041595,682.4089956,449.1840578,662.1141459,289.0666595,180.2359596,490.8657607,546.5922995,300.6062231,203.1291212,123.0884711,481.0041595,926.8385359
"FXR1",314.9954383,224.5197315,217.7609086,171.7723264,168.9087442,248.1557446,216.6508849,159.2503013,272.7749933,193.6861067,260.5210892,265.1034643,263.0091168,312.1916595,369.0317652,218.575834,299.5666595,293.9700205,334.3015618,277.7950691,213.3637012,196.1181997,274.6955498,485.6414695
"TMED10",1091.509019,1291.913272,757.1505763,701.141101,753.8583261,814.5452169,919.6435482,811.1303082,800.5062565,752.3166595,1473.301081,1497.624588,1496.987532,1304.018587,1761.326685,1224.084105,817.2769472,1506.015303,1558.12722,1012.177679,979.7413552,823.8301661,1144.745475,1325.257125
"NACA",4441.309522,3830.110487,2961.858326,2918.509251,2581.788189,3199.524993,3582.939107,2545.770872,4214.75847,3225.387079,4213.530209,4604.094372,5090.144857,4439.087555,4746.670826,3760.109994,2389.649696,4210.397441,4147.399993,4180.688894,3473.96958,3278.070086,4493.53549,4513.389313
"BGN",124.230618,148.2942316,268.7766281,124.5025138,201.8109987,166.0671223,170.4309178,107.0666722,380.3745684,174.1561507,374.3120384,425.2222701,290.3163889,316.966872,443.321403,297.1422218,155.0228256,238.2580941,127.2681655,231.6037475,360.1186094,183.227541,120.0761045,153.1004225
"SF3B1",1155.285492,1016.495683,725.4157945,598.9487576,868.2964763,903.2326819,788.6421279,652.8267834,1070.421034,862.9862305,1157.104383,2160.38824,1979.914646,1531.20423,1582.09847,978.3380024,679.3583261,1186.591554,1394.649014,1018.710987,762.9522448,642.593453,1375.719939,1895.113846
"RPL22",820.4423134,845.4624928,760.568411,691.0903415,670.6881081,658.6107289,671.4525889,513.3155816,1150.28108,638.4648723,983.5203085,874.6997918,934.4740027,991.9952042,1071.575642,908.5206497,640.2382538,808.3452324,958.8166595,801.9742597,685.1143337,659.265942,822.5960023,894.1834989
"PFDN1",393.0339532,383.9581306,294.1757265,510.6671883,438.9428378,354.6458533,432.6290373,422.1012402,350.4135105,455.3674784,223.5029302,261.7313317,311.917726,310.9482948,251.3166647,294.6910775,358.8482724,318.4007321,303.3937491,396.4361519,341.8999928,481.6673323,309.6857281,270.4416911
"PRKAR2A",458.7325443,418.9833261,442.0666595,315.0892844,384.3825398,376.0874804,403.1050113,288.0324207,445.0249928,433.6626538,602.216617,708.9866914,605.726611,616.2789036,466.6293695,454.8963429,334.9228042,464.03575,452.6646267,491.8912134,444.6419348,296.6713971,454.5502467,506.7137853
"CEP57",48.91228545,54.50281756,55.87321621,37.8122031,36.1184242,51.11742738,47.41003934,49.87022442,54.54566123,42.23152832,50.05582998,52.74004361,48.45011493,52.18584196,81.82638855,55.6118151,56.13766268,93.5706549,74.46946501,61.03762783,49.26941199,49.07196187,92.34055704,83.61009839
"TIA1",115.9064424,81.88513809,79.41474399,65.25904594,65.08739772,124.1180993,91.29535852,101.0070113,155.2239808,79.52783993,104.9467498,167.4496977,180.5288877,139.7112547,282.5429117,96.52252465,67.59782947,162.9565869,195.8849165,105.8003067,78.99330851,79.37740085,193.9460362,156.2326489
"RBM5",441.0935601,383.0145173,174.546022,325.5666595,125.280034,396.2415801,338.7333261,453.7403071,290.9074336,280.7333263,426.5249928,482.2715873,576.2110957,360.3838289,760.0041595,536.0437118,342.8883677,605.6681957,578.893541,397.6916595,316.3164635,361.1587075,665.6621245,482.5519432
"MTDH",166.3325418,175.1018681,84.19590243,124.8006216,114.48396,157.0999743,144.5561343,176.0602491,98.20118648,147.0893942,190.31845,200.935151,225.2133584,201.4239954,327.9310307,236.60128,216.9834846,250.9194243,319.5666595,112.3788819,125.1338759,178.7849705,219.7334506,208.5163282
"SNX27",408.6829467,395.0725423,322.0223605,460.9078285,364.0221856,378.504015,446.2984457,399.1916595,307.5487192,409.674112,316.8596525,261.5633529,359.8013031,343.117058,299.2004116,329.7146021,415.0261778,350.4182834,282.0156448,394.0666595,308.0564248,348.7777318,359.0103463,410.1681307
"TUBB4B",3895.969928,4508.760895,2489.812661,3615.208988,3850.313841,3738.600889,3202.364637,6000.656826,1312.205585,3530.97469,1533.782706,1672.337658,1294.288945,1584.113474,2171.827587,3384.672755,4411.590972,4050.360371,3538.607455,2338.969902,3024.181782,4596.763224,3868.218621,2150.468455
"SCN1B",842.3785077,768.2237243,707.8999928,1319.738097,1250.638991,863.4740688,1094.108153,336.0887167,413.8563007,1217.783278,378.707519,349.3564762,393.2258581,429.9707288,342.2749928,558.6084866,967.7774545,859.7885388,392.8468522,656.7093222,735.9204229,823.3583261,463.4419446,583.6496677
"PLEKHB1",2023.360575,1541.40305,3577.15768,2113.899993,2843.039863,648.3014625,3368.734426,1443.327755,5991.001753,3880.543891,3063.743629,2577.960903,4044.616545,4078.349759,2681.578284,3737.508165,2626.966821,1635.837493,2763.219308,3966.039039,4238.931783,2134.110859,1669.279924,2218.566659
"DMD",412.1913932,214.4001939,123.3973855,166.9743822,199.2898904,173.3254015,200.7478383,245.2805446,166.674098,225.0784975,558.3757906,370.2892028,178.049227,238.4552785,447.7699528,325.400285,286.7274346,340.8139798,355.0911364,210.6087876,173.9777287,293.4451736,441.4545493,427.1239446
"TAOK3",707.0626449,351.4252749,411.4982688,332.5537764,526.9234083,324.6916595,407.4058282,401.8001642,366.4191659,434.5569687,581.2109308,556.3494786,668.618764,580.8583261,679.7609995,518.5598612,485.6888119,486.267005,456.7127873,491.8356399,396.7492125,461.8556982,669.5183007,730.6706906
"LPP",285.6291596,326.5492218,333.8248862,138.4654353,298.176655,265.6083272,230.3269066,109.28031,439.3492185,184.7741963,509.0560243,625.4653511,597.8057344,616.9045302,522.2993086,327.5643556,153.9338866,362.9905326,301.5711337,380.4473354,364.6602886,152.2594138,275.3737122,454.8745179
"WSB1",79.02927686,101.9279632,23.27389596,35.38609497,23.90702019,112.5488101,63.85654449,91.59856749,76.26541643,69.76617389,91.55315394,133.1587809,205.6360407,104.3923858,217.7391484,144.7609346,31.19314288,197.8978377,412.0104421,84.05010574,98.03043669,34.08232429,308.0069445,49.86715327
"MED13L",320.1434136,176.3663463,349.8911599,172.5580525,276.3536682,188.741117,217.251693,215.9835047,340.039584,214.4339608,338.3722123,402.3010153,447.5831086,330.1505855,265.4175666,283.3935178,202.7753178,288.4156177,300.7541595,291.7359577,283.9536898,190.6293298,263.2044556,389.0866585
"SOAT1",15.74416415,17.9814099,13.61642992,14.76239649,15.77486771,20.83803283,14.86349161,12.61507967,16.38882517,15.18595127,30.14865982,21.00816773,19.09931959,21.71574356,20.50858267,16.51557748,22.97762712,28.52610903,29.54498711,14.72683942,13.38917482,15.95700602,14.83927161,20.71081491
"PTPRB",120.6414345,93.15220582,114.2272213,92.76378278,79.21146862,66.8319499,141.4418945,85.24418246,300.0288228,120.8985315,148.2260518,286.9033403,357.2561431,208.4395769,198.0014384,168.2845251,61.60398886,113.5947443,79.2179102,112.2930804,186.125738,65.83779076,122.7175397,122.2225521
"LPAR1",1078.566659,816.4825669,664.2517533,384.3166595,554.5041595,216.6671945,618.2333261,478.3440951,3374.848385,990.0041595,439.5249928,1009.3518,2773.173967,2419.015168,865.7788935,747.1324835,386.2735123,523.4429307,1549.538543,1070.879603,1130.324705,528.4974956,532.1409516,647.8171955
"SRSF11",1051.646222,858.6098105,811.109997,583.5659286,909.1034298,744.5535212,850.0320839,614.0919705,736.7504669,1021.285334,999.4509935,1605.549483,1330.486396,991.8111668,1356.899993,893.1916595,612.1091307,1397.316659,1428.450893,917.4639089,814.9739488,500.0201363,1629.793339,1941.835354
"FAM46A",53.87845818,66.87716628,79.98191163,45.61376667,77.33905039,138.4114919,57.96667495,51.52767025,97.30725958,64.28319265,264.2333273,306.647095,132.3659511,134.2215497,132.6700158,89.68778463,50.51482379,75.33845098,68.97697671,78.37521205,110.9253906,68.52817272,69.1415763,106.1074366
"KLF6",101.0412568,129.0106153,66.40405546,62.99227552,90.93876575,113.626184,96.83379534,114.8205687,99.62249642,70.19842616,281.7663821,256.189326,144.8749327,158.934473,123.4432561,158.8410665,80.34228912,128.1163239,153.1375218,78.27068035,140.8903965,90.43608679,114.1306697,162.5163173
"POGZ",788.2310404,518.3891146,367.3938023,494.3406252,423.243873,519.1049122,613.8166595,488.0204899,487.7531375,494.4138027,633.3885787,788.1036887,889.7749928,611.997493,805.4246919,668.5239505,556.7373603,567.4738945,523.8450143,681.8763934,535.6708261,490.6099601,602.1262758,924.0135821
"RAB31",1251.549189,910.2131794,1879.552127,931.0448333,1471.853767,634.2050357,1391.274993,812.8583261,1973.608326,1136.569474,1966.504159,1750.20027,2028.816659,1691.493024,1816.568888,1366.088863,943.1916595,1142.887884,1188.796618,1729.712493,1956.122051,867.3530489,1163.020303,1282.112839
"TBCB",1504.941659,1932.376148,1320.562191,1749.089584,1489.691659,1551.316659,1889.233326,2240.086179,1334.425104,1851.660577,982.9526147,922.760599,1376.649993,928.3766123,1415.55251,1780.191659,1954.982549,1394.74615,1319.663365,1308.024993,1488.629159,1987.233326,1480.008053,1092.399993
"TUG1",292.471871,241.4164928,280.0000771,201.5794992,199.053785,260.3215642,262.0684849,244.986246,241.1691917,190.9612109,287.9973549,455.6227274,397.8290409,339.8522305,465.9844194,288.901511,171.6229576,401.8016849,375.4970247,301.6369225,271.6207922,218.8718455,352.3776938,445.6499928
"G3BP1",340.1417786,255.8900441,245.5866521,217.7387697,327.1000185,266.9308743,256.0521614,219.2733125,309.2333719,266.7433546,509.1902359,407.0725776,303.5249928,474.1264111,344.5667393,393.9097298,381.3071232,288.8266114,307.1955285,317.1345346,235.488439,214.9297771,202.812794,397.9222855
"JMJD1C",378.6486989,202.7895148,150.1727998,147.9446511,253.8882045,214.6576647,219.3572267,281.4639606,236.6916833,236.1149316,222.3921432,508.4485874,415.8519063,245.9013281,456.9082158,268.0818144,220.5730759,455.5838072,331.8872299,225.1006933,157.150547,190.2658073,403.4052974,553.9834625
"HMOX2",147.3072742,176.6760664,166.6473478,185.1600886,161.645097,184.4192718,184.3195885,171.9756675,172.2754142,180.9847193,97.95711936,128.4344875,157.4623698,152.5622342,109.92883,122.9550606,239.0400303,137.0877037,129.6603512,156.4300394,146.1770443,200.438959,145.7981798,116.8365369
"RBMS1",177.1998976,166.6935538,111.4218219,183.14002,167.4885995,242.2562172,181.7403769,143.9760963,163.8588055,111.6032443,495.6206403,359.6017653,237.6425652,365.8621935,247.7851009,178.3662948,172.336379,302.6736497,195.161848,164.1622579,226.6202972,177.4295466,170.8403003,224.9566729
"GLG1",177.8313121,197.0300132,157.2551316,198.1798562,163.0961941,157.4488801,206.1406216,298.1637557,258.5220185,192.6689834,174.1216032,258.207556,219.5698838,199.1455161,247.4314635,219.0829472,248.6622507,204.2968079,186.9820408,211.1188761,252.8158822,331.8473036,182.7439265,208.6010172
"C1orf61",206.1440075,177.6176059,258.9335087,117.9491935,291.7958262,117.9772578,160.7460178,220.008073,204.9538566,181.5676555,116.7811095,127.3517957,146.19804,196.8874924,141.9410924,137.6095829,147.1618393,89.53720173,140.5982947,215.9256089,204.7707705,129.1801414,112.440218,138.1524395
"CBR4",269.5402373,105.4082157,86.306005,137.681233,131.0815075,76.50545808,162.0557236,125.3239867,109.9583219,121.244979,124.5253285,266.1157261,239.983342,127.6115644,243.6192511,144.9044185,121.9973497,222.0001484,200.909518,136.3025228,112.8495113,160.4387605,272.18465,301.5206015
"CYCS",2704.90549,3185.944696,1675.298924,2904.932188,2710.253005,3422.087551,2349.461765,2894.872556,1351.796367,2511.722456,1453.062816,1433.38592,1615.389297,1881.074415,2027.441659,2272.679577,2267.260465,3403.44485,3176.265328,2023.383387,1510.709261,2793.864628,3538.997473,2376.316659
"ARIH1",140.742944,202.2462457,116.2322344,202.0019327,171.1894748,152.412684,172.9791968,189.2637829,148.8062918,170.8663491,207.874794,171.7100488,201.5133067,183.3753493,216.4416954,235.6457874,182.8697151,267.733327,302.9939571,130.0709905,188.1949477,189.7819901,243.5250049,171.8656792
"TARDBP",476.0369481,557.7709369,257.3999839,339.4453245,311.8469338,400.4256132,329.5236145,341.8511103,330.4291938,318.310988,449.5426734,437.1360249,573.5150362,413.5952399,605.5813747,432.8840183,502.8517165,486.7320696,495.1341669,345.8456922,340.3043345,503.1565451,350.0366466,628.3893373
"RPS29",3977.186966,4381.50419,3493.673822,3407.846657,3619.306183,2767.962391,4332.794572,3405.081122,4569.310401,4249.388698,4431.441659,4297.587493,4366.263127,4063.030588,3492.268695,4458.711372,4244.933218,3768.832151,3370.696928,4109.73936,4378.490953,4387.379159,3134.72298,3921.714971
"UBE2W",349.2625711,193.6115551,296.7903645,142.7623041,208.1612587,261.210059,84.12274539,124.6455136,103.7067715,136.5032327,156.0545576,120.8044275,127.5874612,129.6865246,79.20007064,88.3544182,57.62542787,246.3976129,342.4416595,219.8584506,144.1570721,138.9942691,133.6215636,119.9287792
"OSBPL3",146.5827142,224.4000789,44.85710716,127.7572038,127.3320174,345.5666595,125.1138169,175.1322161,38.52037619,123.6458539,83.60799582,108.3144262,59.12803174,86.15434819,156.046403,117.8888423,109.1644254,133.8203692,87.27219434,78.37521205,91.60946622,108.2483825,196.7257696,141.8436055
"CRYL1",455.2716869,334.4036052,415.992426,506.3990369,543.8092556,144.9054973,594.3931674,289.5849933,598.3780813,508.1858069,559.3115576,343.8877528,483.60599,421.679744,514.6585311,713.9768027,412.4167289,443.9034681,371.7110545,487.4526149,732.0024407,539.2097522,409.3636768,393.6295405
"MYOF",82.06693128,273.5272419,152.518716,67.68148201,148.767974,142.3306632,139.133064,39.78827534,115.3680731,89.76589557,889.9608319,682.5199331,307.8356533,307.2365426,342.0673253,196.8057228,99.51273273,214.2576858,138.2087222,132.621442,378.4341773,95.88769478,65.9170587,109.5103052
"MMRN2",123.7576813,113.2625636,135.9930126,91.81140876,135.641326,116.2531307,156.9343274,112.8351108,198.1104206,87.81797291,140.3831422,193.6617062,208.5396504,159.9452511,102.8148067,164.0465889,117.3662769,140.14386,106.8345224,144.8228622,244.0135478,152.2406461,138.0049631,141.7169126
"KPNA6",31.34139637,45.75267686,30.77972367,50.42577301,28.9426258,59.10051904,42.50820354,65.86856871,41.25973202,37.0062534,32.13745646,28.30054966,34.46808175,28.86731302,39.80269366,33.58628904,38.50307865,40.65707009,31.61301544,40.13158742,32.73290139,39.69371372,47.59649802,37.05354296
"UBE2L3",554.5143904,445.4156675,350.6926892,612.217364,435.0366318,397.2639793,566.4252479,437.5471621,433.6498775,431.311824,373.1723731,379.7642646,323.3615343,359.2077878,337.8899024,422.7202002,557.9416595,399.2085078,278.1510532,491.9249534,409.9816474,610.9779967,238.8180111,425.6154168
"ANKRD40",97.58318728,88.81145267,83.8705537,85.47812926,78.5368473,97.47179449,91.59968992,84.37251633,120.6841349,84.31009189,112.5390057,87.72767232,126.5453691,107.6358716,82.83350248,95.09797545,113.2488641,74.78816416,95.97610639,119.3375998,104.3487025,87.6669668,78.49653457,114.4384271
"RPS16",2361.083381,2956.195572,2097.505042,1944.123213,1941.892437,1773.198589,2367.743018,1525.566659,2666.711273,2430.774993,3460.551816,2578.614601,2971.796252,2831.428724,2199.311211,2856.18459,2802.627131,2159.036803,1864.281033,2272.574435,2552.774993,1949.644995,1536.624216,2451.733326
"TCF4",1620.894051,972.0945872,1787.82311,1120.591555,1542.009707,778.7132681,1059.423516,1165.441659,1212.47576,1371.881074,1362.334112,1765.178712,1844.924813,1492.979433,1176.641559,1263.671939,1030.569811,1483.855685,2061.59042,1737.537295,1327.60189,1158.619397,1414.2731,1579.320197
"MOB1A",51.85587016,50.34424857,53.64319781,38.10023415,52.96215344,57.38813229,53.25929281,48.47837946,52.56807124,54.74473656,76.65361403,70.14864154,69.98004372,60.77002189,59.54386061,56.44609127,35.56975387,56.77488694,72.580275,63.99104566,57.72601412,38.37130651,55.17142611,63.64972211
"MCMBP",53.90823424,53.55237906,39.27001723,32.19990453,47.79616287,48.02117993,41.89118208,44.78439339,56.85124377,44.43386148,64.74040106,72.73730983,68.3245739,64.60131005,48.44318292,49.0867487,41.06884405,42.22949542,51.38065789,51.29493627,54.04793294,40.76497006,39.50461547,46.63138164
"ADAMTS1",284.7749929,458.3118169,102.2239309,103.2926025,724.4492379,395.1369106,138.168139,134.6697235,192.7443956,106.2488412,736.8354396,792.4833261,869.3343695,1202.995763,186.281968,615.7607204,196.4827707,688.2068236,510.0215143,209.307877,434.7407174,130.7850384,253.6461546,1047.546521
"ALMS1",356.2333261,220.5441006,366.4384039,153.2915533,237.8146642,192.7243587,193.4703816,136.1378387,399.6544441,245.6238762,346.2998835,404.3957583,366.6481067,328.7333261,256.7767252,240.106505,132.6953075,257.5424299,273.697814,349.856997,302.0307577,125.1666025,305.7619506,335.3669604
"CST3",3596.461766,2690.203772,4677.954458,5888.207382,5573.497183,2137.941659,7158.698369,6079.625443,4876.441659,6487.28511,4960.144643,5029.866375,4031.998573,5841.482857,8085.582778,5877.607596,4859.149993,4788.057095,5413.750463,6106.584927,7033.925197,6543.883616,4598.608326,3569.330575
"RPL12",1969.034407,2498.938115,2359.474738,1586.651948,1632.912541,1375.519043,1989.855419,1757.852271,2359.474738,2241.493257,2850.363014,2312.515411,2676.277695,2106.354288,2436.438482,2462.009192,1623.983326,2094.566659,1949.611752,2084.358326,2370.813015,2239.646114,1377.908602,1611.817896
