"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OG_Gene","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"128619","false","3.10213844","0.00539461","NA",,,"0.32235828","0.0","true","22","7","false",,"CEBPZ","CEBPZ","15.33333333","22","0",,"1","0.78978616","false","0","CEBPZ","1070696","0.08143939"
"128620","false","4.84608891","0.0","NA",,,"0.20635197","0.0","false","1","8","false",,"E2F2","E2F2","24.0","1","0",,"0","0.61539111","false","0","E2F2","0","0.0"
"128621","false","3.86268993","2.8462E-4","NA",,,"0.25888695","0.0","false","2","6","false",,"FBXW5","FBXW5","93.0","2","0",,"0","0.71373101","false","0","FBXW5","41470","0.50273224"
"128622","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"PTK6","PTK6","213.0","1","0","false","0","0.69873382","false","0","PTK6","0","0.0"
"128623","false","4.10185706","0.0","NA",,,"0.24379202","0.0","false","1","8","false",,"TP73","TP73","21.0","1","0","false","0","0.68981429","false","0","TP73","0","0.0"
"128624","false","4.01266179","0.0","NA",,,"0.24921114","0.0","false","1","7","false",,"FHIT","FHIT","213.0","1","0",,"0","0.69873382","false","0","FHIT","0","0.0"
"128625","false","4.01828925","0.0","NA",,,"0.24886212","0.0","false","1","6","false",,"FTL","FTL","102.0","1","0","false","0","0.69817107","false","0","FTL","0","0.0"
"128626","false","4.10185706","0.0","NA",,,"0.24379202","0.0","false","1","8","false",,"NR2B3","NR2B3","21.0","1","0",,"0","0.68981429","false","0","NR2B3","0","0.0"
"128627","false","3.90574001","4.545E-5","NA",,,"0.25603343","0.0","false","3","6","false",,"LZTR1","LZTR1","28.66666667","3","0","false","0","0.709426","false","0","LZTR1","6334","0.34583333"
"128628","false","4.11564434","0.0","NA",,,"0.24297532","0.0","false","1","8","false",,"CCDC6","CCDC6","22.0","1","0",,"0","0.68843557","false","0","CCDC6","0","0.0"
