"","SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","Cell.type.x","Cell.type.y","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","Matching.Attribute.1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared.name","Stress","TopologicalCoefficient","C9","VCP"
"4158",130815,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IFNAR2","IFNAR2",NA,NA,NA,NA,NA,"false",NA,"IFNAR2",NA,NA,FALSE,FALSE
"4159",130816,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","MDK","MDK",NA,NA,NA,NA,NA,"false",NA,"MDK",NA,NA,FALSE,FALSE
"4160",130817,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IL5RA","IL5RA",NA,NA,NA,NA,NA,"false",NA,"IL5RA",NA,NA,FALSE,FALSE
"4161",130818,"false",NA,NA,"Microglia","","",NA,NA,"false",NA,NA,"","","IL10RA","IL10RA",NA,NA,NA,NA,NA,"false",NA,"IL10RA",NA,NA,FALSE,FALSE
"4162",130819,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","REPS2","REPS2",NA,NA,NA,NA,NA,"false",NA,"REPS2",NA,NA,FALSE,FALSE
"4163",130820,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","NGFR","NGFR",NA,NA,NA,NA,NA,"false",NA,"NGFR",NA,NA,FALSE,FALSE
"4164",130821,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","DAG1","DAG1",NA,NA,NA,NA,NA,"false",NA,"DAG1",NA,NA,FALSE,FALSE
"4165",130822,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","CD72","CD72",NA,NA,NA,NA,NA,"false",NA,"CD72",NA,NA,FALSE,FALSE
"4166",130823,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","SH2D1A","SH2D1A",NA,NA,NA,NA,NA,"false",NA,"SH2D1A",NA,NA,FALSE,FALSE
"4167",130824,"false",NA,NA,"Astrocytes","","",NA,NA,"false",NA,NA,"","","ZNF423","ZNF423",NA,NA,NA,NA,NA,"false",NA,"ZNF423",NA,NA,FALSE,FALSE
"4168",130825,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","ATL1-gamma","ATL1-gamma",NA,NA,NA,NA,NA,"false",NA,"ATL1-gamma",NA,NA,FALSE,FALSE
"4169",130826,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","FBXO30","FBXO30",NA,NA,NA,NA,NA,"false",NA,"FBXO30",NA,NA,FALSE,FALSE
"4170",130827,"false",NA,NA,"Microglia","","",NA,NA,"false",NA,NA,"","","CCR1","CCR1",NA,NA,NA,NA,NA,"false",NA,"CCR1",NA,NA,FALSE,FALSE
"4171",130828,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IL3RA","IL3RA",NA,NA,NA,NA,NA,"false",NA,"IL3RA",NA,NA,FALSE,FALSE
"4172",130829,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IL4R","IL4R",NA,NA,NA,NA,NA,"false",NA,"IL4R",NA,NA,FALSE,FALSE
"4173",130830,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IFNGR1","IFNGR1",NA,NA,NA,NA,NA,"false",NA,"IFNGR1",NA,NA,FALSE,FALSE
"4174",130831,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","IL21R","IL21R",NA,NA,NA,NA,NA,"false",NA,"IL21R",NA,NA,FALSE,FALSE
"4175",130832,"false",NA,NA,"Neurons","","",NA,NA,"false",NA,NA,"","","SHC3","SHC3",NA,NA,NA,NA,NA,"false",NA,"SHC3",NA,NA,FALSE,FALSE
"4176",130833,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","LAT2","LAT2",NA,NA,NA,NA,NA,"false",NA,"LAT2",NA,NA,FALSE,FALSE
"4177",130834,"false",NA,NA,"Oligodendrocytes","","",NA,NA,"false",NA,NA,"","","RHOU","RHOU",NA,NA,NA,NA,NA,"false",NA,"RHOU",NA,NA,FALSE,FALSE
"4178",130835,"false",NA,NA,NA,"","",NA,NA,"false",NA,NA,"","","PTPN1","PTPN1",NA,NA,NA,NA,NA,"false",NA,"PTPN1",NA,NA,FALSE,FALSE
