"SUID","ALSOD","AverageShortestPathLength","BetweennessCentrality","Cell.type","ClosenessCentrality","ClusteringCoefficient","DEG","Degree","Eccentricity","IsSingleNode","Matching.Attribute","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"106566","false","5.10363575","0.0","NA","0.19593875","0.0","false","1","8","false","ANKRD7","ANKRD7","22.0","1","0","0","0.58963643","false","0","ANKRD7","0","0.0"
"106567","false","5.49473327","0.0","NA","0.18199246","0.0","false","1","9","false","LDB1","LDB1","7.0","1","0","0","0.55052667","false","0","LDB1","0","0.0"
"106568","false","5.62283384","0.0","NA","0.17784627","0.0","false","1","9","false","MAP1LC3C","MAP1LC3C","4.0","1","0","0","0.53771662","false","0","MAP1LC3C","0","0.0"
"106569","false","4.62317363","7.2345E-4","NA","0.21630163","0.0","true","4","8","false","TBC1D2B","TBC1D2B","2.0","4","0","0","0.63768264","false","0","TBC1D2B","83946","0.25"
"106570","false","4.26265715","0.0","NA","0.23459546","0.0","false","1","8","false","RNF167","RNF167","12.0","1","0","0","0.67373428","false","0","RNF167","0","0.0"
"106571","false","4.02038736","0.0","NA","0.24873225","0.0","false","1","8","false","GPRIN2","GPRIN2","120.0","1","0","0","0.69796126","false","0","GPRIN2","0","0.0"
"106572","false","4.99864084","0.0","NA","0.20005438","0.0","false","2","8","false","TET2","TET2","14.0","2","0","1","0.60013592","false","0","TET2","0","0.0"
"106573","false","1.5","0.0","NA","0.66666667","0.0","false","1","2","false","TMEM30B","TMEM30B","2.0","1","0","0","0.75","false","0","TMEM30B","0","0.0"
"106574","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","MRM1","MRM1","292.0","1","0","0","0.72592593","false","0","MRM1","0","0.0"
"106575","false","3.69384981","1.6097E-4","NA","0.27072026","0.0","false","2","7","false","GSK3B","GSK3B","153.5","2","0","0","0.73061502","false","0","GSK3B","13416","0.50330033"
"106576","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","NELL1","NELL1","292.0","1","0","0","0.72592593","false","0","NELL1","0","0.0"
"106577","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","TSPY1","TSPY1","292.0","1","0","0","0.72592593","false","0","TSPY1","0","0.0"
"106578","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","RRAS","RRAS","292.0","1","0","0","0.72592593","false","0","RRAS","0","0.0"
"106579","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","RAP2A","RAP2A","292.0","1","0","0","0.72592593","false","0","RAP2A","0","0.0"
"106580","false","4.08426775","0.0","NA","0.24484193","0.0","false","1","8","false","INPP5J","INPP5J","62.0","1","0","0","0.69157322","false","0","INPP5J","0","0.0"
"106581","false","3.74074074","0.0","Astrocytes","0.26732673","0.0","false","1","8","false","BBS2","BBS2","292.0","1","0","0","0.72592593","false","0","BBS2","0","0.0"
"106582","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","BBS1","BBS1","292.0","1","0","0","0.72592593","false","0","BBS1","0","0.0"
"106583","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","CCL18","CCL18","292.0","1","0","0","0.72592593","false","0","CCL18","0","0.0"
"106584","false","3.69656813","1.0945E-4","NA","0.27052119","0.0","false","2","8","false","LAMTOR1","LAMTOR1","160.5","2","0","0","0.73034319","false","0","LAMTOR1","23644","0.51785714"
"106585","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","BRMS1","BRMS1","292.0","1","0","0","0.72592593","false","0","BRMS1","0","0.0"
"106586","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","TMSB4X","TMSB4X","292.0","1","0","0","0.72592593","false","0","TMSB4X","0","0.0"
"106587","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","PSG9","PSG9","292.0","1","0","0","0.72592593","false","0","PSG9","0","0.0"
"106588","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","PAEP","PAEP","292.0","1","0","0","0.72592593","false","0","PAEP","0","0.0"
"106589","false","3.69656813","1.0945E-4","Neurons","0.27052119","0.0","false","2","8","false","PAFAH1B3","PAFAH1B3","160.5","2","0","0","0.73034319","false","0","PAFAH1B3","23644","0.51785714"
"106590","false","3.87291879","0.0","NA","0.25820319","0.0","false","1","7","false","CAPZA1","CAPZA1","253.0","1","0","0","0.71270812","false","0","CAPZA1","0","0.0"
"106591","false","5.10363575","0.0","NA","0.19593875","0.0","false","1","8","false","CPSF4","CPSF4","22.0","1","0","0","0.58963643","false","0","CPSF4","0","0.0"
"106592","false","4.19571865","0.0","NA","0.23833819","0.0","false","1","8","false","LAMC1","LAMC1","32.0","1","0","0","0.68042813","false","0","LAMC1","0","0.0"
"106593","false","4.59463133","0.0","NA","0.21764532","0.0","false","1","8","false","RGL2","RGL2","29.0","1","0","0","0.64053687","false","0","RGL2","0","0.0"
"106594","false","3.87291879","0.0","NA","0.25820319","0.0","false","1","7","false","ARL1","ARL1","253.0","1","0","0","0.71270812","false","0","ARL1","0","0.0"
"106595","false","3.87291879","0.0","NA","0.25820319","0.0","false","2","7","false","HLA-A","HLA-A","253.0","2","0","1","0.71270812","false","0","HLA-A","0","0.0"
"106596","false","4.60788311","0.0","NA","0.21701939","0.0","false","1","8","false","IKZF2","IKZF2","30.0","1","0","0","0.63921169","false","0","IKZF2","0","0.0"
"106597","false","4.02038736","0.0","NA","0.24873225","0.0","false","1","8","false","HOXA9","HOXA9","120.0","1","0","0","0.69796126","false","0","HOXA9","0","0.0"
"106598","false","3.95107034","1.1866E-4","NA","0.25309598","0.0","true","2","7","false","CRY1","CRY1","84.0","2","0","0","0.70489297","false","0","CRY1","16290","0.52201258"
"106599","false","1.5","0.0","NA","0.66666667","0.0","false","1","2","false","TMEM30A","TMEM30A","2.0","1","0","0","0.75","false","0","TMEM30A","0","0.0"
"106600","false","1.0","1.0","NA","1.0","0.0","true","2","1","false","ATP8B1","ATP8B1","1.0","2","0","0","1.0","false","0","ATP8B1","2","0.0"
"106601","false","5.74753653","0.0","NA","0.17398758","0.0","true","1","9","false","CLCN6","CLCN6","3.0","1","0","0","0.52524635","false","0","CLCN6","0","0.0"
"106602","false","3.70132518","6.516E-5","NA","0.27017351","0.0","false","2","7","false","MAPRE1","MAPRE1","145.0","2","0","0","0.72986748","false","0","MAPRE1","14226","0.52554745"
"106603","false","4.09921848","0.0","NA","0.24394894","0.0","false","1","8","false","LRRK2","LRRK2","60.0","1","0","0","0.69007815","false","0","LRRK2","0","0.0"
"106604","false","4.10431532","0.0","NA","0.243646","0.0","false","1","8","false","ADRA1B","ADRA1B","63.0","1","0","0","0.68956847","false","0","ADRA1B","0","0.0"
"106605","false","4.08426775","0.0","NA","0.24484193","0.0","false","1","8","false","TDP2","TDP2","62.0","1","0","0","0.69157322","false","0","TDP2","0","0.0"
"106606","false","4.21542644","0.0","NA","0.23722392","0.0","false","1","8","false","MAPK8IP1","MAPK8IP1","21.0","1","0","0","0.67845736","false","0","MAPK8IP1","0","0.0"
"106607","false","5.36187564","0.0","NA","0.1865019","0.0","false","1","8","false","ILK","ILK","10.0","1","0","0","0.56381244","false","0","ILK","0","0.0"
"106608","false","5.36187564","0.0","NA","0.1865019","0.0","false","1","8","false","PSPH","PSPH","10.0","1","0","0","0.56381244","false","0","PSPH","0","0.0"
"106609","false","4.24023106","0.0","NA","0.2358362","0.0","false","1","8","false","PROP1","PROP1","19.0","1","0","0","0.67597689","false","0","PROP1","0","0.0"
"106610","false","4.02038736","0.0","NA","0.24873225","0.0","false","1","8","false","C10orf62","C10orf62","120.0","1","0","0","0.69796126","false","0","C10orf62","0","0.0"
"106611","false","4.20523276","0.0","NA","0.23779897","0.0","false","1","8","false","CEP57L1","CEP57L1","9.0","1","0","0","0.67947672","false","0","CEP57L1","0","0.0"
"106612","false","6.36969079","0.0","NA","0.15699349","0.0","false","1","9","false","SYNE1","SYNE1","2.0","1","0","0","0.46303092","false","0","SYNE1","0","0.0"
"106613","false","5.37003058","6.7958E-4","NA","0.18621868","0.0","true","2","8","false","SUN1","SUN1","1.5","2","0","0","0.56299694","false","0","SUN1","24620","0.5"
"106614","false","4.08426775","0.0","NA","0.24484193","0.0","false","1","8","false","BLOC1S6","BLOC1S6","62.0","1","0","0","0.69157322","false","0","BLOC1S6","0","0.0"
"106615","false","4.5667686","0.0","NA","0.21897321","0.0","false","1","8","false","KMT2C","KMT2C","49.0","1","0","0","0.64332314","false","0","KMT2C","0","0.0"
"106616","false","4.5667686","0.0","NA","0.21897321","0.0","false","1","8","false","KMT2D","KMT2D","49.0","1","0","0","0.64332314","false","0","KMT2D","0","0.0"
"106617","false","3.74074074","0.0","NA","0.26732673","0.0","false","1","8","false","DUSP7","DUSP7","292.0","1","0","0","0.72592593","false","0","DUSP7","0","0.0"
"106618","false","4.21542644","0.0","NA","0.23722392","0.0","false","1","8","false","CNTN2","CNTN2","21.0","1","0","0","0.67845736","false","0","CNTN2","0","0.0"
"106619","false","3.72545022","7.9081E-4","NA","0.26842393","0.0","false","2","8","false","TTR","TTR","157.0","2","0","0","0.72745498","false","0","TTR","255764","0.50160772"
"106620","false","4.5667686","0.0","NA","0.21897321","0.0","false","1","8","false","NR1i1","NR1i1","49.0","1","0","0","0.64332314","false","0","NR1i1","0","0.0"
"106621","false","4.5667686","0.0","NA","0.21897321","0.0","false","1","8","false","CREBBP","CREBBP","49.0","1","0","0","0.64332314","false","0","CREBBP","0","0.0"
"106622","false","6.19469929","0.0","NA","0.16142834","0.0","false","1","10","false","STX4","STX4","4.0","1","0","0","0.48053007","false","0","STX4","0","0.0"
"106623","false","4.00237853","3.2827E-4","NA","0.24985143","0.0","false","2","8","false","IL1F5","IL1F5","110.0","2","0","0","0.69976215","false","0","IL1F5","36476","0.50230415"
"106624","false","4.00815494","0.0","NA","0.24949135","0.0","false","1","8","false","EFHC1","EFHC1","213.0","1","0","0","0.69918451","false","0","EFHC1","0","0.0"
"106625","false","3.69588855","0.0","NA","0.27057093","0.0","false","1","8","false","TMEM218","TMEM218","239.0","1","0","0","0.73041115","false","0","TMEM218","0","0.0"
"106626","false","4.08426775","0.0","NA","0.24484193","0.0","false","1","8","false","SCRN3","SCRN3","62.0","1","0","0","0.69157322","false","0","SCRN3","0","0.0"
"106627","false","4.10431532","0.0","NA","0.243646","0.0","false","1","8","false","MYOT","MYOT","63.0","1","0","0","0.68956847","false","0","MYOT","0","0.0"
"106628","false","4.44954128","2.3476E-4","NA","0.22474227","0.0","false","2","8","false","PRNP","PRNP","18.5","2","0","0","0.65504587","false","0","PRNP","12250","0.5"
"106629","false","3.87291879","0.0","NA","0.25820319","0.0","false","1","7","false","SNRPB2","SNRPB2","253.0","1","0","0","0.71270812","false","0","SNRPB2","0","0.0"
"106630","false","3.87291879","0.0","NA","0.25820319","0.0","false","1","7","false","IGF2BP1","IGF2BP1","253.0","1","0","0","0.71270812","false","0","IGF2BP1","0","0.0"
"106631","false","5.35541964","0.0","NA","0.18672673","0.0","false","1","8","false","HPS6","HPS6","9.0","1","0","0","0.56445804","false","0","HPS6","0","0.0"
"106632","false","4.21678559","0.0","NA","0.23714746","0.0","false","1","8","false","HEYL","HEYL","28.0","1","0","0","0.67832144","false","0","HEYL","0","0.0"
"106633","false","5.35541964","0.0","NA","0.18672673","0.0","false","1","8","false","STK11","STK11","9.0","1","0","0","0.56445804","false","0","STK11","0","0.0"
