Entity 1	Entity 2	Weight	Network group	Networks
NDUFS8	ATP5D	0.122214746	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006]"
UQCRQ	ATP5I	0.122070655	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5G3	COX5B	0.120692893	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX4I1	COX5B	0.119489266	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Rieger-Chu-2004, Roth-Zlotnik-2006, Wang-Maris-2006, Wu-Garvey-2007]"
COX6B1	ATP5J2	0.119317818	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Chen-Brown-2002, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
MT-CO3	MT-ATP6	0.117567588	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006]"
ATP5J	ATP5G3	0.116475522	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Chen-Brown-2002, Gysin-McMahon-2012, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
UQCRQ	COX7A2	0.115433953	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA1	NDUFB1	0.115224493	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
NDUFA1	UQCR11	0.115067969	Co-expression	"[Gysin-McMahon-2012, Kang-Willman-2010, Mallon-McKay-2013, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX6B1	NDUFA7	0.114197278	Co-expression	"[Bahr-Bowler-2013, Burington-Shaughnessy-2008, Chen-Brown-2002, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX7A2L	UQCRB	0.114145197	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Kang-Willman-2010, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5G3	COX7B	0.113937721	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Chen-Brown-2002, Gysin-McMahon-2012, Ramaswamy-Golub-2001, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5I	ATP5E	0.112939468	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Kang-Willman-2010, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
UQCRQ	NDUFA1	0.112505631	Co-expression	"[Burington-Shaughnessy-2008, Chen-Brown-2002, Gysin-McMahon-2012, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
MT-ND2	MT-ATP6	0.112021624	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006]"
UQCR11	ATP5I	0.111822769	Co-expression	"[Bahr-Bowler-2013, Gysin-McMahon-2012, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
COX7A2	COX7B	0.111728239	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFB3	COX7B	0.111666738	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
UQCRQ	UQCR11	0.111548588	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Gysin-McMahon-2012, Kang-Willman-2010, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
UQCRQ	COX5B	0.111342773	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA2	COX5B	0.110790597	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Rieger-Chu-2004, Smirnov-Cheung-2009]"
COX7C	NDUFB1	0.110392818	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wang-Maris-2006]"
COX6B1	UQCR11	0.109698201	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
COX6B1	ATP5I	0.109664284	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA2	NDUFB1	0.107996315	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
COX17	NDUFA2	0.107302743	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
ATP5J	NDUFB3	0.107108814	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
SDHB	COX7B	0.106568917	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Chen-Brown-2002, Gysin-McMahon-2012, Mallon-McKay-2013, Ramaswamy-Golub-2001, Wu-Garvey-2007]"
