Entity 1	Entity 2	Weight	Network group	Networks
NDUFB11	NDUFA11	0.045135387	Co-expression	"[Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006]"
ATP5J2	NDUFS7	0.045075863	Co-expression	"[Burington-Shaughnessy-2008, Rieger-Chu-2004, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFS6	COX6B1	0.045066782	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
UQCRC2	ATP5G3	0.045031712	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Ramaswamy-Golub-2001, Salaverria-Siebert-2011]"
NDUFS6	ATP5H	0.0449983	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Cheok-Evans-2003, Rieger-Chu-2004, Salaverria-Siebert-2011]"
NDUFB5	COX4I1	0.044969235	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Rieger-Chu-2004, Salaverria-Siebert-2011]"
COX6C	PFDN1	0.044952947	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
COX8A	NDUFS7	0.044927462	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
UQCRB	NDUFA12	0.044871937	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ATP5J	COX4I1	0.044862432	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001]"
NDUFA2	ATP5I	0.044856403	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Cheok-Evans-2003, Rieger-Chu-2004]"
SDHB	COX5B	0.044845965	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Cheok-Evans-2003, Mallon-McKay-2013]"
ATP5O	UQCRB	0.04482026	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004, Wu-Garvey-2007]"
NDUFS3	COX7B	0.044784229	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wu-Garvey-2007]"
UQCRH	NDUFB2	0.044722974	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFB4	NDUFB9	0.044714557	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Mallon-McKay-2013]"
NDUFB6	NDUFB2	0.044664305	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFS3	NDUFA1	0.044629056	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Bild-Nevins-2006 B, Roth-Zlotnik-2006, Wu-Garvey-2007]"
ATP5J	COX5B	0.044618746	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
UQCRH	NDUFB1	0.044602471	Co-expression	"[Bahr-Bowler-2013, Cheok-Evans-2003, Roth-Zlotnik-2006, Wu-Garvey-2007]"
COX5A	COX5B	0.044597583	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
NDUFA5	SDHD	0.044531113	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004]"
NDUFA7	UQCR10	0.044511485	Co-expression	"[Innocenti-Brown-2011, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFS4	NDUFA6	0.044476861	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Smirnov-Cheung-2009]"
ATP5A1	UQCRH	0.04444919	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
UQCRQ	NDUFA3	0.044418186	Co-expression	"[Arijs-Rutgeerts-2009, Chen-Brown-2002, Kang-Willman-2010, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5J2	ATP5O	0.044416323	Co-expression	"[Gysin-McMahon-2012, Rieger-Chu-2004, Smirnov-Cheung-2009]"
ATP5J	ATP5E	0.044407851	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Salaverria-Siebert-2011]"
ATP5G1	NDUFB8	0.044406897	Co-expression	"[Burington-Shaughnessy-2008, Cheok-Evans-2003, Rieger-Chu-2004, Roth-Zlotnik-2006, Wu-Garvey-2007]"
UQCR11	NDUFB8	0.044356661	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013, Rieger-Chu-2004, Wu-Garvey-2007]"
UQCRFS1	NDUFB4	0.044334806	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5J2	NDUFA4	0.044310153	Co-expression	"[Chen-Brown-2002, Gysin-McMahon-2012, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
CYC1	ATP5C1	0.044199685	Co-expression	"[Burington-Shaughnessy-2008, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wu-Garvey-2007]"
NDUFB10	NDUFA11	0.044194818	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Roth-Zlotnik-2006]"
ATP5L	COX6A1	0.044129711	Co-expression	"[Gysin-McMahon-2012, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX5A	ATP5C1	0.044060851	Co-expression	"[Bahr-Bowler-2013, Bild-Nevins-2006 B, Cheok-Evans-2003, Rieger-Chu-2004, Wang-Maris-2006]"
SDHB	NDUFA1	0.044002096	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Mallon-McKay-2013]"
NDUFAB1	NDUFA1	0.043943536	Co-expression	"[Chen-Brown-2002, Rieger-Chu-2004, Roth-Zlotnik-2006, Wang-Maris-2006]"
UQCRB	NDUFA6	0.043926649	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
COX6C	NDUFB8	0.043916506	Co-expression	"[Burington-Shaughnessy-2008, Cheok-Evans-2003, Gysin-McMahon-2012, Kang-Willman-2010]"
COX6C	ATP5O	0.043851882	Co-expression	"[Arijs-Rutgeerts-2009, Rieger-Chu-2004, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFB3	SDHB	0.043782772	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Mallon-McKay-2013]"
TCIRG1	ATP6V0C	0.043727699	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Cheok-Evans-2003, Ramaswamy-Golub-2001, Salaverria-Siebert-2011]"
NDUFAB1	NDUFB3	0.043682709	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wang-Maris-2006]"
NDUFB3	NDUFA8	0.043675657	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Kang-Willman-2010, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006]"
NDUFA8	COX5B	0.043657708	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
COX6B1	ATP5H	0.043624855	Co-expression	"[Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFA1	NDUFB4	0.043576074	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Smirnov-Cheung-2009]"
UQCRH	NDUFV2	0.043565282	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
ATP5J	UQCRC2	0.043556541	Co-expression	"[Arijs-Rutgeerts-2009, Chen-Brown-2002, Innocenti-Brown-2011, Roth-Zlotnik-2006, Wu-Garvey-2007]"
UQCR11	NDUFB4	0.043515154	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
SDHA	ATP5C1	0.043492057	Co-expression	"[Bild-Nevins-2006 B, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
ATP5G1	UQCR11	0.043437117	Co-expression	"[Rieger-Chu-2004, Roth-Zlotnik-2006, Wang-Maris-2006, Wu-Garvey-2007]"
SDHA	COX5A	0.043416176	Co-expression	"[Burington-Shaughnessy-2008, Roth-Zlotnik-2006, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFB6	ATP5O	0.043372678	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013, Salaverria-Siebert-2011, Wang-Maris-2006]"
NDUFS3	COX8A	0.043333807	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5O	COX5B	0.043249017	Co-expression	"[Burington-Shaughnessy-2008, Rieger-Chu-2004, Roth-Zlotnik-2006]"
NDUFA1	COX6A1	0.04314879	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
COX8A	COX7A2	0.043118565	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Rieger-Chu-2004]"
ATP5J	COX7C	0.043017474	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Ramaswamy-Golub-2001, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFA9	COX7B	0.042998541	Co-expression	"[Chen-Brown-2002, Smirnov-Cheung-2009, Wu-Garvey-2007]"
ATP5G1	ATP5I	0.042967199	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Rieger-Chu-2004, Roth-Zlotnik-2006, Wu-Garvey-2007]"
NDUFS1	NDUFB10	0.042847627	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
UQCRB	ATP5E	0.042846351	Co-expression	"[Innocenti-Brown-2011, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5B	ATP5O	0.042825936	Co-expression	"[Chen-Brown-2002, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
NDUFB5	COX7C	0.042782215	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
COX6B1	NDUFA2	0.042776665	Co-expression	"[Bahr-Bowler-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFAB1	UQCRB	0.042708186	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ATP5J	NDUFS8	0.042682482	Co-expression	"[Gysin-McMahon-2012, Kang-Willman-2010, Mallon-McKay-2013]"
NDUFB1	ATP5E	0.042661991	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFS6	COX7B	0.042644609	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Wu-Garvey-2007]"
ATP5H	COX7C	0.042617525	Co-expression	"[Mallon-McKay-2013, Rieger-Chu-2004, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
SDHA	UQCRQ	0.042486098	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Wu-Garvey-2007]"
PPP2CA	PFDN1	0.042468904	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012, Salaverria-Siebert-2011]"
NDUFA1	NDUFB11	0.042456139	Co-expression	"[Gysin-McMahon-2012, Kang-Willman-2010, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
NDUFA7	ATP5O	0.042363649	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012, Mallon-McKay-2013, Rieger-Chu-2004]"
NDUFB7	NDUFA4	0.042329406	Co-expression	"[Chen-Brown-2002, Mallon-McKay-2013, Salaverria-Siebert-2011]"
ATP5G1	NDUFV1	0.042326457	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Kang-Willman-2010, Roth-Zlotnik-2006, Wu-Garvey-2007]"
NDUFAB1	NDUFA7	0.042320147	Co-expression	"[Bahr-Bowler-2013, Chen-Brown-2002, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006]"
NDUFB11	NDUFB2	0.042312598	Co-expression	"[Gysin-McMahon-2012, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
UQCR11	NDUFA6	0.042300117	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Smirnov-Cheung-2009]"
UQCRFS1	ATP5J	0.042290796	Co-expression	"[Burington-Shaughnessy-2008, Chen-Brown-2002, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
MXI1	RAB40B	0.042268619	Co-expression	"[Burington-Shaughnessy-2008, Innocenti-Brown-2011]"
NDUFA7	NDUFB1	0.042244472	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001, Smirnov-Cheung-2009]"
ATP5A1	NDUFB5	0.04222474	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFV2	NDUFS1	0.042134327	Co-expression	"[Mallon-McKay-2013, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA3	NDUFB4	0.04211482	Co-expression	"[Bahr-Bowler-2013, Gysin-McMahon-2012, Salaverria-Siebert-2011]"
NDUFAB1	COX7A2	0.042093231	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Cheok-Evans-2003, Innocenti-Brown-2011]"
NDUFS3	NDUFB7	0.042072523	Co-expression	"[Bahr-Bowler-2013, Mallon-McKay-2013, Rieger-Chu-2004, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA9	UQCRQ	0.04201409	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Kang-Willman-2010, Roth-Zlotnik-2006, Wang-Maris-2006]"
ATP5O	ATP5L	0.041972844	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004]"
NDUFB5	ATP5J2	0.041967456	Co-expression	"[Chen-Brown-2002, Cheok-Evans-2003, Gysin-McMahon-2012, Mallon-McKay-2013]"
UQCRH	UQCRC2	0.041962158	Co-expression	"[Kang-Willman-2010, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Wu-Garvey-2007]"
ATP5A1	ATP5C1	0.041935596	Co-expression	"[Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001, Wang-Maris-2006]"
CYC1	NDUFV1	0.041933083	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Mallon-McKay-2013, Wu-Garvey-2007]"
NDUFS3	SDHB	0.041791251	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Kang-Willman-2010, Mallon-McKay-2013, Rieger-Chu-2004]"
NDUFB6	ATP5C1	0.041783663	Co-expression	"[Mallon-McKay-2013, Salaverria-Siebert-2011, Wang-Maris-2006]"
NDUFB5	NDUFA8	0.041735178	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006]"
PFDN1	ATP5H	0.041712272	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Salaverria-Siebert-2011]"
UQCRFS1	NDUFS6	0.041675832	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Gysin-McMahon-2012, Innocenti-Brown-2011, Wang-Maris-2006]"
COX7B	COX6A1	0.041658317	Co-expression	"[Bahr-Bowler-2013, Ramaswamy-Golub-2001, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
CYC1	NDUFB7	0.041621012	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Ramaswamy-Golub-2001, Smirnov-Cheung-2009, Wu-Garvey-2007]"
COX6B1	NDUFB2	0.041562623	Co-expression	"[Mallon-McKay-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
ATP5B	NDUFA4	0.041557465	Co-expression	"[Chen-Brown-2002, Kang-Willman-2010, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5J2	COX6A1	0.041497422	Co-expression	"[Bahr-Bowler-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
ATP5I	NDUFA6	0.041464505	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ATP5H	NDUFB8	0.041392712	Co-expression	"[Burington-Shaughnessy-2008, Cheok-Evans-2003, Innocenti-Brown-2011, Rieger-Chu-2004]"
COX7A2	ATP5O	0.041310792	Co-expression	"[Bahr-Bowler-2013, Kang-Willman-2010, Rieger-Chu-2004]"
NDUFA9	ATP5G1	0.041305786	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
UQCRC2	NDUFB3	0.04123273	Co-expression	"[Mallon-McKay-2013, Roth-Zlotnik-2006, Wu-Garvey-2007]"
COX7B	ATP6V1D	0.041227135	Co-expression	"[Bild-Nevins-2006 B, Cheok-Evans-2003]"
COX4I1	NDUFS5	0.04114016	Co-expression	"[Cheok-Evans-2003, Innocenti-Brown-2011, Rieger-Chu-2004, Wu-Garvey-2007]"
ATP5F1	UQCRC2	0.041090146	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Mallon-McKay-2013, Ramaswamy-Golub-2001, Salaverria-Siebert-2011]"
CYC1	NDUFS7	0.041036858	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Mallon-McKay-2013, Rieger-Chu-2004, Wu-Garvey-2007]"
UQCRH	ATP5L	0.041009046	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Mallon-McKay-2013, Roth-Zlotnik-2006]"
UQCRFS1	ATP5F1	0.040984949	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Innocenti-Brown-2011, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFB9	NDUFB2	0.040961561	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
ATP5B	SDHA	0.040961391	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
NDUFS6	COX4I1	0.040913931	Co-expression	"[Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Smirnov-Cheung-2009, Wu-Garvey-2007]"
SDHA	COX5B	0.040783987	Co-expression	"[Burington-Shaughnessy-2008, Cheok-Evans-2003, Roth-Zlotnik-2006]"
COX7C	COX6A1	0.040775264	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Ramaswamy-Golub-2001, Smirnov-Cheung-2009]"
GBAS	NDUFS1	0.040770021	Co-expression	"[Rieger-Chu-2004, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFA4	NDUFB4	0.040717979	Co-expression	"[Gysin-McMahon-2012, Mallon-McKay-2013, Smirnov-Cheung-2009]"
COX17	ATP6V0E1	0.04070099	Co-expression	"[Kang-Willman-2010, Rieger-Chu-2004]"
NDUFA7	NDUFC1	0.040641731	Co-expression	"[Innocenti-Brown-2011, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
COX17	NDUFB9	0.040539628	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013]"
NDUFB3	SDHD	0.040513004	Co-expression	"[Rieger-Chu-2004, Wang-Maris-2006, Wu-Garvey-2007]"
ATP6V0D1	ATP6V1H	0.040483798	Co-expression	"[Gysin-McMahon-2012, Rieger-Chu-2004, Salaverria-Siebert-2011]"
ATP5G3	NDUFA6	0.040454012	Co-expression	"[Arijs-Rutgeerts-2009, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
UQCRQ	NDUFS4	0.040364575	Co-expression	"[Arijs-Rutgeerts-2009, Rieger-Chu-2004, Salaverria-Siebert-2011, Wang-Maris-2006]"
NDUFB1	NDUFA3	0.040347608	Co-expression	"[Gysin-McMahon-2012, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
ATP5O	NDUFB9	0.040211757	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
NDUFV2	NDUFC1	0.040083244	Co-expression	"[Bahr-Bowler-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
ATP5L	NDUFA6	0.040077798	Co-expression	"[Roth-Zlotnik-2006, Wu-Garvey-2007]"
NDUFS3	ATP5H	0.040063184	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Wu-Garvey-2007]"
NDUFS1	SDHC	0.040053972	Co-expression	"[Kang-Willman-2010, Rieger-Chu-2004]"
NDUFB6	UQCR11	0.039963345	Co-expression	"[Innocenti-Brown-2011, Mallon-McKay-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFB5	ATP6V1G1	0.039928973	Co-expression	"[Bahr-Bowler-2013, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFS3	UQCRQ	0.039885594	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Gysin-McMahon-2012, Salaverria-Siebert-2011, Wang-Maris-2006, Wu-Garvey-2007]"
ATP5D	NDUFA3	0.039869643	Co-expression	"[Chen-Brown-2002, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
NDUFB7	NDUFA3	0.039851923	Co-expression	"[Chen-Brown-2002, Kang-Willman-2010, Mallon-McKay-2013]"
NDUFB9	NDUFS5	0.039830007	Co-expression	"[Innocenti-Brown-2011, Ramaswamy-Golub-2001]"
COX5A	NDUFB9	0.039795007	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
UQCR10	NDUFA3	0.039781199	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
CYC1	COX7B	0.039777547	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013, Roth-Zlotnik-2006, Wu-Garvey-2007]"
ATP5C1	NDUFB1	0.039738706	Co-expression	"[Cheok-Evans-2003, Gysin-McMahon-2012, Rieger-Chu-2004, Wu-Garvey-2007]"
NDUFA5	UQCRB	0.039714616	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011]"
COX7C	NDUFA2	0.03970331	Co-expression	"[Gysin-McMahon-2012, Rieger-Chu-2004, Salaverria-Siebert-2011]"
NDUFA7	NDUFB8	0.039701115	Co-expression	"[Burington-Shaughnessy-2008, Mallon-McKay-2013, Wu-Garvey-2007]"
NDUFS3	NDUFS1	0.039678212	Co-expression	"[Arijs-Rutgeerts-2009, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
COX7A2	NDUFB3	0.039642533	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Rieger-Chu-2004, Smirnov-Cheung-2009]"
NDUFAB1	ATP5O	0.039612843	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Salaverria-Siebert-2011]"
COX7B	NDUFA12	0.03951304	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Ramaswamy-Golub-2001, Roth-Zlotnik-2006]"
UQCRC1	ATP5G3	0.039493592	Co-expression	"[Arijs-Rutgeerts-2009, Cheok-Evans-2003, Ramaswamy-Golub-2001, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Wu-Garvey-2007]"
COX6B1	NDUFB3	0.039452901	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFA13	COX6A1	0.039402821	Co-expression	"[Arijs-Rutgeerts-2009, Bahr-Bowler-2013, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
NDUFS6	NDUFC1	0.039382101	Co-expression	"[Cheok-Evans-2003, Innocenti-Brown-2011, Mallon-McKay-2013, Rieger-Chu-2004, Smirnov-Cheung-2009, Wu-Garvey-2007]"
UQCRQ	UQCR10	0.039374897	Co-expression	"[Arijs-Rutgeerts-2009, Gysin-McMahon-2012, Roth-Zlotnik-2006, Salaverria-Siebert-2011, Smirnov-Cheung-2009]"
SDHA	PFDN1	0.039355746	Co-expression	"[Burington-Shaughnessy-2008, Wu-Garvey-2007]"
NDUFA9	NDUFA11	0.039345899	Co-expression	"[Bahr-Bowler-2013, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
UQCRQ	NDUFA6	0.039337674	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
NDUFS8	COX4I1	0.039321561	Co-expression	"[Bild-Nevins-2006 B, Burington-Shaughnessy-2008, Wang-Maris-2006, Wu-Garvey-2007]"
NDUFA8	COX4I1	0.039237904	Co-expression	"[Arijs-Rutgeerts-2009, Mallon-McKay-2013, Roth-Zlotnik-2006]"
UQCR11	NDUFS5	0.039191232	Co-expression	"[Innocenti-Brown-2011, Rieger-Chu-2004, Wu-Garvey-2007]"
COX8A	COX7C	0.039180172	Co-expression	"[Arijs-Rutgeerts-2009, Kang-Willman-2010, Rieger-Chu-2004, Roth-Zlotnik-2006, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFS6	NDUFA7	0.039133186	Co-expression	"[Arijs-Rutgeerts-2009, Burington-Shaughnessy-2008, Innocenti-Brown-2011, Roth-Zlotnik-2006]"
CYC1	COX5A	0.039085974	Co-expression	"[Arijs-Rutgeerts-2009, Bild-Nevins-2006 B, Kang-Willman-2010, Roth-Zlotnik-2006, Wu-Garvey-2007]"
CST3	JAG1	0.039075797	Co-expression	"[Burington-Shaughnessy-2008, Gysin-McMahon-2012]"
UQCRQ	NDUFB8	0.039075471	Co-expression	"[Cheok-Evans-2003, Rieger-Chu-2004, Salaverria-Siebert-2011, Smirnov-Cheung-2009, Wu-Garvey-2007]"
NDUFB3	UQCR11	0.039048355	Co-expression	"[Mallon-McKay-2013, Roth-Zlotnik-2006, Smirnov-Cheung-2009]"
