GeneSymbol,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL
ACTN1,12.50438833,10.3049147,19.00805356,16.69306502,8.271822427,8.696415356,14.87842335
AHCTF1,3.497053917,5.148474784,3.401639023,3.728604807,3.551882984,3.551882984,4.509683257
ALDH3A2,24.05678721,30.84836746,31.10326896,24.76303441,30.84836746,33.77542444,30.84836746
ALPK1,5.662781965,6.020249557,6.160533164,4.844203344,4.09370642,8.906418902,8.908864372
ANKRD17,15.95567628,9.38476143,11.6263297,14.22693886,14.59986616,8.696415356,11.50760973
ANXA1,1.108837727,1.331731059,1.331731059,1.740239475,1.318111906,1.068094764,1.36444318
AP2S1,8.360684111,11.79484305,10.91955951,16.96275612,11.51792172,9.054194981,10.57316994
ARHGAP29,4.151388163,4.151388163,4.151388163,3.55001859,3.342346537,3.429362203,4.542148187
ARIH1,6.302443492,5.325655483,5.733278229,4.973938966,5.407530787,4.33366881,4.369951154
ATM,1.470230079,1.735744826,1.292212254,1.41073501,1.82732525,1.341621502,1.470230079
ATP2C1,17.25332834,13.19690546,12.52735694,13.1091133,16.55943161,11.7642777,9.205387657
ATP5C1,42.96650451,53.47109065,55.68248258,68.92036934,63.57561939,38.47324982,32.43848174
ATP5E,170.4626758,273.5180585,236.2558777,327.6014807,229.6771051,209.9888432,168.8133128
AURKAIP1,35.77253762,48.84841599,45.16048644,75.83615867,44.03016485,34.26544216,33.76009242
BBIP1,14.63586414,9.388408088,13.77124248,13.85327701,15.61326291,7.263490968,9.594279177
BGN,3.513528999,3.851327472,3.488589029,2.783804481,2.314344066,3.276905656,3.276905656
BPTF,13.00780327,21.13075104,16.45926533,11.39162951,12.25856134,22.33260684,14.02158153
C14orf1,14.45418964,14.7797806,14.77385857,9.031648798,13.96797054,9.25285818,5.553088817
C1orf61,46.55290063,76.57741382,61.97295286,36.96646419,47.36188872,64.51403486,39.11406068
C6orf106,11.1442422,18.7494313,14.56749659,16.55017442,14.78407521,10.76692451,10.36954939
CCDC53,3.268202006,2.841161965,3.135033104,3.651877384,3.199838573,2.547629621,2.311077848
CCDC93,1.607731576,2.260734134,1.867538251,2.716662563,2.070580241,1.867538251,1.550838382
CCT3,14.03692202,25.57224643,19.54805114,21.53330551,26.84216893,17.58092629,8.869112727
CDC16,46.84838554,55.98554268,50.23185203,66.03016485,55.1405985,55.86355727,38.512547
CDH11,1.523177708,1.95024925,1.531454865,1.043001764,1.935784487,1.922372176,2.353044755
CELF1,8.360684111,9.884472664,21.08417549,9.882454745,10.93717304,11.61307492,13.3493989
CEP170B,52.40112963,51.4847103,48.84834666,52.97535716,48.84834666,43.98815228,45.17394114
CIAPIN1,7.04165939,5.598523409,6.474290279,8.571362002,13.5302023,7.618756174,5.270177326
CLCN5,2.556460173,2.329533241,2.31202394,1.863079717,6.43205207,2.299768223,1.775213579
CLNS1A,12.69002872,20.03051854,16.32277239,13.89168521,18.92972322,14.64257559,10.81546066
COA3,53.5421333,65.12107394,57.2560474,75.43037488,74.03016485,57.2560474,41.11048205
COL4A1,4.836627626,2.744670052,4.288559533,4.3764703,2.363980138,3.06321054,13.43037272
