Gene.Symbol,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL
LOC101060181 ,29.8761369774798,20.4912013118534,33.9762253534815,45.5483494949462,41.1069045377656,45.3488931711848,46.5361226142176,45.759898374977,50.7758990371732,39.0066464006253
FOLH1 ,23.0722301099557,21.7297010823293,30.7916149443641,45.3120455516401,49.2446027716432,71.5065144892814,39.6160357222729,45.6824643750553,43.7651038883529,32.8571503839634
SOX17,9.51611481763781,14.6079059534484,12.2276393001016,7.27505644323105,8.6678891362254,6.08259318707797,8.4431425607871,7.92035000252605,7.68178354644523,7.84856046681513
MPZL2,24.716654666169,18.1620803908248,20.2562788858864,40.3081130909165,39.1681044171983,35.437192971655,25.8135024245301,30.7053006323373,29.9357956912495,32.6188757880286
GPR116,27.9142810216999,31.4251866120746,25.4413376587742,16.7332169390815,20.869148660447,16.98783399433,17.2075152107741,17.5542878784269,18.7270123306616,24.0845341400177
TTC12,26.8102049684298,28.9747848787674,29.4501978103956,35.8428400017574,37.3804292356567,39.9496309915012,42.6331759674144,40.0368272537905,49.4837685044348,38.918023421704
EARS2,61.7967490414719,77.6442601603853,49.7516963147051,39.1607174371726,28.3390110892188,38.6661497233582,43.3021996846962,39.8703437442556,27.4715961224506,43.0056548617774
LOC100272216,63.5940646367884,51.4794511063153,48.0152815220034,72.2150701414183,65.9352052473559,94.4468542912428,115.760584304205,129.113887689762,102.288879592097,94.1936182500236
MSI2,18.6728710045664,16.1852205522569,23.9370658314397,11.5084111104126,13.0814407126384,10.8288652946231,11.2142817282185,12.9240615740671,11.3270733538609,16.6651120019064
C1orf115,50.905469805884,52.9555411611775,60.8774503013909,33.1321607946849,39.923175942342,28.2137891398177,43.0381602256827,34.646377863918,45.0275836233878,30.4152178315192
SHC4,11.0959745400392,8.04422875428805,11.7970753761284,22.1483935152452,16.5062781822769,23.3369440271043,12.1239403560932,15.1546351297307,15.9611032264534,15.8645060260554
ST8SIA2,10.0594473943177,9.82665791707514,8.3176048890429,11.8452700226732,16.0675418199404,14.1073665085286,11.0533599148367,12.9652844932462,12.9025088421377,15.6307168735098
PSMD5-AS1,24.0182150435726,23.4677928429654,28.9853057702602,31.3998256380483,33.4587041881631,33.047735121274,32.4072753045985,33.6592601071011,37.1723597985763,35.7020234633186
F2RL2,11.4005309268538,13.3023854260175,10.9541995537028,7.20082258797326,7.93966605659621,6.06350615992667,9.46810984859176,6.8729207214645,9.16480926360114,9.6130801219468
MTRF1L,162.382300253091,114.940221918545,91.3366730918534,190.015070123755,253.589623202097,192.554601224002,155.715070123755,180.853432922434,178.687017213892,174.524909729869
CDKL1,15.1106211263417,28.2278699449328,24.309366659405,15.2204174582003,7.41078684753713,13.8428059328163,13.7821477090683,13.9089375422261,12.1442489204448,12.0712172662549
ZFR2,26.6257171129645,23.0667421823966,27.9987513642754,34.5556893239698,32.2362985206221,36.080011323777,30.2966630941238,35.1803185858686,36.4936044869086,34.9868856468063
CTD-2541M15.1,39.0376920789149,31.6676295216555,44.7335028216853,67.6258971835206,95.1992335168241,40.5639697835234,66.1889944723917,66.1150703900405,60.4126749761803,60.5446598650525
CYP2B6 ,40.3334336616314,43.6566867214486,38.5452591578777,56.8330595546074,62.0532750050296,52.0151279620016,51.6909631846694,56.0841616551462,46.4382911497853,59.0380701054779
RAPGEF1,14.9152727158089,14.0365018038472,13.7007088219693,17.9037651674721,21.9458427087929,19.1984005280693,24.6656888058551,18.7033904599734,19.3043810512777,16.6817869770306
STXBP5-AS1,14.3105412720501,13.5513018298248,18.3620455402049,30.8491623614961,19.999280246605,20.312514988763,23.5651737684136,21.4534822395527,29.1937584952883,19.5156030895877
IL10RA,27.8239704195883,21.0085830958563,25.6806305159202,43.3379259363099,28.5679981226477,39.4873028896035,31.5335834117874,38.1724520338995,42.2972925934513,32.0002656860255
CCM2L,45.4594613740953,54.6237906404137,41.6310379510316,27.0849109466569,27.3815645690299,29.5167266711701,36.437574095751,42.1765111016122,34.8268607666603,28.7867890416145
LPAR3,4.81950685034924,6.8163184059595,6.07173529622598,4.57994541691603,4.15517378467539,4.58433695978284,4.65253278484745,3.86958371845742,4.19613584540356,3.72850482389433
SHANK2,69.0841350118166,70.1252787643725,93.2746769523836,161.115070123755,96.3150701237551,109.733001512341,108.826782298769,97.9150701237551,118.345743329747,116.115070123755
BGN,59.0150732682775,54.5888329072773,39.235674935502,34.2607236930118,27.6577288774518,21.9915856936513,36.4018771434394,36.950691186097,36.4256650669645,35.4240908960585
KCNJ2,121.915070123755,143.095369198007,138.900700814082,100.912724802485,65.6512685462449,114.524750106703,43.584342850003,79.468533049614,60.8410372899768,84.6763222471835
TNFAIP3,38.6610497821143,37.2206811566832,49.8331284444675,72.2003367608459,55.9150843571754,100.187882851988,57.4876842235111,66.9545988029563,64.604383543124,50.0171510063584
FOXQ1,93.2971888909439,79.8736717723474,82.9045488126398,45.2794369154965,52.3618939719122,30.0586081356794,83.1643988904128,44.8977996479501,55.6432267531734,50.2840451606424
PDLIM5,13.0653891286527,11.0891425261985,15.4224848456692,16.9463431318984,21.7043544973716,21.8288351923659,19.4560453103085,15.7178462319659,17.8045707838483,16.5063728845305
TMEM165,12.1579924597851,14.1872945943916,12.8176206960234,16.2816049714999,16.4305522867973,16.1756810267897,18.2703017812088,18.1656948028341,16.617326421511,15.6638840474962
PXK,37.7201146612963,46.5470587593373,49.4339787086602,31.6303821647466,19.011607262285,34.9892364663117,17.1197928801358,21.3451287200857,24.6179401287991,37.3536325202718
CASC4,21.7846852978612,20.4227755727735,22.1861680898229,22.6054348612852,32.6914301955816,39.8184706329761,48.7460353943682,34.4308231054712,34.625060481705,27.7814395952383
OTOS,28.7143815630599,41.6145175549762,28.7731400143444,23.7285641383984,19.0341553686104,23.9371918069276,27.180308153531,24.3666585416266,22.0510315768581,22.5454421622012
