Row.names,logFC,AveExpr,t,P.Value,adj.P.Val,B,hgnc_symbol,Fold Change,countP
223677_at,0.654669155726244,5.5034109681768,7.89692909472256,5.18571389970749e-06,0.103677784316827,1.04612491894506,ATG10,1.57425489766386,10
225300_at,-0.625523194517622,6.63144602692043,-7.77203630324089,6.07427412710127e-06,0.103677784316827,0.991069837691647,KNSTRN,-1.54277021082956,10
232127_at,1.09972816096555,5.36859938657733,7.59898795795054,7.58502308673633e-06,0.103677784316827,0.912100093261504,CLCN5,2.14314306644972,10
232865_at,0.933500714730546,6.39276942711144,6.47338265718614,3.51791427022317e-05,0.384683925448904,0.312643416226934,AFF4,1.90990478201208,10
244777_at,0.549612065921569,5.68892800864958,6.19953791269977,5.23839291081628e-05,0.409155903426972,0.141365826048607,DCP2,1.4636920629436,10
202458_at,-1.22485684227671,8.86711221178365,-5.53980175455928,0.000142626576431482,0.522212084920988,-0.318506818269199,PRSS23,-2.33732255456504,10
236937_at,0.777489837709043,4.81233855899277,5.14588354461762,0.000267053533348775,0.522212084920988,-0.627483249362511,VPS8,1.71414581403343,8
227406_at,0.525662941761166,7.52940185119547,4.98028249133816,0.000349899591400914,0.522212084920988,-0.765497845485327,GABPB1-AS1,1.43959494526212,10
1554810_at,0.495562743492547,4.54736774031782,4.97450537211528,0.000353237750339896,0.522212084920988,-0.770401062179501,PLA2G4C,1.40987058775299,3
222883_at,0.460626819911507,6.55461107203591,4.97156554100393,0.00035494929534304,0.522212084920988,-0.772898486885226,COA7,1.37613959127319,10
203316_s_at,0.368191643928259,9.69899967856113,4.92108610158461,0.000385738317296186,0.522212084920988,-0.816023857825547,SNRPEP4,1.2907339368672,10
203316_s_at,0.368191643928259,9.69899967856113,4.92108610158461,0.000385738317296186,0.522212084920988,-0.816023857825547,SNRPE,1.2907339368672,10
203316_s_at,0.368191643928259,9.69899967856113,4.92108610158461,0.000385738317296186,0.522212084920988,-0.816023857825547,SNRPEP2,1.2907339368672,10
223551_at,0.640895965110848,3.46204031581532,4.88356204209183,0.000410437221334858,0.522212084920988,-0.848378729671772,PKIB,1.559297237921,4
204616_at,0.676362443400581,8.76278156132727,4.83046326933702,0.000448262210860631,0.522212084920988,-0.894597504230906,UCHL3,1.59810526905757,10
229568_at,-1.17912720987712,5.45698776223861,-4.82908530644444,0.000449291196177142,0.522212084920988,-0.895803717271624,MOB3B,-2.26439745904453,10
216361_s_at,0.723200765809449,3.89397745399205,4.81492343284831,0.000460011279542335,0.522212084920988,-0.908220384706049,KAT6A,1.6508405324304,5
228129_at,0.770290407543734,7.71151462035133,4.77565849675617,0.000491160625509252,0.522212084920988,-0.942836774084722,SERBP1,1.70561308065801,10
225228_at,0.446693566359942,6.25799631217219,4.75610999696088,0.000507486201113276,0.522212084920988,-0.960175267675966,DRAM2,1.36291308887107,10
208015_at,0.45889738871114,5.66472660354489,4.68062766268104,0.000576060508264411,0.522212084920988,-1.02777592779447,SMAD1,1.37449093180504,9
1556134_a_at,1.34375749201946,8.07286649655253,4.67551411379374,0.000581044117675379,0.522212084920988,-1.03239300983667,B3GNT5,2.5381150949641,10
223202_s_at,0.561693590467167,7.54523262205339,4.60340856477321,0.000656329927181569,0.522212084920988,-1.09800458755666,TMEM164,1.47600088913179,9
224623_at,0.767894986130985,6.95369260083555,4.56544285676232,0.000700008013472116,0.522212084920988,-1.13293130523443,THOC3,1.70278346526386,8
224714_at,0.635486192704941,7.95695360709537,4.55182460571718,0.000716406949132555,0.522212084920988,-1.14552338142833,NIFK,1.55346118303636,10
211762_s_at,0.642032739565235,7.31557979971414,4.54535230127009,0.000724341136525585,0.522212084920988,-1.15151980482202,ARHGAP27P1-BPTFP1-KPNA2P3,1.560526373497,10
211762_s_at,0.642032739565235,7.31557979971414,4.54535230127009,0.000724341136525585,0.522212084920988,-1.15151980482202,KPNA2P3,1.560526373497,10
