"SrNo","V1","V2"
13395,"A0A024R994","P54274"
13437,"O14530","Q8N806"
13519,"P62993","Q9Y4K4"
13522,"P62993","Q9H3S7"
13535,"A0A024RDS1","P54274"
13558,"P23526","P54274"
13559,"P54274","Q03154"
13658,"Q14676","Q8NC51"
13691,"P62993","Q8IZ63"
13883,"A0A024R4A0","P45973"
13914,"P55083","P62993"
13937,"O00629","P45973"
13948,"P62993","Q969F2"
13958,"O00629","P52292"
13984,"O60244","P01106"
14131,"P48643","P62993"
14149,"P62993","Q09666"
14155,"B4DJ51","P62993"
14156,"A0A024RD80","P62993"
14159,"P55769","P62899"
14171,"P62993","Q99952"
14173,"P61981","P62993"
14174,"P62993","Q9H792"
14175,"P62993","Q9UQ16"
14176,"P36873","P62993"
14177,"P62993","Q12913"
14190,"P62993","Q59FD2"
14193,"P62993","Q12774"
14195,"P62993","X6R390"
14217,"P62993","Q12929"
14229,"P62993","Q9UKT9"
14230,"P62993","Q6P1W5"
14231,"P62993","Q8TBB1"
14232,"P62993","Q9BRR9"
14233,"P56945","P62993"
14237,"P62993","Q15149"
14239,"P20273","P62993"
14246,"P62899","P63220"
14273,"O14530","Q6NZY4"
14287,"P62993","Q14203"
14296,"P50995","P63220"
14319,"O00154","P54274"
14328,"P62993","Q59GL1"
14334,"P08243","P49419"
14349,"A0A024R7T2","P62993"
14395,"P54274","Q05682"
14405,"P54274","Q9GZR7"
14434,"P07437","Q96CS2"
14448,"F2Z3H6","P54274"
14454,"P62993","Q9C0K7"
14455,"P62993","P98082"
14458,"P62993","Q8TDZ2"
14459,"P06748","P62993"
14461,"P62993","Q8TF74"
14462,"P05787","P62993"
14465,"P62993","Q9H706"
14477,"B7Z240","P62993"
14489,"P62993","Q96EY1"
14499,"P01106","P07437"
14525,"P06733","P62993"
14527,"P62993","Q6PJ22"
14529,"P62993","Q9NYK6"
14530,"P30084","P62993"
14534,"P62993","Q9Y2Q3"
14535,"P54274","Q16643"
14556,"O94761","P54274"
14561,"P54274","Q9BXI6"
14565,"P54274","Q9Y3X0"
14591,"O00338","P54274"
14613,"Q8N766","Q9BUN8"
14638,"B7Z6C2","P54274"
14651,"P08758","P54274"
14656,"Q8NC51","Q9Y6G9"
14661,"P54274","Q7Z2X7"
14668,"P54274","Q9NVW2"
14673,"P54274","P63313"
14828,"Q9NV66","Q9Y3D0"
14856,"P13489","Q96HE7"
14911,"A0A024QZC4","Q9Y448"
14921,"Q8IU60","Q9Y3D0"
14973,"Q92794","Q9HAF1"
14977,"P68431","Q92794"
14988,"Q03164","Q92794"
14995,"P01106","P13489"
14998,"P27708","P62993"
15018,"B4DJ51","Q9NSI6"
15205,"Q8IU60","Q9Y4A5"
15239,"P54274","Q01081"
15240,"O60341","P54274"
15286,"P04183","Q15652"
15314,"P35080","P54274"
15315,"A0A087X1W2","P54274"
15331,"A0A024R1S2","P54274"
15332,"P15056","P54274"
15372,"P62993","Q06187"
15484,"P26641","Q9BYV6"
15523,"P54274","Q14974"
15526,"P01106","Q14974"
15538,"P42345","P54274"
15546,"C6EMX8","P54274"
15564,"Q99459","Q9BYV6"
15580,"P17098","P45973"
15615,"Q12857","Q9BYV6"
15635,"A0A024RA25","Q9Y448"
15655,"P11387","P23458"
15673,"P23458","Q8IW76"
15688,"P07900","P23458"
15691,"P04626","P23458"
15793,"P49419","Q99426"
15877,"P23458","P42684"
15880,"A2VDJ6","P45973"
15883,"B4DV00","P23458"
15888,"P23458","Q6IA86"
15952,"B0QZ35","P23458"
15981,"O15347","P49419"
16072,"A0A024RB85","Q8NC51"
16207,"P62993","Q08209"
16218,"P54274","Q7L576"
16320,"Q8IU60","Q9H9T3"
16355,"A0A024RB89","P01106"
16374,"P62899","Q08211"
16567,"P62899","P83731"
16638,"A2RUM7","P45973"
16651,"P83731","Q9Y3Z3"
16701,"P42684","P62993"
16772,"P54274","Q96C57"
17018,"P57773","P62993"
17028,"P45973","Q8TF39"
17055,"P12268","P62993"
17239,"A0A024R1N1","P54274"
17241,"O43242","P01106"
17260,"P07148","P62993"
17274,"P54274","Q8NDT2"
17279,"P54274","Q13310"
17359,"P30041","P54274"
17378,"P54274","P63208"
17493,"P54274","Q4G104"
17580,"P22087","Q9BYG3"
17628,"Q96DC9","Q9BYV6"
17704,"O14746","P54274"
17770,"Q9BWU1","Q9BYG3"
17810,"O60260","Q8NC51"
17846,"P54274","Q9UHR4"
17867,"O00469","P54274"
17980,"P54274","Q02809"
17982,"P54274","Q4LE36"
17992,"P14625","P54274"
17996,"P54274","Q06587"
18011,"P22061","P54274"
18014,"P54274","Q92878"
18015,"D9ZGG0","P54274"
18016,"P54274","Q6PCB5"
18017,"B4DV00","P54274"
18018,"P54274","Q14697"
18019,"P54274","Q9BVE2"
18110,"P49736","P54274"
18196,"P01106","Q7Z7G0"
18335,"P63241","Q8IU60"
18345,"P45973","Q9Y6X3"
18691,"P45973","Q6ZNG0"
18745,"P62993","Q92918"
18967,"O14950","Q96CS2"
18999,"P54274","Q8WVM7"
19017,"P01106","Q9ULX6"
19051,"P54274","Q96AP0"
19094,"A0A024R763","P62993"
19127,"P14550","P54274"
19178,"P35268","P62899"
19230,"P54274","P78527"
19258,"P53674","P54274"
19313,"Q15155","Q9BYV6"
19358,"Q8IUH5","Q9Y448"
19369,"A0A024R4Q8","P62899"
19499,"Q13627","Q86VQ1"
19506,"Q86VQ1","Q9P2P5"
19661,"P22102","Q9NRC8"
19698,"P34931","P62993"
19758,"Q9BZF1","Q9NRC8"
20082,"A0A024R1N4","P22102"
20359,"P12814","P54274"
20425,"Q01094","Q9C010"
20442,"O15479","P62899"
20491,"O94842","P54274"
20995,"P54274","Q16531"
21068,"A0A024RDS1","Q9Y3Z3"
21241,"P14317","P62993"
21260,"P62993","Q86Y46"
21299,"P25490","Q15797"
21305,"P25490","P54274"
21442,"P38646","P62993"
21448,"O00629","P01106"
21458,"A0A024R475","P62993"
21461,"P62993","Q59H77"
21464,"P07900","P62993"
21465,"P62993","Q8NC51"
21466,"P62993","Q14247"
21469,"P62993","Q7L591"
21473,"E7EWE5","P62993"
21493,"P62993","Q6ZV73"
21494,"P62993","Q15109"
21500,"P62993","Q60FE5"
21505,"O14964","P62993"
21526,"P62993","Q9NP71"
21529,"A0MNN4","P62993"
21530,"P62993","Q96CW1"
21563,"P62993","Q13625"
21564,"P21860","P62993"
21569,"P62993","P78314"
21575,"P20936","P62993"
21579,"P52735","P62993"
21580,"P62993","Q9Y2R2"
21581,"P11137","P62993"
21582,"P62993","Q01968"
21585,"P62993","Q13444"
21586,"P62993","Q8WV28"
21588,"P62993","Q05193"
21589,"P62993","Q86WV1"
21590,"P45984","P62993"
21592,"P62993","Q96G74"
21593,"P62993","Q59FK4"
21594,"O43157","P62993"
21597,"P62993","Q7Z6E9"
21599,"O43150","P62993"
21600,"P62987","P62993"
21601,"O14490","P62993"
21602,"P62993","Q5JSH3"
21603,"P29353","P62993"
21604,"P62993","Q92614"
