"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"NOTCH2","Astrocytes",116587,"NOTCH2","false",FALSE,FALSE,FALSE
"NR4A1","Endothelial",120233,"NR4A1","false",FALSE,FALSE,FALSE
"PACSIN1","Neurons",117287,"PACSIN1","false",FALSE,FALSE,FALSE
"PAFAH1B3","Neurons",115406,"PAFAH1B3","false",FALSE,FALSE,FALSE
"PAK1","Neurons",119711,"PAK1","false",FALSE,FALSE,FALSE
"PBXIP1","Astrocytes",117215,"PBXIP1","false",FALSE,FALSE,FALSE
"PDIA2","Neurons",116814,"PDIA2","false",FALSE,FALSE,FALSE
"PDLIM3","Astrocytes",119837,"PDLIM3","false",FALSE,FALSE,FALSE
"PIK3AP1","Microglia",118584,"PIK3AP1","false",FALSE,FALSE,FALSE
"PIK3CG","Microglia",119374,"PIK3CG","false",FALSE,FALSE,FALSE
"PIN1","Neurons",117198,"PIN1","false",FALSE,FALSE,FALSE
"PKIB","Neurons",115150,"PKIB","false",TRUE,FALSE,FALSE
"PLTP","Astrocytes",119885,"PLTP","false",FALSE,FALSE,FALSE
"PRMT8","Neurons",115914,"PRMT8","false",FALSE,FALSE,FALSE
"PTPN5","Neurons",116063,"PTPN5","false",FALSE,FALSE,FALSE
"RAB3B","Neurons",119630,"RAB3B","false",FALSE,FALSE,FALSE
"RASD2","Neurons",120104,"RASD2","false",FALSE,FALSE,FALSE
"RBP4","Neurons",118954,"RBP4","false",FALSE,FALSE,FALSE
"REEP1","Neurons",117512,"REEP1","false",TRUE,FALSE,FALSE
"RHOU","Oligodendrocytes",119400,"RHOU","false",FALSE,FALSE,FALSE
"RIMS2","Neurons",117753,"RIMS2","false",FALSE,FALSE,FALSE
"RNF130","Oligodendrocytes",116727,"RNF130","false",FALSE,FALSE,FALSE
"RYR2","Neurons",119195,"RYR2","false",FALSE,FALSE,FALSE
"S100A10","Endothelial",118833,"S100A10","false",FALSE,FALSE,FALSE
"SCAI","Neurons",118635,"SCAI","false",FALSE,FALSE,FALSE
"SERTAD3","Oligodendrocytes",118500,"SERTAD3","false",FALSE,FALSE,FALSE
"SH2D5","Neurons",116033,"SH2D5","false",FALSE,FALSE,FALSE
"SH3GL2","Neurons",116039,"SH3GL2","false",FALSE,FALSE,FALSE
"SHC3","Neurons",119408,"SHC3","false",FALSE,FALSE,FALSE
"SHC4","Oligodendrocytes",119953,"SHC4","false",FALSE,FALSE,FALSE
"SNTA1","Astrocytes",119887,"SNTA1","false",FALSE,FALSE,FALSE
"SOX2","Astrocytes",118260,"SOX2","false",FALSE,FALSE,FALSE
"SRM","Neurons",118278,"SRM","false",FALSE,FALSE,FALSE
"SYCE1","Neurons",118696,"SYCE1","false",FALSE,FALSE,FALSE
"SYN1","Neurons",118294,"SYN1","false",FALSE,FALSE,FALSE
"SYT1","Neurons",119558,"SYT1","false",FALSE,FALSE,FALSE
"SYT4","Neurons",119549,"SYT4","false",FALSE,FALSE,FALSE
"SYT7","Neurons",119532,"SYT7","false",FALSE,FALSE,FALSE
"TGM2","Endothelial",117383,"TGM2","false",FALSE,FALSE,FALSE
"TIMM50","Neurons",115231,"TIMM50","false",FALSE,FALSE,FALSE
"TP53BP2","Astrocytes",115845,"TP53BP2","false",FALSE,FALSE,FALSE
"TRIM24","Neurons",118055,"TRIM24","false",FALSE,FALSE,FALSE
"TRIM46","Neurons",118731,"TRIM46","false",FALSE,FALSE,FALSE
"TUBB3","Neurons",116053,"TUBB3","false",FALSE,FALSE,FALSE
"TULP3","Astrocytes",120259,"TULP3","false",FALSE,FALSE,FALSE
"UBASH3B","Neurons",118828,"UBASH3B","false",FALSE,FALSE,FALSE
"UTRN","Endothelial",116168,"UTRN","false",FALSE,FALSE,FALSE
"VCAM1","Endothelial",115220,"VCAM1","false",FALSE,FALSE,FALSE
"WASF1","Neurons",116216,"WASF1","false",FALSE,FALSE,TRUE
"WFS1","Astrocytes",118395,"WFS1","false",FALSE,FALSE,FALSE
"WIPF3","Neurons",116967,"WIPF3","false",FALSE,FALSE,FALSE
"ZC3HAV1","Endothelial",119273,"ZC3HAV1","false",FALSE,FALSE,FALSE
"ZCCHC12","Neurons",118739,"ZCCHC12","false",FALSE,FALSE,FALSE
"ZNF423","Astrocytes",119435,"ZNF423","false",FALSE,FALSE,FALSE
"-",NA,115088,"-","false",FALSE,FALSE,FALSE
"A2M",NA,117105,"A2M","false",FALSE,FALSE,FALSE
"AASS",NA,119105,"AASS","false",FALSE,FALSE,TRUE
"ABCA1",NA,117380,"ABCA1","false",TRUE,FALSE,FALSE
"ABCA12",NA,120810,"ABCA12","false",FALSE,FALSE,FALSE
"ABCE1",NA,117066,"ABCE1","false",FALSE,FALSE,FALSE
"ABCG1",NA,118312,"ABCG1","false",TRUE,FALSE,FALSE
"ABCG4",NA,119750,"ABCG4","false",FALSE,FALSE,FALSE
"ABCG5",NA,120190,"ABCG5","false",FALSE,FALSE,FALSE
"ABI1",NA,119238,"ABI1","false",FALSE,FALSE,TRUE
"ABI3BP",NA,115757,"ABI3BP","false",FALSE,FALSE,FALSE
"ABL1",NA,115873,"ABL1","false",FALSE,FALSE,TRUE
"ABL2",NA,115667,"ABL2","false",FALSE,FALSE,FALSE
"ACAT2",NA,117717,"ACAT2","false",FALSE,FALSE,FALSE
"ACF",NA,119554,"ACF","false",FALSE,FALSE,FALSE
"ACLY",NA,115737,"ACLY","false",FALSE,FALSE,FALSE
"ACOT7",NA,115532,"ACOT7","false",FALSE,FALSE,FALSE
"ACOT8",NA,118036,"ACOT8","false",FALSE,FALSE,FALSE
"ACTA1",NA,116256,"ACTA1","false",FALSE,FALSE,FALSE
"ACTB",NA,116950,"ACTB","false",FALSE,FALSE,FALSE
"ACTC1",NA,118916,"ACTC1","false",FALSE,FALSE,FALSE
"ACTG1",NA,117006,"ACTG1","false",FALSE,FALSE,FALSE
"ACTL6A",NA,116711,"ACTL6A","false",FALSE,FALSE,FALSE
"ACTN1",NA,115801,"ACTN1","false",FALSE,FALSE,FALSE
"ACTN4",NA,116663,"ACTN4","false",FALSE,FALSE,FALSE
"ACTR2",NA,117427,"ACTR2","false",FALSE,FALSE,FALSE
"ACTR3",NA,117429,"ACTR3","false",FALSE,FALSE,FALSE
"ACTR5",NA,118243,"ACTR5","false",FALSE,FALSE,FALSE
"ACTR8",NA,116390,"ACTR8","false",FALSE,FALSE,FALSE
"ACVR1",NA,119543,"ACVR1","false",FALSE,FALSE,FALSE
"ACVR2A",NA,120041,"ACVR2A","false",FALSE,FALSE,FALSE
"ACVRL1",NA,116458,"ACVRL1","false",FALSE,FALSE,FALSE
"ACY1",NA,115464,"ACY1","false",FALSE,FALSE,FALSE
"ADA",NA,119664,"ADA","false",FALSE,FALSE,FALSE
"ADAM10",NA,115180,"ADAM10","false",FALSE,FALSE,FALSE
"ADAM12",NA,119355,"ADAM12","false",FALSE,FALSE,FALSE
"ADAM15",NA,115861,"ADAM15","false",FALSE,FALSE,FALSE
"ADAT1",NA,118318,"ADAT1","false",TRUE,FALSE,FALSE
"ADIPOR1",NA,117763,"ADIPOR1","false",FALSE,FALSE,FALSE
"ADNP",NA,117780,"ADNP","false",FALSE,FALSE,TRUE
"ADNP2",NA,115252,"ADNP2","false",FALSE,FALSE,FALSE
"ADSS",NA,118648,"ADSS","false",FALSE,FALSE,FALSE
"AEBP1",NA,116878,"AEBP1","false",FALSE,FALSE,FALSE
"AFAP1L2",NA,116107,"AFAP1L2","false",FALSE,FALSE,FALSE
"AGER",NA,115833,"AGER","false",FALSE,FALSE,FALSE
"AGO4",NA,115943,"AGO4","false",FALSE,FALSE,FALSE
"AHCY",NA,115462,"AHCY","false",FALSE,FALSE,FALSE
"AHDC1",NA,115976,"AHDC1","false",FALSE,FALSE,FALSE
"AHNAK",NA,115483,"AHNAK","false",FALSE,FALSE,FALSE
