"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_155_Cytoplasm","Control_159_Cytoplasm","Control_170_Cytoplasm","Control_2303_Cytoplasm","Control_155_Nucleus","Control_159_Nucleus","Control_170_Nucleus","Control_2303_Nucleus","hgnc_symbol.x","hgnc_symbol.y","hgnc_symbol"
"ENSG00000139211",555.715412699408,5.87017434658607,0.410134752589762,14.3127942938738,1.82048972061371e-46,2.47258913853754e-42,28.3550037814733,94.5547607695983,135.76694649527,2134.39624505067,38.3701130089342,170.029825251901,148.450593218496,1695.79981401893,"AMIGO2","AMIGO2","AMIGO2"
"ENSG00000133110",14024.3286289718,4.20681874996171,0.367358710354818,11.4515285234383,2.31035238249532e-30,1.56896030295257e-26,704.149260573254,375.697582791204,99.5624274298643,16673.2381999737,6036.65181780944,4480.90007156245,710.707215033551,83113.722456601,"POSTN","POSTN","POSTN"
"ENSG00000165617",650.695135905516,3.80532634647693,0.371684872480683,10.2380447207323,1.33915322888734e-24,6.0627930515826e-21,168.239689103408,480.338184709559,264.128423181706,1703.87882062283,99.6147164655023,309.027591142238,261.6441705476,1918.68949147128,"DACT1","DACT1","DACT1"
"ENSG00000164530",128.756735266605,5.50270400444277,0.578131377890477,9.51808570661117,1.76398427159126e-21,5.98960859418813e-18,3.78066717086311,32.7789837334607,9.87395974511051,148.125713434929,11.8061886181336,256.660990969599,40.8239131350865,526.203465325656,"PI16","PI16","PI16"
"ENSG00000162591",593.176377720542,3.91547499961206,0.418299780438045,9.36045195986419,7.93963320722726e-21,2.15672196441121e-17,54.8196739775151,184.066600964818,234.506543946375,1206.66151353717,164.548753865237,415.053793960914,879.56976481959,1606.18437669272,"MEGF6","MEGF6","MEGF6"
"ENSG00000243137",270.316333477624,-8.49318271074658,0.94604553434724,-8.97756228679497,2.76831945421027e-19,6.26655247118064e-16,361.053714817427,209.281203836711,8.22829978759209,2.59869672692857,822.005882537552,738.950913547235,20.4119565675432,0,"PSG4","PSG4","PSG4"
"ENSG00000135480",635.488153659316,3.09892495262906,0.347006605125571,8.93044946942049,4.24281428529384e-19,8.23227194612299e-16,187.143024957724,182.805870821223,928.152216040388,1300.21459570659,129.130188010836,143.523274547232,848.02401376066,1364.91204542987,"KRT7","KRT7","KRT7"
"ENSG00000225630",134.597584084375,6.78015939192063,0.832015440769207,8.14907880273508,3.66706940338681e-16,6.22576707959996e-13,1.89033358543155,10.0858411487572,7.40546980883288,103.947869077143,5.16520752043345,263.126003336592,215.25336016682,469.90658803099,"MTND2P28","MTND2P28","MTND2P28"
"ENSG00000117152",112.732746838355,-3.85843796897611,0.479711756974471,-8.04324245315806,8.74919785468268e-16,1.14125572828271e-12,317.576042352501,70.6008880413001,39.495838980442,16.458412603881,344.593130291775,51.7200989359394,31.5457510589305,29.8718124420678,"RGS4","RGS4","RGS4"
"ENSG00000017427",55.6846357578757,5.21684584113919,0.649003238531623,8.03824315721808,9.11356466552695e-16,1.14125572828271e-12,2.83550037814733,28.9967933026768,9.87395974511051,163.7178937965,6.64098109770015,32.9715630716614,7.42252966092481,193.017865010284,"IGF1","IGF1","IGF1"
"ENSG00000137959",86.6694091904733,4.09461099837831,0.509500834018711,8.0365148101562,9.2429782146295e-16,1.14125572828271e-12,16.0678354761682,47.9077454565965,79.8145079396433,210.494434881214,9.59252825223355,53.6596026460372,57.5246048721673,218.294013999726,"IFI44L","IFI44L","IFI44L"
"ENSG00000156466",127.181244254063,3.46609851550844,0.432968954251869,8.00542043827956,1.19059187894372e-15,1.34755157498447e-12,22.6840030251786,8.82511100516251,9.0511297663513,309.2449105045,61.2446034565681,19.3950371009773,14.8450593218496,572.160099851914,"GDF6","GDF6","GDF6"
"ENSG00000106538",64.2017861041513,4.60565512488857,0.577363809017058,7.97704160350739,1.49882316369233e-15,1.56592432378994e-12,6.61616754901044,2.52146028718929,5.75980985131446,155.921803615714,12.544075406767,5.81851113029319,22.2675889827744,302.164872010147,"RARRES2","RARRES2","RARRES2"
"ENSG00000187800",186.757538392412,3.59412145105421,0.467185853568266,7.69312988311413,1.43578627542784e-14,1.39291779949006e-11,34.026004537768,39.082634451434,19.747919490221,703.380580755333,75.2644524406017,35.5575680184584,38.9682807198553,548.032866725628,"PEAR1","PEAR1","PEAR1"
"ENSG00000124875",143.819836070524,-4.02617577284473,0.525522385926178,-7.66128309786275,1.84084570252794e-14,1.66682442211564e-11,109.63934795503,60.5150468925429,296.218792353315,6.92985793847619,154.21833882437,96.3286842681872,417.517293427021,9.19132690525163,"CXCL6","CXCL6","CXCL6"
"ENSG00000221852",352.13739392559,-3.08892838568612,0.404502162516829,-7.63637051151144,2.2343074801759e-14,1.89664776223432e-11,473.528563150604,714.833991418163,275.648042884335,38.9804509039286,421.333356309643,623.87369341477,202.263933260201,66.6371200630743,"KRTAP1-5","KRTAP1-5","KRTAP1-5"
"ENSG00000123496",203.969976194862,-4.0893789836748,0.540969231978513,-7.55935595212785,4.05070002368531e-14,3.23627104245258e-11,102.078013613304,95.815490913193,429.517248912307,8.66232242309524,160.121433133437,165.504316595006,664.316404652771,5.74457931578227,"IL13RA2","IL13RA2","IL13RA2"
"ENSG00000122641",476.203108067816,2.54887151197543,0.339811919961419,7.50083020120314,6.34148940921147e-14,4.78500606421724e-11,133.268517772925,128.594474646654,184.313915242063,940.728215148143,304.747243705574,276.056028070577,365.559585800547,1476.35688415604,"INHBA","INHBA","INHBA"
