"SrNo","V1","V2"
28123,"P07900","P68104"
28124,"P04278","P68104"
28128,"A0A024R9D3","P68104"
28129,"P32969","P68104"
28130,"P62899","P68104"
28131,"P62847","P68104"
28132,"A0A024R3W7","P68104"
28133,"P68104","Q15029"
28134,"P68104","Q9UHX1"
28135,"A0A024RDF6","P68104"
28136,"P68104","Q15366"
28137,"P68104","Q9BWF3"
28138,"A0A024R8L0","P68104"
28139,"P28070","P68104"
28140,"P68104","Q9Y5B9"
28141,"P13929","P68104"
28142,"O15205","P68104"
28143,"P19320","P68104"
28144,"P11441","P68104"
28145,"P68104","Q546Y9"
28146,"B4DQB3","P68104"
28149,"P68104","Q01813"
28150,"A4D105","P68104"
28151,"A0A024RAG0","P68104"
28152,"P04637","P68104"
28153,"P68104","Q9BSJ2"
28154,"P05161","P68104"
28159,"O60333","P68104"
28160,"P68104","Q6PD56"
28161,"P56282","P68104"
28162,"O60828","P68104"
28163,"P25445","P68104"
28171,"F5GXF0","P68104"
28172,"P68104","Q86Y97"
28173,"Q12967","Q13158"
28175,"B4E1P5","P68104"
28176,"P08473","P68104"
28177,"P68104","Q15843"
28184,"P42575","P68104"
28185,"H6UYS5","P68104"
28186,"A0A024RBT2","P68104"
28187,"A0A024RAV5","P68104"
28188,"O14713","P68104"
28189,"A5JUZ3","P68104"
28733,"P62314","P68104"
28810,"P29353","Q08345"
28864,"A0A024R778","O60443"
28877,"A0A024RB77","Q01629"
29130,"B2R491","P68104"
29250,"P50539","Q9UQE7"
29584,"A0MNP2","Q08345"
30109,"O95229","Q15293"
30293,"P11441","P60604"
30687,"A0A024R2P0","P68104"
30770,"A0A024R2P0","Q8WUY3"
30947,"A0A0A6YY93","P17676"
31149,"F5H3S6","Q15293"
31197,"P49915","Q15293"
31386,"A0A090N7U0","Q00526"
31387,"A0A024R7W9","Q00526"
31389,"Q00526","Q7L5N1"
31394,"Q8TBB1","Q9UQB3"
31420,"P07900","Q00526"
31425,"A0A024RDV3","Q00526"
31432,"Q00526","Q13309"
31436,"A0A024RB77","Q00526"
31493,"A0A024RDY4","Q00526"
31506,"A8K379","Q8WUY3"
31561,"Q86T24","Q9UQB3"
31587,"Q00526","Q15078"
31834,"P68104","Q9UKV5"
31849,"Q6NSI8","Q96SB4"
32010,"P62241","P68104"
32040,"O60566","P50539"
32064,"A0A024RAV5","Q12967"
32170,"P04637","P15559"
32208,"P07942","P15559"
32209,"P15559","Q9BY77"
32211,"P15559","Q9BYJ9"
32235,"A0A024R3T8","P15559"
32237,"P15559","Q16236"
32300,"P15559","Q9UK53"
32311,"P15559","Q9UNE7"
32884,"P49716","P56524"
33069,"P55854","P68104"
33736,"P49407","Q12967"
33850,"A0A024R7W9","P68104"
34056,"Q96CS3","Q9P035"
34082,"A0A024R475","Q9P035"
34119,"A0A024R730","Q9P035"
34142,"P16615","Q9P035"
34144,"O95793","Q9P035"
34159,"A0A024RCN6","P68104"
34733,"O95639","P50222"
34831,"O43255","P49716"
34982,"P68104","Q16637"
35072,"A0A024RE06","P68104"
35157,"P29972","Q14525"
35283,"A0A024R6D3","P50539"
35285,"P29972","Q7L273"
35855,"O95989","Q08345"
35859,"P60604","Q8WWF5"
36115,"A0A024R939","Q08345"
36366,"Q9H422","Q9NYA4"
36520,"A0A0A6YYL6","P68104"
36549,"O95990","Q96ED9"
36775,"P60896","P68104"
36812,"P09104","Q15293"
36842,"P67809","P68104"
36858,"P60604","P60896"
37716,"P01100","P29972"
37763,"P61326","Q8N1I0"
38150,"A0A024RDB0","P60604"
38574,"Q86V38","Q9UQB3"
39201,"A0A024R611","P60604"
39433,"O15021","Q15797"
39490,"A0A024R9C1","P68104"
39551,"P17676","Q13547"
39591,"P49716","Q13547"
40286,"P29972","Q9NQ79"
40322,"Q15293","Q96DB2"
40339,"P61224","Q12967"
41020,"E9KL44","P04233"
41178,"A8K517","P68104"
41435,"Q9P035","Q9P2P5"
41525,"P49716","P63279"
41817,"P61978","P68104"
41841,"P14136","Q9UGJ1"
42171,"Q15293","Q15843"
42369,"P68104","Q9H0W5"
42557,"A0A024R625","P68104"
43266,"O14654","Q15293"
43554,"P35226","Q15293"
44296,"P60604","Q96PX1"
44336,"P05067","Q8WU10"
44339,"O60231","Q8WU10"
44369,"Q8WU10","Q9Y333"
44432,"P29972","Q9BYQ4"
44489,"P28069","P49716"
44779,"P49716","Q01094"
45193,"P22681","P68104"
45403,"O43181","P60604"
45633,"P46934","Q9NYA4"
45677,"P29972","Q8IYA8"
46003,"P46778","P68104"
46004,"P15880","P68104"
46414,"A0A024RCB7","P68104"
46450,"O95817","P60604"
46459,"P49716","Q04206"
46594,"P68104","Q9Y230"
46741,"Q01844","Q9C0D9"
46779,"P68104","P98179"
46925,"Q8WUY3","Q9BY44"
46957,"P49716","Q9BXW9"
48184,"O95453","Q9H1J1"
48452,"Q15293","Q96C19"
48628,"P00533","Q8N1I0"
48671,"A0A024R475","Q8TDM6"
48684,"O00193","Q15293"
48819,"A0A024R2Q3","Q8TDM6"
48842,"O60443","P00533"
48929,"P00533","P60604"
48980,"P40937","P68104"
49114,"P68104","Q59H34"
49366,"P68104","Q9H3D4"
49375,"P68104","Q16539"
49394,"O43464","P68104"
49588,"O95639","Q9H0W5"
50043,"P60604","Q9Y4E8"
50058,"P07919","P68104"
50076,"P60604","Q9Y679"
50136,"P29972","Q8IUQ4"
50215,"O15357","P68104"
50347,"Q15293","Q8NBP7"
