UniProtAccession	GeneSymbol	
P05230	FGF1	
P04233	CD74	
P49716	CEBPD	
P18848	ATF4	
P68104	EEF1A1	
Q16520	BATF	
P49716	CEBPD	
Q10586	DBP	
Q15744	CEBPE	
Q9NR55	BATF3	
P17676	CEBPB	
P11362	FGFR1	
Q16520	BATF	
Q9NR55	BATF3	
P17676	CEBPB	
P49716	CEBPD	
Q9H1J1	UPF3A	
P68104	EEF1A1	
P81877	SSBP2	
P81877	SSBP2	
P81877	SSBP2	
Q9UPN9	TRIM33	
P29972	AQP1	
P68104	EEF1A1	
P60411	KRTAP10-9	
P49768	PSEN1	
Q15942	ZYX	
Q12967	RALGDS	
P68104	EEF1A1	
Q9NYA4	MTMR4	
Q96P09	BIRC8	
P14136	GFAP	
Q9UHK6	AMACR	
P17676	CEBPB	
Q7Z4F1	LRP10	
P0C0L4	C4A	
P0CG48	UBC	
Q8WZ73	RFFL	
Q9UDX5	MTFP1	
Q13077	TRAF1	
P68104	EEF1A1	
Q8WUY3	PRUNE2	
P15559	NQO1	
Q01629	IFITM2	
Q8TDR0	TRAF3IP1	
Q9NZZ3	CHMP5	
Q9H765	ASB8	
Q08345	DDR1	
Q9NZZ3	CHMP5	
Q8TDM6	DLG5	
Q9BY76	ANGPTL4	
Q92963	RIT1	
Q12967	RALGDS	
Q969H4	CNKSR1	
Q9C0D9	SELENOI	
Q8N1I0	DOCK4	
P0CG48	UBC	
Q92889	ERCC4	
Q92830	KAT2A	
Q96LT7	C9orf72	
Q08345	DDR1	
P04233	CD74	
P21397	MAOA	
Q15293	RCN1	
Q99536	VAT1	
P68104	EEF1A1	
Q15293	RCN1	
P68104	EEF1A1	
P68104	EEF1A1	
Q9NZZ3	CHMP5	
Q9NZZ3	CHMP5	
P60410	KRTAP10-8	
Q13613	MTMR1	
Q96CW5	TUBGCP3	
P04637	TP53	
Q13309	SKP2	
P49716	CEBPD	
P68104	EEF1A1	
Q7Z5Y7	KCTD20	
Q7Z5Y7	KCTD20	
Q9P035	HACD3	
Q96L34	MARK4	
Q9P035	HACD3	
Q7Z5Y7	KCTD20	
Q9P035	HACD3	
Q9P035	HACD3	
Q9P035	HACD3	
P60604	UBE2G2	
Q9P035	HACD3	
Q9P035	HACD3	
Q9P035	HACD3	
Q12967	RALGDS	
Q9P035	HACD3	
Q96GD4	AURKB	
Q8TAP6	CEP76	
P63146	UBE2B	
Q14676	MDC1	
Q15293	RCN1	
Q00526	CDK3	
Q12967	RALGDS	
Q9H1J1	UPF3A	
Q8WUY3	PRUNE2	
P68104	EEF1A1	
P0C0L4	C4A	
Q9UKV5	AMFR	
Q9NZZ3	CHMP5	
Q96B21	TMEM45B	
P68104	EEF1A1	
Q14108	SCARB2	
P83731	RPL24	
Q96RK4	BBS4	
Q8WUY3	PRUNE2	
Q00526	CDK3	
Q99536	VAT1	
P15559	NQO1	
P15559	NQO1	
Q15843	NEDD8	
P15559	NQO1	
Q96GD4	AURKB	
P68104	EEF1A1	
