SUID,ALSOD,AverageShortestPathLength,BetweennessCentrality,Cell.type,Cell.type.x,Cell.type.y,ClosenessCentrality,ClusteringCoefficient,DEG,Degree,Eccentricity,IsSingleNode,Matching.Attribute,Matching.Attribute.1,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OG_Gene,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
93294,FALSE,3.78444444,0,NA,NA,NA,0.26423958,0,FALSE,1,5,FALSE,ZBED1,ZBED1,ZBED1,62,1,0,FALSE,0,0.44311111,FALSE,0,ZBED1,0,0
93295,FALSE,,,,NA,,,,FALSE,,,,,CPE,CPE,,,,FALSE,,,FALSE,,CPE,,
93296,FALSE,2.69944444,0.02413494,NA,NA,NA,0.37044659,0.03306931,TRUE,102,4,FALSE,ABI1,ABI1,ABI1,23.28712871,102,0,FALSE,1,0.66011111,FALSE,0,ABI1,3028696,0.02328641
93297,FALSE,3.97439505,0,NA,NA,NA,0.25161062,0,FALSE,2,6,FALSE,CDC37,CDC37,CDC37,124,2,0,FALSE,1,0.7025605,FALSE,0,CDC37,0,0
93298,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,PASK,PASK,PASK,311,1,0,FALSE,0,0.47105556,FALSE,0,PASK,0,0
93299,FALSE,,,,NA,,,,FALSE,,,,,ALG11,ALG11,,,,FALSE,,,FALSE,,ALG11,,
93300,FALSE,,,,NA,,,,FALSE,,,,,STAMBP,STAMBP,,,,FALSE,,,FALSE,,STAMBP,,
93301,TRUE,4.0585256,0,NA,NA,NA,0.2463949,0,FALSE,1,6,FALSE,PFN1,PFN1,PFN1,35,1,0,FALSE,0,0.69414744,FALSE,0,PFN1,0,0
93302,FALSE,3.95666854,1.25E-04,NA,NA,NA,0.25273788,0,FALSE,2,6,FALSE,UBR4,UBR4,UBR4,86.5,2,0,FALSE,0,0.70433315,FALSE,0,UBR4,20082,0.50892857
93303,FALSE,3.68527778,0,NA,NA,NA,0.27134997,0,FALSE,1,5,FALSE,TP53TG1,TP53TG1,TP53TG1,102,1,0,FALSE,0,0.46294444,FALSE,0,TP53TG1,0,0
93304,FALSE,3.33555556,5.86E-05,NA,NA,NA,0.29980013,0.33333333,FALSE,3,4,FALSE,PTP4A3,PTP4A3,PTP4A3,123.3333333,3,0,FALSE,0,0.53288889,FALSE,0,PTP4A3,6568,0.35755814
93305,FALSE,3.69805556,0,NA,NA,NA,0.27041238,0,FALSE,1,5,FALSE,TNFRSF1B,TNFRSF1B,TNFRSF1B,73,1,0,FALSE,0,0.46038889,FALSE,0,TNFRSF1B,0,0
93306,FALSE,,,,NA,,,,FALSE,,,,,PHC2,PHC2,,,,FALSE,,,FALSE,,PHC2,,
93307,FALSE,,,,NA,,,,FALSE,,,,,HMBOX1,HMBOX1,,,,FALSE,,,FALSE,,HMBOX1,,
93308,FALSE,,,,NA,,,,FALSE,,,,,CRTC3,CRTC3,,,,TRUE,,,FALSE,,CRTC3,,
93309,FALSE,,,,NA,,,,FALSE,,,,,RNF32,RNF32,,,,FALSE,,,FALSE,,RNF32,,
93310,FALSE,3.91193022,3.06E-04,NA,NA,NA,0.25562828,0.16666667,FALSE,4,7,FALSE,FBXW7,FBXW7,FBXW7,55.25,4,0,FALSE,0,0.70880698,FALSE,0,FBXW7,60728,0.2912234
93311,FALSE,4.03916667,0,NA,NA,NA,0.24757582,0,FALSE,1,5,FALSE,TGFB1,TGFB1,TGFB1,55,1,0,FALSE,0,0.39216667,FALSE,0,TGFB1,0,0
93312,FALSE,,,,NA,,,,FALSE,,,,,TBRG4,TBRG4,,,,FALSE,,,FALSE,,TBRG4,,
93313,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,PKN2,PKN2,PKN2,292,1,0,FALSE,0,0.72563309,FALSE,0,PKN2,0,0
93314,FALSE,3.83398987,9.33E-04,NA,NA,NA,0.26082489,0,FALSE,3,7,FALSE,HSP90AB1,HSP90AB1,HSP90AB1,89.66666667,3,0,FALSE,0,0.71660101,FALSE,0,HSP90AB1,221692,0.33713561
93315,FALSE,3.75239167,3.57E-04,NA,NA,NA,0.2664967,0,FALSE,4,7,FALSE,DBN1,DBN1,DBN1,82.66666667,4,0,FALSE,1,0.72476083,FALSE,0,DBN1,31230,0.33746556
93316,FALSE,,,,NA,,,,FALSE,,,,,MITD1,MITD1,,,,FALSE,,,FALSE,,MITD1,,
93317,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,CCDC130,CCDC130,CCDC130,311,1,0,FALSE,0,0.47105556,FALSE,0,CCDC130,0,0
93318,FALSE,,,,Neurons,,,,FALSE,,,,,L3MBTL3,L3MBTL3,,,,FALSE,,,FALSE,,L3MBTL3,,
93319,FALSE,3.455,1.29E-04,NA,NA,NA,0.2894356,0,FALSE,3,4,FALSE,DYSF,DYSF,DYSF,158.3333333,3,0,FALSE,0,0.509,FALSE,0,DYSF,40636,0.35676493
93320,FALSE,,,,NA,,,,FALSE,,,,,ECSIT,ECSIT,,,,FALSE,,,FALSE,,ECSIT,,
93321,FALSE,,,,NA,,,,FALSE,,,,,DMD,DMD,,,,FALSE,,,FALSE,,DMD,,
93322,FALSE,,,,NA,,,,FALSE,,,,,APPL1,APPL1,,,,FALSE,,,FALSE,,APPL1,,
93323,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,COX17,COX17,COX17,292,1,0,FALSE,0,0.72563309,FALSE,0,COX17,0,0
93324,FALSE,4.0073157,0,NA,NA,NA,0.2495436,0,FALSE,1,6,FALSE,ITGB5,ITGB5,ITGB5,62,1,0,TRUE,0,0.69926843,FALSE,0,ITGB5,0,0
93325,FALSE,4.00337648,5.35E-05,NA,NA,NA,0.24978915,0,FALSE,3,8,FALSE,MLF1,MLF1,MLF1,36,3,0,FALSE,1,0.69966235,FALSE,0,MLF1,13032,0.50724638
93326,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,MRM1,MRM1,MRM1,311,1,0,FALSE,0,0.47105556,FALSE,0,MRM1,0,0
93327,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,NELL1,NELL1,NELL1,311,1,0,FALSE,0,0.47105556,FALSE,0,NELL1,0,0
93328,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,TSPY1,TSPY1,TSPY1,292,1,0,FALSE,0,0.72563309,FALSE,0,TSPY1,0,0
93329,FALSE,3.74366911,0,Astrocytes,Astrocytes,Astrocytes,0.26711762,0,FALSE,1,8,FALSE,BBS2,BBS2,BBS2,292,1,0,FALSE,0,0.72563309,FALSE,0,BBS2,0,0
93330,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,BBS1,BBS1,BBS1,292,1,0,FALSE,0,0.72563309,FALSE,0,BBS1,0,0
93331,FALSE,3.35527778,0,NA,NA,NA,0.29803792,1,FALSE,2,4,FALSE,RAD23A,RAD23A,RAD23A,296.5,2,0,FALSE,0,0.52894444,FALSE,0,RAD23A,0,0.53423423
93332,FALSE,3.56583333,8.67E-05,NA,NA,NA,0.28043935,0,FALSE,2,4,FALSE,RAD23B,RAD23B,RAD23B,198,2,0,FALSE,0,0.48683333,FALSE,0,RAD23B,24360,0.51570681
93333,FALSE,3.64575127,0.00296756,NA,NA,NA,0.27429189,0,TRUE,4,8,FALSE,RAB27A,RAB27A,RAB27A,90.75,4,0,FALSE,0,0.73542487,FALSE,0,RAB27A,650758,0.25716332
93334,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,CCL18,CCL18,CCL18,292,1,0,FALSE,0,0.72563309,FALSE,0,CCL18,0,0
93335,FALSE,3.70793472,6.50E-05,NA,NA,NA,0.26969191,0,FALSE,2,8,FALSE,LAMTOR1,LAMTOR1,LAMTOR1,160.5,2,0,FALSE,0,0.72920653,FALSE,0,LAMTOR1,17612,0.51785714
93336,FALSE,3.74254361,1.96E-05,NA,NA,NA,0.26719796,0,FALSE,2,8,FALSE,CRADD,CRADD,CRADD,148,2,0,FALSE,0,0.72574564,FALSE,0,CRADD,2204,0.50342466
93337,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,BRMS1,BRMS1,BRMS1,292,1,0,FALSE,0,0.72563309,FALSE,0,BRMS1,0,0
93338,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,TMSB4X,TMSB4X,TMSB4X,311,1,0,FALSE,0,0.47105556,FALSE,0,TMSB4X,0,0
93339,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,PSG9,PSG9,PSG9,311,1,0,FALSE,0,0.47105556,FALSE,0,PSG9,0,0
93340,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,PAEP,PAEP,PAEP,311,1,0,FALSE,0,0.47105556,FALSE,0,PAEP,0,0
93341,FALSE,3.53833333,2.52E-05,Neurons,Neurons,Neurons,0.28261894,0,FALSE,2,4,FALSE,PAFAH1B3,PAFAH1B3,PAFAH1B3,181.5,2,0,FALSE,0,0.49233333,FALSE,0,PAFAH1B3,5922,0.51719198
93342,FALSE,,,,NA,,,,FALSE,,,,,RBPMS,RBPMS,,,,FALSE,,,FALSE,,RBPMS,,
93343,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,DUSP7,DUSP7,DUSP7,311,1,0,FALSE,0,0.47105556,FALSE,0,DUSP7,0,0
93344,FALSE,,,,Neurons,,,,FALSE,,,,,SEC61A2,SEC61A2,,,,TRUE,,,FALSE,,SEC61A2,,
93345,FALSE,5.08384918,0,NA,NA,NA,0.19670135,0,FALSE,1,8,FALSE,PHB,PHB,PHB,17,1,0,FALSE,0,0.59161508,FALSE,0,PHB,0,0
93346,FALSE,,,,NA,,,,FALSE,,,,,ZC2HC1C,ZC2HC1C,,,,FALSE,,,FALSE,,ZC2HC1C,,
93347,FALSE,4.01547552,5.58E-05,NA,NA,NA,0.24903651,0,FALSE,2,6,FALSE,CFAP206,CFAP206,CFAP206,47,2,0,FALSE,0,0.69845245,FALSE,0,CFAP206,7758,0.51685393
93348,FALSE,3.64472222,0,NA,NA,NA,0.27436933,0,FALSE,1,5,FALSE,CRCT1,CRCT1,CRCT1,311,1,0,FALSE,0,0.47105556,FALSE,0,CRCT1,0,0
93349,FALSE,,,,NA,,,,FALSE,,,,,CDX4,CDX4,,,,FALSE,,,FALSE,,CDX4,,
93350,FALSE,3.74366911,0,NA,NA,NA,0.26711762,0,FALSE,1,8,FALSE,GUSBP1,GUSBP1,GUSBP1,292,1,0,FALSE,0,0.72563309,FALSE,0,GUSBP1,0,0
93351,FALSE,3.60157569,0.00594706,NA,NA,NA,0.27765625,0,FALSE,12,7,FALSE,ZDHHC17,ZDHHC17,ZDHHC17,54.5,12,0,FALSE,1,0.73984243,FALSE,0,ZDHHC17,1945404,0.11122661
93352,FALSE,3.07416667,0.00147894,NA,NA,NA,0.32529141,0.11111111,FALSE,10,4,FALSE,XRCC6,XRCC6,XRCC6,82.1,10,0,FALSE,0,0.58516667,FALSE,0,XRCC6,161506,0.11786744
93353,FALSE,3.518852,0.00124391,NA,NA,NA,0.28418359,0.16666667,FALSE,5,6,FALSE,CDKN2A,CDKN2A,CDKN2A,157.5,5,0,FALSE,1,0.7481148,FALSE,0,CDKN2A,143432,0.26746167
93354,FALSE,,,,NA,,,,FALSE,,,,,BUB1,BUB1,,,,FALSE,,,FALSE,,BUB1,,
93355,FALSE,3.77333333,0,NA,NA,NA,0.26501767,0,FALSE,1,5,FALSE,STK11,STK11,STK11,75,1,0,FALSE,0,0.44533333,FALSE,0,STK11,0,0
93356,FALSE,,,,NA,,,,FALSE,,,,,USP8,USP8,,,,FALSE,,,FALSE,,USP8,,
93357,FALSE,3.83877321,2.47E-04,NA,NA,NA,0.26049989,0,FALSE,2,6,FALSE,PRKAB2,PRKAB2,PRKAB2,140.5,2,0,FALSE,0,0.71612268,FALSE,0,PRKAB2,36692,0.50727273
93358,FALSE,4.16657288,0,NA,NA,NA,0.2400054,0,FALSE,1,8,FALSE,PTCD3,PTCD3,PTCD3,4,1,0,FALSE,0,0.68334271,FALSE,0,PTCD3,0,0
93359,FALSE,3.81472222,0,NA,NA,NA,0.26214229,0,FALSE,1,5,FALSE,FKBP8,FKBP8,FKBP8,74,1,0,FALSE,0,0.43705556,FALSE,0,FKBP8,0,0
93360,FALSE,,,,NA,,,,FALSE,,,,,DKFZp547I014,DKFZp547I014,,,,FALSE,,,FALSE,,DKFZp547I014,,
93361,FALSE,4.04727068,0,NA,NA,NA,0.24708009,0,FALSE,1,8,FALSE,DCD,DCD,DCD,60,1,0,FALSE,0,0.69527293,FALSE,0,DCD,0,0
93362,FALSE,3.44777778,7.86E-05,NA,NA,NA,0.29004189,0,FALSE,2,4,FALSE,VAPA,VAPA,VAPA,190.5,2,0,FALSE,0,0.51044444,FALSE,0,VAPA,15668,0.51216216
93363,FALSE,,,,NA,,,,FALSE,,,,,SERINC3,SERINC3,,,,FALSE,,,FALSE,,SERINC3,,
93364,FALSE,3.55055556,7.81E-06,NA,NA,NA,0.28164606,0,FALSE,3,5,FALSE,TMBIM4,TMBIM4,TMBIM4,27.66666667,3,0,FALSE,0,0.48988889,FALSE,0,TMBIM4,826,0.34188034
93365,FALSE,,,,NA,,,,FALSE,,,,,NEK6,NEK6,,,,FALSE,,,FALSE,,NEK6,,
93366,FALSE,3.38222222,2.07E-04,NA,NA,NA,0.2956636,0,FALSE,5,4,FALSE,ITGB1,ITGB1,ITGB1,68.8,5,0,FALSE,0,0.52355556,FALSE,0,ITGB1,28834,0.22302632
93367,FALSE,3.62070906,8.06E-04,NA,NA,NA,0.276189,0,FALSE,5,7,FALSE,MCC,MCC,MCC,73.4,5,0,FALSE,0,0.73792909,FALSE,0,MCC,204394,0.21169591
