"SrNo","V1","V2"
23503,"P05090","Q13617"
23513,"P04278","P05090"
23575,"O43251","Q6P1W5"
23577,"O43251","Q99729"
23595,"A0A024R3E3","P05090"
23696,"O43251","P15927"
23818,"P05090","Q9P0L0"
23864,"Q969H0","Q99062"
23985,"P05090","Q5U0E6"
24113,"P05090","P0CAP1"
24135,"P04198","Q969H0"
24233,"P13473","P15313"
24249,"P15313","Q93050"
24643,"P40222","Q63ZY3"
24659,"Q14289","Q9Y2X7"
24715,"Q08117","Q63ZY3"
24749,"Q92918","Q969H0"
24760,"P49768","Q63ZY3"
24773,"Q63ZY3","Q8IZD4"
24858,"Q08379","Q63ZY3"
24882,"P25791","Q63ZY3"
25097,"Q9NSC5","Q9UL62"
25245,"O43251","Q9Y5X4"
25350,"O00451","P39905"
25531,"O75052","P98164"
25692,"Q969H0","Q96GD4"
25883,"P60201","Q16849"
26076,"O43251","O76064"
26103,"O15519","O75618"
26345,"O43251","O75553"
26849,"O00299","Q93050"
27272,"B4E3T4","O43251"
27384,"P51811","Q9NPP4"
27718,"P28347","Q99990"
27895,"P28347","Q14135"
28066,"P09012","Q96PU8"
28237,"P28347","P48431"
28374,"A0A024RAL7","P28347"
28593,"Q9UPX8","Q9Y2H0"
28594,"O14490","Q9UPX8"
28595,"Q9P1A6","Q9UPX8"
28598,"Q14247","Q9UPX8"
28680,"B2R4R0","Q9UKV0"
28759,"P46013","Q9UKV0"
28793,"P49768","Q969H0"
29005,"Q96PU8","Q9NQZ3"
29232,"Q9UKV0","Q9UQE7"
29447,"Q86T74","Q969H0"
29642,"O14593","Q9UKV0"
29643,"Q9UPX8","Q9Y4I1"
29693,"B7Z647","P28223"
29714,"Q14289","Q9Y490"
29745,"O15519","Q8IUC6"
29750,"B7Z647","Q9UPX8"
29765,"O75182","Q9P1Z0"
29844,"B2R491","Q6NZI2"
29882,"P07900","Q9NQ86"
30150,"O15519","P04637"
30246,"O43251","Q86U06"
30463,"Q14451","Q9NQ86"
30486,"Q9NPH2","Q9NUX5"
30709,"P13473","Q9UMS4"
30735,"A0A024R1K8","O43251"
30881,"Q93074","Q969H0"
30912,"Q9UBP5","Q9UKV0"
