"SUID","name","selected","shared name"
"168137","CDK4","false","CDK4"
"168139","HP1BP3","false","HP1BP3"
"168141","UCHL1","false","UCHL1"
"168143","SF3B3","false","SF3B3"
"168145","HNRNPU","false","HNRNPU"
"168147","MCM7","false","MCM7"
"168149","NPM1","false","NPM1"
"168151","RFC1","false","RFC1"
"168153","BCAS2","false","BCAS2"
"168155","SAFB","false","SAFB"
"168157","EEF1AKMT3","false","EEF1AKMT3"
"168159","HSPA8","false","HSPA8"
"168161","TUBG1","false","TUBG1"
"168163","APEH","false","APEH"
"168165","PXK","false","PXK"
"168167","SUDS3","false","SUDS3"
"168169","EIF4A2","false","EIF4A2"
"168171","BSN","false","BSN"
"168173","RYR1","false","RYR1"
"168175","APOD","false","APOD"
"168176","CUL2","false","CUL2"
"168178","SHBG","false","SHBG"
"168180","C1orf94","false","C1orf94"
"168182","HNRNPAB","false","HNRNPAB"
"168184","APOA1","false","APOA1"
"168186","RPA2","false","RPA2"
"168188","VAPA","false","VAPA"
"168190","CSF3R","false","CSF3R"
"168192","STK24","false","STK24"
"168194","MYZAP","false","MYZAP"
"168196","MYCN","false","MYCN"
"168198","ATP6V1B1","false","ATP6V1B1"
"168201","TXLNA","false","TXLNA"
"168203","GIT1","false","GIT1"
"168205","AES","false","AES"
"168207","MAP4K1","false","MAP4K1"
"168209","PSEN1","false","PSEN1"
"168211","DCP1B","false","DCP1B"
"168213","GOLGA2","false","GOLGA2"
"168215","LMO2","false","LMO2"
"168217","TRPC5","false","TRPC5"
"168219","NR2E3","false","NR2E3"
"168221","GDNF","false","GDNF"
"168223","LRP2","false","LRP2"
"168225","AURKB","false","AURKB"
"168227","PLP1","false","PLP1"
"168228","PTPRN","false","PTPRN"
"168230","RNF8","false","RNF8"
"168232","DEDD","false","DEDD"
"168234","DAB1","false","DAB1"
"168236","CLIC1","false","CLIC1"
"168238","RBPMS","false","RBPMS"
"168240","XK","false","XK"
"168241","NLRC4","false","NLRC4"
"168243","TEAD1","false","TEAD1"
"168244","VGLL1","false","VGLL1"
"168246","VGLL4","false","VGLL4"
"168248","SNRPA","false","SNRPA"
