GeneSymbol,GeneSymbol.1,INT
HOMER3,TRPC5,PPI
RBFOX2,NR2E3,PPI
GFRA2,GDNF,PPI
NOS1AP,LRP2,PPI
FBXW7,AURKB,PPI
PLP1,PTPRN,PPI
RBFOX2,RNF8,PPI
CFLAR,DEDD,PPI
RBFOX2,DAB1,PPI
CLIC1,ATP6V0A1,PPI
RBPMS,RBFOX2,PPI
XK,NLRC4,PPI
TEAD1,VGLL1,PPI
TEAD1,VGLL4,PPI
SNRPA,QKI,PPI
TEAD1,SOX2,PPI
MEF2C,TEAD1,PPI
SHANK2,DLGAP4,PPI
DLGAP1,SHANK2,PPI
DLGAP2,SHANK2,PPI
CTTN,SHANK2,PPI
HIST1H4L,HDAC9,PPI
MKI67,HDAC9,PPI
PSEN1,FBXW7,PPI
QKI,DAZ1,PPI
HDAC9,SMC3,PPI
DKFZp451O0517,FBXW7,PPI
RFXANK,HDAC9,PPI
SHANK2,MYO5A,PPI
DLG4,HTR2A,PPI
PTK2B,TLN1,PPI
CFLAR,TICAM1,PPI
DLG4,SHANK2,PPI
SIN3B,ZBTB4,PPI
RPS4X,PTRF,PPI
HSP90AA1,TRIM36,PPI
CFLAR,TP53,PPI
RBFOX2,RBM23,PPI
GRB7,TRIM36,PPI
ISYNA1,POT1,PPI
LAMP2,PRPF19,PPI
SF3A1,RBFOX2,PPI
MED12,FBXW7,PPI
HEY2,HDAC9,PPI
SRC,SYN1,PPI
UBE2D2,TRIM36,PPI
ZNF417,TRIM36,PPI
MED6,FBXW7,PPI
SIN3B,KDM5A,PPI
LYN,HTR2A,PPI
LYN,PTK2B,PPI
SIN3B,MECP2,PPI
CFLAR,CASP10,PPI
RBFOX2,GTF2A1L,PPI
TEAD1,NCOA1,PPI
LAMP2,SF3B6,PPI
HNRPF,RBFOX2,PPI
MT-ND2,GRIN1,PPI
SIN3B,NSD2,PPI
SMARCA2,SIN3B,PPI
SIN3B,SMARCB1,PPI
PBX1,SIN3B,PPI
SIN3B,SUMO2,PPI
SRF,TEAD1,PPI
FBXW7,MED8,PPI
MEF2B,HDAC9,PPI
HDAC4,HDAC9,PPI
CIT,ZNF706,PPI
PTRF,CAV1,PPI
NOLC1,PTRF,PPI
ILF2,PTRF,PPI
SNU13,PTRF,PPI
DHX9,PTRF,PPI
NPM1,PTRF,PPI
SUMO1,PTRF,PPI
TFF1,PTRF,PPI
WIPF1,HOMER3,PPI
BTBD14B,ENC1,PPI
SKAP2,PTK2B,PPI
RBFOX2,SMN1,PPI
FBXW7,CREB3L1,PPI
SIN3B,SMN1,PPI
MYOCD,MKL1,PPI
MED4,FBXW7,PPI
PPP2CA,ISYNA1,PPI
MED4,QKI,PPI
LAMP2,HIF1A,PPI
CCDC6,FBXW7,PPI
MKL1,NCOA3,PPI
PLXNB2,PLCG1,PPI
KEAP1,ENC1,PPI
SYP,AP1G1,PPI
RBFOX2,TOLLIP,PPI
MAPK10,HDAC9,PPI
FBXW7,HIPK2,PPI
HCLS1,QKI,PPI
SERF2,QKI,PPI
APP,QKI,PPI
RBM23,QKI,PPI
RBPMS,QKI,PPI
HNRNPLL,QKI,PPI
MED12,QKI,PPI
TEAD1,UBTD1,PPI
TEAD1,DKFZp451O0517,PPI
TWF2,TLN2,PPI
ALB,TLN2,PPI
SEM1,TLN2,PPI
PLXNB2,PFDN1,PPI
UBC,TLN2,PPI
RBFOX2,KHDRBS1,PPI
GINS4,NCDN,PPI
SIN3B,SOX2,PPI
CCNE2,FBXW7,PPI
CFLAR,FAS,PPI
ATN1,CHRD,PPI
RBFOX2,ATN1,PPI
PTK2B,GP6,PPI
EPRS,LAMP2,PPI
HDAC1,HDAC9,PPI
SHBG,UBE2O,PPI
GRK5,UBE2O,PPI
ZNF687,UBE2O,PPI
UBE2O,ECT2,PPI
TRAF5,UBE2O,PPI
UBE2O,TRAF6,PPI
SMAD6,UBE2O,PPI
POLA2,UBE2O,PPI
FTSJ3,UBE2O,PPI
DLGAP3,SHANK2,PPI
ANKRA2,HDAC9,PPI
UBD,NCDN,PPI
EGFR,NCDN,PPI
ASL,NCDN,PPI
PLOD1,NCDN,PPI
PRCP,NCDN,PPI
AES,NCDN,PPI
CCDC8,NCDN,PPI
GRIN1,GRIN3A,PPI
LYST,NCDN,PPI
QKI,THAP1,PPI
SYP,SRCIN1,PPI
NFE2L1,FBXW7,PPI
RBFOX2,POLR3D,PPI
RBFOX2,SNRPC,PPI
TNFRSF10A,CFLAR,PPI
FBXW7,MED31,PPI
RPA3,RBFOX2,PPI
MRPL50,ATP6V0A1,PPI
FBXW7,MED10,PPI
ZMAT2,TRIM36,PPI
CCDC8,BAZ1A,PPI
LAMP2,DDX21,PPI
MAL,PTPRN,PPI
KANK2,MOB1A,PPI
YWHAE,HDAC9,PPI
FBXW7,MED30,PPI
TRIM29,HDAC9,PPI
RBFOX2,BMI1,PPI
FAM131A,PHYHIP,PPI
MORF4L2,HDAC9,PPI
NABP1,QKI,PPI
