"Gene.symbol","Cell.type","SUID","name","selected","OG_Gene","ALSOD","DEG"
"PCDH8","Neurons",170397,"PCDH8","false",TRUE,FALSE,FALSE
"PHYHIP","Neurons",168517,"PHYHIP","false",TRUE,FALSE,FALSE
"PIN1","Neurons",168633,"PIN1","false",FALSE,FALSE,FALSE
"PITPNM3","Neurons",168824,"PITPNM3","false",FALSE,FALSE,FALSE
"POP7","Neurons",169061,"POP7","false",FALSE,FALSE,FALSE
"PRCP","Astrocytes",168470,"PRCP","false",FALSE,FALSE,FALSE
"PRKAA2","Neurons",169130,"PRKAA2","false",FALSE,FALSE,FALSE
"PRKCE","Neurons",169855,"PRKCE","false",FALSE,FALSE,FALSE
"PTPRN","Neurons",168228,"PTPRN","false",TRUE,FALSE,FALSE
"PTPRT","Neurons",169556,"PTPRT","false",FALSE,FALSE,FALSE
"PXK","Oligodendrocytes",168165,"PXK","false",FALSE,FALSE,FALSE
"RBFOX2","Neurons",167943,"RBFOX2","false",TRUE,FALSE,FALSE
"RGS7","Neurons",167869,"RGS7","false",TRUE,FALSE,FALSE
"SDPR","Endothelial",169259,"SDPR","false",FALSE,FALSE,FALSE
"SERPINB9","Microglia",169714,"SERPINB9","false",FALSE,FALSE,FALSE
"SH3GL2","Neurons",169015,"SH3GL2","false",FALSE,FALSE,FALSE
"SNAPC5","Neurons",168537,"SNAPC5","false",FALSE,FALSE,FALSE
"SNRPN","Neurons",170034,"SNRPN","false",FALSE,FALSE,FALSE
"SOX2","Astrocytes",168250,"SOX2","false",FALSE,FALSE,FALSE
"SSBP3","Neurons",169219,"SSBP3","false",TRUE,FALSE,TRUE
"STX1A","Neurons",168559,"STX1A","false",FALSE,FALSE,FALSE
"SYN1","Neurons",167839,"SYN1","false",TRUE,FALSE,FALSE
"SYN2","Neurons",167862,"SYN2","false",FALSE,FALSE,FALSE
"SYN3","Neurons",168835,"SYN3","false",FALSE,FALSE,FALSE
"TAL1","Microglia",169218,"TAL1","false",FALSE,FALSE,FALSE
"TRIM36","Neurons",167829,"TRIM36","false",TRUE,FALSE,FALSE
"TRPC4","Neurons",168971,"TRPC4","false",FALSE,FALSE,FALSE
"TUBA8","Neurons",169361,"TUBA8","false",FALSE,FALSE,FALSE
"UBE2QL1","Neurons",169174,"UBE2QL1","false",FALSE,FALSE,FALSE
"UCHL1","Neurons",168141,"UCHL1","false",FALSE,FALSE,TRUE
"UNC13A","Neurons",168044,"UNC13A","false",TRUE,TRUE,FALSE
"VCAM1","Endothelial",167992,"VCAM1","false",FALSE,FALSE,FALSE
"VEZF1","Oligodendrocytes",168557,"VEZF1","false",TRUE,FALSE,FALSE
"ZFYVE9","Neurons",170044,"ZFYVE9","false",FALSE,FALSE,FALSE
"-",NA,170207,"-","false",FALSE,FALSE,FALSE
"A2M",NA,170459,"A2M","false",FALSE,FALSE,FALSE
"ABI2",NA,168735,"ABI2","false",FALSE,FALSE,FALSE
"ABI3",NA,170265,"ABI3","false",FALSE,FALSE,FALSE
"ABL1",NA,170533,"ABL1","false",FALSE,FALSE,TRUE
"ACTB",NA,168561,"ACTB","false",FALSE,FALSE,FALSE
"ACTN2",NA,170285,"ACTN2","false",FALSE,FALSE,FALSE
"ADAR",NA,167875,"ADAR","false",FALSE,FALSE,FALSE
"ADRB2",NA,170473,"ADRB2","false",FALSE,FALSE,FALSE
"AFF4",NA,169164,"AFF4","false",FALSE,FALSE,FALSE
"AIFM1",NA,170223,"AIFM1","false",FALSE,FALSE,FALSE
"AKAP9",NA,169999,"AKAP9","false",FALSE,FALSE,FALSE
"AKR1C3",NA,169458,"AKR1C3","false",FALSE,FALSE,FALSE
"ALAS1",NA,170357,"ALAS1","false",FALSE,FALSE,FALSE
"ALB",NA,168416,"ALB","false",FALSE,FALSE,FALSE
"ALG2",NA,169093,"ALG2","false",FALSE,FALSE,FALSE
"ANGPTL4",NA,170345,"ANGPTL4","false",FALSE,FALSE,FALSE
"ANKRA2",NA,168461,"ANKRA2","false",FALSE,FALSE,FALSE
"ANKS1B",NA,169816,"ANKS1B","false",FALSE,FALSE,FALSE
"ANXA7",NA,170203,"ANXA7","false",FALSE,FALSE,FALSE
"AP1G1",NA,168392,"AP1G1","false",FALSE,FALSE,FALSE
"AP4M1",NA,169380,"AP4M1","false",FALSE,FALSE,FALSE
"APEH",NA,168163,"APEH","false",FALSE,FALSE,FALSE
"APOA1",NA,168184,"APOA1","false",FALSE,FALSE,FALSE
"APOA2",NA,169985,"APOA2","false",FALSE,FALSE,FALSE
"APP",NA,168404,"APP","false",FALSE,FALSE,FALSE
"APPL1",NA,169037,"APPL1","false",FALSE,FALSE,FALSE
"APTX",NA,169184,"APTX","false",FALSE,FALSE,FALSE
"ARHGAP5",NA,169754,"ARHGAP5","false",FALSE,FALSE,FALSE
"ARHGEF11",NA,168019,"ARHGEF11","false",FALSE,FALSE,FALSE
"ARHGEF12",NA,169382,"ARHGEF12","false",FALSE,FALSE,FALSE
"ARHGEF40",NA,168707,"ARHGEF40","false",TRUE,FALSE,FALSE
"ARHGEF6",NA,169274,"ARHGEF6","false",FALSE,FALSE,FALSE
"ARHGEF7",NA,169470,"ARHGEF7","false",FALSE,FALSE,FALSE
"ARL3",NA,169980,"ARL3","false",FALSE,FALSE,FALSE
"ARL6IP1",NA,169798,"ARL6IP1","false",FALSE,FALSE,FALSE
"ASAP1",NA,169554,"ASAP1","false",FALSE,FALSE,FALSE
"ASAP2",NA,167965,"ASAP2","false",FALSE,FALSE,FALSE
"ASL",NA,168466,"ASL","false",FALSE,FALSE,FALSE
"ATF3",NA,169738,"ATF3","false",FALSE,FALSE,FALSE
"ATG3",NA,169098,"ATG3","false",FALSE,FALSE,FALSE
"ATN1",NA,168432,"ATN1","false",FALSE,FALSE,FALSE
"ATP1B1",NA,169697,"ATP1B1","false",FALSE,FALSE,FALSE
"ATP6V0A1",NA,167893,"ATP6V0A1","false",TRUE,FALSE,FALSE
"ATP6V1B1",NA,168198,"ATP6V1B1","false",FALSE,FALSE,FALSE
"ATP6V1D",NA,167892,"ATP6V1D","false",FALSE,FALSE,FALSE
"ATP6V1E1",NA,168751,"ATP6V1E1","false",FALSE,FALSE,FALSE
"ATXN1",NA,168631,"ATXN1","false",FALSE,FALSE,FALSE
"ATXN1L",NA,168639,"ATXN1L","false",FALSE,FALSE,FALSE
"AURKB",NA,168225,"AURKB","false",FALSE,FALSE,FALSE
"BAG3",NA,168995,"BAG3","false",FALSE,FALSE,FALSE
"BAI1",NA,169286,"BAI1","false",FALSE,FALSE,FALSE
"BAIAP2",NA,167811,"BAIAP2","false",TRUE,FALSE,FALSE
"BAIAP2L1",NA,169240,"BAIAP2L1","false",FALSE,FALSE,FALSE
"BAP1",NA,169049,"BAP1","false",FALSE,FALSE,FALSE
"BAZ1A",NA,167860,"BAZ1A","false",TRUE,FALSE,FALSE
"BAZ1B",NA,168593,"BAZ1B","false",FALSE,FALSE,FALSE
"BCAR1",NA,167963,"BCAR1","false",FALSE,FALSE,FALSE
"BCAS2",NA,168153,"BCAS2","false",FALSE,FALSE,FALSE
"BCL6",NA,168923,"BCL6","false",FALSE,TRUE,FALSE
"BEND7",NA,170175,"BEND7","false",FALSE,FALSE,FALSE
"BIN1",NA,169505,"BIN1","false",FALSE,FALSE,FALSE
"BIRC2",NA,169160,"BIRC2","false",FALSE,FALSE,FALSE
"BLM",NA,168647,"BLM","false",FALSE,FALSE,FALSE
"BMI1",NA,168514,"BMI1","false",FALSE,FALSE,FALSE
"BMP1",NA,168814,"BMP1","false",FALSE,FALSE,FALSE
"BMP2",NA,169760,"BMP2","false",FALSE,FALSE,FALSE
"BOC",NA,169412,"BOC","false",FALSE,FALSE,FALSE
"BOLL",NA,170240,"BOLL","false",FALSE,FALSE,FALSE
"BRCA1",NA,169231,"BRCA1","false",FALSE,FALSE,FALSE
"BRDG1",NA,169540,"BRDG1","false",FALSE,FALSE,FALSE
"BTBD14B",NA,168366,"BTBD14B","false",FALSE,FALSE,FALSE
"BTG1",NA,168885,"BTG1","false",FALSE,FALSE,TRUE
"BTRC",NA,170398,"BTRC","false",FALSE,FALSE,FALSE
"BZRAP1",NA,168703,"BZRAP1","false",FALSE,FALSE,FALSE
"C12orf57",NA,168796,"C12orf57","false",FALSE,FALSE,FALSE
"C14orf1",NA,169284,"C14orf1","false",FALSE,FALSE,FALSE
"C14orf150",NA,170382,"C14orf150","false",FALSE,FALSE,FALSE
"C1orf115",NA,169126,"C1orf115","false",TRUE,FALSE,FALSE
"C1orf156",NA,170449,"C1orf156","false",FALSE,FALSE,FALSE
"C1orf94",NA,168180,"C1orf94","false",FALSE,FALSE,FALSE
"CALM1",NA,169378,"CALM1","false",FALSE,FALSE,FALSE
"CAMK1",NA,169063,"CAMK1","false",FALSE,FALSE,FALSE
"CAMK2B",NA,170510,"CAMK2B","false",FALSE,FALSE,FALSE
"CAMK2G",NA,169110,"CAMK2G","false",FALSE,FALSE,FALSE
"CANX",NA,169842,"CANX","false",FALSE,FALSE,FALSE
"CAPN2",NA,168792,"CAPN2","false",FALSE,FALSE,FALSE
"CARD4",NA,168697,"CARD4","false",FALSE,FALSE,FALSE
"CARD6",NA,169096,"CARD6","false",FALSE,FALSE,FALSE
"CARM1",NA,169000,"CARM1","false",FALSE,FALSE,FALSE
"CASK",NA,169035,"CASK","false",FALSE,FALSE,FALSE
"CASP10",NA,168321,"CASP10","false",FALSE,FALSE,FALSE
"CASP2",NA,169726,"CASP2","false",FALSE,FALSE,FALSE
"CASP3",NA,168687,"CASP3","false",FALSE,FALSE,FALSE
"CASP6",NA,169665,"CASP6","false",FALSE,FALSE,FALSE
"CASP7",NA,170061,"CASP7","false",FALSE,FALSE,FALSE
"CASP8",NA,168794,"CASP8","false",FALSE,FALSE,FALSE
"CATSPER1",NA,170478,"CATSPER1","false",FALSE,FALSE,FALSE
"CAV1",NA,168350,"CAV1","false",FALSE,FALSE,FALSE
"CBL",NA,168529,"CBL","false",FALSE,FALSE,FALSE
"CBLB",NA,168635,"CBLB","false",FALSE,FALSE,TRUE
"CBX1",NA,169392,"CBX1","false",FALSE,FALSE,FALSE
"CBX5",NA,167880,"CBX5","false",FALSE,FALSE,FALSE
"CCAR2",NA,169166,"CCAR2","false",FALSE,FALSE,FALSE
"CCDC106",NA,169454,"CCDC106","false",FALSE,FALSE,FALSE
"CCDC36",NA,168540,"CCDC36","false",FALSE,FALSE,FALSE
"CCDC6",NA,168384,"CCDC6","false",FALSE,FALSE,FALSE
"CCDC8",NA,168473,"CCDC8","false",FALSE,FALSE,FALSE
"CCNB1",NA,168533,"CCNB1","false",FALSE,FALSE,FALSE
"CCNB2",NA,168710,"CCNB2","false",FALSE,FALSE,FALSE
"CCNC",NA,168572,"CCNC","false",FALSE,FALSE,FALSE
"CCNE1",NA,167818,"CCNE1","false",FALSE,FALSE,FALSE
"CCNE2",NA,168428,"CCNE2","false",FALSE,FALSE,FALSE
"CCR5",NA,169522,"CCR5","false",FALSE,FALSE,FALSE
"CCT5",NA,168926,"CCT5","false",FALSE,FALSE,FALSE
"CD2AP",NA,168891,"CD2AP","false",FALSE,FALSE,FALSE
"CD36",NA,168805,"CD36","false",FALSE,FALSE,FALSE
"CDC2",NA,169356,"CDC2","false",FALSE,FALSE,FALSE
"CDC34",NA,169136,"CDC34","false",FALSE,FALSE,FALSE
"CDC42",NA,169221,"CDC42","false",TRUE,FALSE,FALSE
"CDC45",NA,168599,"CDC45","false",FALSE,FALSE,FALSE
"CDH2",NA,169863,"CDH2","false",FALSE,FALSE,FALSE
"CDH22",NA,168833,"CDH22","false",TRUE,TRUE,TRUE
