Genes,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
OPCML,11.64744335,11.64744335,19.77404231,16.75677064,14.8085679,13.52757259,9.928154307,16.83182198
WASIR1,1.70121647,0.96088715,1.271962339,1.450460762,1.76045463,1.260388627,1.513746006,1.631569867
WASL,38.3182147,31.26116687,26.24807529,42.18473444,28.89745372,22.21947427,25.69144975,19.25493805
NCOR1,2.757152786,2.50570547,2.321203425,1.683330265,1.583209214,2.406914012,1.589126109,2.463370836
PSMA2,3.513528999,4.406219447,3.170606447,6.245095475,6.208873959,3.058374442,3.281488795,3.904307777
CACYBP,82.44869574,61.95372072,76.84146161,102.0301648,76.031707,62.55512912,53.19884084,64.30432855
CTCF,4.510646095,5.502233451,5.950296166,4.510646095,4.228910158,4.510646095,4.764542076,5.56740234
CHST15,2.393370615,4.293641398,3.369451849,3.488936268,4.041901476,3.915740531,6.923549041,7.200188576
MT1H,113.7241346,162.4285836,138.9454201,153.9478779,116.096943,121.6855711,146.3598421,151.5114179
MT1M,3.956843545,15.49121746,4.902495535,3.67659568,5.482533959,2.647500353,9.814208038,17.56943755
SNTG1,1.979830928,1.479900443,1.786302261,1.523177708,1.44860602,1.523177708,1.75129411,1.71336648
ZNF506,1.580755446,1.580755446,1.580755446,1.681891732,1.580755446,1.438152453,1.94016384,1.704913475
OTUD1,4.32526965,3.173231808,3.629408446,3.173231808,3.119271648,2.985029658,3.173231808,3.443032613
SLC18B1,2.223292834,3.445267038,2.904761803,2.277268846,2.398788736,1.654393395,2.679842061,2.447557435
TCEAL7,10.66408211,11.57723376,14.84538714,18.50483163,14.41391267,14.20285612,16.35722484,14.74439787
PPM1L,25.23711119,25.58571135,27.52503825,25.54412678,21.36066446,16.33122992,12.55016139,18.26230863
CHIC1,27.30313299,26.91625736,27.48495106,27.51384712,28.07950816,15.24678077,14.61175448,20.13103987
SERAC1,3.036535476,4.771483862,2.954910993,3.625845667,4.151388163,3.293239325,2.886616507,5.066311448
UBASH3B,48.01708007,35.67272582,31.26308345,34.81031388,35.67272582,24.57747846,22.21643597,28.6333833
RAB3C,5.230796528,5.824057413,4.549455594,5.211134551,8.927177017,4.943257286,4.668179004,5.662781965
SH3KBP1,7.991980124,7.200188576,10.93708478,5.991664636,8.555390932,7.200188576,8.598930562,7.200188576
ITPRIPL2,4.151388163,5.267779201,4.383347028,4.151388163,3.523134442,4.151388163,6.810267286,4.921423737
RPL4,36.76835394,56.13532735,59.54291525,44.21198303,48.76053182,41.60470248,42.4847103,43.68449971
ACTR3,18.86846799,18.86846799,20.86058969,20.31304532,18.14364113,14.89650978,12.57613179,15.92765097
PJA2,34.34737519,17.78376844,25.06447471,18.80849008,23.70869825,15.5506841,9.529963137,22.57442393
VAPB,16.09564458,17.95200721,18.42147401,16.73613915,18.39633126,15.5506841,12.5930767,12.21180479
COX11,15.29405488,13.23283114,16.35651615,22.7370554,28.66660297,8.162119707,10.94869823,22.20196503
WWP2,10.32833345,12.20081976,9.342148439,9.438136928,8.624571832,9.181819311,7.368033398,8.021668399
ADAM17,2.49987522,2.473592098,2.473592098,2.473592098,2.283947674,3.118063322,3.017376819,2.07800406
MID2,3.912692411,4.773827964,3.952486187,5.873448379,5.337527573,5.170336432,3.195265146,5.701265097
ATR,120.6110684,73.11649926,100.9740825,107.5410216,125.4769688,86.1533811,52.91437201,98.14553512
SET,9.626499563,12.10728797,13.07411639,10.17139738,13.1060417,8.696415356,11.08184098,13.50568014
RRAS2,1.719285574,1.357511035,1.288741081,1.470230079,1.598052756,1.649302204,1.357511035,1.35100185
AK055981,12.41125859,20.26896358,12.17722623,17.59510822,10.73413996,11.23515128,15.14859838,12.74245787
NOTCH2NL,17.06774436,20.42911526,15.91382639,16.09146983,13.62680172,27.8083453,21.05811371,23.48507958
COX16,4.510646095,4.026665303,4.074840946,1.957285387,4.219365815,4.026665303,3.089414507,3.491321325
ISOC1,25.91434135,26.701874,18.91065203,20.01365849,24.93995972,16.55440353,16.3586857,21.46108385
CMC2,32.62619098,33.98411672,31.12358907,46.21198303,48.32643541,32.50015348,26.94542165,39.05963363
RPL36,24.2138421,37.7863198,47.6193424,42.4847103,35.55972452,33.93925695,54.75714255,29.58246167
ZFYVE21,9.377704683,15.0153288,15.15476671,7.538817065,12.53879285,11.23515128,10.6782208,16.18655367
MTHFR,5.263054867,4.828496762,4.406123347,5.706891304,4.655527032,4.311493403,4.406123347,4.946995957
KRBOX1,3.043188956,3.043188956,3.462424943,4.390691457,3.374049724,3.132182033,3.043188956,2.640136327
ACSS3,1.620281135,1.358841252,1.465727854,1.521208883,1.374178174,1.430987053,1.374178174,1.331731059
PTPN5,9.598212867,11.89753698,11.49254334,9.765114229,16.20750684,7.991749136,9.450321689,9.598212867
MCF2L,18.61594609,23.5812608,20.05202227,25.94256963,24.21040491,17.16961962,22.34706505,17.58637962
C9orf72,8.360684111,7.172507016,5.591425691,7.674739678,12.57316819,5.311932916,7.000633531,8.360684111
MMD2,1.196810735,1.014153431,1.159370853,1.276055322,1.476519164,1.382760517,1.331731059,1.294582262
RPS10,207.8675772,281.4847103,238.0454569,291.1210739,244.5452699,233.5756194,260.4820815,299.3763457
CTBP2,2.293475968,2.783966817,2.530221996,1.641463653,2.283947674,2.375661771,2.283947674,3.413878671
INSIG1,101.3342913,224.8814018,152.1590405,141.8290296,171.0794594,143.6649808,41.04302703,159.6465333
PRKACB,173.2032368,161.7586968,239.5422312,159.3317809,186.1210739,110.5494565,134.0767686,121.881788
GBP2,4.179371577,5.019489146,3.737281106,6.234262081,4.850807714,4.375135422,4.798769124,6.504337618
KBTBD11,4.401617829,5.289571371,7.137346562,4.839180723,6.784525579,3.592990128,4.085628682,4.063607976
STK38L,16.90837784,17.34047164,17.34047164,16.53439783,22.58006841,9.639582732,11.97077336,16.35279889
JMJD6,11.1442422,11.84963741,12.01758343,12.19549051,14.37728335,10.64613706,10.86673979,15.59706716
MLC1,1.94016384,3.377465809,3.309626245,1.707110262,1.94016384,1.783908693,1.94016384,2.098662402
GOLGA8A,2.089671916,1.83220342,2.10236099,1.963163083,1.790219798,1.83220342,2.051810059,1.590453586
PDGFD,74.03016485,59.49889086,84.21198303,84.289837,103.4053721,60.64795508,40.22449103,70.03016485
OLA1,6.257707061,6.145278637,5.358829407,7.562159424,7.913630951,7.521195064,6.722457257,6.603581309
VPS25,5.195415357,4.735847075,5.607643537,5.015310621,4.505517015,4.462633977,4.393325281,4.409366893
FKBP5,58.26077106,63.06380689,42.67461273,44.21198303,33.34513967,47.71464481,52.59472391,47.99009858
SUDS3,27.90053736,26.62512194,26.62512194,29.55554084,33.95719092,20.04589307,24.351653,21.28989532
BLOC1S2,40.9280617,35.75743782,29.27109499,29.662627,35.87489811,25.64205267,17.02404482,25.67590808
RAI1,28.66486961,35.75743782,32.12107918,32.82226476,35.68264797,27.30919728,28.75760116,29.39387568
NHLRC3,1.268929491,1.680357123,1.322744832,1.455837447,1.322744832,1.291393026,1.395655615,1.46492011
LACC1,2.695965366,2.990035387,3.178238771,2.886097887,2.596580711,2.299768223,2.159453705,2.353044755
AMDHD1,2.283947674,1.6925231,1.331731059,1.534081013,2.283947674,1.735744826,1.6925231,1.735744826
C5orf28,1.523177708,1.255393724,1.627286517,1.276055322,1.322744832,1.099719527,1.371161716,1.189559344
C3orf70,3.585789425,3.988641315,4.767917164,3.634053963,4.199549909,3.735103483,3.735103483,6.117341419
UBE2V2,8.955063651,9.028114515,8.955063651,7.464767586,9.274491418,6.719069285,6.047268651,8.955063651
AQP4,1.533930838,2.035031065,1.158298725,1.693458482,1.514055956,1.590453586,2.17330652,2.084307053
SBF1,2.29564752,1.94888294,2.061626009,1.556578286,1.379089458,1.563072101,1.556578286,1.967667947
CST3,9.697163111,15.87935862,17.53090305,9.814208038,10.39389339,8.034789107,9.697163111,9.162128289
HEXIM1,6.414419827,8.457403522,7.200188576,7.200188576,8.956477064,6.200231861,5.765934295,6.126954508
MTMR2,6.904031287,8.267324682,7.779984846,4.575649205,6.989169117,5.138595198,3.0036896,5.381600985
RPS28,152.3028921,263.7639598,196.5649139,212.3641735,196.7921523,177.4847103,188.3483467,188.5756194
POPDC3,43.79385039,31.94958375,39.29827899,39.29827899,42.87050443,27.30930105,24.03202393,31.09000043
KCNMA1,19.49235673,25.80818808,27.23065761,15.39796769,19.50481911,15.87875314,17.2042691,22.60906295
ZWILCH,4.982840657,5.195415357,4.2433351,6.753016379,6.538685195,4.094360259,3.013215089,4.90876161
CIRH1A,33.42177752,29.15071129,29.97478354,36.18923039,28.77352036,23.03461378,24.96367063,23.17328412
ICA1L,6.878633884,7.142065702,5.298440733,6.81542456,8.748293399,4.215871369,6.026760424,6.223730017
TIGD7,1.888641757,1.523177708,1.466458243,1.611799291,2.090163136,1.668480555,1.211340174,1.584357848
NAPB,108.7608883,181.7889749,175.7087969,156.6464817,215.9392558,146.0693155,131.2071159,121.3484242
ANKRD30BL,1.50323858,1.983022957,1.64964869,1.683330265,1.56575242,1.590453586,1.957603596,2.591760575
NME5,7.162266782,5.377785184,3.211474058,5.995513122,7.049390067,4.274051908,4.238128341,5.606893107
USP13,2.532191857,2.783966817,2.106827925,2.307755805,2.698687313,2.052284451,2.698687313,2.698687313
ANKRD29,15.85689262,10.75223233,10.33244728,19.82039388,17.24956255,10.33660938,9.275123934,14.91605344
FLJ20021,24.83251384,20.57889974,20.31285805,18.50483163,18.43451108,15.79718949,11.95159769,13.44251756
SLC41A3,13.23674627,15.70268237,11.40438568,15.70268237,13.64566016,11.83710006,17.34047164,16.6258065
SLC1A6,1.75622804,1.979830928,1.75622804,1.769725428,2.677851777,2.275241579,1.556578286,1.694421746
CRBN,15.44353371,15.51515794,14.46143129,17.34918344,18.79308588,11.17950783,15.51515794,13.92014854
TMEM184B,21.40941449,26.36966421,24.44299503,26.36966421,26.36966421,23.03461378,22.56449258,27.93958674
SLC25A14,14.77396788,14.37481694,17.12122345,16.17386773,19.50481911,12.36477949,11.24218724,12.7298264
SRRM2,15.21833175,18.58289548,18.40083776,18.50483163,17.24956255,17.24956255,16.7594596,20.18878029
IRS2,77.83018801,88.99672254,84.71438282,54.85494424,67.16659732,58.1742838,60.95712923,79.9001376
KLC1,8.360684111,14.05218884,9.755511381,9.150631899,14.56851048,6.883609138,5.968661062,10.38063735
RERG,20.09146238,15.55196956,17.84202952,17.61203416,21.85287695,13.42357701,7.058736145,14.66564518
DNAJC18,4.661558492,4.523514342,3.757172461,5.183107547,4.34371764,3.713200569,5.251966969,5.371785807
RPS19,2.844063609,3.999219629,2.844063609,2.547216727,2.844063609,3.063523506,3.043188956,2.844063609
GSTK1,6.872469653,6.257707061,6.155060675,7.407269366,7.26520365,6.257707061,5.623977202,4.886931107
APP,586.4799018,390.753667,485.4327884,490.067398,569.2723726,469.2209342,394.059268,457.0301648
LOC553103,2.783966817,2.783966817,2.707747095,2.959532755,2.783966817,2.103871469,2.361811623,3.228756145
OLFM3,12.07188158,8.696415356,13.67235085,8.180933704,17.767862,5.808482654,7.821109994,8.286495965
CLIC5,2.366199843,3.108747891,2.159107895,1.758418301,2.72391202,2.674580496,2.989326221,2.385152506
MARK1,2.706718478,2.33654949,2.353044755,2.895572458,2.634539238,1.917815288,1.795516866,2.006438325
PHYHIPL,21.31256923,20.37177095,20.81732985,19.30238803,22.96654322,17.86751981,12.36586304,17.58102755
RGMB,4.648583761,4.946995957,4.722965269,4.171124248,4.811839934,4.3764703,4.957414238,4.946995957
SYNDIG1L,11.65386806,8.696415356,7.77567993,11.79811173,6.416448379,9.312911915,8.854899057,4.830186285
YWHAH,7.079436606,10.68836299,12.84686389,8.878125456,9.601070129,5.860015099,7.037967705,6.946981654
RAP2B,5.357560181,5.357560181,4.317131609,4.270405266,5.954933809,4.882640822,5.641081885,5.805563079
RPS4XP2,32.09194414,56.02346944,61.96195987,54.96474441,59.66652848,60.49477321,70.21198303,48.76945147
SKI,6.22759795,7.062949856,6.22759795,6.353139196,6.848430624,5.050841352,7.408826941,8.184024169
LPL,3.136542834,6.909897801,4.698720091,4.303866744,7.948488026,5.560642031,6.909897801,11.49664907
GGPS1,2.870868617,3.739667504,2.716662563,3.377465809,3.377465809,2.430354163,3.625657194,2.605025317
MBNL2,106.6378906,110.158365,101.3043518,101.9803764,115.1817699,91.21198303,106.9999394,96.39380121
VDAC1,3.65770522,4.56940616,6.695792766,4.298812224,5.527853492,3.210020686,2.935893503,3.055458164
FAU,81.84834666,81.84834666,94.17563412,110.211983,92.26120138,79.4847103,94.28479656,71.75941662
SPON1,2.213468421,2.863576386,1.396602345,2.750500293,3.14358512,1.961366341,1.961366341,3.999219629
CYB5D2,3.692895749,4.508873212,2.918692961,4.3764703,4.3764703,3.047606108,3.804618237,3.793725818
SLC25A43,1.624938804,1.618187962,1.639381704,1.276055322,1.563842163,1.366941662,1.618187962,1.618187962
NDUFS1,33.75743877,20.21401202,27.6028393,37.49822235,35.83111644,19.62572515,14.9731104,24.56671543
TMEM243,1.666224596,1.56194787,1.800833252,2.106135674,1.765304404,1.710995363,1.556578286,1.530048101
PHF14,1.609262777,1.664845854,1.597475365,1.644678304,2.231504574,1.559611873,1.170482918,1.473477542
GABARAPL1,6.495000696,6.936513218,6.016592109,6.549178014,4.622185377,4.393225554,4.925367491,3.697422604
ZBTB47,4.510646095,3.909878178,3.851627491,3.000649904,6.814980101,3.575440501,4.158869329,3.592990128
RP11-2E11.9,35.60382572,22.431134,30.49925793,33.34746349,32.67932725,32.30289736,25.66723221,34.65898775
CCNL1,3.413750845,3.999219629,4.357279459,3.617772668,4.856178337,4.977543389,5.963798457,4.907004713
BRCC3,2.189261575,1.992225272,1.683330265,2.438806044,2.068972592,2.299768223,1.85956404,1.85956404
PXYLP1,2.283947674,2.037163985,5.309863027,1.971709659,3.296258632,3.679205294,2.867360637,2.454006627
C9orf9,3.870361357,3.170171822,4.406123347,3.708552995,4.406123347,4.406123347,3.2805971,4.898882572
SMAD5,9.814208038,4.936810543,4.789775567,3.6190633,7.497971563,5.50457273,2.787702835,6.065636188
C2orf74,1.94016384,2.000575536,2.055177682,1.685982182,1.94016384,1.482722364,1.94016384,1.534919498
TSPAN13,281.0301648,243.5327413,289.2094706,208.0707014,263.1501111,207.7573294,149.8717679,207.3125105
SNX10,299.8483467,186.6367578,240.0295569,213.6740163,225.2803457,189.2021448,157.237548,190.3625843
CECR5,16.87777276,17.32176913,16.85394585,14.57438249,16.15893456,13.25818945,15.91382639,14.57438249
TTC9C,4.690124022,3.816779964,4.610913338,5.715738148,4.151388163,4.723291959,3.729410085,4.770352105
ZNF614,3.30330105,2.935096633,2.98125216,3.199829421,3.199829421,4.3764703,3.296634999,4.905759743
PPM1E,2.146211718,2.00966896,1.489886029,1.593785095,2.594590377,1.074681598,1.142094459,1.724379407
HBA1,5.886875906,4.102844509,11.86258787,6.414713988,6.13970888,6.257707061,4.500734097,8.807045475
GPALPP1,5.975345342,4.812515909,5.975345342,6.103388806,5.975345342,6.295454253,4.331459591,4.830551427
TUBB4B,54.16291673,152.5052119,93.30289212,153.7002857,186.8673,81.48180835,94.42968372,91.78288444
ANP32A,7.019182325,7.019182325,7.727133096,6.954619022,7.019182325,6.120576161,7.976076194,5.353792808
INSIG2,2.067788696,3.855329,3.115303138,3.510452224,3.115303138,2.116152665,2.165175551,2.908725604
ERICH3,2.908385993,3.999219629,3.046972231,2.283947674,3.851423709,1.748815985,1.654746695,3.09558232
NIT1,17.27989567,23.85006399,20.87331422,25.7133432,23.15377001,21.48924109,23.12295304,21.48924109
SRP19,40.61009516,35.45468678,33.84834786,41.6129531,39.23093892,34.03016604,24.90644989,30.63296277
PCDHGA1,20.15555898,20.40109742,22.21492381,17.43691311,20.50799762,17.65082534,20.58558274,28.97541632
MCL1,25.42517392,27.16336137,29.30296659,17.87380728,20.31285805,17.29660316,30.58861309,29.53483803
ATG14,3.565059982,2.996794347,2.585345982,2.631661964,2.046023721,2.475579941,4.094280687,2.104057776
TBC1D3,56.47454033,44.72378432,56.77886612,62.56228348,70.90887721,40.79590681,51.03016485,47.1908096
ABHD14A,8.959489791,11.23515128,10.28131967,13.21065264,12.48813131,8.616392522,8.726142598,8.581705573
NUDT15,3.286356816,2.626784342,2.520487567,2.716662563,3.40170168,2.183267808,2.696635307,2.479039029
ASIC1,5.231281119,5.231281119,5.898478766,4.360694603,5.250941899,5.284118861,5.903683197,5.947984596
GLRX,90.93925575,92.73173307,86.68731053,106.1115146,88.37222718,71.19096919,60.76535113,79.08285695
GCOM1,4.510646095,5.135309183,5.753537841,4.353850199,5.337527573,4.510646095,3.661027113,5.223360484
MXRA7,133.0311047,159.3938012,159.1101833,160.5451701,140.7295055,149.3485926,135.9086602,140.7295055
CSGALNACT1,27.61114622,10.8344305,17.79501321,10.11069518,9.814208038,9.95240813,9.814208038,9.256623021
VGLL3,1.523177708,1.605213906,1.585465501,1.625953312,1.411996335,1.506998217,1.809927893,1.564968783
FAM83D,2.495347992,2.292685017,4.406123347,3.284168568,2.963108145,2.849373415,2.676088036,2.497795656
SESTD1,5.82241323,5.013706534,7.616690232,5.194276322,7.616690232,6.431231597,8.751372769,7.616690232
FAM98C,4.510646095,3.773783765,4.873219595,5.585254469,5.357489407,3.907117433,4.374159471,4.873219595
LOC100507507,29.30296659,25.66723221,26.18592236,33.47512744,33.47512744,26.41460262,23.87807274,25.66723221
MKLN1,1.87966509,1.917815288,1.917815288,2.650881642,1.555256818,1.917815288,1.714950372,1.845883909
PPARD,47.42626188,54.30583151,57.03690099,54.55734959,62.95766292,58.73057746,66.82478881,101.9655433
RAB13,14.77385857,29.53252528,13.60886768,14.77385857,17.79501321,11.68317633,22.82936508,35.31818612
EBAG9,76.54801069,49.4847103,53.14524717,72.88480909,62.61530576,36.02798762,38.93925576,43.07426661
CD83,9.342226498,9.861502317,9.86607816,12.51875949,11.09468767,8.327227511,12.11448637,9.319521306
PAX8,23.23263021,33.9258233,28.3252395,26.65752855,25.79087269,29.06889884,25.81831301,25.98855103
RPP40,5.662781965,6.257707061,4.209239653,7.847617183,6.257707061,3.85231412,3.681884503,6.257707061
C11orf80,1.731582399,1.331731059,1.877845344,1.562696125,1.60614889,1.67857069,1.470230079,1.947717794
KCNK1,9.814208038,9.936448267,11.78701386,9.48990637,15.2731685,8.905411424,8.098320906,10.28496877
PSMA5,10.87725683,11.31687775,9.710023264,10.87725683,11.1442422,8.879067921,8.652272718,9.242134204
TCP11L1,1.845471726,1.76740863,1.121260142,2.398749655,1.845471726,1.590453586,1.806164758,1.845471726
TTC19,4.222614117,4.15963142,5.195415357,5.640954771,4.51401553,4.682956242,4.415743775,5.195415357
SYNDIG1,51.013174,54.75743757,48.76307258,49.16746699,49.16746699,42.96227295,36.88664087,33.24205446
ASCC1,3.629408446,3.535576958,3.164981901,3.629408446,4.101538939,3.823935759,3.38971534,4.129403239
REPS2,1.462787922,2.000575536,1.94016384,2.542870324,1.683330265,1.235240645,1.842277057,1.532623519
CENPBD1P1,8.578940763,8.979141643,7.97388774,9.056226531,10.86327884,6.760341366,7.406056224,6.534957989
PTGDS,11.77899914,18.40951809,17.03060572,19.90400083,18.68664981,16.20335729,20.57125822,16.09564458
PTGER3,12.03644831,12.41125859,11.85222575,22.25755433,37.64522599,12.28628294,10.16405728,15.93275093
MAP2K4,16.5961887,15.10672373,17.79160207,12.76545132,20.71486185,9.814208038,8.64925121,18.6637763
RUNDC3B,42.64001463,40.15104492,39.03228372,29.49833465,42.5459201,30.80573225,37.21198307,32.25445792
HMGN1,5.781699319,5.781699319,6.080988963,8.512622562,8.591601484,7.465951198,6.924310905,10.67743569
FGD2,16.67230302,31.81899763,17.01485539,23.79851666,35.68937193,23.79851666,45.4898565,52.39380121
LITAF,2.445486274,3.500120397,2.256402744,1.862472552,3.132232307,2.95556376,4.991660781,3.989902411
HTRA1,72.69978899,103.1412197,75.87829919,80.21198303,88.58789617,71.30289212,53.28446086,88.11304896
TSPAN7,58.59671937,66.01115418,86.93925575,55.03016485,90.30699951,49.61473515,44.47330318,59.78065221
TTC37,1.276055322,1.242893046,1.331731059,1.197572853,1.161361484,1.309712442,1.125856216,1.218868287
RNF5,3.742244168,2.783966817,3.988352208,5.607831838,4.758950522,2.757841251,2.583410517,2.48807559
PHLPP1,1.345881351,1.523177708,1.4533649,1.331731059,1.331731059,1.30016626,1.331731059,1.31451459
HEG1,6.026289309,5.56347973,6.401342646,3.621236498,3.636726768,3.944486771,3.735103483,3.760428385
AL928768.3,2.155327869,1.881634937,1.459893927,1.816226871,1.66713371,1.917815288,1.896801489,1.717038663
SAR1B,10.30818207,7.427633331,8.360684111,9.202140489,6.848430624,7.799028279,10.32013422,9.139418877
SLC25A22,4.746871035,7.829232363,6.169997132,6.169997132,6.169997132,6.652632747,7.35079668,6.169997132
FAM192A,22.03469514,24.63688964,28.93705871,31.29242975,24.79679072,19.73045795,20.55070474,29.01895639
SASH1,11.17088735,13.47310761,15.25817723,11.23515128,14.04112504,14.57000401,14.32341134,20.65564176
KIAA1143,34.01309017,25.59389304,21.13795069,40.21198303,34.16878195,22.24151201,23.93969494,26.84858754
USP53,9.695337598,12.41125859,13.26086649,8.231043941,9.486892828,8.034403081,9.415200525,11.38246621
ZNF853,1.38464508,1.38464508,1.569319769,1.661139967,1.24897131,1.169659576,1.806948662,1.702632841
RGS7BP,123.5756194,87.6429779,78.30289212,96.56146456,70.89864933,82.88060621,61.83987292,40.62809182
ARHGAP36,426.1641809,334.6675191,417.271799,325.0773774,280.9726364,287.7166903,226.8018256,280.3499288
RNF180,1.546279673,2.011794595,1.836290595,2.607155304,2.116730414,1.283438987,1.628581317,2.062595656
FLCN,7.612092859,12.41125859,8.006493019,11.23515128,12.41125859,11.23515128,9.215573757,10.24427488
UBAP2L,10.07689963,7.756787871,7.756787871,9.305713454,9.646199637,6.40472188,9.323980843,5.996437626
EIF2S2,9.034964539,4.61597416,5.31553368,6.504442665,6.504442665,4.795653366,6.743875064,5.583089076
MRPS23,5.682600403,7.17584442,5.753537841,10.1364183,6.374371674,4.210512787,3.809805544,6.87130846
SH2D3C,3.792543902,3.599898553,3.792543902,2.716662563,3.792543902,3.512360177,3.792543902,3.792543902
ZBTB10,1.523177708,1.523177708,1.560156669,1.523177708,1.34949738,1.898463093,1.829359709,2.315641853
RNF175,28.91635545,30.98024481,27.21171516,32.12107918,33.65831373,23.20556934,13.96251052,23.4466741
LRP8,2.449796057,2.099554769,1.979830928,2.388793764,4.09683316,1.833733982,2.35492021,2.096579302
MAP4K4,10.48480235,13.19690546,10.79242186,10.79242186,10.94502729,8.787881344,12.0422483,12.32034949
PAWR,1.962456489,1.962456489,1.962456489,2.116823533,2.550806799,2.231486777,2.234615036,1.923303591
TRIM36,11.21298039,11.28947869,9.080685292,8.52708934,8.603948537,6.410467503,5.203000821,9.080685292
VAMP3,14.51503071,25.09415165,17.36539781,13.84001229,14.64928993,14.48502487,23.38620069,24.12293302
MLH3,6.001912369,6.190911122,3.960207488,7.042449096,4.363724766,7.977917699,4.03717964,3.999219629
PFDN4,15.24388776,7.822986897,13.31895793,11.23515128,11.16794174,7.441488543,7.008380505,8.888451786
LAPTM4B,9.684514901,15.14113032,10.70195845,9.609968045,15.18340964,8.051636728,6.473630904,5.515450179
BTBD1,72.96299986,90.57561939,77.75743757,61.64401793,70.84834666,81.32111646,65.31425426,67.92117498
LRRC8A,80.04418622,81.4101782,77.43593113,85.84834666,104.6069235,71.18620945,65.16688729,98.19648303
SCFD2,14.75934666,11.61675701,5.290997256,15.33128664,15.49653895,10.13361495,6.130042641,13.37854444
SELO,10.26476305,8.105372636,10.24868862,11.23515128,8.105372636,10.15229402,9.224449124,5.666742984
SEMA4B,1.979830928,2.683327453,1.870394955,1.979830928,1.885664207,2.350260172,2.1397116,1.944443818
CYP2R1,3.87727891,2.062946487,2.716662563,3.49239551,2.828457421,1.890266696,4.182933319,2.189299626
DHCR24,9.650250009,8.561800502,14.43941427,9.814208038,11.87028915,8.942031926,5.967091509,9.025511411
NEDD9,1.802506762,4.025047382,3.514432763,1.70639099,1.62529836,2.299768223,2.774963597,2.125875478
ACOT13,3.3388859,4.940365092,5.080944821,5.489612218,5.426396771,3.782231202,4.226086661,4.389576569
MIER1,2.283947674,2.538435634,2.514305348,2.283947674,2.283947674,2.175323044,2.714140155,2.64341853
INO80D,5.690994933,6.703711304,5.861128683,5.493168584,5.45547743,4.484912541,7.109286385,7.795022668
ZNF827,4.402679817,5.242817796,5.207956001,3.733596729,5.242817796,4.439573827,5.017461073,5.793727946
PET117,10.48480235,12.96834829,9.19167222,11.54555335,10.03387549,7.549176474,5.903683197,8.010829835
KIF2A,7.336345993,7.336345993,6.789536188,7.334816436,9.228020058,5.798543399,5.903683197,7.86188247
RBM15B,13.45032771,12.17561924,12.5526425,12.41125859,11.55851584,10.63089187,11.44346931,12.50551453
IST1,47.88471725,57.75743757,44.30839644,42.70483188,58.44656189,35.2077577,41.00317424,44.433885
SOX5,3.999219629,3.548277374,3.237891324,3.125646293,3.597661452,4.340594031,3.237891324,3.866933818
RQCD1,10.52098932,7.882980379,7.213844596,17.76758918,12.87564378,8.696415356,5.001931541,7.969087396
RP11-109G23.3,1.263236451,1.468780434,1.905490546,1.476519164,1.476519164,1.715122137,1.754854732,1.486550075
PSMD5,12.00765142,10.52098932,10.52098932,10.40878472,12.00765142,6.51025268,6.153709662,9.810465656
HSPH1,39.30289213,49.47351168,62.35764093,37.30289216,57.03654001,39.67871017,31.90139401,53.93717137
PTCH1,3.258925633,2.783966817,2.256402744,1.876438982,2.256402744,1.590453586,2.256402744,2.989656306
STX12,24.64707095,25.84101692,22.94370469,30.72547621,31.45843033,23.50299712,20.39115398,23.48516839
ARMCX3,67.3497511,50.52705332,37.87403925,51.06199007,59.46698734,38.93925576,51.17827738,38.70833611
NUDT21,3.423857013,4.699400864,4.946995957,3.936249237,4.573584475,2.609238819,2.748671977,2.750480147
MTFR2,1.510012526,1.308694378,1.096290173,1.44205059,1.322744832,0.961515616,1.170482918,1.322744832
TIPRL,23.00741324,13.22564518,15.54647026,18.87493999,12.30640552,13.97565823,13.95651122,12.72712775
S100A8,1.870982061,2.508194715,2.224178069,3.074348636,2.567554839,2.510060367,2.556640161,2.447557435
BLVRA,21.23758286,17.04118063,17.79501321,25.83088663,21.24292744,18.72749333,22.39990556,15.9301297
TRAF5,5.52852131,4.860326598,3.498486695,3.791479937,2.859995616,3.309470856,2.76621071,3.659507403
HOXA7,11.07949078,12.24348882,8.78722079,10.15452952,11.98710901,10.19719563,11.93355593,8.42152573
NCKIPSD,13.51871175,14.15748262,15.73821994,19.04815662,18.68664981,13.6490746,15.85004251,14.48711975
C3orf14,42.52010608,46.87003853,53.65543724,63.21292917,47.55392912,40.39380121,44.1703261,37.25046106
ADAP2,2.562392281,3.320649738,2.843607167,2.551746769,2.049787896,2.988182355,5.369577095,2.447557435
PREX1,3.513528999,7.78769781,8.147166174,7.468028248,4.200487707,5.263806344,8.549062125,6.227805528
GUCY1A2,28.66660297,21.05854919,20.68477715,24.67011657,30.96063974,19.64492523,24.20143075,22.09197602
FAM73A,96.16709394,84.34775813,84.34775813,82.06581318,78.99498079,79.90448167,62.88377604,73.87492893
ATP5C1,42.96650451,53.47109065,55.68248258,68.92036934,63.57561939,38.47324982,32.43848174,50.93516199
SYT11,64.72352763,32.49882113,32.75529773,36.00376346,36.12107418,26.72986383,37.40540848,27.24574913
DCTN1-AS1,1.99890875,1.457042382,1.799139203,1.979830928,1.979830928,1.498015242,2.164177956,2.252576521
SYN2,23.45864921,24.12293302,32.57562464,43.70574776,71.65111022,38.93925576,26.61958865,38.93925576
