Genes,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL
PDDC1,10.37435209,13.10776843,13.009904,11.79344826,9.884286973,8.614682708,10.886344,9.56048026
KCNIP4,19.40516616,13.11552216,23.21432257,25.79176255,21.85287695,18.13733001,16.7558258,23.21432257
CD81,12.09577894,20.33158137,20.52919444,15.12331194,16.1230004,12.5930767,19.46646956,17.43138073
CDK3,3.053125054,3.088618216,3.06366253,3.06366253,2.490231117,2.840789081,2.714643349,2.783966817
FAM107A,30.0709196,45.21198303,67.90482078,30.92742604,33.97694879,43.31083672,47.0151557,60.73580083
C12orf76,6.127170289,6.257707061,7.146712131,3.603399109,6.35653522,6.580011456,4.807227919,7.818232269
ZNF285,3.61458454,4.101325117,3.932214223,4.112679494,4.517461933,3.592990128,3.597114553,3.958453261
SLC1A3,19.85215345,57.50318895,66.27188172,20.16290189,30.33059807,26.53413604,44.21198303,83.4057759
SSBP2,44.79888698,37.11071109,49.96709587,50.16581437,44.79888698,34.86368212,32.31038159,43.45715514
EPT1,1.740109812,1.45380764,1.48639641,1.414476316,1.497326766,1.450424943,1.170482918,1.435012979
MXI1,24.41247337,43.21198303,29.30296659,28.08647841,31.44700953,27.61621934,32.68065383,31.21632642
MAOA,6.279535142,6.386470897,4.946995957,5.537284607,4.837567531,5.515814503,4.277241283,5.56780819
MIR6859-1,43.17909944,36.75743762,37.44604114,52.97457891,48.03016485,41.5800295,56.45391815,35.2538433
CPSF4,10.48480235,9.113868965,8.78722079,10.93823717,7.723249947,8.895366654,9.113868965,8.583418208
TCF7L2,17.12966673,17.59379068,16.44952581,12.64707853,11.08652824,12.5930767,16.33001042,22.43260735
SMARCC2,10.07718113,10.0783115,12.75149551,8.429571077,8.878125456,10.59960442,8.878125456,9.666126393
MID1,2.947674418,2.571832094,3.043188956,2.716662563,2.571832094,3.033874328,2.118220026,3.383014844
IFITM2,24.67680467,53.28645518,41.1617888,23.67312555,24.71274069,29.47089971,49.7527792,63.21198303
CRTC3,6.673246112,6.257707061,5.560899752,5.061324231,5.970674613,8.08233121,6.705542284,5.829735587
AK021933,2.053889548,2.235105535,1.706810144,2.117745899,2.760287715,2.345283421,2.02463717,2.895881891
KCTD20,47.61152296,44.77641606,45.75743757,33.65570806,36.03112709,35.04891322,34.17616136,36.62330674
CTSH,4.3764703,8.977076677,6.968826517,4.3764703,4.3764703,4.3764703,4.3764703,6.082018966
HLA-DMB,3.015325255,4.514608018,2.879239466,3.400041441,4.698677266,3.551625715,3.954718917,3.180677187
CD74,18.96052945,50.9246985,14.77385857,23.58543048,20.14892149,18.75910707,32.44335966,25.44561726
CLASP2,9.814208038,9.612161467,8.860099231,7.597584536,9.814208038,8.33865951,7.579068826,9.443789325
KIAA1033,6.789536188,6.789536188,6.789536188,6.717126918,6.695765682,5.73536579,4.987787705,5.659547938
SP3,29.51701123,24.25335597,24.03307722,23.38288615,23.2389418,23.31072844,23.38288615,31.25184365
SACS,23.72701431,26.06038513,26.06038513,22.3020213,34.04269427,15.18047096,17.23937869,25.70541081
FAM126A,5.0137765,4.697962207,5.0137765,3.788314143,7.031013759,6.282010319,7.659020126,11.06268104
GREM2,2.186835599,2.132381276,1.931647267,2.291333379,2.706718478,1.764196651,2.744660391,2.155275028
MAFF,56.87714745,48.33550525,73.92556576,38.5473332,26.0087068,27.39360189,45.90634696,51.39919944
ZMIZ2,25.19680399,22.02296325,27.35432569,24.38941941,20.67824422,18.21518944,24.58639958,22.48081825
DSTN,20.00929339,14.21450634,12.41125859,17.45436141,15.4478605,12.44772702,8.76704069,8.599481518
SERPINE2,12.9742737,19.32671613,18.86920491,14.09721961,13.77724934,8.302082569,17.34047164,29.28045898
MAP9,43.14883051,27.27170205,26.41586048,24.80420982,26.45079719,27.80214606,27.80214606,13.43277974
SLC6A8,28.36346467,23.03932447,33.372263,18.1667416,21.46390357,17.15865345,19.39859085,16.32180181
DPY30,24.93995972,16.48236368,24.93995972,26.48348967,24.6748849,20.89130679,19.8924401,24.45924357
KLK7,47.5193302,22.47632177,27.78902491,32.90247097,35.57805153,28.26198325,40.49782252,30.75745837
STAT5B,9.814208038,10.71226736,7.994983512,8.202327858,9.766218287,8.696415356,12.02980719,10.22977557
SMCR8,12.94126428,13.54278579,11.02293985,12.75533885,13.40784505,9.437821126,10.24798265,9.084215156
LASP1,29.72257294,29.20159367,32.91772746,29.13704625,29.72257294,30.67782532,26.72505684,30.75745837
