gene.name,SUID,annotation.name.1,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID.1,Ensembl.Protein.ID.1,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID.1,Entrez.Gene.ID,IsSingleNode,log.score.1,log.score,name,NeighborhoodConnectivity,node.type.1,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID.1,RefSeq.Protein.ID.1,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name.1,shared.name,Stress,sumRank,Synonym,TopologicalCoefficient,Uniprot.ID.1,Uniprot.ID,RankVar
ANAPC5,17633,,,,2.03669725,0.00119222,0.49099099,0.30952381,21,3,ENSG00000272204,ENSP00000475940,ENSG00000272204,ENSP00000475940,51433,51433,FALSE,-0.1332237,-0.1332237,H__sapiens__1_-Hs:711102,55.85714286,query,query,0,21,0,0.74082569,NM_016237,NP_057321,NM_016237,NP_057321,0.875269273,FALSE,0,H__sapiens__1_-Hs:711102,H__sapiens__1_-Hs:711102,2192,260.5714286,APC5,0.19145803,Q9UJX4,Q9UJX4,3506.4
ANKRD10,17446,,,,1.87767584,0.00238898,0.53257329,0.3236715,46,3,ENSG00000088448,ENSP00000474638,ENSG00000088448,ENSP00000474638,55608,55608,FALSE,-0.065277152,-0.065277152,H__sapiens__1_-Hs:711067,58.32608696,query,query,0,46,0,0.78058104,NM_017664,NP_060134,NM_017664,NP_060134,0.936807789,FALSE,0,H__sapiens__1_-Hs:711067,H__sapiens__1_-Hs:711067,4456,271.7142857,FLJ20093,0.18220109,Q9NXR5,Q9NXR5,2957.9
ANKRD28,17558,,,,1.88990826,0.00303641,0.52912621,0.22415796,42,3,ENSG00000206560,ENSP00000397341,ENSG00000206560,ENSP00000397341,23243,23243,FALSE,-0.136064614,-0.136064614,H__sapiens__1_-Hs:730489,54.23809524,query,query,0,42,0,0.77752294,NM_015199,NP_056014,NM_015199,NP_056014,0.872786237,FALSE,0,H__sapiens__1_-Hs:730489,H__sapiens__1_-Hs:730489,5890,288.8571429,PPP1R65,0.16896603,O15084,O15084,4399.1
ANXA1,17544,,,,1.92966361,0.002465,0.51822504,0.28128461,43,3,ENSG00000135046,ENSP00000414013,ENSG00000135046,ENSP00000414013,301,301,FALSE,-0.159672029,-0.159672029,H__sapiens__1_-Hs:716336,45.90697674,query,query,0,43,0,0.7675841,NM_000700,NP_000691,NM_000700,NP_000691,0.852423313,FALSE,0,H__sapiens__1_-Hs:716336,H__sapiens__1_-Hs:716336,4268,294.5714286,LPC1,0.14953413,P04083,P04083,15370.96667
ARMC1,17442,,,,1.8440367,0.00391755,0.54228856,0.26758329,62,3,ENSG00000104442,ENSP00000434297,ENSG00000104442,ENSP00000434297,55156,55156,FALSE,-0.107598308,-0.107598308,H__sapiens__1_-Hs:712221,52.48387097,query,query,0,62,0,0.78899083,NM_018120,NP_060590,NM_018120,NP_060590,0.897988239,FALSE,0,H__sapiens__1_-Hs:712221,H__sapiens__1_-Hs:712221,6914,390.2857143,FLJ10511,0.1660882,Q9NVT9,Q9NVT9,4803.466667
ASAH1,17488,,,,1.98470948,0.00088322,0.50385208,0.26190476,28,3,ENSG00000104763,ENSP00000427751,ENSG00000104763,ENSP00000427751,427,427,FALSE,-0.100023638,-0.100023638,H__sapiens__1_-Hs:712257,49.28571429,query,query,0,28,0,0.75382263,NM_177924,NP_808592,NM_177924,NP_808592,0.90481603,FALSE,0,H__sapiens__1_-Hs:712257,H__sapiens__1_-Hs:712257,1552,448.5714286,PHP32,0.16212406,Q13510,Q13510,7549.066667
ASXL2,17390,,,,1.95412844,0.00121505,0.51173709,0.30681818,33,3,ENSG00000143970,ENSP00000391447,ENSG00000143970,ENSP00000391447,55252,55252,FALSE,-0.0828831,-0.0828831,H__sapiens__1_-Hs:717857,58.24242424,query,query,0,33,0,0.76146789,NM_018263,NP_060733,NM_018263,NP_060733,0.920458743,FALSE,0,H__sapiens__1_-Hs:717857,H__sapiens__1_-Hs:717857,2142,250.5714286,KIAA1685,0.18848681,Q76L83,Q76L83,9911.366667
ATF7IP,17679,,,,2.02140673,0.00089456,0.49470499,0.39,25,3,ENSG00000171681,ENSP00000446260,ENSG00000171681,ENSP00000446260,55729,55729,FALSE,-0.083781762,-0.083781762,H__sapiens__1_-Hs:722555,51.56,query,query,0,25,0,0.74464832,NM_018179,NP_060649,NM_018179,NP_060649,0.919631933,FALSE,0,H__sapiens__1_-Hs:722555,H__sapiens__1_-Hs:722555,1702,306.8571429,p621,0.1752381,Q6VMQ6,Q6VMQ6,11689.2
ATG14,17536,,,,1.7675841,0.00930056,0.56574394,0.21890997,82,3,ENSG00000126775,ENSP00000247178,ENSG00000126775,ENSP00000247178,22863,22863,FALSE,-0.154396978,-0.154396978,H__sapiens__1_-Hs:715176,50.82926829,query,query,0,82,0,0.80810398,NM_014924,NP_055739,NM_014924,NP_055739,0.85693177,FALSE,0,H__sapiens__1_-Hs:715176,H__sapiens__1_-Hs:715176,13684,179.7142857,KIAA0831,0.15834663,Q6ZNE5,Q6ZNE5,2416.166667
ATM,17557,,,,1.87461774,0.00199839,0.53344209,0.25353535,45,3,ENSG00000149311,ENSP00000469471,ENSG00000149311,ENSP00000469471,472,472,FALSE,-0.167360669,-0.167360669,H__sapiens__1_-Hs:718563,56.4,query,query,0,45,0,0.78134557,NM_000051,NP_000042,NM_000051,NP_000042,0.845894468,FALSE,0,H__sapiens__1_-Hs:718563,H__sapiens__1_-Hs:718563,3630,190.2857143,TELO1,0.174613,Q13315,Q13315,8577.6
ATP8B1,17628,,,,2.06727829,0.00112595,0.48372781,0.35185185,28,3,ENSG00000081923,ENSP00000468751,ENSG00000081923,ENSP00000468751,5205,5205,FALSE,-0.133085411,-0.133085411,H__sapiens__1_-Hs:710840,45.17857143,query,query,0,28,0,0.73318043,NM_005603,NP_005594,NM_005603,NP_005594,0.875390321,FALSE,0,H__sapiens__1_-Hs:710840,H__sapiens__1_-Hs:710840,1632,307.7142857,PFIC1,0.16356108,O43520,O43520,18231.5
AUTS2,17456,,,,1.89602446,0.00272726,0.52741935,0.20044297,43,3,ENSG00000158321,ENSP00000407058,ENSG00000158321,ENSP00000407058,26053,26053,FALSE,-0.115081413,-0.115081413,H__sapiens__1_-Hs:719590,52.44186047,query,query,0,43,0,0.77599388,NM_015570,NP_056385,NM_015570,NP_056385,0.891293578,FALSE,0,H__sapiens__1_-Hs:719590,H__sapiens__1_-Hs:719590,4562,355.4285714,KIAA0442,0.16491151,Q8WXX7,Q8WXX7,3332.666667
BCLAF1,17484,,,,1.7706422,0.00402762,0.56476684,0.34272152,80,3,ENSG00000029363,ENSP00000437333,ENSG00000029363,ENSP00000437333,9774,9774,FALSE,-0.137179747,-0.137179747,H__sapiens__1_-Hs:709755,60.825,query,query,0,80,0,0.80733945,NM_014739,NP_055554,NM_014739,NP_055554,0.871813506,FALSE,0,H__sapiens__1_-Hs:709755,H__sapiens__1_-Hs:709755,8564,408.5714286,KIAA0164,0.18889752,Q9NYF8,Q9NYF8,8773.066667
BRAP,17600,,,,1.97553517,0.00121574,0.50619195,0.21164021,28,3,ENSG00000089234,ENSP00000441659,ENSG00000089234,ENSP00000441659,8315,8315,FALSE,-0.106234864,-0.106234864,H__sapiens__1_-Hs:711122,53.78571429,query,query,0,28,0,0.75611621,NM_006768,NP_006759,NM_006768,NP_006759,0.899213431,FALSE,0,H__sapiens__1_-Hs:711122,H__sapiens__1_-Hs:711122,2276,281.7142857,RNF52,0.17565359,Q7Z569,Q7Z569,10321.06667
BTG1,17509,,,,1.85626911,0.00383361,0.53871499,0.23367199,53,3,ENSG00000133639,ENSP00000447551,ENSG00000133639,ENSP00000447551,694,694,FALSE,-0.144377346,-0.144377346,H__sapiens__1_-Hs:716110,52.43396226,query,query,0,53,0,0.78593272,NM_001731,NP_001722,NM_001731,NP_001722,0.865561071,FALSE,0,H__sapiens__1_-Hs:716110,H__sapiens__1_-Hs:716110,7012,409.1428571,,0.16334568,P62324,P62324,5615.866667
C18orf8,17702,,,,2.12232416,0.00024672,0.47118156,0.19230769,13,3,ENSG00000141452,ENSP00000467852,ENSG00000141452,ENSP00000467852,29919,29919,FALSE,-0.067956647,-0.067956647,H__sapiens__1_-Hs:717470,55,query,query,0,13,0,0.71941896,NM_013326,NP_037458,NM_013326,NP_037458,0.934300978,FALSE,0,H__sapiens__1_-Hs:717470,H__sapiens__1_-Hs:717470,466,174.8571429,HsT2591,0.20118343,Q96DM3,Q96DM3,3369.6
C6orf120,17602,,,,1.9969419,0.00085646,0.5007657,0.29885057,30,3,ENSG00000185127,ENSP00000390806,ENSG00000185127,ENSP00000390806,387263,387263,FALSE,-0.11117896,-0.11117896,H__sapiens__1_-Hs:725466,53.9,query,query,0,30,0,0.75076453,NM_001029863,NP_001025034,NM_001029863,NP_001025034,0.894778605,FALSE,0,H__sapiens__1_-Hs:725466,H__sapiens__1_-Hs:725466,1476,265.1428571,bA160E12.4,0.18087248,Q7Z4R8,Q7Z4R8,4793.866667
CALD1,17453,,,,1.91437309,0.00361478,0.52236422,0.24141414,45,3,ENSG00000122786,ENSP00000445641,ENSG00000122786,ENSP00000445641,800,800,FALSE,-0.127962851,-0.127962851,H__sapiens__1_-Hs:714632,43.42222222,query,query,0,45,0,0.77140673,NM_033157,NP_149347,NM_033157,NP_149347,0.879886066,FALSE,0,H__sapiens__1_-Hs:714632,H__sapiens__1_-Hs:714632,5468,411.7142857,L-CAD,0.14007168,Q05682,Q05682,10835.76667
CARD8,17608,,,,1.9235474,0.00177296,0.51987281,0.25375375,37,3,ENSG00000105483,ENSP00000430836,ENSG00000105483,ENSP00000430836,22900,22900,FALSE,-0.1162397,-0.1162397,H__sapiens__1_-Hs:712414,55.10810811,query,query,0,37,0,0.76911315,NM_014959,NP_055774,NM_014959,NP_055774,0.890261802,FALSE,0,H__sapiens__1_-Hs:712414,H__sapiens__1_-Hs:712414,3096,124.2857143,TUCAN,0.17494637,Q9Y2G2,Q9Y2G2,2626.7
CBFB,17551,,,,1.81651376,0.00712803,0.55050505,0.23655914,63,3,ENSG00000067955,ENSP00000462932,ENSG00000067955,ENSP00000462932,865,865,FALSE,-0.163400084,-0.163400084,H__sapiens__1_-Hs:710310,53.68253968,query,query,0,63,0,0.79587156,NM_022845,NP_074036,NM_022845,NP_074036,0.849251349,FALSE,0,H__sapiens__1_-Hs:710310,H__sapiens__1_-Hs:710310,12174,366.2857143,PEBP2B,0.16568685,Q13951,Q13951,870.6666667
CBLB,17432,,,,1.97859327,0.00097851,0.50540958,0.21182266,29,3,ENSG00000114423,ENSP00000446116,ENSG00000114423,ENSP00000446116,868,868,FALSE,-0.115929217,-0.115929217,H__sapiens__1_-Hs:713601,51.65517241,query,query,0,29,0,0.75535168,NM_170662,NP_733762,NM_170662,NP_733762,0.890538256,FALSE,0,H__sapiens__1_-Hs:713601,H__sapiens__1_-Hs:713601,1508,190.8571429,RNF56,0.16936122,Q13191,Q13191,7226.266667
CCDC90B,17680,,,,2.04281346,0.00098211,0.48952096,0.26842105,20,3,ENSG00000137500,ENSP00000436974,ENSG00000137500,ENSP00000436974,60492,60492,FALSE,-0.084013089,-0.084013089,H__sapiens__1_-Hs:716831,52.4,query,query,0,20,0,0.73929664,NM_021825,NP_068597,NM_021825,NP_068597,0.919419222,FALSE,0,H__sapiens__1_-Hs:716831,H__sapiens__1_-Hs:716831,1662,300.2857143,MDS025,0.17883959,Q9GZT6,Q9GZT6,7294.966667
CCNL1,17685,,,,1.85321101,0.00346028,0.53960396,0.25714286,50,3,ENSG00000163660,ENSP00000420277,ENSG00000163660,ENSP00000420277,57018,57018,FALSE,-0.095665362,-0.095665362,H__sapiens__1_-Hs:720492,54.42,query,query,0,50,0,0.78669725,NM_020307,NP_064703,NM_020307,NP_064703,0.908768073,FALSE,0,H__sapiens__1_-Hs:720492,H__sapiens__1_-Hs:720492,6174,313.1428571,ania-6a,0.16744615,Q9UK58,Q9UK58,5747.466667
CCNL2,17492,,,,2.0764526,0.00021513,0.48159057,0.51778656,23,3,ENSG00000221978,ENSP00000464685,ENSG00000221978,ENSP00000464685,81669,81669,FALSE,-0.086023073,-0.086023073,H__sapiens__1_-Hs:735051,62.95652174,query,query,0,23,0,0.73088685,NM_030937,NP_112199,NM_030937,NP_112199,0.91757306,FALSE,0,H__sapiens__1_-Hs:735051,H__sapiens__1_-Hs:735051,504,361.7142857,SB138,0.22565062,Q96S94,Q96S94,6685.6
CD44,17540,,,,1.94189602,0.00170303,0.51496063,0.30588235,35,3,ENSG00000026508,ENSP00000436980,ENSG00000026508,ENSP00000436980,960,960,FALSE,-0.156013257,-0.156013257,H__sapiens__1_-Hs:709736,47.88571429,query,query,0,35,0,0.76452599,NM_001202557,NP_001189486,NM_001202557,NP_001189486,0.855547848,FALSE,0,H__sapiens__1_-Hs:709736,H__sapiens__1_-Hs:709736,2974,425.7142857,Pgp1,0.15437788,P16070,P16070,12407.06667
CDH11,17447,,,,2.01834862,0.00180673,0.49545455,0.31907308,34,3,ENSG00000140937,ENSP00000457812,ENSG00000140937,ENSP00000457812,1009,1009,FALSE,-0.123148244,-0.123148244,H__sapiens__1_-Hs:717388,39.52941176,query,query,0,34,0,0.74541284,NM_001797,NP_001788,NM_001797,NP_001788,0.884132586,FALSE,0,H__sapiens__1_-Hs:717388,H__sapiens__1_-Hs:717388,2866,266.8571429,CAD11,0.13811189,P55287,P55287,1825.466667
CDK12,17444,RNA splicing,RNA splicing,GO:0008380,1.92966361,0.00159,0.51822504,0.29429429,37,3,ENSG00000167258,ENSP00000464641,ENSG00000167258,ENSP00000464641,51755,51755,FALSE,-0.112985205,-0.112985205,H__sapiens__1_-Hs:721468,60.56756757,query,query,0,37,0,0.7675841,NM_016507,NP_057591,NM_016507,NP_057591,0.893163874,FALSE,0,H__sapiens__1_-Hs:721468,H__sapiens__1_-Hs:721468,2962,198,KIAA0904,0.19350661,Q9NYV4,Q9NYV4,7469.9
CDK13,17428,"RNA splicing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing","RNA splicing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0000375|GO:0000377|GO:0006397,1.89908257,0.00177324,0.52657005,0.31818182,45,3,ENSG00000065883,ENSP00000340557,ENSG00000065883,ENSP00000340557,8621,8621,FALSE,-0.103004218,-0.103004218,H__sapiens__1_-Hs:710234,55.66666667,query,query,0,45,0,0.77522936,NM_031267,NP_112557,NM_031267,NP_112557,0.902123168,FALSE,0,H__sapiens__1_-Hs:710234,H__sapiens__1_-Hs:710234,3688,264.8571429,KIAA1791,0.17671958,Q14004,Q14004,16580.7
CEBPZ,17559,,,,1.80428135,0.00664822,0.55423729,0.25921325,70,3,ENSG00000115816,ENSP00000391881,ENSG00000115816,ENSP00000391881,10153,10153,FALSE,-0.167528937,-0.167528937,H__sapiens__1_-Hs:713800,55.11428571,query,query,0,70,0,0.79892966,NM_005760,NP_005751,NM_005760,NP_005751,0.845752144,FALSE,0,H__sapiens__1_-Hs:713800,H__sapiens__1_-Hs:713800,11270,305.7142857,CTF2,0.17169559,Q03701,Q03701,4467.066667
CEP57,17586,,,,1.87767584,0.00299149,0.53257329,0.25177305,48,3,ENSG00000166037,ENSP00000445821,ENSG00000166037,ENSP00000445821,9702,9702,FALSE,-0.116750952,-0.116750952,H__sapiens__1_-Hs:721152,56.125,query,query,0,48,0,0.78058104,NM_014679,NP_055494,NM_014679,NP_055494,0.88980677,FALSE,0,H__sapiens__1_-Hs:721152,H__sapiens__1_-Hs:721152,5128,199.1428571,TSP57,0.17594044,Q86XR8,Q86XR8,4195.766667
