gene.name,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,sumRank
ALOX5,615,,,2.08562691,0.00064797,0.47947214,0.35930736,22,3,ENSG00000262552,ENSP00000459805,240,FALSE,-0.144361791,H__sapiens__1_-Hs:709597,45.27272727,query,0,22,0,0.72859327,NM_001256154,NP_001243083,0.865574534,FALSE,0,H__sapiens__1_-Hs:709597,1184,5-LOX,0.16386693,P09917,266
ALPK1,413,,,2.14067278,0.00077001,0.46714286,0.33684211,20,3,ENSG00000073331,ENSP00000426044,80216,FALSE,-0.047064586,H__sapiens__1_-Hs:710512,41.3,query,0,20,0,0.7148318,NM_025144,NP_079420,0.954025779,FALSE,0,H__sapiens__1_-Hs:710512,1324,KIAA1527,0.15823755,Q96QP1,177.4285714
AMD1,622,,,1.80733945,0.00382229,0.55329949,0.29903846,65,3,ENSG00000123505,ENSP00000433396,262,FALSE,-0.143603571,H__sapiens__1_-Hs:714716,58.30769231,query,0,65,0,0.79816514,NM_001634,NP_001625,0.866231079,FALSE,0,H__sapiens__1_-Hs:714716,7486,SAMDC,0.17940828,P17707,326.5714286
AMPD3,616,,,2.04587156,0.00072594,0.48878924,0.27173913,24,3,ENSG00000133805,ENSP00000436987,272,FALSE,-0.09265024,H__sapiens__1_-Hs:716130,44.625,query,0,24,0,0.73853211,NM_001172431,NP_001165902,0.911512255,FALSE,0,H__sapiens__1_-Hs:716130,1278,,0.15494792,Q01432,313.7142857
ANAPC5,489,,,2.03669725,0.00119222,0.49099099,0.30952381,21,3,ENSG00000272204,ENSP00000475940,51433,FALSE,-0.1332237,H__sapiens__1_-Hs:711102,55.85714286,query,0,21,0,0.74082569,NM_016237,NP_057321,0.875269273,FALSE,0,H__sapiens__1_-Hs:711102,2192,APC5,0.19145803,Q9UJX4,260.5714286
ANKRD10,676,,,1.87767584,0.00238898,0.53257329,0.3236715,46,3,ENSG00000088448,ENSP00000474638,55608,FALSE,-0.065277152,H__sapiens__1_-Hs:711067,58.32608696,query,0,46,0,0.78058104,NM_017664,NP_060134,0.936807789,FALSE,0,H__sapiens__1_-Hs:711067,4456,FLJ20093,0.18220109,Q9NXR5,271.7142857
ANKRD28,564,,,1.88990826,0.00303641,0.52912621,0.22415796,42,3,ENSG00000206560,ENSP00000397341,23243,FALSE,-0.136064614,H__sapiens__1_-Hs:730489,54.23809524,query,0,42,0,0.77752294,NM_015199,NP_056014,0.872786237,FALSE,0,H__sapiens__1_-Hs:730489,5890,PPP1R65,0.16896603,O15084,288.8571429
ANXA1,578,,,1.92966361,0.002465,0.51822504,0.28128461,43,3,ENSG00000135046,ENSP00000414013,301,FALSE,-0.159672029,H__sapiens__1_-Hs:716336,45.90697674,query,0,43,0,0.7675841,NM_000700,NP_000691,0.852423313,FALSE,0,H__sapiens__1_-Hs:716336,4268,LPC1,0.14953413,P04083,294.5714286
ARMC1,680,,,1.8440367,0.00391755,0.54228856,0.26758329,62,3,ENSG00000104442,ENSP00000434297,55156,FALSE,-0.107598308,H__sapiens__1_-Hs:712221,52.48387097,query,0,62,0,0.78899083,NM_018120,NP_060590,0.897988239,FALSE,0,H__sapiens__1_-Hs:712221,6914,FLJ10511,0.1660882,Q9NVT9,390.2857143
ASAH1,634,,,1.98470948,0.00088322,0.50385208,0.26190476,28,3,ENSG00000104763,ENSP00000427751,427,FALSE,-0.100023638,H__sapiens__1_-Hs:712257,49.28571429,query,0,28,0,0.75382263,NM_177924,NP_808592,0.90481603,FALSE,0,H__sapiens__1_-Hs:712257,1552,PHP32,0.16212406,Q13510,448.5714286
ASXL2,732,,,1.95412844,0.00121505,0.51173709,0.30681818,33,3,ENSG00000143970,ENSP00000391447,55252,FALSE,-0.0828831,H__sapiens__1_-Hs:717857,58.24242424,query,0,33,0,0.76146789,NM_018263,NP_060733,0.920458743,FALSE,0,H__sapiens__1_-Hs:717857,2142,KIAA1685,0.18848681,Q76L83,250.5714286
ATF7IP,443,,,2.02140673,0.00089456,0.49470499,0.39,25,3,ENSG00000171681,ENSP00000446260,55729,FALSE,-0.083781762,H__sapiens__1_-Hs:722555,51.56,query,0,25,0,0.74464832,NM_018179,NP_060649,0.919631933,FALSE,0,H__sapiens__1_-Hs:722555,1702,p621,0.1752381,Q6VMQ6,306.8571429
ATG14,586,,,1.7675841,0.00930056,0.56574394,0.21890997,82,3,ENSG00000126775,ENSP00000247178,22863,FALSE,-0.154396978,H__sapiens__1_-Hs:715176,50.82926829,query,0,82,0,0.80810398,NM_014924,NP_055739,0.85693177,FALSE,0,H__sapiens__1_-Hs:715176,13684,KIAA0831,0.15834663,Q6ZNE5,179.7142857
ATM,565,,,1.87461774,0.00199839,0.53344209,0.25353535,45,3,ENSG00000149311,ENSP00000469471,472,FALSE,-0.167360669,H__sapiens__1_-Hs:718563,56.4,query,0,45,0,0.78134557,NM_000051,NP_000042,0.845894468,FALSE,0,H__sapiens__1_-Hs:718563,3630,TELO1,0.174613,Q13315,190.2857143
ATP8B1,494,,,2.06727829,0.00112595,0.48372781,0.35185185,28,3,ENSG00000081923,ENSP00000468751,5205,FALSE,-0.133085411,H__sapiens__1_-Hs:710840,45.17857143,query,0,28,0,0.73318043,NM_005603,NP_005594,0.875390321,FALSE,0,H__sapiens__1_-Hs:710840,1632,PFIC1,0.16356108,O43520,307.7142857
AUTS2,666,,,1.89602446,0.00272726,0.52741935,0.20044297,43,3,ENSG00000158321,ENSP00000407058,26053,FALSE,-0.115081413,H__sapiens__1_-Hs:719590,52.44186047,query,0,43,0,0.77599388,NM_015570,NP_056385,0.891293578,FALSE,0,H__sapiens__1_-Hs:719590,4562,KIAA0442,0.16491151,Q8WXX7,355.4285714
BCLAF1,638,,,1.7706422,0.00402762,0.56476684,0.34272152,80,3,ENSG00000029363,ENSP00000437333,9774,FALSE,-0.137179747,H__sapiens__1_-Hs:709755,60.825,query,0,80,0,0.80733945,NM_014739,NP_055554,0.871813506,FALSE,0,H__sapiens__1_-Hs:709755,8564,KIAA0164,0.18889752,Q9NYF8,408.5714286
BRAP,522,,,1.97553517,0.00121574,0.50619195,0.21164021,28,3,ENSG00000089234,ENSP00000441659,8315,FALSE,-0.106234864,H__sapiens__1_-Hs:711122,53.78571429,query,0,28,0,0.75611621,NM_006768,NP_006759,0.899213431,FALSE,0,H__sapiens__1_-Hs:711122,2276,RNF52,0.17565359,Q7Z569,281.7142857
BTG1,613,,,1.85626911,0.00383361,0.53871499,0.23367199,53,3,ENSG00000133639,ENSP00000447551,694,FALSE,-0.144377346,H__sapiens__1_-Hs:716110,52.43396226,query,0,53,0,0.78593272,NM_001731,NP_001722,0.865561071,FALSE,0,H__sapiens__1_-Hs:716110,7012,,0.16334568,P62324,409.1428571
C18orf8,420,,,2.12232416,0.00024672,0.47118156,0.19230769,13,3,ENSG00000141452,ENSP00000467852,29919,FALSE,-0.067956647,H__sapiens__1_-Hs:717470,55,query,0,13,0,0.71941896,NM_013326,NP_037458,0.934300978,FALSE,0,H__sapiens__1_-Hs:717470,466,HsT2591,0.20118343,Q96DM3,174.8571429
C6orf120,520,,,1.9969419,0.00085646,0.5007657,0.29885057,30,3,ENSG00000185127,ENSP00000390806,387263,FALSE,-0.11117896,H__sapiens__1_-Hs:725466,53.9,query,0,30,0,0.75076453,NM_001029863,NP_001025034,0.894778605,FALSE,0,H__sapiens__1_-Hs:725466,1476,bA160E12.4,0.18087248,Q7Z4R8,265.1428571
CALD1,669,,,1.91437309,0.00361478,0.52236422,0.24141414,45,3,ENSG00000122786,ENSP00000445641,800,FALSE,-0.127962851,H__sapiens__1_-Hs:714632,43.42222222,query,0,45,0,0.77140673,NM_033157,NP_149347,0.879886066,FALSE,0,H__sapiens__1_-Hs:714632,5468,L-CAD,0.14007168,Q05682,411.7142857
CARD8,514,,,1.9235474,0.00177296,0.51987281,0.25375375,37,3,ENSG00000105483,ENSP00000430836,22900,FALSE,-0.1162397,H__sapiens__1_-Hs:712414,55.10810811,query,0,37,0,0.76911315,NM_014959,NP_055774,0.890261802,FALSE,0,H__sapiens__1_-Hs:712414,3096,TUCAN,0.17494637,Q9Y2G2,124.2857143
CBFB,571,,,1.81651376,0.00712803,0.55050505,0.23655914,63,3,ENSG00000067955,ENSP00000462932,865,FALSE,-0.163400084,H__sapiens__1_-Hs:710310,53.68253968,query,0,63,0,0.79587156,NM_022845,NP_074036,0.849251349,FALSE,0,H__sapiens__1_-Hs:710310,12174,PEBP2B,0.16568685,Q13951,366.2857143
CBLB,690,,,1.97859327,0.00097851,0.50540958,0.21182266,29,3,ENSG00000114423,ENSP00000446116,868,FALSE,-0.115929217,H__sapiens__1_-Hs:713601,51.65517241,query,0,29,0,0.75535168,NM_170662,NP_733762,0.890538256,FALSE,0,H__sapiens__1_-Hs:713601,1508,RNF56,0.16936122,Q13191,190.8571429
CCDC90B,442,,,2.04281346,0.00098211,0.48952096,0.26842105,20,3,ENSG00000137500,ENSP00000436974,60492,FALSE,-0.084013089,H__sapiens__1_-Hs:716831,52.4,query,0,20,0,0.73929664,NM_021825,NP_068597,0.919419222,FALSE,0,H__sapiens__1_-Hs:716831,1662,MDS025,0.17883959,Q9GZT6,300.2857143
CCNL1,437,,,1.85321101,0.00346028,0.53960396,0.25714286,50,3,ENSG00000163660,ENSP00000420277,57018,FALSE,-0.095665362,H__sapiens__1_-Hs:720492,54.42,query,0,50,0,0.78669725,NM_020307,NP_064703,0.908768073,FALSE,0,H__sapiens__1_-Hs:720492,6174,ania-6a,0.16744615,Q9UK58,313.1428571
CCNL2,630,,,2.0764526,0.00021513,0.48159057,0.51778656,23,3,ENSG00000221978,ENSP00000464685,81669,FALSE,-0.086023073,H__sapiens__1_-Hs:735051,62.95652174,query,0,23,0,0.73088685,NM_030937,NP_112199,0.91757306,FALSE,0,H__sapiens__1_-Hs:735051,504,SB138,0.22565062,Q96S94,361.7142857
CD44,582,,,1.94189602,0.00170303,0.51496063,0.30588235,35,3,ENSG00000026508,ENSP00000436980,960,FALSE,-0.156013257,H__sapiens__1_-Hs:709736,47.88571429,query,0,35,0,0.76452599,NM_001202557,NP_001189486,0.855547848,FALSE,0,H__sapiens__1_-Hs:709736,2974,Pgp1,0.15437788,P16070,425.7142857
CDH11,675,,,2.01834862,0.00180673,0.49545455,0.31907308,34,3,ENSG00000140937,ENSP00000457812,1009,FALSE,-0.123148244,H__sapiens__1_-Hs:717388,39.52941176,query,0,34,0,0.74541284,NM_001797,NP_001788,0.884132586,FALSE,0,H__sapiens__1_-Hs:717388,2866,CAD11,0.13811189,P55287,266.8571429
CDK12,678,RNA splicing,GO:0008380,1.92966361,0.00159,0.51822504,0.29429429,37,3,ENSG00000167258,ENSP00000464641,51755,FALSE,-0.112985205,H__sapiens__1_-Hs:721468,60.56756757,query,0,37,0,0.7675841,NM_016507,NP_057591,0.893163874,FALSE,0,H__sapiens__1_-Hs:721468,2962,KIAA0904,0.19350661,Q9NYV4,198
CDK13,694,"RNA splicing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0000375|GO:0000377|GO:0006397,1.89908257,0.00177324,0.52657005,0.31818182,45,3,ENSG00000065883,ENSP00000340557,8621,FALSE,-0.103004218,H__sapiens__1_-Hs:710234,55.66666667,query,0,45,0,0.77522936,NM_031267,NP_112557,0.902123168,FALSE,0,H__sapiens__1_-Hs:710234,3688,KIAA1791,0.17671958,Q14004,264.8571429
CEBPZ,563,,,1.80428135,0.00664822,0.55423729,0.25921325,70,3,ENSG00000115816,ENSP00000391881,10153,FALSE,-0.167528937,H__sapiens__1_-Hs:713800,55.11428571,query,0,70,0,0.79892966,NM_005760,NP_005751,0.845752144,FALSE,0,H__sapiens__1_-Hs:713800,11270,CTF2,0.17169559,Q03701,305.7142857
CEP57,536,,,1.87767584,0.00299149,0.53257329,0.25177305,48,3,ENSG00000166037,ENSP00000445821,9702,FALSE,-0.116750952,H__sapiens__1_-Hs:721152,56.125,query,0,48,0,0.78058104,NM_014679,NP_055494,0.88980677,FALSE,0,H__sapiens__1_-Hs:721152,5128,TSP57,0.17594044,Q86XR8,199.1428571
CHD1,543,,,1.65443425,0.01502873,0.60443623,0.25415713,115,3,ENSG00000153922,ENSP00000422589,1105,FALSE,-0.188070817,H__sapiens__1_-Hs:719072,56.48695652,query,0,115,0,0.83639144,NM_001270,NP_001261,0.828556029,FALSE,0,H__sapiens__1_-Hs:719072,25124,,0.17380602,O14646,296
CHPT1,738,,,2.05810398,0.00093846,0.4858841,0.22222222,19,3,ENSG00000111666,ENSP00000448831,56994,FALSE,-0.074558212,H__sapiens__1_-Hs:713233,52.15789474,query,0,19,0,0.73547401,NM_020244,NP_064629,0.928153443,FALSE,0,H__sapiens__1_-Hs:713233,1564,,0.18136805,Q8WUD6,313.7142857
CHSY1,497,,,1.78593272,0.00960224,0.55993151,0.21048513,72,3,ENSG00000131873,ENSP00000254190,22856,FALSE,-0.12670949,H__sapiens__1_-Hs:715841,49.76388889,query,0,72,0,0.80351682,NM_014918,NP_055733,0.880989571,FALSE,0,H__sapiens__1_-Hs:715841,15892,KIAA0990,0.15311966,Q86X52,397.1428571
CLIC4,493,,,1.87461774,0.0037248,0.53344209,0.2394775,53,3,ENSG00000169504,ENSP00000436538,25932,FALSE,-0.134300007,H__sapiens__1_-Hs:722033,49.52830189,query,0,53,0,0.78134557,NM_013943,NP_039234,0.874327721,FALSE,0,H__sapiens__1_-Hs:722033,6526,P64H1,0.1572327,Q9Y696,521.7142857
CLK4,434,RNA splicing,GO:0008380,1.98470948,0.0010323,0.50385208,0.37237237,37,3,ENSG00000113240,ENSP00000430892,57396,FALSE,-0.107857391,H__sapiens__1_-Hs:713468,56.91891892,query,0,37,0,0.75382263,NM_020666,NP_065717,0.897755615,FALSE,0,H__sapiens__1_-Hs:713468,1968,,0.19294549,Q9HAZ1,347.1428571
CMTM6,435,,,1.96024465,0.0012018,0.51014041,0.21572581,32,3,ENSG00000091317,ENSP00000205636,54918,FALSE,-0.0790793,H__sapiens__1_-Hs:711215,49.5,query,0,32,0,0.75993884,NM_017801,NP_060271,0.923966651,FALSE,0,H__sapiens__1_-Hs:711215,2068,FLJ20396,0.16156046,Q9NX76,242.8571429
CNOT1,581,mRNA 3'-end processing|RNA 3'-end processing|mRNA processing,GO:0031124|GO:0031123|GO:0006397,1.95412844,0.001155,0.51173709,0.31628788,33,3,ENSG00000125107,ENSP00000458057,23019,FALSE,-0.156449909,H__sapiens__1_-Hs:714933,59.48484848,query,0,33,0,0.76146789,NM_206999,NP_996882,0.855174353,FALSE,0,H__sapiens__1_-Hs:714933,2316,NOT1H,0.19303424,CNOT1_HUMAN,334.2857143
CNOT6,425,mRNA 3'-end processing|RNA 3'-end processing|mRNA processing,GO:0031124|GO:0031123|GO:0006397,1.94801223,0.00079686,0.5133438,0.36186186,37,3,ENSG00000113300,ENSP00000422087,57472,FALSE,-0.105089695,H__sapiens__1_-Hs:713478,61.59459459,query,0,37,0,0.76299694,NM_015455,NP_056270,0.900243771,FALSE,0,H__sapiens__1_-Hs:713478,1498,KIAA1194,0.20063386,Q9ULM6,212.2857143
COL4A1,609,,,1.98165138,0.00182072,0.50462963,0.31746032,36,3,ENSG00000187498,ENSP00000443348,1282,FALSE,-0.145611969,H__sapiens__1_-Hs:726044,42.75,query,0,36,0,0.75458716,NM_001845,NP_001836,0.864493088,FALSE,0,H__sapiens__1_-Hs:726044,3332,,0.14393939,P02462,474.5714286
CPOX,597,,,1.89296636,0.00292519,0.52827141,0.21881607,44,3,ENSG00000080819,ENSP00000425880,1371,FALSE,-0.146093305,H__sapiens__1_-Hs:710796,51.97727273,query,0,44,0,0.77675841,NM_000097,NP_000088,0.864077077,FALSE,0,H__sapiens__1_-Hs:710796,4434,,0.16345054,P36551,172.5714286
CPSF6,697,mRNA 3'-end processing|RNA 3'-end processing|mRNA processing,GO:0031124|GO:0031123|GO:0006397,1.93272171,0.00185099,0.51740506,0.30609756,41,3,ENSG00000111605,ENSP00000450206,11052,FALSE,-0.112451799,H__sapiens__1_-Hs:713221,57.46341463,query,0,41,0,0.76681957,NM_007007,NP_008938,0.893640421,FALSE,0,H__sapiens__1_-Hs:713221,3532,HPBRII-7,0.1870978,Q16630,280
CPSF7,584,"RNA splicing|termination of RNA polymerase II transcription|mRNA 3'-end processing|mRNA splicing, via spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing",GO:0008380|GO:0006369|GO:0031124|GO:0000398|GO:0000375|GO:0000377|GO:0031123|GO:0006397,1.86238532,0.00503339,0.53694581,0.18989899,55,3,ENSG00000149532,ENSP00000446330,79869,FALSE,-0.154648487,H__sapiens__1_-Hs:718590,46.96363636,query,0,55,0,0.78440367,NM_024811,NP_079087,0.856716271,FALSE,0,H__sapiens__1_-Hs:718590,7404,FLJ12529,0.14815027,Q8N684,305.7142857
CREB3L2,672,,,1.85015291,0.00518895,0.54049587,0.17104377,55,3,ENSG00000182158,ENSP00000410314,64764,FALSE,-0.125822477,H__sapiens__1_-Hs:724682,46.6,query,0,55,0,0.78746177,NM_194071,NP_919047,0.881771367,FALSE,0,H__sapiens__1_-Hs:724682,7558,TCAG_1951439,0.14517134,Q70SY1,315.1428571
CREG1,619,,,1.81957187,0.00798951,0.54957983,0.1780754,64,3,ENSG00000143162,ENSP00000359540,8804,FALSE,-0.143693019,H__sapiens__1_-Hs:717685,45.390625,query,0,64,0,0.79510703,NM_003851,NP_003842,0.8661536,FALSE,0,H__sapiens__1_-Hs:717685,12588,CREG,0.14096467,O75629,435.4285714
CRISPLD2,735,,,2.09480122,0.00150036,0.47737226,0.32804233,28,3,ENSG00000103196,ENSP00000463171,83716,FALSE,-0.072010552,H__sapiens__1_-Hs:712073,37.71428571,query,0,28,0,0.72629969,NM_031476,NP_113664,0.930521077,FALSE,0,H__sapiens__1_-Hs:712073,2038,LCRISP2,0.14072495,Q9H0B8,304.5714286
CRLF3,562,,,1.78593272,0.00623397,0.55993151,0.24961948,73,3,ENSG00000176390,ENSP00000463689,51379,FALSE,-0.168163971,H__sapiens__1_-Hs:723540,55.1369863,query,0,73,0,0.80351682,NM_015986,NP_057070,0.845215232,FALSE,0,H__sapiens__1_-Hs:723540,9638,CYTOR4,0.17017588,Q8IUI8,153.7142857
CRY1,583,,,1.81345566,0.00459489,0.55143339,0.27725011,67,3,ENSG00000008405,ENSP00000447738,1407,FALSE,-0.155767351,H__sapiens__1_-Hs:709496,58.17910448,query,0,67,0,0.79663609,NM_004075,NP_004066,0.855758259,FALSE,0,H__sapiens__1_-Hs:709496,8390,PHLL1,0.18124332,Q16526,240.5714286
