gene.name,SUID,annotation.name,annotations,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,Ensembl.Gene.ID,Ensembl.Protein.ID,Entrez.Gene.ID,IsSingleNode,log.score,name,NeighborhoodConnectivity,node.type,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,RefSeq.mRNA.ID,RefSeq.Protein.ID,score,selected,SelfLoops,shared.name,Stress,Synonym,TopologicalCoefficient,Uniprot.ID,sumRank
CTBP2,620,,,1.9266055,0.00245824,0.51904762,0.15630252,35,3,ENSG00000175029,ENSP00000436285,1488,FALSE,-0.138651171,H__sapiens__1_-Hs:723262,45.4,query,0,35,0,0.76834862,NM_022802,NP_073713,0.870531642,FALSE,0,H__sapiens__1_-Hs:723262,3846,ribeye,0.14367089,P56545,301.7142857
CTSH,470,,,2.13761468,0.00072327,0.46781116,0.31601732,22,3,ENSG00000103811,ENSP00000435329,1512,FALSE,-0.139793658,H__sapiens__1_-Hs:712151,39.68181818,query,0,22,0,0.71559633,NM_004390,NP_004381,0.869537639,FALSE,0,H__sapiens__1_-Hs:712151,1050,CPSB,0.15345314,P09668,358.2857143
DDX18,481,,,1.83792049,0.00293047,0.54409318,0.30333139,59,3,ENSG00000088205,ENSP00000415604,8886,FALSE,-0.150523884,H__sapiens__1_-Hs:711054,56.74576271,query,0,59,0,0.79051988,NM_006773,NP_006764,0.860257183,FALSE,0,H__sapiens__1_-Hs:711054,5576,MrDb,0.17677808,Q9NVP1,245.7142857
DDX21,541,,,1.71253823,0.01281165,0.58392857,0.21779913,94,2,ENSG00000165732,ENSP00000346120,9188,FALSE,-0.189514427,H__sapiens__1_-Hs:721078,51.73404255,query,0,94,0,0.82186544,NM_004728,NP_004719,0.827360781,FALSE,0,H__sapiens__1_-Hs:721078,20110,RH-II/GU,0.15820808,Q9NR30,272.5714286
DENND4A,657,,,1.82568807,0.00467346,0.54773869,0.23661202,61,3,ENSG00000174485,ENSP00000457358,10260,FALSE,-0.13093057,H__sapiens__1_-Hs:723159,55.55737705,query,0,61,0,0.79357798,NM_005848,NP_005839,0.877278681,FALSE,0,H__sapiens__1_-Hs:723159,8376,MYCPBP,0.17200426,Q7Z401,176
DERL1,733,,,2.04892966,0.00046684,0.4880597,0.34736842,20,3,ENSG00000136986,ENSP00000430086,79139,FALSE,-0.074809659,H__sapiens__1_-Hs:716731,57.15,query,0,20,0,0.73776758,NM_024295,NP_077271,0.927920091,FALSE,0,H__sapiens__1_-Hs:716731,1026,PRO2577,0.19639175,Q9BUN8,326
DHX29,450,,,1.83180428,0.00452918,0.54590985,0.26666667,61,3,ENSG00000067248,ENSP00000421435,54505,FALSE,-0.154081503,H__sapiens__1_-Hs:710291,56.60655738,query,0,61,0,0.79204893,NM_019030,NP_061903,0.857202153,FALSE,0,H__sapiens__1_-Hs:710291,7862,DDX29,0.17634442,Q7Z478,241.1428571
DIDO1,671,,,1.89602446,0.00144429,0.52741935,0.36060606,45,3,ENSG00000101191,ENSP00000378752,11083,FALSE,-0.101020248,H__sapiens__1_-Hs:711757,60.48888889,query,0,45,0,0.77599388,NM_080797,NP_542987,0.90391473,FALSE,0,H__sapiens__1_-Hs:711757,2894,KIAA0333,0.19142053,Q9BTC0,258.5714286
DIP2A,736,,,2.01529052,0.00163745,0.49620637,0.37689394,33,3,ENSG00000160305,ENSP00000430249,23181,FALSE,-0.080362991,H__sapiens__1_-Hs:719857,45.54545455,query,0,33,0,0.74617737,NM_206891,NP_996774,0.922781325,FALSE,0,H__sapiens__1_-Hs:719857,2954,KIAA0184,0.15759673,Q14689,303.7142857
EDNRB,667,,,1.96024465,0.00133211,0.51014041,0.23106061,33,3,ENSG00000136160,ENSP00000403401,1910,FALSE,-0.128922327,H__sapiens__1_-Hs:716570,48.12121212,query,0,33,0,0.75993884,NM_003991,NP_003982,0.879042241,FALSE,0,H__sapiens__1_-Hs:716570,2590,HSCR2,0.15674662,P24530,413.7142857
EEF1A1,526,,,1.89602446,0.00378888,0.52741935,0.16341463,41,3,ENSG00000156508,ENSP00000392366,1915,FALSE,-0.217587926,H__sapiens__1_-Hs:719377,46.29268293,query,0,41,0,0.77599388,NM_001402,NP_001393,0.804456869,FALSE,0,H__sapiens__1_-Hs:719377,5902,LENG7,0.14466463,P68104,369.1428571
EFEMP1,703,,,2.15902141,0.00094492,0.4631728,0.32246377,24,3,ENSG00000115380,ENSP00000408195,2202,FALSE,-0.108711934,H__sapiens__1_-Hs:713734,37.5,query,0,24,0,0.71024465,NM_001039349,NP_001034438,0.896988772,FALSE,0,H__sapiens__1_-Hs:713734,1216,S1-5,0.14983333,Q12805,324
EIF3E,528,,,1.78287462,0.00838225,0.56089194,0.22162162,75,3,ENSG00000104408,ENSP00000430839,3646,FALSE,-0.216698737,H__sapiens__1_-Hs:712213,51.92,query,0,75,0,0.80428135,NM_001568,NP_001559,0.805172501,FALSE,0,H__sapiens__1_-Hs:712213,12740,EIF3S6,0.16074303,P60228,376.2857143
ENPP2,644,,,1.89602446,0.00480274,0.52741935,0.17575758,45,3,ENSG00000136960,ENSP00000429476,5168,FALSE,-0.119230403,H__sapiens__1_-Hs:716729,40.88888889,query,0,45,0,0.77599388,NM_006209,NP_006200,0.887603271,FALSE,0,H__sapiens__1_-Hs:716729,6930,PDNP2,0.12939522,Q13822,354.5714286
EPS8,537,,,1.81039755,0.01006106,0.55236486,0.18368298,66,3,ENSG00000151491,ENSP00000445985,2059,FALSE,-0.191612256,H__sapiens__1_-Hs:718783,44.27272727,query,0,66,0,0.79740061,NM_004447,NP_004438,0.825626939,FALSE,0,H__sapiens__1_-Hs:718783,15864,,0.13706727,Q12929,348.8571429
ERBB4,480,,,2.27217125,0.00020399,0.44010767,0.11111111,9,3,ENSG00000178568,ENSP00000405564,2066,FALSE,-0.150795464,H__sapiens__1_-Hs:723987,43.66666667,query,0,9,0,0.68195719,NM_005235,NP_005226,0.860023587,FALSE,0,H__sapiens__1_-Hs:723987,326,,0.19174041,Q15303,307.1428571
ERP44,700,,,1.93577982,0.00246124,0.51658768,0.15396825,36,3,ENSG00000023318,ENSP00000262455,23071,FALSE,-0.110855959,H__sapiens__1_-Hs:709706,44.13888889,query,0,36,0,0.76605505,NM_015051,NP_055866,0.895067666,FALSE,0,H__sapiens__1_-Hs:709706,3382,TXNDC4,0.1414708,Q9BS26,255.4285714
ESF1,441,,,2.00917431,0.00113078,0.49771689,0.3315508,34,3,ENSG00000089048,ENSP00000202816,51575,FALSE,-0.086586259,H__sapiens__1_-Hs:711100,51.23529412,query,0,34,0,0.74770642,NM_016649,NP_057733,0.917056441,FALSE,0,H__sapiens__1_-Hs:711100,2056,C20orf6,0.17667343,Q9H501,282.2857143
FAM129A,428,,,1.97553517,0.00182547,0.50619195,0.21344538,35,3,ENSG00000135842,ENSP00000414039,116496,FALSE,-0.101147672,H__sapiens__1_-Hs:716497,45.71428571,query,0,35,0,0.75611621,NM_052966,NP_443198,0.903799557,FALSE,0,H__sapiens__1_-Hs:716497,2888,NIBAN,0.15238095,Q9BZQ8,221.1428571
FAM65B,483,,,1.95412844,0.00117341,0.51173709,0.33143939,33,3,ENSG00000111913,ENSP00000455145,9750,FALSE,-0.147927563,H__sapiens__1_-Hs:713294,52.87878788,query,0,33,0,0.76146789,NM_015864,NP_056948,0.862493589,FALSE,0,H__sapiens__1_-Hs:713294,2150,MYONAP,0.17112876,Q9Y4F9,172
FHL1,568,,,1.93272171,0.00323016,0.51740506,0.20325203,42,3,ENSG00000022267,ENSP00000444815,2273,FALSE,-0.16526968,H__sapiens__1_-Hs:709694,40,query,0,42,0,0.76681957,NM_001449,NP_001440,0.847665075,FALSE,0,H__sapiens__1_-Hs:709694,4930,XMPMA,0.13029316,Q13642,489.7142857
FLNC,551,,,2.20795107,0.00087725,0.45290859,0.18128655,19,3,ENSG00000128591,ENSP00000344002,2318,FALSE,-0.180894723,H__sapiens__1_-Hs:715366,35.63157895,query,0,19,0,0.69801223,NM_001458,NP_001449,0.83452321,FALSE,0,H__sapiens__1_-Hs:715366,1364,FLN2,0.14886589,Q14315,272.2857143
FOXN3,696,,,1.9235474,0.00181749,0.51987281,0.22222222,36,3,ENSG00000053254,ENSP00000452444,1112,FALSE,-0.113061489,H__sapiens__1_-Hs:709989,55.11111111,query,0,36,0,0.76911315,NM_005197,NP_005188,0.893095743,FALSE,0,H__sapiens__1_-Hs:709989,3246,CHES1,0.17440225,O00409,315.7142857
GCH1,549,,,1.82262997,0.00594404,0.54865772,0.18700565,60,3,ENSG00000131979,ENSP00000445246,2643,FALSE,-0.182427132,H__sapiens__1_-Hs:715854,49.2,query,0,60,0,0.79434251,NM_001024071,NP_001019242,0.833245358,FALSE,0,H__sapiens__1_-Hs:715854,9428,GTPCH1,0.15138462,P30793,173.4285714
GIN1,701,,,1.98470948,0.00167361,0.50385208,0.24431818,33,3,ENSG00000263031,ENSP00000460915,54826,FALSE,-0.094263054,H__sapiens__1_-Hs:718094,50.63636364,query,0,33,0,0.75382263,NM_017676,NP_060146,0.91004334,FALSE,0,H__sapiens__1_-Hs:718094,2614,ZH2C2,0.16935239,Q9NXP7,117.7142857
GNA13,482,,,1.86850153,0.00273835,0.53518822,0.28653061,50,3,ENSG00000120063,ENSP00000439647,10672,FALSE,-0.150266494,H__sapiens__1_-Hs:714320,55.64,query,0,50,0,0.78287462,NM_006572,NP_006563,0.860478633,FALSE,0,H__sapiens__1_-Hs:714320,4968,MGC46138,0.173875,Q14344,316.5714286
GNAI3,561,,,1.86544343,0.0028245,0.53606557,0.2962963,54,3,ENSG00000065135,ENSP00000358867,2773,FALSE,-0.169900355,H__sapiens__1_-Hs:710198,58.38888889,query,0,54,0,0.78363914,NM_006496,NP_006487,0.843748888,FALSE,0,H__sapiens__1_-Hs:710198,5162,87U6,0.18419208,P08754,252.2857143
GOLGA7,639,,,1.85932722,0.00476344,0.53782895,0.19217331,54,3,ENSG00000147533,ENSP00000429480,51125,FALSE,-0.107258983,H__sapiens__1_-Hs:718350,48.61111111,query,0,54,0,0.7851682,NM_016099,NP_057183,0.898293,FALSE,0,H__sapiens__1_-Hs:718350,6776,HSPC041,0.15238593,Q7Z5G4,375.1428571
GPNMB,605,,,2.02446483,0.00125317,0.4939577,0.30804598,30,3,ENSG00000136235,ENSP00000445266,10457,FALSE,-0.122845296,H__sapiens__1_-Hs:716580,42.1,query,0,30,0,0.74388379,NM_002510,NP_002501,0.884400473,FALSE,0,H__sapiens__1_-Hs:716580,2304,HGFIN,0.14606481,Q14956,487.7142857
GSAP,662,,,1.8440367,0.00637628,0.54228856,0.20864991,59,3,ENSG00000186088,ENSP00000415402,54103,FALSE,-0.130557955,H__sapiens__1_-Hs:725722,49.59322034,query,0,59,0,0.78899083,NM_017439,NP_059135,0.87760563,FALSE,0,H__sapiens__1_-Hs:725722,10554,PION,0.15546464,GSAP_HUMAN,125.4285714
GSPT1,588,,,2,0.00065274,0.5,0.27384615,26,3,ENSG00000103342,ENSP00000456897,2935,FALSE,-0.153797044,H__sapiens__1_-Hs:712100,56,query,0,26,0,0.75,NM_002094,NP_002085,0.857446027,FALSE,0,H__sapiens__1_-Hs:712100,1214,ETF3A,0.18604651,P15170,377.1428571
HCFC2,734,,,2.12232416,0.00068496,0.47118156,0.18954248,18,3,ENSG00000111727,ENSP00000447952,29915,FALSE,-0.081123538,H__sapiens__1_-Hs:713253,45.33333333,query,0,18,0,0.71941896,NM_013320,NP_037452,0.922079773,FALSE,0,H__sapiens__1_-Hs:713253,1180,HCF-2,0.16894693,Q9Y5Z7,133.4285714
HCLS1,527,,,1.82568807,0.01028774,0.54773869,0.17921147,63,3,ENSG00000180353,ENSP00000420507,3059,FALSE,-0.21710626,H__sapiens__1_-Hs:724341,42.57142857,query,0,63,0,0.79357798,NM_005335,NP_005326,0.804844442,FALSE,0,H__sapiens__1_-Hs:724341,13666,CTTNL,0.13262127,P14317,241.4285714
HEATR3,712,,,2.13761468,0.00021586,0.46781116,0.27272727,12,3,ENSG00000155393,ENSP00000299192,55027,FALSE,-0.061767764,H__sapiens__1_-Hs:719250,55.75,query,0,12,0,0.71559633,NM_182922,NP_891552,0.940101187,FALSE,0,H__sapiens__1_-Hs:719250,346,FLJ20718,0.20648148,Q7Z4Q2,48
HEXB,591,,,1.82874618,0.00668508,0.54682274,0.19508197,61,3,ENSG00000049860,ENSP00000426384,3074,FALSE,-0.151179903,H__sapiens__1_-Hs:709953,42.45901639,query,0,61,0,0.79281346,NM_000521,NP_000512,0.859693024,FALSE,0,H__sapiens__1_-Hs:709953,9500,,0.1318603,P07686,329.1428571
HIPK1,508,,,1.82262997,0.00375287,0.54865772,0.29563492,64,3,ENSG00000163349,ENSP00000426695,204851,FALSE,-0.119296582,H__sapiens__1_-Hs:720378,60.84375,query,0,64,0,0.79434251,NM_198269,NP_938010,0.887544532,FALSE,0,H__sapiens__1_-Hs:720378,7220,Nbak2,0.18954439,Q86Z02,335.1428571
HLA-B,419,,,1.91437309,0.00246919,0.52236422,0.23873874,37,3,ENSG00000234745,ENSP00000436637,3106,FALSE,-0.136937605,H__sapiens__1_-Hs:730421,48.67567568,query,0,37,0,0.77140673,NM_005514,NP_005505,0.872024634,FALSE,0,H__sapiens__1_-Hs:730421,4320,,0.15306816,Q95365,456.8571429
HMGN4,670,,,1.84097859,0.0034383,0.54318937,0.26127946,55,3,ENSG00000182952,ENSP00000366798,10473,FALSE,-0.126761436,H__sapiens__1_-Hs:724883,56.61818182,query,0,55,0,0.78975535,NM_006353,NP_006344,0.880943809,FALSE,0,H__sapiens__1_-Hs:724883,6076,NHC,0.17474747,O00479,219.4285714
HNMT,704,,,1.97247706,0.00226722,0.50697674,0.25714286,35,3,ENSG00000150540,ENSP00000419415,3176,FALSE,-0.108527636,H__sapiens__1_-Hs:718676,44.62857143,query,0,35,0,0.75688073,NM_006895,NP_008826,0.897154101,FALSE,0,H__sapiens__1_-Hs:718676,3650,,0.14826768,P50135,225.1428571
HNRNPA2B1,523,"RNA splicing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0006397,1.72782875,0.01119669,0.57876106,0.24444444,90,3,ENSG00000122566,ENSP00000354021,3181,FALSE,-0.232249396,H__sapiens__1_-Hs:714601,53.53333333,query,0,90,0,0.81804281,NM_031243,NP_112533,0.792748391,FALSE,0,H__sapiens__1_-Hs:714601,18226,HNRPA2B1,0.16421268,ROA2_HUMAN,474.5714286
HNRNPA3,504,"RNA splicing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing",GO:0008380|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0006397,1.90825688,0.00146749,0.52403846,0.39130435,47,3,ENSG00000170144,ENSP00000416340,220988,FALSE,-0.121659052,H__sapiens__1_-Hs:722174,62.63829787,query,0,47,0,0.77293578,NM_194247,NP_919223,0.885450209,FALSE,0,H__sapiens__1_-Hs:722174,2960,HNRPA3,0.20205903,ROA3_HUMAN,385.7142857
HSBP1,454,,,2.03058104,0.00059529,0.49246988,0.2,20,3,ENSG00000230989,ENSP00000458007,3281,FALSE,-0.116728032,H__sapiens__1_-Hs:741963,48.3,query,0,20,0,0.74235474,NM_001537,NP_001528,0.889827165,FALSE,0,H__sapiens__1_-Hs:741963,996,,0.16262626,O75506,344.8571429
IFI16,572,,,1.80733945,0.00621367,0.55329949,0.23076923,65,3,ENSG00000163565,ENSP00000458084,3428,FALSE,-0.163102527,H__sapiens__1_-Hs:720452,52.55384615,query,0,65,0,0.79816514,NM_005531,NP_005522,0.849504087,FALSE,0,H__sapiens__1_-Hs:720452,10450,PYHIN2,0.16170414,Q16666,333.7142857
IFITM2,524,,,1.96941896,0.00233182,0.50776398,0.28475034,39,3,ENSG00000185201,ENSP00000473587,10581,FALSE,-0.170815735,H__sapiens__1_-Hs:725486,41.28205128,query,0,39,0,0.75764526,NM_006435,NP_006426,0.84297689,FALSE,0,H__sapiens__1_-Hs:725486,3826,1-8D,0.13853037,Q01629,422.2857143
IFRD1,664,,,1.87155963,0.00232514,0.53431373,0.28244898,50,3,ENSG00000006652,ENSP00000439188,3475,FALSE,-0.129794098,H__sapiens__1_-Hs:709426,59.02,query,0,50,0,0.78211009,NM_001550,NP_001541,0.878276251,FALSE,0,H__sapiens__1_-Hs:709426,4554,TIS7,0.18501567,O00458,366.8571429
ITGA6,593,,,1.88990826,0.00263068,0.52912621,0.21282051,40,3,ENSG00000091409,ENSP00000413470,3655,FALSE,-0.15083681,H__sapiens__1_-Hs:711216,51.3,query,0,40,0,0.77752294,NM_001079818,NP_001073286,0.859988029,FALSE,0,H__sapiens__1_-Hs:711216,4474,CD49f,0.15882353,P23229,285.4285714
ITPR2,686,,,1.9266055,0.00168035,0.51904762,0.21975806,32,3,ENSG00000123104,ENSP00000440548,3709,FALSE,-0.117305193,H__sapiens__1_-Hs:714662,52.4375,query,0,32,0,0.76834862,NM_002223,NP_002214,0.889313739,FALSE,0,H__sapiens__1_-Hs:714662,2968,IP3R2,0.16438088,Q14571,255.7142857
JMJD1C,507,,,1.81651376,0.00415712,0.55050505,0.26971154,65,3,ENSG00000171988,ENSP00000444682,221037,FALSE,-0.119566844,H__sapiens__1_-Hs:722631,57.23076923,query,0,65,0,0.79587156,NM_032776,NP_116165,0.887304695,FALSE,0,H__sapiens__1_-Hs:722631,7102,TRIP8,0.17773531,Q15652,346.8571429
KAT6A,699,,,1.85626911,0.00186247,0.53871499,0.30509804,51,3,ENSG00000083168,ENSP00000430606,7994,FALSE,-0.110882227,H__sapiens__1_-Hs:710877,61.54901961,query,0,51,0,0.78593272,NM_006766,NP_006757,0.895044155,FALSE,0,H__sapiens__1_-Hs:710877,3752,ZNF220,0.19055424,Q92794,336.2857143
KATNBL1,691,,,2.0030581,0.00064428,0.49923664,0.33497537,29,3,ENSG00000134152,ENSP00000454181,79768,FALSE,-0.076506488,H__sapiens__1_-Hs:716178,60.31034483,query,0,29,0,0.74923547,NM_024713,NP_078989,0.926346904,FALSE,0,H__sapiens__1_-Hs:716178,1268,FLJ22557,0.20306513,Q9H079,199.1428571
KCNE4,412,,,2.36391437,0.00006836,0.42302717,0.36111111,9,3,ENSG00000152049,ENSP00000473755,23704,FALSE,-0.064049979,H__sapiens__1_-Hs:718854,45.22222222,query,0,9,0,0.65902141,NM_080671,NP_542402,0.93795812,FALSE,0,H__sapiens__1_-Hs:718854,130,MiRP3,0.22724735,Q8WWG9,207.4285714
KCTD12,468,,,1.79816514,0.00671592,0.55612245,0.20807726,68,3,ENSG00000178695,ENSP00000366694,115207,FALSE,-0.165598045,H__sapiens__1_-Hs:724010,48.32352941,query,0,68,0,0.80045872,NM_138444,NP_612453,0.847386777,FALSE,0,H__sapiens__1_-Hs:724010,11204,PFET1,0.14868778,Q96CX2,493.4285714
KCTD20,516,,,2.00611621,0.00127421,0.49847561,0.25666667,25,3,ENSG00000112078,ENSP00000440150,222658,FALSE,-0.112435248,H__sapiens__1_-Hs:713308,49.2,query,0,25,0,0.74847095,NM_173562,NP_775833,0.893655211,FALSE,0,H__sapiens__1_-Hs:713308,2324,MGC14254,0.16441472,Q7Z5Y7,275.7142857
KDM5A,707,,,1.89296636,0.00155318,0.52827141,0.32850242,46,3,ENSG00000073614,ENSP00000444251,5927,FALSE,-0.097166535,H__sapiens__1_-Hs:710521,59.91304348,query,0,46,0,0.77675841,NM_001042603,NP_001036068,0.907404879,FALSE,0,H__sapiens__1_-Hs:710521,2918,RBBP2,0.18959824,P29375,295.7142857
KIAA0141,510,,,2.02140673,0.00064445,0.49470499,0.25108225,22,3,ENSG00000081791,ENSP00000426138,9812,FALSE,-0.10356704,H__sapiens__1_-Hs:710832,49.86363636,query,0,22,0,0.74464832,NM_014773,NP_055588,0.901615576,FALSE,0,H__sapiens__1_-Hs:710832,1070,DELE,0.16732764,Q14154,183.4285714
KLF3,731,,,2.03058104,0.00072674,0.49246988,0.13684211,20,3,ENSG00000109787,ENSP00000421252,51274,FALSE,-0.077868412,H__sapiens__1_-Hs:713012,47.45,query,0,20,0,0.74235474,NM_016531,NP_057615,0.925086149,FALSE,0,H__sapiens__1_-Hs:713012,1162,BKLF,0.16050847,P57682,150.2857143
KLF6,604,,,1.96636086,0.00158553,0.50855365,0.27027027,37,3,ENSG00000067082,ENSP00000445301,1316,FALSE,-0.145968508,H__sapiens__1_-Hs:710281,46.45945946,query,0,37,0,0.75840979,NM_001300,NP_001291,0.864184918,FALSE,0,H__sapiens__1_-Hs:710281,2450,Zf9,0.15435036,Q99612,367.1428571
KRIT1,451,,,2,0.00082976,0.5,0.34444444,36,3,ENSG00000001631,ENSP00000414694,889,FALSE,-0.106970844,H__sapiens__1_-Hs:709292,61.27777778,query,0,36,0,0.75,NM_194456,NP_919438,0.898551871,FALSE,0,H__sapiens__1_-Hs:709292,1558,CCM1,0.21057656,O00522,193.7142857
LAPTM5,546,,,1.89602446,0.00358774,0.52741935,0.23961353,46,3,ENSG00000162511,ENSP00000294507,7805,FALSE,-0.183644369,H__sapiens__1_-Hs:720144,41.91304348,query,0,46,0,0.77599388,NM_006762,NP_006753,0.832231718,FALSE,0,H__sapiens__1_-Hs:720144,5432,,0.13305728,Q13571,406.2857143
LBR,458,,,1.77675841,0.00725524,0.56282272,0.26846847,75,3,ENSG00000143815,ENSP00000416554,3930,FALSE,-0.196706566,H__sapiens__1_-Hs:717830,58.45333333,query,0,75,0,0.8058104,NM_194442,NP_919424,0.821431634,FALSE,0,H__sapiens__1_-Hs:717830,13062,TDRD18,0.17985641,Q14739,212.2857143
LIMA1,415,,,2.02446483,0.00078124,0.4939577,0.23376623,22,3,ENSG00000050405,ENSP00000450266,51474,FALSE,-0.093150477,H__sapiens__1_-Hs:709961,45.45454545,query,0,22,0,0.74388379,NM_016357,NP_057441,0.911056397,FALSE,0,H__sapiens__1_-Hs:709961,1298,EPLIN,0.15340909,Q9UHB6,251.1428571
LPL,665,,,2.04281346,0.00147836,0.48952096,0.16883117,22,3,ENSG00000175445,ENSP00000431028,4023,FALSE,-0.129019024,H__sapiens__1_-Hs:723344,40.40909091,query,0,22,0,0.73929664,NM_000237,NP_000228,0.878957244,FALSE,0,H__sapiens__1_-Hs:723344,2558,LIPD,0.13886286,P06858,435.4285714
LPP,498,,,1.91743119,0.00168644,0.5215311,0.22617354,38,3,ENSG00000145012,ENSP00000438891,4026,FALSE,-0.130455296,H__sapiens__1_-Hs:718006,51.23684211,query,0,38,0,0.7706422,NM_005578,NP_005569,0.877695728,FALSE,0,H__sapiens__1_-Hs:718006,3020,,0.16214191,Q93052,364.8571429
LRBA,617,,,1.90825688,0.00274075,0.52403846,0.17567568,37,3,ENSG00000198589,ENSP00000446299,987,FALSE,-0.144016044,H__sapiens__1_-Hs:727476,49.21621622,query,0,37,0,0.77293578,NM_006726,NP_006717,0.865873855,FALSE,0,H__sapiens__1_-Hs:727476,4560,LBA,0.15380068,P50851,169.7142857
LRCH3,723,,,1.90519878,0.00180958,0.52487961,0.27804878,41,3,ENSG00000186001,ENSP00000439083,84859,FALSE,-0.085594073,H__sapiens__1_-Hs:725700,55.80487805,query,0,41,0,0.77370031,NM_032773,NP_116162,0.917966783,FALSE,0,H__sapiens__1_-Hs:725700,3150,MGC4126,0.17604062,Q96II8,186
LYN,525,receptor signaling protein activity,GO:0005057,1.82568807,0.00459575,0.54773869,0.23955579,62,3,ENSG00000254087,ENSP00000428924,4067,FALSE,-0.227894159,H__sapiens__1_-Hs:756198,50.66129032,query,0,62,0,0.79357798,NM_002350,NP_002341,0.796208526,FALSE,0,H__sapiens__1_-Hs:756198,7728,JTK8,0.1573332,P07948,105.7142857
MAFF,596,,,1.94801223,0.00170559,0.5133438,0.28403361,35,3,ENSG00000185022,ENSP00000442060,23764,FALSE,-0.149556031,H__sapiens__1_-Hs:725432,47.71428571,query,0,35,0,0.76299694,NM_012323,NP_036455,0.861090189,FALSE,0,H__sapiens__1_-Hs:725432,3264,hMafF,0.15441516,Q9ULX9,395.1428571
MAN2A1,629,,,1.81345566,0.00621047,0.55143339,0.19945355,61,2,ENSG00000112893,ENSP00000261483,4124,FALSE,-0.1399101,H__sapiens__1_-Hs:713435,51.31147541,query,0,61,0,0.79663609,NM_002372,NP_002363,0.869436395,FALSE,0,H__sapiens__1_-Hs:713435,10190,MANA2,0.15691583,Q16706,413.1428571
MAP3K7,532,receptor signaling protein activity,GO:0005057,1.74311927,0.00835012,0.57368421,0.24489275,89,3,ENSG00000135341,ENSP00000358338,6885,FALSE,-0.196930766,H__sapiens__1_-Hs:716393,54.92134831,query,0,89,0,0.81422018,NM_145333,NP_663306,0.82124749,FALSE,0,H__sapiens__1_-Hs:716393,13726,MEKK7,0.17056319,O43318,294.8571429
MAP4K3,432,receptor signaling protein activity,GO:0005057,1.86238532,0.00304975,0.53694581,0.27285922,53,3,ENSG00000011566,ENSP00000476533,8491,FALSE,-0.112448288,H__sapiens__1_-Hs:709582,55.69811321,query,0,53,0,0.78440367,NM_003618,NP_003609,0.893643558,FALSE,0,H__sapiens__1_-Hs:709582,5226,RAB8IPL1,0.17460224,Q8IVH8,253.7142857
MAP4K5,692,receptor signaling protein activity,GO:0005057,1.83486239,0.0040252,0.545,0.24319419,58,3,ENSG00000012983,ENSP00000452289,11183,FALSE,-0.115895194,H__sapiens__1_-Hs:709601,54.81034483,query,0,58,0,0.7912844,NM_198794,NP_942089,0.890568556,FALSE,0,H__sapiens__1_-Hs:709601,6982,KHS1,0.16969147,Q9Y4K4,184.8571429
MARK3,610,,,1.83180428,0.00333416,0.54590985,0.31147541,61,3,ENSG00000075413,ENSP00000454169,4140,FALSE,-0.145178252,H__sapiens__1_-Hs:710595,58.72131148,query,0,61,0,0.79204893,NM_002376,NP_002367,0.864868115,FALSE,0,H__sapiens__1_-Hs:710595,6300,PAR-1A,0.18293243,P27448,230.8571429
MCMBP,540,,,1.97859327,0.00076545,0.50540958,0.33068783,28,3,ENSG00000197771,ENSP00000358073,79892,FALSE,-0.102178393,H__sapiens__1_-Hs:727184,57.42857143,query,0,28,0,0.75535168,NM_024834,NP_079110,0.902868472,FALSE,0,H__sapiens__1_-Hs:727184,1646,MCM-BP,0.18767507,Q9BTE3,88
MED13L,687,,,1.81651376,0.004938,0.55050505,0.23462302,64,3,ENSG00000123066,ENSP00000449895,23389,FALSE,-0.11317667,H__sapiens__1_-Hs:714656,55.125,query,0,64,0,0.79587156,NM_015335,NP_056150,0.892992881,FALSE,0,H__sapiens__1_-Hs:714656,8556,TRAP240L,0.17066563,Q71F56,198.2857143
MED14,684,,,2.04281346,0.0005508,0.48952096,0.23913043,24,3,ENSG00000180182,ENSP00000411357,9282,FALSE,-0.119055313,H__sapiens__1_-Hs:724305,56.16666667,query,0,24,0,0.73929664,NM_004229,NP_004220,0.887758695,FALSE,0,H__sapiens__1_-Hs:724305,1126,TRAP170,0.19434833,O60244,256.8571429
METTL9,531,,,2.04281346,0.00044063,0.48952096,0.28104575,18,3,ENSG00000197006,ENSP00000457311,51108,FALSE,-0.070957041,H__sapiens__1_-Hs:726920,57,query,0,18,0,0.73929664,NM_016025,NP_057109,0.931501907,FALSE,0,H__sapiens__1_-Hs:726920,982,DREV1,0.19322034,Q9H1A3,395.4285714
