"SUID","annotation name","annotations","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Ensembl Gene ID","Ensembl Protein ID","Entrez Gene ID","gene name","IsSingleNode","log score","name","NeighborhoodConnectivity","node type","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","RefSeq mRNA ID","RefSeq Protein ID","score","selected","SelfLoops","shared name","Stress","Synonym","TopologicalCoefficient","Uniprot ID"
"427","","","1.86850153","0.00499655","0.53518822","0.23838384","55","3","ENSG00000126070","ENSP00000380928","192669","AGO3","false","-0.13437818733257592","H__sapiens__1_-Hs:715111","47.72727273","query","0","55","0","0.78287462","NM_177422","NP_803171","0.8742593682562305","false","0","H__sapiens__1_-Hs:715111","7512","hAGO3","0.15151515","Q9H9G7"
"428","","","1.97553517","0.00182547","0.50619195","0.21344538","35","3","ENSG00000135842","ENSP00000414039","116496","FAM129A","false","-0.10114767221202482","H__sapiens__1_-Hs:716497","45.71428571","query","0","35","0","0.75611621","NM_052966","NP_443198","0.9037995569509614","false","0","H__sapiens__1_-Hs:716497","2888","NIBAN","0.15238095","Q9BZQ8"
"429","RNA splicing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|mRNA processing","GO:0008380|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0006397","1.73700306","0.00737815","0.57570423","0.3043673","95","3","ENSG00000033030","ENSP00000443818","55596","ZCCHC8","false","-0.1180628416436448","H__sapiens__1_-Hs:709778","57.55789474","query","0","95","0","0.81574924","NM_017612","NP_060082","0.8886402072486961","false","0","H__sapiens__1_-Hs:709778","13124","DKFZp434E2220","0.18099967","ZCHC8_HUMAN"
"430","","","2.16513761","3.1569E-4","0.46186441","0.1978022","14","3","ENSG00000134698","ENSP00000362306","192670","AGO4","false","-0.1175978533532268","H__sapiens__1_-Hs:716280","46.28571429","query","0","14","0","0.7087156","NM_017629","NP_060099","0.8890535106226292","false","0","H__sapiens__1_-Hs:716280","448","KIAA1567","0.17912514","Q9HCK5"
"431","","","2.04892966","4.3269E-4","0.4880597","0.3115942","24","3","ENSG00000138050","ENSP00000434844","80745","THUMPD2","false","-0.08271909445082894","H__sapiens__1_-Hs:716943","56.79166667","query","0","24","0","0.73776758","NM_025264","NP_079540","0.9206097152794659","false","0","H__sapiens__1_-Hs:716943","844","MGC2454","0.19788037","THUM2_HUMAN"
"432","receptor signaling protein activity","GO:0005057","1.86238532","0.00304975","0.53694581","0.27285922","53","3","ENSG00000011566","ENSP00000476533","8491","MAP4K3","false","-0.1124482880953659","H__sapiens__1_-Hs:709582","55.69811321","query","0","53","0","0.78440367","NM_003618","NP_003609","0.893643557924125","false","0","H__sapiens__1_-Hs:709582","5226","RAB8IPL1","0.17460224","Q8IVH8"
"433","","","1.9235474","0.00115989","0.51987281","0.2968254","36","3","ENSG00000128791","ENSP00000464458","57045","TWSG1","false","-0.08422965781713335","H__sapiens__1_-Hs:715396","57.08333333","query","0","36","0","0.76911315","NM_020648","NP_065699","0.9192201257646391","false","0","H__sapiens__1_-Hs:715396","2436","TSG","0.18064346","TWSG1_HUMAN"
"434","RNA splicing","GO:0008380","1.98470948","0.0010323","0.50385208","0.37237237","37","3","ENSG00000113240","ENSP00000430892","57396","CLK4","false","-0.10785739125299432","H__sapiens__1_-Hs:713468","56.91891892","query","0","37","0","0.75382263","NM_020666","NP_065717","0.897755615105314","false","0","H__sapiens__1_-Hs:713468","1968","","0.19294549","Q9HAZ1"
"435","","","1.96024465","0.0012018","0.51014041","0.21572581","32","3","ENSG00000091317","ENSP00000205636","54918","CMTM6","false","-0.0790793004384269","H__sapiens__1_-Hs:711215","49.5","query","0","32","0","0.75993884","NM_017801","NP_060271","0.9239666505793176","false","0","H__sapiens__1_-Hs:711215","2068","FLJ20396","0.16156046","Q9NX76"
"436","","","1.80122324","0.00440812","0.55517827","0.31247686","74","3","ENSG00000164631","ENSP00000385939","7559","ZNF12","false","-0.0986322406360833","H__sapiens__1_-Hs:720801","57.58108108","query","0","74","0","0.79969419","NM_016265","NP_057349","0.9060758646427017","false","0","H__sapiens__1_-Hs:720801","8226","ZNF325","0.18107258","ZNF12_HUMAN"
"437","","","1.85321101","0.00346028","0.53960396","0.25714286","50","3","ENSG00000163660","ENSP00000420277","57018","CCNL1","false","-0.09566536231176052","H__sapiens__1_-Hs:720492","54.42","query","0","50","0","0.78669725","NM_020307","NP_064703","0.9087680732385489","false","0","H__sapiens__1_-Hs:720492","6174","ania-6a","0.16744615","Q9UK58"
"438","","","2.03058104","6.3682E-4","0.49246988","0.22380952","21","3","ENSG00000169499","ENSP00000430938","59339","PLEKHA2","false","-0.07611259241443818","H__sapiens__1_-Hs:722032","47.42857143","query","0","21","0","0.74235474","NM_021623","NP_067636","0.9267118599593733","false","0","H__sapiens__1_-Hs:722032","1016","TAPP2","0.1606134","Q9HB19"
"439","","","1.96636086","0.0010959","0.50855365","0.21367521","27","3","ENSG00000151748","ENSP00000452104","60485","SAV1","false","-0.08884924165670895","H__sapiens__1_-Hs:718823","53.62962963","query","0","27","0","0.75840979","NM_021818","NP_068590","0.9149835045743545","false","0","H__sapiens__1_-Hs:718823","1862","WW45","0.17244254","SAV1_HUMAN"
"440","","","2.02140673","0.00141476","0.49470499","0.36898396","34","3","ENSG00000068489","ENSP00000464392","55771","PRR11","false","-0.08814829583063649","H__sapiens__1_-Hs:710329","49.52941176","query","0","34","0","0.74464832","NM_018304","NP_060774","0.9156250832724977","false","0","H__sapiens__1_-Hs:710329","2564","FLJ11029","0.17317976","Q96HE9"
"441","","","2.00917431","0.00113078","0.49771689","0.3315508","34","3","ENSG00000089048","ENSP00000202816","51575","ESF1","false","-0.08658625859429028","H__sapiens__1_-Hs:711100","51.23529412","query","0","34","0","0.74770642","NM_016649","NP_057733","0.9170564413733899","false","0","H__sapiens__1_-Hs:711100","2056","C20orf6","0.17667343","Q9H501"
"442","","","2.04281346","9.8211E-4","0.48952096","0.26842105","20","3","ENSG00000137500","ENSP00000436974","60492","CCDC90B","false","-0.08401308885189757","H__sapiens__1_-Hs:716831","52.4","query","0","20","0","0.73929664","NM_021825","NP_068597","0.9194192218743409","false","0","H__sapiens__1_-Hs:716831","1662","MDS025","0.17883959","Q9GZT6"
"443","","","2.02140673","8.9456E-4","0.49470499","0.39","25","3","ENSG00000171681","ENSP00000446260","55729","ATF7IP","false","-0.08378176191930521","H__sapiens__1_-Hs:722555","51.56","query","0","25","0","0.74464832","NM_018179","NP_060649","0.9196319329046501","false","0","H__sapiens__1_-Hs:722555","1702","p621","0.1752381","Q6VMQ6"
"444","","","1.98470948","0.00134107","0.50385208","0.35079365","36","3","ENSG00000213020","ENSP00000472910","81856","ZNF611","false","-0.08393866747174417","H__sapiens__1_-Hs:732384","51.86111111","query","0","36","0","0.75382263","NM_030972","NP_112234","0.9194876488679564","false","0","H__sapiens__1_-Hs:732384","2898","MGC5384","0.17520646","ZN611_HUMAN"
"445","","","1.93577982","0.00298167","0.51658768","0.26734505","47","3","ENSG00000189144","ENSP00000468391","126231","ZNF573","false","-0.08046032629064614","H__sapiens__1_-Hs:726498","46.10638298","query","0","47","0","0.76605505","NM_152360","NP_689573","0.9226915094523758","false","0","H__sapiens__1_-Hs:726498","4398","FLJ30921","0.15361702","ZN573_HUMAN"
"446","","","2.03058104","8.5459E-4","0.49246988","0.30952381","28","3","ENSG00000120253","ENSP00000438031","348995","NUP43","false","-0.082936272519679","H__sapiens__1_-Hs:714342","56.17857143","query","0","28","0","0.74235474","NM_198887","NP_942590","0.9204098007486485","false","0","H__sapiens__1_-Hs:714342","1488","FLJ13287","0.19438952","Q8NFH3"
"447","","","2.09480122","3.7597E-4","0.47737226","0.34666667","25","3","ENSG00000163605","ENSP00000420098","151987","PPP4R2","false","-0.08027230449618337","H__sapiens__1_-Hs:720465","60.64","query","0","25","0","0.72629969","NM_174907","NP_777567","0.922865011876326","false","0","H__sapiens__1_-Hs:720465","746","","0.22376384","Q9NY27"
"448","","","2.3883792","1.2246E-4","0.41869398","0.14285714","7","3","ENSG00000009694","ENSP00000403954","10178","TENM1","false","-0.0943802962196538","H__sapiens__1_-Hs:709512","39.71428571","query","0","7","0","0.6529052","NM_014253","NP_055068","0.9099366509640472","false","0","H__sapiens__1_-Hs:709512","162","TNM","0.20643231","TEN1_HUMAN"
"449","","","2.06116208","4.9224E-4","0.4851632","0.18382353","17","3","ENSG00000111450","ENSP00000376178","2054","STX2","false","-0.09385725603533147","H__sapiens__1_-Hs:713209","46.47058824","query","0","17","0","0.73470948","NM_194356","NP_919337","0.9104127088855476","false","0","H__sapiens__1_-Hs:713209","826","STX2C","0.16094771","STX2_HUMAN"
"450","","","1.83180428","0.00452918","0.54590985","0.26666667","61","3","ENSG00000067248","ENSP00000421435","54505","DHX29","false","-0.15408150347672894","H__sapiens__1_-Hs:710291","56.60655738","query","0","61","0","0.79204893","NM_019030","NP_061903","0.8572021532085157","false","0","H__sapiens__1_-Hs:710291","7862","DDX29","0.17634442","Q7Z478"
"451","","","2.0","8.2976E-4","0.5","0.34444444","36","3","ENSG00000001631","ENSP00000414694","889","KRIT1","false","-0.10697084352323849","H__sapiens__1_-Hs:709292","61.27777778","query","0","36","0","0.75","NM_194456","NP_919438","0.8985518712151318","false","0","H__sapiens__1_-Hs:709292","1558","CCM1","0.21057656","O00522"
"452","","","2.06727829","8.5972E-4","0.48372781","0.1754386","19","3","ENSG00000176463","ENSP00000451780","28232","SLCO3A1","false","-0.1147542138078734","H__sapiens__1_-Hs:723556","43.47368421","query","0","19","0","0.73318043","NM_013272","NP_037404","0.891585256323433","false","0","H__sapiens__1_-Hs:723556","1378","SLC21A11","0.15200589","SO3A1_HUMAN"
"453","","","2.03363914","9.5182E-4","0.49172932","0.22666667","25","3","ENSG00000171865","ENSP00000411646","246243","RNASEH1","false","-0.10349901281462744","H__sapiens__1_-Hs:722605","49.16","query","0","25","0","0.74159021","NM_002936","NP_002927","0.9016769128636752","false","0","H__sapiens__1_-Hs:722605","1482","","0.16937931","RNH1_HUMAN"
"454","","","2.03058104","5.9529E-4","0.49246988","0.2","20","3","ENSG00000230989","ENSP00000458007","3281","HSBP1","false","-0.1167280319588447","H__sapiens__1_-Hs:741963","48.3","query","0","20","0","0.74235474","NM_001537","NP_001528","0.8898271648086225","false","0","H__sapiens__1_-Hs:741963","996","","0.16262626","O75506"
"455","","","1.91437309","0.00321301","0.52236422","0.21594684","43","3","ENSG00000132646","ENSP00000368458","5111","PCNA","false","-0.25644311372138123","H__sapiens__1_-Hs:715964","46.1627907","query","0","43","0","0.77140673","NM_182649","NP_872590","0.7737990118536537","false","0","H__sapiens__1_-Hs:715964","4564","","0.14795766","PCNA_HUMAN"
"456","RNA splicing|termination of RNA polymerase II transcription|mRNA 3'-end processing|mRNA splicing, via spliceosome|catalytic step 2 spliceosome|RNA splicing, via transesterification reactions|RNA splicing, via transesterification reactions with bulged adenosine as nucleophile|RNA 3'-end processing|mRNA processing","GO:0008380|GO:0006369|GO:0031124|GO:0000398|GO:0071013|GO:0000375|GO:0000377|GO:0031123|GO:0006397","1.83792049","0.00332319","0.54409318","0.31584699","61","3","ENSG00000133226","ENSP00000471819","10250","SRRM1","false","-0.2450767554162777","H__sapiens__1_-Hs:716071","59.60655738","query","0","61","0","0.79051988","NM_005839","NP_005830","0.7826444637347644","false","0","H__sapiens__1_-Hs:716071","5938","SRM160","0.18685441","SRRM1_HUMAN"
"457","RNA splicing","GO:0008380","1.8470948","0.00241528","0.54139073","0.3414787","57","3","ENSG00000120948","ENSP00000467020","23435","TARDBP","false","-0.23103210198689653","H__sapiens__1_-Hs:714438","61.15789474","query","0","57","0","0.7882263","NM_007375","NP_031401","0.7937139858302896","false","0","H__sapiens__1_-Hs:714438","4684","TDP-43","0.19111842","TADBP_HUMAN"
"458","","","1.77675841","0.00725524","0.56282272","0.26846847","75","3","ENSG00000143815","ENSP00000416554","3930","LBR","false","-0.19670656554256227","H__sapiens__1_-Hs:717830","58.45333333","query","0","75","0","0.8058104","NM_194442","NP_919424","0.8214316342978644","false","0","H__sapiens__1_-Hs:717830","13062","TDRD18","0.17985641","Q14739"
"459","","","1.84097859","0.00388768","0.54318937","0.25521886","55","3","ENSG00000151694","ENSP00000418728","6868","ADAM17","false","-0.1056341212382307","H__sapiens__1_-Hs:718813","57.89090909","query","0","55","0","0.78975535","NM_003183","NP_003174","0.8997537886615701","false","0","H__sapiens__1_-Hs:718813","7084","TACE","0.17867565","P78536"
"460","","","1.94189602","0.00224522","0.51496063","0.22857143","36","3","ENSG00000197746","ENSP00000378394","5660","PSAP","false","-0.18758930390206607","H__sapiens__1_-Hs:727174","40.72222222","query","0","36","0","0.76452599","NM_002778","NP_002769","0.8289550859509531","false","0","H__sapiens__1_-Hs:727174","3286","GLBA","0.13136201","SAP_HUMAN"
"461","receptor signaling protein activity","GO:0005057","1.86850153","0.00437817","0.53518822","0.19843137","51","3","ENSG00000104375","ENSP00000429744","6788","STK3","false","-0.18459545349537962","H__sapiens__1_-Hs:712210","48.43137255","query","0","51","0","0.78287462","NM_006281","NP_006272","0.8314405722026851","false","0","H__sapiens__1_-Hs:712210","6586","MST2","0.15182248","STK3_HUMAN"
"462","","","2.01834862","0.00154911","0.49545455","0.1884058","24","3","ENSG00000184489","ENSP00000430332","11156","PTP4A3","false","-0.15050619731182022","H__sapiens__1_-Hs:725291","38.95833333","query","0","24","0","0.74541284","NM_032611","NP_116000","0.8602723986145885","false","0","H__sapiens__1_-Hs:725291","2254","PRL-R","0.13117284","TP4A3_HUMAN"
"463","","","1.81345566","0.00636433","0.55143339","0.23701923","65","3","ENSG00000106546","ENSP00000436466","196","AHR","false","-0.17825510478746984","H__sapiens__1_-Hs:712624","50.84615385","query","0","65","0","0.79663609","NM_001621","NP_001612","0.8367289427008427","false","0","H__sapiens__1_-Hs:712624","11616","bHLHe76","0.15741843","P35869"
"464","receptor signaling protein activity","GO:0005057","1.88685015","0.00385828","0.52998379","0.17584541","46","3","ENSG00000170365","ENSP00000427002","4086","SMAD1","false","-0.17772368967956806","H__sapiens__1_-Hs:722228","47.36956522","query","0","46","0","0.77828746","NM_005900","NP_005891","0.8371737112701143","false","0","H__sapiens__1_-Hs:722228","6620","MADR1","0.1489609","SMAD1_HUMAN"
"465","","","1.74311927","0.00745102","0.57368421","0.27037618","88","3","ENSG00000163960","ENSP00000440716","26043","UBXN7","false","-0.1739347993489844","H__sapiens__1_-Hs:720592","55.70454545","query","0","88","0","0.81422018","NM_015562","NP_056377","0.8403516873493475","false","0","H__sapiens__1_-Hs:720592","12064","UBXD7","0.17245989","UBXN7_HUMAN"
"466","","","1.97859327","0.00142546","0.50540958","0.31451613","32","3","ENSG00000136824","ENSP00000431534","10592","SMC2","false","-0.17259530531273967","H__sapiens__1_-Hs:716680","51.625","query","0","32","0","0.75535168","NM_006444","NP_006435","0.8414780876577281","false","0","H__sapiens__1_-Hs:716680","2398","SMC2L1","0.17140781","SMC2_HUMAN"
"467","","","1.86238532","0.00515977","0.53694581","0.18963922","47","3","ENSG00000163479","ENSP00000437239","6746","SSR2","false","-0.16939589792239035","H__sapiens__1_-Hs:720416","45.80851064","query","0","47","0","0.78440367","NM_003145","NP_003136","0.8441746302391319","false","0","H__sapiens__1_-Hs:720416","8102","TRAPB","0.14094926","SSRB_HUMAN"
