,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_symbol
5132,-0.275784373388889,2.94355277538095,-1.52060314024529,0.141893389442868,0.832443241069437,-4.64930886200803,SLC35F3
5133,0.0867855014166667,-2.63508883790476,0.402318961802773,0.691137803096385,0.832443241069437,-5.5809127792842,C8orf75
5134,0.248944680416667,-3.01243007890476,0.838136447567264,0.410519494162666,0.832443241069437,-5.33787428077566,BC082237
5135,0.0867855013333337,-3.10908636395238,0.402318961459519,0.691137803345461,0.832443241069437,-5.58091277940998,AL833525
5137,0.0867855013333335,-2.36914000195238,0.402318961459518,0.691137803345462,0.832443241069437,-5.58091277940998,BC045833
5138,0.108756914222221,5.0384586332381,0.672111421452714,0.508161779199367,0.832443241069437,-5.44982042612931,foap-7
5139,0.106675148055555,2.97873553557143,0.733921714367514,0.470360503910158,0.832443241069437,-5.4108688835063,LEPROTL1
5140,0.0867855015277779,-2.76423208561905,0.402318962248762,0.691137802772761,0.832443241069437,-5.58091277912078,MBOAT4
5141,0.0908785232499998,2.50637953338095,0.479563727545331,0.636034527784535,0.832443241069437,-5.54994222340068,DCTN6
5143,0.0867855015833336,-2.75991958914286,0.402318962595473,0.691137802521175,0.832443241069437,-5.58091277899374,AK057935
5144,0.0867855015277779,-2.81772421861905,0.402318962248762,0.691137802772761,0.832443241069437,-5.58091277912078,AK054726
5146,0.326954868416667,0.790412630714286,1.69329842807135,0.103806244146391,0.832443241069437,-4.42321895328191,GTF2E2
5147,0.0867855015277781,-3.16471958261905,0.402318962248763,0.69113780277276,0.832443241069437,-5.58091277912078,DQ593178
5148,-0.262334615972222,1.23255079804762,-1.48454316613328,0.151146750464008,0.832443241069437,-4.69410163365688,GSR
5149,-0.167206160805556,0.361199680285714,-0.474682567282541,0.639457961823602,0.832443241069437,-5.55205664422585,UBXN8
5152,0.509524967944444,0.377236464761905,1.35908711615381,0.187205456253017,0.832443241069437,-4.84310572851465,PURG
5155,0.0867855015277782,-2.54653544061905,0.402318962248763,0.69113780277276,0.832443241069437,-5.58091277912078,BC037250
5157,-0.165487463444444,0.920788389285714,-0.563490499660722,0.578515632927093,0.832443241069437,-5.51029094785221,BC034319
5158,0.0867855015555557,-2.99601087071429,0.402318962422059,0.691137802647011,0.832443241069437,-5.58091277905728,DQ576878
5159,-0.326822547083333,-0.0161390081904762,-0.787068608931132,0.439220925693464,0.832443241069437,-5.37478216285941,FUT10
5160,0.0867855015555557,-2.76091643271429,0.402318962422059,0.691137802647011,0.832443241069437,-5.58091277905728,MAK16
5162,0.288625568972222,-0.929422675333333,0.537875670164566,0.595793510036798,0.832443241069437,-5.52305111696047,RNF122
5165,0.144547766555556,-3.43621839814286,0.583771519929655,0.565015867115582,0.832443241069437,-5.49977976264051,KCNU1
5166,0.0867855015555557,-1.53308096004762,0.402318962452123,0.691137802625195,0.832443241069437,-5.58091277904627,FKSG2
5168,0.174647431277778,-0.358772902285714,0.470471021609789,0.642418353076681,0.832443241069437,-5.55386399184669,TARBP1
5169,-0.290903112361111,0.872289528857143,-1.707797743659,0.101043656885405,0.832443241069437,-4.40339552974367,SLC25A24
5170,0.0867855014722223,-2.7373938427619,0.402318962022175,0.69113780293718,0.832443241069437,-5.58091277920381,BC031939
5171,0.144103962305556,-2.5420734032381,0.518418761668317,0.609083201747979,0.832443241069437,-5.53235787211286,AX747135
5172,0.182983942638889,1.39375334104762,0.82350054308402,0.418621614268361,0.832443241069437,-5.34867414910066,ERLIN2
5173,0.0867855015277777,-2.95282325528571,0.402318962285651,0.691137802745993,0.832443241069437,-5.58091277910726,LOC728024
5176,0.15880722375,-2.57941971366667,0.548711864546736,0.588453610545101,0.832443241069437,-5.51772334929162,BRF2
5177,-0.626678428083333,-1.3667993732381,-1.1862470467617,0.247549971600398,0.832443241069437,-5.0301905688653,RAB11FIP1
5178,0.0867855014722224,-2.4416320677619,0.402318962022175,0.69113780293718,0.832443241069437,-5.58091277920381,GOT1L1
5180,0.204693858805555,2.9055430227619,1.37898867959634,0.181069400899832,0.832443241069437,-4.82019133670157,AMZ2
5185,0.270382790055555,0.592484560571429,1.47442854574219,0.153828548182342,0.832443241069437,-4.70651082242896,CaSm
5186,-0.134812266222222,1.04479001252381,-0.751418916807744,0.459967407558587,0.832443241069437,-5.39925170171618,BAG4
5190,-0.189895266416667,0.40934723352381,-0.855698157303938,0.400929732663908,0.832443241069437,-5.32468114509524,LETM2
5193,0.239762624166667,3.29290621214286,0.962316635543561,0.345829453255884,0.832443241069437,-5.23916190160157,IRF2BP2
5194,0.269887549611111,-2.96084645385714,0.973969374877964,0.34013375914396,0.832443241069437,-5.22925740792411,FLJ43582
5195,0.163931936666667,-1.86164439828571,0.432863326446295,0.669117771253641,0.832443241069437,-5.56930296180257,RNF5P1
5196,0.120966984083333,3.26782948757143,0.882225642675931,0.38671850441794,0.832443241069437,-5.30427020800425,TACC1
5198,0.183055943055555,-2.82762491552381,0.667731822832412,0.510903347103187,0.832443241069437,-5.45245622687036,HTRA4
5199,-0.137594944083334,1.94913395533333,-0.802264580544701,0.430554312720474,0.832443241069437,-5.36402719480151,TM2D2
