Dataset1,Dataset2,Distance,Distance_short
C9orf72,sALS,0.115428426,0.115
C9orf72,GRN,0.261525017,0.262
C9orf72,sFTLD,0.244696286,0.245
C9orf72,VCP,0.299717984,0.300
sALS,GRN,0.268918714,0.269
sALS,sFTLD,0.290255607,0.290
sALS,VCP,0.32087413,0.321
GRN,sFTLD,0.112692169,0.113
GRN,VCP,0.319312811,0.319
sFTLD,VCP,0.303518857,0.304
