"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"GMEB1","GMEB1",0.205714036580859,"GMEB1",0.290889960805092,FALSE
"MFHAS1","MFHAS1",0.254744578649461,"MFHAS1",0.00334049305243437,FALSE
"COX8A","COX8A",0.246253046447174,"COX8A",0.0241245076372122,FALSE
"NFE2L1","NFE2L1",0.00210900118702233,"NFE2L1",0.139790344496727,FALSE
"ITPR2","ITPR2",0.433843001801388,"ITPR2",0.310890282343434,FALSE
"ZNF76","ZNF76",0.153182642044444,"ZNF76",0.0460072394912167,FALSE
"PMM1","PMM1",0.284399060756064,"PMM1",0.000182902210948013,FALSE
"TESC","TESC",0.441161137641551,"TESC",0.830464307091235,FALSE
"MAP2K7","MAP2K7",0.00945418487869598,"MAP2K7",0.375047241735732,FALSE
"PQBP1","PQBP1",0.595553981876808,"PQBP1",0.0891704700762428,FALSE
"ATP5G1","ATP5G1",0.24830016163608,"ATP5G1",0.298858968840407,FALSE
"ATP1B1","ATP1B1",0.167642370215887,"ATP1B1",0.194148762024824,FALSE
"SYNE2","SYNE2",0.056694751244766,"SYNE2",0.0762184793941609,FALSE
"HERPUD1","HERPUD1",0.000674020222284263,"HERPUD1",0.00037846744729019,FALSE
"CD69","CD69",0.000369297667513901,"CD69",5.25736333511667e-09,FALSE
"CNOT4","CNOT4",0.739431931141038,"CNOT4",0.41484613800309,FALSE
"LIMS1","LIMS1",0.28473028976118,"LIMS1",0.491033519244205,FALSE
"NME3","NME3",0.405855963897381,"NME3",0.00160472723968081,FALSE
"MAPRE2","MAPRE2",0.312390013124556,"MAPRE2",0.797218935245085,FALSE
"CEACAM8","CEACAM8",0.00733683951605499,"CEACAM8",1.34668936244971e-12,FALSE
"SLC16A5","SLC16A5",0.952500728086313,"",NA,FALSE
"VPS37C","VPS37C",0.673140078661503,"VPS37C",0.671672394922206,FALSE
"CCR2","CCR2",0.000399046094055197,"",NA,FALSE
"EBI3","EBI3",6.16053058231953e-06,"EBI3",2.23122032288235e-06,FALSE
"ZMYM2","ZMYM2",0.244969413501053,"ZMYM2",0.602617986340289,FALSE
"HP","HP",0.0140048024241085,"",NA,FALSE
"PEX14","PEX14",0.235271152254787,"PEX14",0.0857654490085015,FALSE
"SHARPIN","SHARPIN",0.934754162040938,"SHARPIN",0.0185911071403641,FALSE
"TJP2","TJP2",0.491867912277757,"TJP2",0.111631676663254,FALSE
"DUSP1","DUSP1",0.00571135627518756,"DUSP1",2.53018443654828e-08,FALSE
"ZBTB32","ZBTB32",0.108236438836841,"ZBTB32",0.0436375060533926,FALSE
"TUBA4A","TUBA4A",0.10732501000742,"TUBA4A",0.123398233375498,FALSE
"ESR1","ESR1",0.00143085261399293,"ESR1",0.15471019395236,FALSE
"CREB3L2","CREB3L2",0.828203201447909,"CREB3L2",0.932322716742841,FALSE
"GNPDA1","GNPDA1",0.528480828564046,"GNPDA1",0.594720239242269,FALSE
"PIM1","PIM1",0.206046549719186,"PIM1",1.51834149628132e-09,FALSE
"KANK1","KANK1",0.57371999498009,"KANK1",0.929318396962566,FALSE
"RNASE3","RNASE3",2.4579349810502e-05,"RNASE3",1.05376279894139e-09,FALSE
"PGAP3","PGAP3",0.537104077310742,"PGAP3",0.000520062066026932,FALSE
"SLC35D2","SLC35D2",0.827587645389499,"SLC35D2",0.512104634877222,FALSE
"KEAP1","KEAP1",0.00192346038624927,"KEAP1",0.0499401316183463,FALSE
"ANP32B","ANP32B",0.707796986577666,"ANP32B",0.582474568865095,FALSE
"LXN","LXN",0.678093811993485,"LXN",0.687029353191971,FALSE
"ATP6V1F","ATP6V1F",0.108443058748849,"ATP6V1F",0.00306237045367418,FALSE
"FAM46C","FAM46C",0.912088399335979,"FAM46C",3.93969406855939e-08,FALSE
"DVL1","DVL1",0.275243425228839,"",NA,FALSE
"DOCK6","DOCK6",0.589232192890547,"DOCK6",0.798429833576173,FALSE
"NFAT5","NFAT5",0.00104196023839757,"NFAT5",0.0591484628672544,FALSE
"ZNF512B","ZNF512B",0.86231734138432,"ZNF512B",0.108839543594143,FALSE
"RP4-724E16.2","",NA,"",NA,FALSE
"TM7SF2","TM7SF2",0.0379239744272105,"TM7SF2",0.00412660407854428,FALSE
"PEX10","PEX10",0.0942136744266652,"PEX10",0.0302737711360726,FALSE
"EDF1","EDF1",0.0856878733416444,"EDF1",0.000632529586711478,FALSE
"DOK3","DOK3",0.0841060350529469,"DOK3",0.0510957002319593,FALSE
"TPM2","TPM2",0.333571837820459,"TPM2",0.894059087058071,FALSE
"TRAF4","TRAF4",0.0119351675348921,"TRAF4",0.00641724887663528,FALSE
"SRRM2","SRRM2",0.650027715760635,"SRRM2",0.078865377412076,FALSE
"HABP4","HABP4",0.449553023440582,"HABP4",0.14414170917202,FALSE
"BAX","BAX",0.000638999822573405,"BAX",0.00645379110210337,FALSE
"FAT1","FAT1",0.655112958571335,"FAT1",0.0433133074000602,TRUE
"LIPE","LIPE",0.430275564474037,"LIPE",0.750929623358987,TRUE
"ZNF543","",NA,"ZNF543",0.941232760735983,TRUE
"TRIM14","TRIM14",0.661901995512886,"TRIM14",0.608786464543736,TRUE
"TRPV5","TRPV5",0.287711508402365,"TRPV5",0.969688383017533,TRUE
"CYP2J2","CYP2J2",0.144905001907126,"CYP2J2",0.13485079617756,TRUE
"HTR2A","HTR2A",0.24576449150735,"HTR2A",0.91316919209455,TRUE
"ZNF211","ZNF211",0.953016383434606,"ZNF211",0.790649083591869,TRUE
"ZSWIM4","ZSWIM4",0.99465173998699,"ZSWIM4",0.526693011591242,TRUE
"TCHHL1","TCHHL1",0.939336139949231,"",NA,TRUE
"ABCA4","ABCA4",0.8061099462274,"ABCA4",0.106865180766376,TRUE
"SKA3","SKA3",0.999322079995989,"SKA3",0.909402495868302,TRUE
"IGFL1","IGFL1",0.948781401680261,"IGFL1",0.872146306372007,TRUE
"KRTAP10-5","KRTAP10-5",0.749724331884322,"",NA,TRUE
"ZNF224","ZNF224",0.368654106224928,"ZNF224",0.772825911052199,TRUE
"LAPTM5","LAPTM5",0.269200567613317,"LAPTM5",4.14407910503002e-05,TRUE
"PCDHGA11","PCDHGA11",0.812804480185302,"PCDHGA11",0.738043509761408,TRUE
"HCLS1","HCLS1",0.0540892900720052,"HCLS1",0.000447430632645956,TRUE
"ZBTB20","ZBTB20",0.676887501531538,"ZBTB20",0.25533665410697,TRUE
"CCDC54","CCDC54",0.387425505508608,"CCDC54",0.96992255083986,TRUE
"CEP290","CEP290",0.567795420198644,"CEP290",0.550613339802816,TRUE
"ACSBG2","ACSBG2",0.743262599927233,"ACSBG2",0.953283013393057,TRUE
"CEP192","CEP192",0.80563145800176,"CEP192",0.986214922550834,TRUE
"DUOX2","DUOX2",0.07695319317288,"DUOX2",0.575422321846035,TRUE
"MYO9A","MYO9A",0.927957411457648,"MYO9A",0.718704788644562,TRUE
"ANO7","ANO7",0.905650804389858,"ANO7",0.788054161596942,TRUE
"KCNJ11","KCNJ11",0.236769555702641,"KCNJ11",0.166157944944578,TRUE
"LRP4","LRP4",0.6789902635939,"LRP4",0.56590873748963,TRUE
"ANKLE1","ANKLE1",1,"ANKLE1",0.589178883719784,TRUE
"XPC","XPC",0.309338857837597,"XPC",0.699581272431784,TRUE
"TRPM1","TRPM1",0.868404278133847,"TRPM1",0.895796305106287,TRUE
"DNAH10","DNAH10",0.999988446755918,"DNAH10",0.842743897955443,TRUE
"OR8B2","OR8B2",0.910395426075892,"",NA,TRUE
"DNAH3","DNAH3",0.835545364947084,"DNAH3",0.932093122742342,TRUE
"TUBB1","TUBB1",0.0110070482691977,"TUBB1",0.00408164465078104,TRUE
"PLIN4","PLIN4",0.673996459165031,"PLIN4",0.830011860357524,TRUE
"DIAPH3","DIAPH3",0.581197208233412,"DIAPH3",0.954374740187394,TRUE
"PEX16","PEX16",0.0260456243444192,"PEX16",0.000269445198701142,TRUE
"AKAP13","AKAP13",0.110439909724347,"AKAP13",0.0011206959304474,TRUE
"FAM151A","FAM151A",1,"FAM151A",0.770236732585817,TRUE
"CERK","CERK",0.0776177394921295,"CERK",0.306178881123621,TRUE
"C1orf63","C1orf63",0.898945578798633,"C1orf63",0.735002929505267,TRUE
"SYNM","SYNM",0.182109413078827,"SYNM",0.266932028234744,TRUE
"ULK4","ULK4",0.999991977596268,"ULK4",0.133288717787578,TRUE
"ARFGAP3","ARFGAP3",0.969936755806395,"ARFGAP3",0.46315503566633,TRUE
"DHODH","DHODH",0.792403401407244,"DHODH",0.442087253511578,TRUE
"DNAH14","",NA,"DNAH14",0.843800266441411,TRUE
"AIM2","AIM2",0.25649495709821,"AIM2",0.00536413157666414,TRUE
"OR10R2","OR10R2",0.897556449749672,"",NA,TRUE
"PGAM5","PGAM5",0.195203370642933,"PGAM5",0.781904583161243,TRUE
"CENPF","CENPF",0.283697107096429,"CENPF",0.946248449211092,TRUE
"RASAL3","RASAL3",0.952236097275856,"RASAL3",0.0299568977034968,TRUE
"MAP7","MAP7",0.227551039258632,"MAP7",0.517312147420199,TRUE
"CPNE7","CPNE7",0.810760867216936,"CPNE7",0.879199378729547,TRUE
"SCNN1D","SCNN1D",0.367770436610979,"SCNN1D",0.713275125027744,TRUE
"IL22RA1","IL22RA1",0.00899195448784634,"IL22RA1",0.453453105879496,TRUE
"ZBTB8A","ZBTB8A",0.997277470401342,"",NA,TRUE
"TFAP2E","TFAP2E",0.0646475682703833,"TFAP2E",0.970186380332811,TRUE
"LRRIQ3","",NA,"LRRIQ3",0.998751284612133,TRUE
"PPIAL4G","",NA,"",NA,TRUE
"SPTA1","SPTA1",0.0725605298432361,"SPTA1",2.8287334458838e-05,TRUE
"OR6K2","OR6K2",0.916823736438297,"",NA,TRUE
"OR6K3","OR6K3",0.918519062120337,"",NA,TRUE
"SLAMF9","SLAMF9",0.793378259727645,"SLAMF9",0.694346103372791,TRUE
"IARS2","IARS2",0.713401860577087,"IARS2",0.999943157767213,TRUE
"OBSCN","OBSCN",0.23641478084649,"OBSCN",0.425828997257904,TRUE
"ARMC9","ARMC9",0.974096302064729,"ARMC9",0.671625933631395,TRUE
"HDAC11","HDAC11",0.601033782393272,"HDAC11",0.511143388450373,TRUE
"MUC4","MUC4",0.103111721976628,"MUC4",0.0519804741145164,TRUE
"SLC6A19","SLC6A19",0.643881727546789,"SLC6A19",0.775748921637044,TRUE
"ARSK","ARSK",0.877440526413832,"ARSK",0.666966089380172,TRUE
"CDC25C","CDC25C",0.427192469048133,"CDC25C",0.975987354880656,TRUE
"SH3RF2","",NA,"SH3RF2",0.896135428293371,TRUE
"PPARGC1B","PPARGC1B",0.036652185547992,"PPARGC1B",0.82105217694212,TRUE
"SLC36A3","SLC36A3",0.587212204276573,"",NA,TRUE
"HECA","HECA",0.752975560714769,"HECA",0.469701026180305,TRUE
"SERAC1","SERAC1",0.7736801093776,"SERAC1",0.946346295414853,TRUE
"LRCH4","LRCH4",0.887706154388095,"LRCH4",0.959119578095073,TRUE
"TBXAS1","TBXAS1",0.148644935113163,"TBXAS1",0.0110347721878018,TRUE
"ZNF705G","",NA,"",NA,TRUE
"RP1L1","RP1L1",0.847879142860209,"RP1L1",0.898439180477958,TRUE
"DMRT3","DMRT3",0.271377702396191,"DMRT3",0.83557894779606,TRUE
"ZNF169","ZNF169",0.690504321641539,"ZNF169",0.784004959098878,TRUE
"CCDC180","",NA,"",NA,TRUE
"ANKS6","ANKS6",0.866216819283642,"ANKS6",0.816650231284542,TRUE
"ACCSL","ACCSL",0.182479382893848,"",NA,TRUE
"MYBPC3","MYBPC3",0.122019868662214,"MYBPC3",0.833777772227462,TRUE
"MRPL16","MRPL16",0.588479490263928,"MRPL16",0.735727523321978,TRUE
"TPCN2","TPCN2",1,"TPCN2",0.370905452402565,TRUE
"TRIM49C","",NA,"",NA,TRUE
"PDGFD","PDGFD",0.335449190112426,"PDGFD",0.749867692204213,TRUE
"PPP2R1B","PPP2R1B",0.146002393204888,"PPP2R1B",0.828907720549683,TRUE
"SLC2A3","SLC2A3",0.545995408926117,"SLC2A3",2.37802635774351e-09,TRUE
"PRB4","PRB4",0.117310777158236,"",NA,TRUE
"SSPN","SSPN",0.187558060138249,"SSPN",0.476044374103318,TRUE
"ADAMTS20","ADAMTS20",0.645394679945656,"ADAMTS20",0.927638318159307,TRUE
"RASAL1","RASAL1",0.558692075331048,"RASAL1",0.585150731417722,TRUE
"LRRC16B","LRRC16B",0.696732891121337,"LRRC16B",0.258008054952085,TRUE
"HERC1","HERC1",0.810959141349922,"HERC1",0.265689896239394,TRUE
"FSD2","FSD2",1,"FSD2",0.830847313756339,TRUE
"GRIN2A","GRIN2A",0.188089990077934,"GRIN2A",0.88765946761295,TRUE
"NPIPB5","",NA,"",NA,TRUE
"DCTPP1","DCTPP1",0.862023727935244,"DCTPP1",0.43119016022447,TRUE
"MT1F","MT1F",0.236429902864767,"MT1F",0.00351506014977847,TRUE
"CNGB1","CNGB1",0.36898841052448,"CNGB1",0.699812722385777,TRUE
"HYDIN","HYDIN",0.563381097830555,"HYDIN",0.892815940625081,TRUE
"PTPRS","PTPRS",0.162546304709788,"PTPRS",0.493487288198474,TRUE
"ICAM4","ICAM4",0.0799509834817823,"ICAM4",0.00181112152814438,TRUE
"OR7C2","OR7C2",0.913644332501028,"OR7C2",0.741771789020759,TRUE
"CEACAM21","CEACAM21",0.175163430961256,"CEACAM21",0.00177227139765975,TRUE
"ZNF229","ZNF229",1,"ZNF229",0.917836479657109,TRUE
"KCNA7","KCNA7",0.410982370250708,"KCNA7",0.85681662997286,TRUE
"HRC","HRC",0.00815473245099759,"HRC",0.726064945834005,TRUE
"ALDH16A1","ALDH16A1",0.962305489731049,"ALDH16A1",0.0623002321466906,TRUE
"MYH14","MYH14",0.51679110305368,"MYH14",0.214334411213849,TRUE
"ZNF321P","ZNF321P",1,"ZNF321P",0.284948049653244,TRUE
"KIR2DL1","KIR2DL1",0.0507946726981447,"KIR2DL1",0.886762241071241,TRUE
"KIR2DL4","KIR2DL4",0.124949988455835,"KIR2DL4",0.771092196131676,TRUE
"LAMA5","LAMA5",0.452255286095199,"LAMA5",0.553690302107691,TRUE
"TMPRSS15","TMPRSS15",0.693046236685413,"TMPRSS15",0.857647706896384,TRUE
"BRWD1","BRWD1",0.663559259154352,"BRWD1",0.510354516991124,TRUE
"ZNF70","ZNF70",0.999996773108603,"ZNF70",0.624941060903488,TRUE
"KIAA1671","KIAA1671",0.999927386758643,"KIAA1671",0.379902900488655,TRUE
"MYO18B","MYO18B",0.625163959447979,"MYO18B",0.796281260753585,TRUE
"HPS4","HPS4",0.546803107516713,"HPS4",0.276178204911476,TRUE
"EWSR1","EWSR1",0.0220706571523575,"EWSR1",0.0142946866693042,TRUE
