"ID","tmBestGene","tmBestPv","coBestGene","coBestPv","Flag"
"TRAK1","TRAK1",0.000161818020676622,"TRAK1",0.00048946619846663,FALSE
"CASP8AP2","CASP8AP2",0.0323212267727025,"CASP8AP2",0.000409950242417215,FALSE
"DYRK2","DYRK2",0.478640765528736,"DYRK2",0.0134754808082406,FALSE
"QRSL1","QRSL1",0.725066714032846,"QRSL1",0.000107280702156189,FALSE
"RECQL","RECQL",0.138350046875094,"RECQL",0.000438135584678709,FALSE
"BLM","BLM",0.0707625054041458,"BLM",0.0457932585137484,FALSE
"BTN2A1","BTN2A1",0.634097492168688,"BTN2A1",1.23867771607276e-07,FALSE
"MEN1","MEN1",0.10984687334626,"MEN1",0.334452863829594,FALSE
"ZNF37BP","",NA,"",NA,FALSE
"KMO","KMO",0.241017547162343,"KMO",1.31982507600317e-12,FALSE
"KYNU","KYNU",0.142005219708993,"KYNU",8.50713947902868e-06,FALSE
"PASK","PASK",0.0872765125576688,"PASK",7.81301974302987e-08,FALSE
"BTN2A2","BTN2A2",0.0945513126957542,"BTN2A2",1.36483572562757e-07,FALSE
"SQLE","SQLE",0.651756146616269,"SQLE",0.099128202810029,FALSE
"EAF2","EAF2",0.284156182963901,"EAF2",2.61709877419752e-09,FALSE
"EFTUD1","EFTUD1",0.581126964522864,"EFTUD1",0.00131196225270493,FALSE
"CCR6","CCR6",5.50026811228178e-05,"CCR6",1.43168927508914e-18,FALSE
"HAUS5","HAUS5",0.283316259903642,"HAUS5",0.383188476427291,FALSE
"ABCB1","ABCB1",0.00227893636339837,"ABCB1",1.7044755115969e-05,FALSE
"MLXIP","MLXIP",0.0520443684975985,"MLXIP",0.229670934692083,FALSE
"SORL1","SORL1",0.0200859068206905,"SORL1",4.72934234794011e-06,FALSE
"TTC9","TTC9",0.0554204460511754,"TTC9",0.0140145569462794,FALSE
"STK38","STK38",0.0128590555611887,"STK38",0.000166511713242786,FALSE
"TIMELESS","TIMELESS",0.125064288677865,"TIMELESS",0.269319730422442,FALSE
"SAV1","SAV1",0.00259984094729504,"SAV1",0.0349993863382894,FALSE
"RPS6","RPS6",0.381810767163613,"RPS6",0.878536420019246,FALSE
"CLEC2D","CLEC2D",0.00257253345851962,"CLEC2D",3.41928433410752e-14,FALSE
"WHSC1L1","WHSC1L1",0.105029673602458,"WHSC1L1",0.151829333089417,FALSE
"CD86","CD86",9.96873250833172e-06,"CD86",7.64639896760811e-08,FALSE
"SSBP2","SSBP2",0.0251162607018579,"SSBP2",0.00038703917690099,FALSE
"BTK","BTK",1.78781168007878e-05,"BTK",1.84510016207802e-13,FALSE
"OXSR1","OXSR1",0.088205135379911,"OXSR1",0.00794361507388401,FALSE
"ATP8A1","ATP8A1",0.452533021861586,"ATP8A1",8.25967046495785e-06,FALSE
"PLGRKT","PLGRKT",0.989418976089476,"PLGRKT",0.421674488551765,FALSE
"TRAK2","TRAK2",0.00227314276386632,"TRAK2",0.0507433335421826,FALSE
"IRF8","IRF8",0.000881649972282624,"IRF8",3.79232375160901e-13,FALSE
"CHEK2","CHEK2",0.14650985768876,"CHEK2",0.0555725291501999,FALSE
"SATB1","SATB1",0.18449287841725,"SATB1",1.0127038844429e-08,FALSE
"TPR","TPR",0.0366231044479216,"TPR",0.0363566479322685,FALSE
"SIAH2","SIAH2",0.151040593815256,"SIAH2",0.133435548097438,FALSE
"KIAA0922","KIAA0922",0.200329068225981,"KIAA0922",2.56933271105728e-15,FALSE
"UVRAG","UVRAG",0.201153975820593,"UVRAG",1.37997408981189e-05,FALSE
"FLI1","FLI1",0.266326639395828,"FLI1",4.56834222101157e-10,FALSE
"RFX5","RFX5",0.125772123586824,"RFX5",2.92831883602386e-09,FALSE
"NLRP1","NLRP1",0.0300844646228841,"NLRP1",0.980719188862026,FALSE
"UQCC1","",NA,"",NA,FALSE
"TIA1","TIA1",0.0400799790910168,"TIA1",0.0469686748148476,FALSE
"ABLIM1","ABLIM1",0.0281755128323389,"ABLIM1",2.0460837451271e-05,FALSE
"PRKX","PRKX",0.248312640797879,"PRKX",1.74057097940546e-06,FALSE
"CHKB","CHKB",0.21567408733036,"CHKB",0.00106265619664786,FALSE
