Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_C05.CEL,C_C08.CEL,C_C10.CEL,P_Sp14.CEL,P_Sp20.CEL,P_Sp25.CEL,P_Sp26.CEL,P_Sp29.CEL,P_Sp31.CEL,P_Sp33.CEL,countP
SNRPA1,0.127891324,5.426641602,0.141910674,0.889781713,0.999972288,-4.696947897,1.092695425,58.97295809,68.88117431,32.98403238,78.98562478,44.23769869,150.8590407,15.5577638,44.34599355,31.62789449,53.62128865,9
FBXO41 ,-0.039951207,6.075440686,-0.14187186,0.889811638,0.999972288,-4.696949023,-1.028079056,101.1268836,70.77914275,45.41019871,98.43073273,51.51511281,92.60160076,65.10070206,55.90933705,52.24541194,67.0149147,10
DAZ1 ,0.023840883,3.452611707,0.093734837,0.88992559,0.999972288,-4.696042341,0.016917245,10.9622373,9.87633979,11.9197625,9.794030558,13.44816125,8.49484688,16.11828945,9.599779127,12.77327315,9.271948625,5.5
KLHDC2,-0.155233157,6.177643552,-0.141709609,0.889936735,0.999972288,-4.696953726,-1.113601575,71.34141333,139.0210034,47.93785127,523.8995964,70.69164048,264.6327202,8.400805872,36.2067668,23.03631392,120.9695535,8
LOC100049716,0.017315558,4.095133071,0.048661242,0.889978989,0.999972288,-4.696709678,0.012315707,16.31494172,16.49638121,18.66201208,22.78598501,22.1215479,13.86508745,21.36296752,16.47422734,16.41763399,14.19911502,6.5
CRTC3,-0.046912782,6.306141417,-0.141637705,0.889992175,0.999972288,-4.696955808,-1.033051933,75.11507013,118.4758493,59.6091305,111.4655061,82.67454223,133.5411323,42.6162887,73.46724731,66.49440579,70.81507014,9
DCAF12L2,0.036586676,3.649958309,0.141633289,0.88999558,0.999972288,-4.696955936,1.02568425,9.902068889,17.55306309,10.79029212,21.28037201,9.670910019,9.80094925,12.52141155,12.91640821,12.04937257,13.17901936,3
BHLHE41,0.081662805,7.121978775,0.141561036,0.89005129,0.999972288,-4.696958027,1.058237029,141.0150701,161.1150701,105.6238087,420.4150701,136.7150701,277.6394295,39.37456464,142.7299561,105.4729916,121.1381431,9
LINC00324,0.05861444,5.19176664,0.141503271,0.890095829,0.999972288,-4.696959698,1.041465061,34.27228387,29.08866972,44.9688396,16.38375531,30.05983825,23.16893825,63.63477763,47.56451005,66.61507023,41.24202977,3
FAM200B,-0.059070926,4.587068351,-0.104734811,0.89032017,0.999972288,-4.696968106,-1.041794645,21.35357486,32.07272221,22.09385688,70.71039965,11.8826322,60.18627929,13.42898164,14.63476219,16.76219276,25.52235143,6
ST6GAL1,-0.032453732,5.950545876,-0.141114828,0.890395345,0.999972288,-4.696970919,-1.022750138,73.81507013,69.41693879,48.39315662,65.24561706,77.05624688,79.13743227,57.47654578,48.59224115,41.74984386,71.13444547,5
ZFYVE27,0.021904965,5.396438947,0.141102103,0.890405157,0.999972288,-4.696971286,1.015299217,38.14428896,47.21901427,40.18611566,52.05156303,34.82228521,49.14071562,40.46568088,41.90522189,37.97712213,42.33191239,3
PRKCDBP,-0.02606117,5.936359164,-0.141060173,0.89043749,0.999972288,-4.696972496,-1.018228372,53.16816904,73.64867949,60.91507154,59.14760669,47.0154574,65.01944931,64.85876177,57.08335682,55.05029616,84.37647177,3
PPT1,-0.119690423,7.568990989,-0.141052895,0.890443102,0.999972288,-4.696972705,-1.086501694,201.6150701,305.6086445,132.2681272,837.1029924,293.9742602,423.2650701,29.20200219,120.3166709,90.61507012,225.5017516,10
NAA40,0.016165599,5.113430732,0.141032509,0.890458821,0.999972288,-4.696973293,1.011268152,33.29273612,35.45364477,34.32878418,32.59819296,35.75006816,33.9290085,35.4902646,35.42189679,38.17765104,32.14102243,4
ELK4,-0.012960413,4.524840642,-0.051450169,0.8904827,0.999972288,-4.696974186,-1.009023946,38.88668565,19.59011554,17.49722516,51.08443049,30.64046246,28.92583865,17.46735357,17.16150153,13.78871027,23.9995648,6
SLC20A1,-0.08505328,5.989047987,-0.141010967,0.890611535,0.999972288,-4.696740879,-1.061379527,114.6204758,112.3452836,57.66089895,206.8151524,72.98563331,216.9318183,40.18960039,54.42398118,33.81533225,147.2265836,8
TAF3,-0.073274021,5.30970425,-0.140639356,0.890761991,0.999972288,-4.696984612,-1.052101593,40.7282799,43.20855705,39.44537,52.85384766,38.89444764,97.06585223,14.3307804,34.19318246,19.49835055,72.79518907,8
C12orf29,0.092220475,5.905576733,0.140445229,0.890911694,0.999972288,-4.69699019,1.066009633,89.68837975,36.32382353,57.8150769,202.6353182,87.65533486,106.1737797,19.19814632,42.36275425,26.13337462,79.36678453,10
MAPK15,-0.029234259,5.323539408,-0.140287314,0.891033474,0.999972288,-4.696994721,-1.020470345,38.3653068,39.58981112,44.11576813,30.40414068,45.27541488,27.3697438,51.18954924,44.12819658,48.10804468,38.6503475,4
KLHDC1,0.034853019,4.919642545,0.140216004,0.891088469,0.999972288,-4.696996766,1.024452447,29.86039644,26.48038366,33.32938425,27.21949458,40.42749221,19.61733607,25.81350242,47.63142661,28.36294764,32.51350788,10
TCF12,-0.061685329,4.36416515,-0.10660624,0.891118006,0.999972288,-4.696997863,-1.043684261,20.33550599,18.47017127,21.97703405,30.0152388,20.39608466,22.58323981,19.02213871,25.30875602,27.23399583,22.39487717,6
GPR171,-0.054377803,5.562664372,-0.140035537,0.891227646,0.999972288,-4.697001935,-1.038411167,40.41715729,41.50870726,68.11725795,24.96640137,36.77363908,30.55453836,46.29374296,54.83953713,93.81670953,72.85538048,4
YTHDF3-AS1,-0.035083783,5.112885317,-0.139976466,0.891273203,0.999972288,-4.697003626,-1.024616325,32.61983485,34.00129725,39.31850159,27.49550986,30.82106423,25.80254248,52.96485486,44.2366001,43.43302968,25.37363471,10
SIRPA,0.024019725,5.764643914,0.139908857,0.891325345,0.999972288,-4.69700556,1.016788575,54.41974659,50.815182,56.11226713,46.63180499,43.84467663,53.02055705,71.53422956,53.37029976,67.51449887,52.02900618,9
PRRG4,0.025020555,3.125419526,0.139839684,0.891378694,0.999972288,-4.697007538,1.017494189,10.29908144,7.784605033,7.992505348,9.277234477,8.593694711,7.341848592,6.995276822,11.1829752,10.47683137,8.331748536,9
TDRD6,-0.050621741,4.274026077,-0.139792149,0.891415355,0.999972288,-4.697008897,-1.035711175,32.9824423,12.72640501,18.57132088,17.64526841,27.90451794,10.82886529,14.06999636,19.82989389,19.68693817,32.18035809,4
CERS6,-0.042968003,3.491032515,-0.06840803,0.891429081,0.999972288,-4.697009405,-1.030231105,12.47690737,10.52009617,11.52796447,28.3262959,6.299715096,38.38733128,5.562675217,5.401518136,6.56295933,15.79711809,7
