Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM329660.CEL,C_GSM329663.CEL,C_GSM329664.CEL,C_GSM329666.CEL,C_GSM329667.CEL,C_GSM329670.CEL,C_GSM329672.CEL,C_GSM329674.CEL,P_GRN_GSM329677.CEL,P_GRN_GSM329679.CEL,P_GRN_GSM329681.CEL,P_GRN_GSM329683.CEL,P_GRN_GSM329686.CEL,P_GRN_GSM329689.CEL,P_SP_GSM329692.CEL,P_SP_GSM329694.CEL,P_SP_GSM329697.CEL,P_SP_GSM329700.CEL,P_SP_GSM329703.CEL,P_SP_GSM329704.CEL,P_SP_GSM329707.CEL,P_SP_GSM329709.CEL,P_SP_GSM329711.CEL,P_SP_GSM329714.CEL,countP
FAM69A,0.241083727,8.581575846,1.200318143,0.246717401,0.488152767,-5.336720865,1.182788491,614.4823098,324.452348,200.9325054,418.5795394,287.9865825,313.9334533,442.6506429,418.5071591,234.5913163,440.8063305,300.3850636,302.8996224,415.7383984,306.935174,502.1415942,409.195738,516.146115,573.6727801,642.9929223,405.4851938,291.0243763,519.7108347,524.7982987,612.7520309,24
ZCCHC4,0.122513712,4.662035431,1.190516312,0.245140391,0.488329831,-5.357272801,1.08863001,25.10257307,27.68317442,22.40405041,19.78850291,21.09799,24.47558189,25.38085177,26.57364873,18.69427099,23.42631907,29.17509219,24.89169785,31.00021479,21.52130346,28.0311811,25.60182256,24.24861004,25.24994087,26.05320058,24.00576717,23.32342828,29.68507086,26.35783572,42.10231936,17
TRIO,-0.166982994,7.832874504,-1.199552855,0.247080081,0.488408703,-5.337441763,-1.123050024,264.131131,243.3870123,199.6883102,193.0100095,257.3773274,274.9834194,230.7481223,355.1829296,152.0418169,230.4905232,206.4729396,231.0692193,218.6869424,218.4122567,232.0411024,232.8418528,286.6690602,242.125472,266.5397418,260.2692489,188.2099976,198.2364381,212.5513212,306.4301051,23
ZBTB1,0.345521133,5.442966257,1.52907641,0.365045199,0.488613128,-4.45195262,1.297522367,62.11031056,53.09855498,33.9593367,29.7463722,32.01441597,71.65920008,39.59862343,44.00927735,44.04632086,38.6367868,74.05364903,82.97074992,92.59258011,77.79664986,105.8783528,60.78315721,35.89835014,76.15558038,74.85295523,47.59762217,44.20821307,41.35412004,74.47249123,75.65801523,22
GLYR1,-0.16099732,6.505392325,-1.189771619,0.245427699,0.48863999,-5.358093139,-1.118059774,75.64577811,111.0047464,81.42547242,140.7870477,75.53429572,115.5389812,117.7064641,172.1186685,101.678682,107.5741112,75.28927039,91.0392472,65.71710968,100.3441287,77.60487775,105.4683681,88.21069773,86.65745522,119.4578897,97.98379146,103.2270588,88.9679261,120.0246791,97.37267698,21
FDFT1,0.133634702,10.70711101,1.189222689,0.24563964,0.488843512,-5.358697537,1.097054122,1973.250191,1562.040197,1160.3708,1565.570737,1806.333592,1422.321712,1429.490869,1809.764172,1512.442276,1584.899993,2238.619638,2014.586418,2115.212493,1804.12754,1156.605874,1899.469053,1879.559067,1632.816659,1978.510549,1385.809458,1657.447822,2169.838295,1506.636068,1475.496782,24
DBF4,-0.19000196,4.752728359,-1.188992641,0.245728502,0.488903152,-5.358950758,-1.140765266,27.18960825,26.68688412,25.46311214,27.51980228,39.57257327,42.83788266,24.6107921,26.55533362,17.88096142,25.81880329,17.05692204,22.84274717,28.97144507,17.71453041,28.41132226,24.71039549,25.59912593,39.50096895,43.57177777,21.38987382,20.22394615,27.70603765,37.98526072,29.67735173,23
EDAR,-0.095980014,6.29929354,-1.188726266,0.245831426,0.489000586,-5.359243911,-1.068791185,77.2665825,83.0144045,106.3356912,75.73406209,81.48291602,80.84143053,80.917619,76.63843152,89.76476,83.77781267,77.81442064,78.42207989,87.06909888,92.55428722,65.40635644,66.43725145,77.75198239,64.00213112,69.88032299,78.19736234,92.54926111,67.97565696,69.1415763,80.79445255,9
TAF12,0.148096486,6.325537364,1.188434759,0.245944098,0.489064282,-5.359564656,1.108106455,65.58157379,79.36608899,59.11495944,84.6526647,52.7253521,84.73491686,87.8216968,96.87359157,64.67843007,84.48868145,97.77042784,63.74308033,65.1577103,94.5193028,88.14588217,102.0113909,122.9903402,85.0900695,65.65705503,80.02157904,90.98483862,100.1238485,72.75787169,73.69383376,16
KIF22,-0.159984127,5.88169345,-1.238563053,0.270904522,0.489453577,-5.221793125,-1.117704129,59.01659157,57.40488715,64.92497799,74.95741078,76.7001376,50.6136379,70.35920463,81.12225859,58.6417421,73.10425748,53.95193671,54.12645114,55.6795918,48.78863965,52.93785132,68.10300509,78.84025063,52.82400692,48.53561996,58.1969626,74.14098181,86.10553848,58.22900706,45.85568917,18.5
AGMAT,-0.175002237,4.840129293,-1.370399927,0.32304344,0.489666679,-4.866112048,-1.129092761,31.46326266,27.46538729,29.77675184,53.53290177,37.29163285,22.46027016,30.01940729,38.31877741,29.61992402,48.77954479,22.60406921,20.39626828,17.91617551,19.85775287,27.00627233,35.22806636,55.95039586,23.35163963,23.4111112,37.57044753,31.39378894,55.3019872,30.95228205,22.82188412,13
HCFC1R1,-0.153732397,8.883649808,-1.201972301,0.251533886,0.489767456,-5.324913672,-1.112595537,484.2128729,396.997258,550.5502017,571.2741438,598.321083,380.9428737,543.6456693,651.9880074,531.4746308,575.4841401,395.707977,434.9941453,373.4221932,446.3106104,434.3649501,535.9710162,599.0435766,412.5222835,361.6036621,566.5196492,488.8980902,673.1842849,377.8397084,335.8985763,16.5
IPO4,-0.0845755,5.893565187,-1.186970889,0.246510485,0.489788982,-5.361174294,-1.060375689,49.94100819,70.95525515,63.71609027,58.91537691,61.4562279,68.59706649,63.38400371,59.99759713,68.18908315,54.94327273,52.41969852,58.24680116,57.4231274,57.30931606,53.67888578,58.54191324,58.65879586,60.01241571,55.78490661,54.92646277,58.88569812,77.35109175,58.93552463,51.96950438,19
SNCA,-0.301610789,8.560671618,-1.186811934,0.246572045,0.489867603,-5.361348972,-1.232519771,364.0272395,516.0355516,319.7692125,543.8321311,307.7924238,617.362672,344.6955278,588.8933711,319.5250073,368.5944478,189.0596855,197.7657147,240.2526503,302.3679111,336.0563137,386.2448858,531.7622988,579.9244473,513.5356421,233.5121243,204.2504476,912.247354,658.846865,363.5650975,24
SEC23IP,0.141360807,5.882560089,0.365607329,0.26392885,0.490023479,-5.27205207,0.114099443,55.66107612,61.39624148,51.89841161,56.43415082,59.62996268,62.89418817,59.66783457,83.77790394,62.95250613,60.16002413,61.55789787,74.17192259,56.07499714,57.12249228,82.22920441,71.22493848,45.75405868,80.88660285,85.63784365,52.4756317,57.62051108,66.6104274,86.10824224,45.10617473,18
BBS9,0.136620234,5.588832308,1.18593809,0.246910669,0.490117747,-5.362308879,1.099326731,107.5057332,29.52231776,45.29494894,42.41350144,44.55988354,24.50957297,47.60961142,54.80195432,44.85028629,50.46176753,43.45966129,43.12561908,42.3724231,41.02556293,44.21141998,51.82380811,97.58019134,59.48851075,52.68445634,49.04976845,43.77174367,50.29068034,41.39409253,59.47802967,24
CCNJ,-0.098682862,4.137962584,-1.186021702,0.246878254,0.490117747,-5.36221706,-1.070795412,20.30873958,17.78819404,19.77960293,16.41280467,20.88872776,18.68995754,16.67988426,17.4065623,19.48198001,17.65690731,15.14718051,20.44455508,18.51645397,17.97831524,22.00799827,17.55854884,13.14051765,17.72404533,19.08633779,16.41069812,15.5665389,14.52330149,17.97430579,14.56167614,18
JAKMIP2,0.085722732,7.177457738,0.687887975,0.301578469,0.490437077,-5.044308823,0.06787928,179.5668476,150.2778511,114.6097199,131.0673752,150.4421369,149.5539403,141.4755354,156.4722723,137.0951175,127.1375872,143.7134892,135.9575817,242.8364121,109.9875278,164.6601433,152.067094,164.403719,200.6280516,198.3295742,172.1736706,106.6501781,170.8926465,193.1969324,241.9663299,24
