,3124,3301,3500,3549,3574,3730,3748,3865,3891,3954,4059,4109,4171,4249,4261,4320,4362,4393,4437,4442,4473,4538,4557,4804,4835,4879,4939,5009,5021,5029,5068,5071,5079,5119,5164,5174,5243,5246,5255,5315,5320,5324,5354,5363,5390,5419,5444,5495,5501,5505,5509,5547,5548,5558,5577,5581,5593,5600,5603,5618,5635,5638,5641,5656,5658,5684,5690,5699,5704,5707,5710,5714,5729,5738,5755,5759,5771,5777,5783,5796,5808,5813,5815,5854,5865,5876,5877,5892,5900,5902,5926,5948,5952,5960,5961,5964,5970,5981,5982,5992,5994
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETV6,PPIC,PPIC,ANXA1,GLG1,GLG1,ORAI2,RPL35A,RPL35A,CCDC88A,CCDC88A,CCDC88A,CCDC88A,POGZ,PTPN13,PTPN13,HCFC2,HCFC2,ARIH1,TAOK3,G3BP1,G3BP1,G3BP1,G3BP1,G3BP1,HMOX2,MAP3K5,MAP3K5,MAP3K5,SEC31A,SEC31A,SEC31A,SEC31A,SEC31A,GULP1,GULP1,MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9,MAN2A1,MAN2A1,MAN2A1,MAN2A1,MAN2A1,MAN2A1,SCN1B,ZNF83,RPL15,RPL15,SF3B5,VPS13B,VPS13B,VPS13B,DCN,RPS12,TUG1
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ETV6,ETV6,PPIC,ANXA1,ANXA1,GLG1,ORAI2,ORAI2,RPL35A,RPL35A,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,PTPN13,PTPN13,HCFC2,ARIH1,TAOK3,TAOK3,TAOK3,TAOK3,TAOK3,G3BP1,HMOX2,HMOX2,HMOX2,MAP3K5,MAP3K5,MAP3K5,MAP3K5,MAP3K5,SEC31A,SEC31A,GULP1,GULP1,GULP1,GULP1,MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9,MPHOSPH9,MAN2A1,SCN1B,ZNF83,ZNF83,RPL15,SF3B5,SF3B5,SF3B5,VPS13B,DCN,RPS12
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,ETV6,PPIC,PPIC,ANXA1,GLG1,GLG1,ORAI2,ORAI2,ORAI2,ORAI2,RPL35A,CCDC88A,CCDC88A,POGZ,POGZ,PTPN13,HCFC2,ARIH1,ARIH1,ARIH1,ARIH1,ARIH1,TAOK3,G3BP1,G3BP1,G3BP1,HMOX2,HMOX2,HMOX2,HMOX2,PFDN5,MAP3K5,MAP3K5,SEC31A,SEC31A,SEC31A,SEC31A,GULP1,GULP1,GULP1,GULP1,GULP1,GULP1,MPHOSPH9,MAN2A1,SCN1B,SCN1B,ZNF83,RPL15,RPL15,RPL15,SF3B5,VPS13B,DCN
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,ETV6,ETV6,PPIC,ANXA1,ANXA1,GLG1,GLG1,GLG1,GLG1,ORAI2,RPL35A,RPL35A,CCDC88A,CCDC88A,POGZ,PTPN13,HCFC2,MRPL57,MRPL57,MRPL57,MRPL57,ARIH1,TAOK3,TAOK3,TAOK3,G3BP1,G3BP1,G3BP1,G3BP1,HMOX2,PFDN5,PFDN5,MAP3K5,MAP3K5,MAP3K5,MAP3K5,SEC31A,SEC31A,SEC31A,SEC31A,SEC31A,SEC31A,GULP1,MPHOSPH9,MAN2A1,MAN2A1,SCN1B,ZNF83,ZNF83,ZNF83,RPL15,SF3B5,VPS13B
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,GSR,ETV6,PPIC,PPIC,ANXA1,ANXA1,ANXA1,ANXA1,GLG1,ORAI2,EEF1A1,RPL35A,RPL35A,CCDC88A,POGZ,PTPN13,HCFC2,HCFC2,HCFC2,HCFC2,MRPL57,ARIH1,ARIH1,ARIH1,TAOK3,TAOK3,TAOK3,TAOK3,G3BP1,HMOX2,HMOX2,PFDN5,PFDN5,PFDN5,PFDN5,MAP3K5,MAP3K5,MAP3K5,MAP3K5,MAP3K5,ITM2A,SEC31A,GULP1,MPHOSPH9,MPHOSPH9,MAN2A1,SCN1B,SCN1B,SCN1B,ZNF83,RPL15,SF3B5
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,GSR,ETV6,ETV6,PPIC,PPIC,PPIC,PPIC,ANXA1,GLG1,ORAI2,EEF1A1,EEF1A1,RPL35A,CCDC88A,POGZ,PTPN13,PTPN13,PTPN13,PTPN13,HCFC2,MRPL57,MRPL57,STRN3,ARIH1,ARIH1,ARIH1,ARIH1,TAOK3,G3BP1,G3BP1,HMOX2,HMOX2,HMOX2,HMOX2,PFDN5,PFDN5,PFDN5,PFDN5,PFDN5,MAP3K5,ITM2A,SEC31A,GULP1,GULP1,MPHOSPH9,MAN2A1,MAN2A1,MAN2A1,SCN1B,ZNF83,RPL15
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,GSR,GSR,ETV6,ETV6,ETV6,ETV6,PPIC,ANXA1,GLG1,ORAI2,ORAI2,EEF1A1,RPL35A,CCDC88A,POGZ,POGZ,RBM39,RBM39,PTPN13,HCFC2,HCFC2,MRPL57,STRN3,STRN3,STRN3,STRN3,ARIH1,TAOK3,TAOK3,G3BP1,G3BP1,G3BP1,G3BP1,HMOX2,HMOX2,HMOX2,HMOX2,HMOX2,PFDN5,MAP3K5,ITM2A,SEC31A,SEC31A,GULP1,MPHOSPH9,MPHOSPH9,MPHOSPH9,MAN2A1,SCN1B,ZNF83
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AR,AR,GSR,GSR,GSR,GSR,ETV6,PPIC,ANXA1,GLG1,GLG1,ORAI2,EEF1A1,RPL35A,CCDC88A,CCDC88A,POGZ,POGZ,RBM39,PTPN13,PTPN13,HCFC2,MRPL57,MRPL57,MRPL57,MRPL57,STRN3,ARIH1,ARIH1,TAOK3,TAOK3,TAOK3,CCDC93,G3BP1,G3BP1,G3BP1,G3BP1,G3BP1,HMOX2,PFDN5,MAP3K5,ITM2A,ITM2A,SEC31A,GULP1,GULP1,GULP1,MPHOSPH9,MAN2A1,SCN1B
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NACA,AR,AR,AR,AR,GSR,ETV6,PPIC,ANXA1,ANXA1,GLG1,ORAI2,EEF1A1,RPL35A,RPL35A,CCDC88A,CCDC88A,POGZ,RBM39,RBM39,PTPN13,HCFC2,HCFC2,HCFC2,HCFC2,MRPL57,STRN3,STRN3,ARIH1,ARIH1,ARIH1,TAOK3,CCDC93,CCDC93,CCDC93,CCDC93,CCDC93,G3BP1,HMOX2,PFDN5,MAP3K5,MAP3K5,ITM2A,SEC31A,SEC31A,SEC31A,GULP1,MPHOSPH9,MAN2A1
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NACA,NACA,NACA,NACA,AR,GSR,ETV6,PPIC,PPIC,ANXA1,GLG1,ORAI2,EEF1A1,EEF1A1,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,RBM39,PTPN13,PTPN13,PTPN13,PTPN13,HCFC2,MRPL57,MRPL57,STRN3,STRN3,STRN3,ARIH1,TAOK3,TAOK3,TAOK3,TAOK3,TAOK3,CCDC93,G3BP1,HMOX2,PFDN5,PFDN5,MAP3K5,ITM2A,ITM2A,ITM2A,SEC31A,GULP1,MPHOSPH9
