,3124,3301,3500,3549,3574,3730,3748,3865,3891,3954,4059,4109,4171,4249,4261,4320,4362,4393,4437,4442,4473,4538,4557,4804,4835,4879,4939,5009,5021,5029,5068,5071,5079,5119,5164,5174,5243,5246,5255,5315,5320,5324,5354,5363,5390,5419,5444,5495,5501,5505,5509,5547,5548,5558,5577,5581,5593,5600,5603,5618,5635,5638,5641,5656,5658,5684,5690,5699,5704,5707,5710,5714,5729,5738,5755,5759,5771,5777,5783,5796,5808,5813,5815,5854,5865,5876,5877,5892,5900,5902,5926,5948,5952,5960,5961,5964,5970,5981,5982,5992,5994
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SKIV2L2,SKIV2L2,SKIV2L2,NACA,AR,GSR,ETV6,ETV6,PPIC,ANXA1,ZFHX3,ORAI2,ORAI2,EEF1A1,EEF1A1,RPL35A,CCDC88A,CCDC88A,POGZ,RBM39,RBM39,RBM39,RBM39,PTPN13,HCFC2,HCFC2,MRPL57,MRPL57,MRPL57,STRN3,ARIH1,ARIH1,ARIH1,ARIH1,ARIH1,TAOK3,CCDC93,G3BP1,HMOX2,HMOX2,PFDN5,MAP3K5,MAP3K5,MAP3K5,ITM2A,SEC31A,GULP1
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZNF518A,ZNF518A,SKIV2L2,NACA,AR,GSR,EVI5,ETV6,PPIC,GLG1,ZFHX3,ZFHX3,ORAI2,ORAI2,EEF1A1,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,POGZ,POGZ,RBM39,PTPN13,PTPN13,HCFC2,HCFC2,HCFC2,MRPL57,STRN3,STRN3,STRN3,STRN3,STRN3,ARIH1,TAOK3,CCDC93,G3BP1,G3BP1,HMOX2,PFDN5,PFDN5,PFDN5,MAP3K5,ITM2A,SEC31A
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,NACA,AR,GSR,EVI5,ETV6,ANXA1,GLG1,GLG1,ZFHX3,THADA,ORAI2,EEF1A1,EEF1A1,RPL35A,CCDC88A,CCDC88A,CCDC88A,CCDC88A,POGZ,RBM39,RBM39,PTPN13,PTPN13,PTPN13,HCFC2,MRPL57,MRPL57,MRPL57,MRPL57,MRPL57,STRN3,ARIH1,TAOK3,CCDC93,CCDC93,G3BP1,HMOX2,HMOX2,HMOX2,PFDN5,MAP3K5,ITM2A
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,NACA,AR,GSR,EVI5,PPIC,ANXA1,ANXA1,GLG1,ZFHX3,THADA,ORAI2,ORAI2,EEF1A1,RPL35A,RPL35A,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,RBM39,RBM39,RBM39,PTPN13,HCFC2,HCFC2,HCFC2,HCFC2,HCFC2,MRPL57,STRN3,ARIH1,TAOK3,TAOK3,CCDC93,G3BP1,G3BP1,G3BP1,HMOX2,PFDN5,MAP3K5
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,NACA,AR,GSR,ETV6,PPIC,PPIC,ANXA1,GLG1,ZFHX3,THADA,THADA,ORAI2,EEF1A1,EEF1A1,ABCD3,ABCD3,RPL35A,CCDC88A,CCDC88A,POGZ,POGZ,POGZ,RBM39,PTPN13,PTPN13,PTPN13,PTPN13,PTPN13,HCFC2,MRPL57,STRN3,ARIH1,ARIH1,TAOK3,CCDC93,CCDC93,CCDC93,G3BP1,HMOX2,PFDN5
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,NACA,AR,EVI5,ETV6,ETV6,PPIC,ANXA1,GLG1,ZFHX3,ZFHX3,THADA,ORAI2,ORAI2,EEF1A1,EEF1A1,ABCD3,RPL35A,RPL35A,CCDC88A,CCDC88A,CCDC88A,POGZ,RBM39,RBM39,RBM39,RBM39,RBM39,PTPN13,HCFC2,MRPL57,STRN3,STRN3,ARIH1,TAOK3,TAOK3,TAOK3,CCDC93,G3BP1,HMOX2
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,NACA,GSR,EVI5,EVI5,ETV6,PPIC,ANXA1,GLG1,GLG1,ZFHX3,THADA,THADA,ORAI2,ORAI2,EEF1A1,ABCD3,ABCD3,RPL35A,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,POGZ,POGZ,POGZ,RBM39,PTPN13,HCFC2,MRPL57,MRPL57,STRN3,ARIH1,ARIH1,ARIH1,TAOK3,CCDC93,G3BP1
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,SKIV2L2,AR,GSR,GSR,EVI5,ETV6,PPIC,ANXA1,ANXA1,GLG1,ZFHX3,ZFHX3,THADA,THADA,ORAI2,EEF1A1,EEF1A1,ABCD3,ABCD3,ABCD3,RPL35A,CCDC88A,CCDC88A,CCDC88A,CCDC88A,CCDC88A,POGZ,RBM39,PTPN13,HCFC2,HCFC2,MRPL57,STRN3,STRN3,STRN3,ARIH1,TAOK3,CCDC93
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,NACA,AR,AR,GSR,EVI5,ETV6,PPIC,PPIC,ANXA1,GLG1,GLG1,ZFHX3,ZFHX3,THADA,ORAI2,ORAI2,EEF1A1,EEF1A1,EEF1A1,ABCD3,RPL35A,RPL35A,RPL35A,RPL35A,RPL35A,CCDC88A,POGZ,RBM39,PTPN13,PTPN13,HCFC2,MRPL57,MRPL57,MRPL57,STRN3,ARIH1,TAOK3
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,SKIV2L2,NACA,NACA,AR,GSR,EVI5,ETV6,ETV6,PPIC,ANXA1,ANXA1,GLG1,GLG1,ZFHX3,THADA,THADA,ORAI2,ORAI2,ORAI2,EEF1A1,ABCD3,ABCD3,ABCD3,ABCD3,ABCD3,RPL35A,CCDC88A,POGZ,RBM39,RBM39,PTPN13,HCFC2,HCFC2,HCFC2,MRPL57,STRN3,ARIH1
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZNF518A,SKIV2L2,SKIV2L2,NACA,AR,GSR,EVI5,EVI5,ETV6,PPIC,PPIC,ANXA1,ANXA1,GLG1,ZFHX3,ZFHX3,THADA,THADA,THADA,ORAI2,EEF1A1,EEF1A1,EEF1A1,EEF1A1,EEF1A1,ABCD3,RPL35A,CCDC88A,POGZ,POGZ,RBM39,PTPN13,PTPN13,PTPN13,HCFC2,MRPL57,STRN3
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,ZNF518A,ZNF518A,SKIV2L2,NACA,AR,GSR,GSR,EVI5,ETV6,ETV6,PPIC,PPIC,ANXA1,GLG1,GLG1,ZFHX3,ZFHX3,ZFHX3,THADA,ORAI2,ORAI2,ORAI2,ORAI2,ORAI2,EEF1A1,ABCD3,RPL35A,CCDC88A,CCDC88A,POGZ,RBM39,RBM39,RBM39,PTPN13,HCFC2,MRPL57
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM46A,FAM46A,ZNF518A,SKIV2L2,NACA,AR,AR,GSR,EVI5,EVI5,ETV6,ETV6,PPIC,ANXA1,ANXA1,GLG1,GLG1,GLG1,ZFHX3,THADA,COA7,COA7,COA7,COA7,ORAI2,EEF1A1,ABCD3,RPL35A,RPL35A,CCDC88A,POGZ,POGZ,POGZ,RBM39,PTPN13,HCFC2
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSBP3,FAM46A,ZNF518A,SKIV2L2,NACA,NACA,AR,GSR,GSR,EVI5,EVI5,ETV6,PPIC,PPIC,ANXA1,ANXA1,ANXA1,GLG1,ZFHX3,THADA,THADA,THADA,THADA,COA7,ORAI2,EEF1A1,ABCD3,ABCD3,RPL35A,CCDC88A,CCDC88A,CCDC88A,POGZ,RBM39,PTPN13
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSBP3,FAM46A,ZNF518A,SKIV2L2,SKIV2L2,NACA,AR,AR,GSR,GSR,EVI5,ETV6,ETV6,PPIC,PPIC,PPIC,ANXA1,GLG1,ZFHX3,ZFHX3,ZFHX3,TARDBP,THADA,COA7,ORAI2,EEF1A1,EEF1A1,ABCD3,RPL35A,RPL35A,RPL35A,CCDC88A,POGZ,RBM39
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSBP3,FAM46A,ZNF518A,ZNF518A,SKIV2L2,NACA,KCNMB4,AR,AR,GSR,EVI5,EVI5,ETV6,TXNL4A,TXNL4A,PPIC,ANXA1,GLG1,GLG1,GLG1,ZFHX3,TARDBP,THADA,COA7,ORAI2,ORAI2,EEF1A1,ABCD3,ABCD3,ABCD3,RPL35A,CCDC88A,POGZ
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSBP3,FAM46A,FAM46A,ZNF518A,SKIV2L2,NACA,KCNMB4,KCNMB4,CREBZF,GSR,GSR,EVI5,ETV6,ETV6,TXNL4A,PPIC,ANXA1,ANXA1,ANXA1,GLG1,ZFHX3,TARDBP,THADA,COA7,LIMCH1,ORAI2,EEF1A1,EEF1A1,EEF1A1,ABCD3,RPL35A,CCDC88A
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SSBP3,SSBP3,FAM46A,ZNF518A,SKIV2L2,NACA,NACA,AR,CREBZF,CREBZF,GSR,EVI5,EVI5,ETV6,TXNL4A,PPIC,PPIC,PPIC,ANXA1,GLG1,ZFHX3,TARDBP,THADA,COA7,LIMCH1,ORAI2,ORAI2,ORAI2,EEF1A1,ABCD3,RPL35A
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,SSBP3,FAM46A,ZNF518A,SKIV2L2,SKIV2L2,KCNMB4,AR,AR,CREBZF,GSR,GSR,EVI5,ETV6,TXNL4A,TXNL4A,TXNL4A,PPIC,ANXA1,GLG1,ZFHX3,TARDBP,THADA,COA7,LIMCH1,LIMCH1,LIMCH1,ORAI2,EEF1A1,ABCD3
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,SSBP3,FAM46A,ZNF518A,ZNF518A,NACA,KCNMB4,KCNMB4,AR,CREBZF,CREBZF,GSR,EVI5,ETV6,ETV6,ETV6,TXNL4A,PPIC,KIAA0141,GLG1,ZFHX3,TARDBP,THADA,COA7,COA7,COA7,LIMCH1,ORAI2,EEF1A1
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,SSBP3,FAM46A,FAM46A,SKIV2L2,NACA,NACA,KCNMB4,AR,AR,CREBZF,GSR,EVI5,EVI5,EVI5,ETV6,TXNL4A,ANXA1,KIAA0141,GLG1,ZFHX3,TARDBP,THADA,THADA,THADA,COA7,LIMCH1,ORAI2
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,SSBP3,SSBP3,ZNF518A,SKIV2L2,SKIV2L2,NACA,KCNMB4,KCNMB4,AR,CREBZF,GSR,GSR,GSR,EVI5,ETV6,PPIC,ANXA1,KIAA0141,GLG1,ZFHX3,TARDBP,TARDBP,TARDBP,THADA,COA7,LIMCH1
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,LSG1,FAM46A,ZNF518A,ZNF518A,SKIV2L2,NACA,NACA,KCNMB4,AR,CREBZF,CREBZF,CREBZF,GSR,EVI5,TXNL4A,PPIC,ANXA1,KIAA0141,GLG1,ZFHX3,ZFHX3,ZFHX3,TARDBP,THADA,COA7
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RPS29,SSBP3,FAM46A,FAM46A,ZNF518A,SKIV2L2,SKIV2L2,NACA,KCNMB4,AR,AR,AR,CREBZF,GSR,ETV6,TXNL4A,PPIC,ANXA1,KIAA0141,GLG1,GLG1,GLG1,ZFHX3,TARDBP,THADA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSG1,SSBP3,SSBP3,FAM46A,ZNF518A,ZNF518A,SKIV2L2,NACA,KCNMB4,KCNMB4,KCNMB4,AR,CREBZF,EVI5,ETV6,TXNL4A,PPIC,ANXA1,KIAA0141,KIAA0141,KIAA0141,GLG1,ZFHX3,TARDBP
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RPS29,LSG1,LSG1,SSBP3,FAM46A,FAM46A,ZNF518A,SKIV2L2,NACA,NACA,NACA,KCNMB4,AR,GSR,EVI5,ETV6,TXNL4A,PPIC,ANXA1,ANXA1,ANXA1,KIAA0141,GLG1,ZFHX3
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RPS29,RPS29,LSG1,SSBP3,SSBP3,FAM46A,ZNF518A,SKIV2L2,SKIV2L2,ERGIC2,NACA,KCNMB4,CREBZF,GSR,EVI5,ETV6,TXNL4A,PPIC,PPIC,PPIC,ANXA1,KIAA0141,GLG1
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETD5,RPS29,LSG1,LSG1,SSBP3,FAM46A,ZNF518A,ZNF518A,SKIV2L2,ERGIC2,NACA,AR,CREBZF,GSR,EVI5,ETV6,TXNL4A,TXNL4A,TXNL4A,PPIC,ANXA1,KIAA0141
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETD5,RPS29,RPS29,LSG1,SSBP3,FAM46A,FAM46A,ZNF518A,SKIV2L2,ERGIC2,KCNMB4,AR,CREBZF,GSR,EVI5,ETV6,ETV6,ETV6,TXNL4A,PPIC,ANXA1
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SETD5,SETD5,RPS29,LSG1,SSBP3,SSBP3,FAM46A,ZNF518A,SKIV2L2,NACA,KCNMB4,AR,CREBZF,GSR,EVI5,EVI5,EVI5,ETV6,TXNL4A,PPIC
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PAXBP1,SETD5,RPS29,LSG1,LSG1,SSBP3,FAM46A,ZNF518A,ERGIC2,NACA,KCNMB4,AR,CREBZF,GSR,GSR,GSR,EVI5,ETV6,TXNL4A
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PAXBP1,SETD5,RPS29,RPS29,LSG1,SSBP3,FAM46A,SKIV2L2,ERGIC2,NACA,KCNMB4,AR,CREBZF,CREBZF,CREBZF,GSR,EVI5,ETV6
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PAXBP1,SETD5,SETD5,RPS29,LSG1,SSBP3,ZNF518A,SKIV2L2,ERGIC2,NACA,KCNMB4,AR,AR,AR,CREBZF,GSR,EVI5
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PAXBP1,PAXBP1,SETD5,RPS29,LSG1,FAM46A,ZNF518A,SKIV2L2,ERGIC2,NACA,KCNMB4,KCNMB4,KCNMB4,AR,CREBZF,GSR
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CEP170B,PAXBP1,SETD5,RPS29,SSBP3,FAM46A,ZNF518A,SKIV2L2,ERGIC2,NACA,NACA,NACA,KCNMB4,AR,CREBZF
