Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL,countP
ATP6V1D,0.187598712,9.216622751,1.484418779,0.164255874,0.643231892,-4.485797866,1.138866556,517.8968424,536.3438069,576.9792883,535.2407948,607.9854371,817.237433,529.5924218,584.2810955,642.5366645,655.6924218,10
CYP1B1,-0.298078374,5.987223265,-1.48434469,0.164275218,0.643231892,-4.485869904,-1.229505658,61.59231651,61.01972548,103.3113613,61.92384263,40.9708789,77.20090028,49.54045186,53.25370728,63.04630961,64.8295629,10
BLOC1S6,0.163045703,8.574518965,1.484274178,0.16429363,0.643231892,-4.485938461,1.119648357,353.6924218,395.1307535,312.6973305,387.9304179,407.4924218,427.7249048,353.6289939,368.1596755,425.3375554,396.3032032,10
FZD3,0.28064725,4.832837919,1.573213963,0.164363316,0.639587836,-4.374247542,1.215108377,27.88162563,34.58384674,36.7601459,36.31945721,30.86480416,36.70225191,38.06958772,37.53777926,40.32689786,34.90731599,9.5
ZBTB8A,-0.238848885,7.905357135,-1.483787079,0.164420869,0.64327685,-4.486412006,-1.180050732,289.6930031,301.3242256,223.4952216,219.597213,229.1482288,281.8367999,293.5161628,209.4507314,171.7689326,214.7120386,10
RHOJ,0.190907832,4.649950259,1.48370852,0.164441398,0.64327685,-4.48648837,1.14148178,25.89552299,18.44473066,26.22569986,25.34000321,27.61269488,24.34451158,27.72909562,25.05698177,29.96472516,24.25828895,9
CAMK2B,-0.375432235,8.712259774,-1.487785601,0.164447904,0.641447606,-4.481351367,-1.297230455,540.2118169,542.3054431,430.7443065,234.1047533,256.201914,311.6001391,506.7879395,481.9473602,503.0079484,529.1041787,9.5
DERL3,-0.143874469,6.056544143,-1.483679693,0.164448932,0.64327685,-4.486516392,-1.104868344,75.27024147,72.79365456,66.34980544,56.56764543,66.34980544,57.68080174,73.23898919,67.58580291,67.85250209,64.54392258,5
UBXN2B,0.144570282,7.601377325,1.483567378,0.164478287,0.64327685,-4.486625564,1.105401352,181.2529343,202.9457115,161.3135479,203.2152571,204.6765246,197.1573078,171.6054547,216.1924218,213.1924218,198.2026801,10
ZNF302,-0.256418102,8.608736093,-1.483507697,0.164493887,0.64327685,-4.486683573,-1.194509313,403.6775225,466.3436056,359.2456325,269.3915032,309.1817748,375.6927276,402.8924218,398.2158305,359.7729348,319.613178,10
PARL,0.118771468,8.681797695,1.481992263,0.164890434,0.643499091,-4.488156087,1.085809844,400.4088901,375.2574193,387.7293186,427.2834417,431.1983724,465.268277,380.7924218,410.3295301,408.0279299,428.3965888,10
EXT2,0.170171524,6.217756271,1.482336575,0.164957458,0.643402,-4.487649335,1.12519288,79.7728858,73.51686676,71.91433721,96.13546111,76.44524824,100.2986957,73.81722087,79.40110591,79.43195312,88.61724537,10
CDC42EP3,0.393754712,8.672390661,1.481564761,0.165002447,0.643622629,-4.48857132,1.313808234,399.4036385,236.2961053,293.5229181,941.9731959,288.1970803,336.3428985,458.4924218,733.9089601,403.2924218,282.9986552,10
