Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
LOC102724316 ,0.620385195,2.699174235,1.899400771,0.088803422,0.498684928,-4.416983049,1.537285576,4.680214087,4.436989371,7.423849008,9.284113468,3.129530062,7.087328109,8.305872732,10.51898698,7.408787519,8
NDUFB7,-0.707957544,2.866315694,-1.899388708,0.088805153,0.498684928,-4.4169998,-1.63348991,4.538576027,16.88867716,10.54533488,11.45220789,7.276925482,5.955279423,4.744370083,5.71915504,5.355470875,4
TSPAN5,-0.539348694,4.233369128,-1.950238348,0.093590227,0.498909456,-4.330569427,-1.461130163,28.74203853,30.31147918,16.31335617,20.64586631,20.86537303,18.67424001,11.53883527,21.59438823,13.05938847,6.5
CBLN2,-1.341059742,2.084595699,-1.897607535,0.089061192,0.499120612,-4.419472714,-2.533373413,3.473032466,11.90661979,20.23247478,7.475729572,3.663266983,1.631116316,1.961582774,3.21247155,1.886831668,3
PODXL,-0.909714889,3.748703068,-1.897049599,0.089141537,0.499215489,-4.420247142,-1.87867419,11.58928198,12.77209447,14.08557135,10.5908327,27.23916983,34.61929766,6.56860571,18.03423567,5.809547846,9
PHYKPL,-0.605744724,2.37643642,-2.345440346,0.157974741,0.499283862,-3.653833421,-1.52233422,6.73597229,5.717152732,4.824652428,3.593936656,5.428673124,17.26458312,4.323831497,4.102743673,3.580911363,4.5
QDPR,-0.608352511,4.55259217,-1.863920591,0.223165886,0.499523164,-3.15433107,-0.736341486,44.61773379,87.83249245,55.34082324,99.48805629,65.07114505,57.84419378,24.82949178,39.56557714,21.54456226,6.5
PRR11,1.287698415,6.582007048,1.894572468,0.089499071,0.499795007,-4.423684365,2.441382618,139.8264155,86.15974887,30.97804329,17.16297873,101.0251358,158.5400523,254.054942,105.6103872,239.9743617,9
TFAP2E,0.376894998,3.040001923,1.894616786,0.089492663,0.499795007,-4.423622887,1.298544089,7.420067196,8.452257927,6.991742861,6.169186606,6.266391444,10.8309298,9.526377573,8.452257927,11.65220629,6
LOC389834 ,-0.858768902,2.131327878,-1.893675581,0.089628854,0.499995672,-4.42492843,-1.813490141,7.556997615,6.128005569,5.414841158,4.89318032,4.792961456,3.954966556,1.738923983,1.826078581,8.052864813,6
