ensembl_gene_id,hgnc_symbol,P_GSM764189.CEL,P_GSM764190.CEL,P_GSM764191.CEL,P_GSM764192.CEL,P_GSM764193.CEL,P_GSM764194.CEL,P_GSM764195.CEL
ENSG00000151914,DST,16.31219273,16.40077306,17.55884328,10.2263607,7.744599778,10.10200078,9.146855363
ENSG00000125977,EIF2S2,1553.589509,1774.046788,2240.692422,1621.290378,1718.395289,1948.992422,1978.077742
ENSG00000087502,ERGIC2,354.7927867,308.2274224,387.5882819,249.5965705,272.5609551,321.2543415,320.1697242
ENSG00000100632,ERH,1111.91709,1141.691612,1451.361476,1281.988999,1096.583473,1096.429939,1255.095501
ENSG00000048828,FAM120A,24.70898049,32.0056429,22.34119165,27.82041491,37.4994884,38.06221823,33.20123572
ENSG00000135842,FAM129A,766.1171664,1134.491468,1023.102813,526.2308871,446.1843648,802.776408,166.0436646
ENSG00000152102,FAM168B,340.5517664,300.6924218,289.168907,333.3436136,285.8199198,313.5594994,261.2924218
ENSG00000166147,FBN1,165.8229176,75.57869334,181.2924218,59.3021188,61.20501747,56.82890499,129.3032462
ENSG00000109670,FBXW7,282.5588591,307.0371568,508.5924218,326.4916422,322.4771606,365.7466241,348.1759031
ENSG00000146729,GBAS,5843.974421,6363.762299,5896.692422,6167.899616,5410.674229,5569.511949,5106.693168
ENSG00000105373,GLTSCR2,4067.342422,4698.137189,4186.990192,3552.425153,3800.216698,3899.387018,3656.237749
ENSG00000144366,GULP1,260.0983976,225.5558151,286.3605601,246.0482516,301.1761948,180.2924218,249.6461554
ENSG00000244734,HBB,14974.94156,11737.42895,12713.86023,17016.19242,16248.53458,10170.30318,5647.964989
ENSG00000111727,HCFC2,77.20046682,112.4645318,112.9924218,57.86132962,70.71531486,74.9260076,78.9588413
ENSG00000103415,HMOX2,118.4003324,113.9738239,131.3391107,136.1799199,115.9958288,147.2595655,147.1800525
ENSG00000277424,HMOX2,118.4003324,113.9738239,131.3391107,136.1799199,115.9958288,147.2595655,147.1800525
ENSG00000096746,HNRNPH3,218.2457981,235.401514,280.635543,236.5484954,230.5793652,215.7800256,238.0917491
ENSG00000105323,HNRNPUL1,275.1955439,254.3970576,255.8785313,304.1714054,302.2286293,303.998144,299.4563898
ENSG00000096384,HSP90AB1,1996.392422,1814.142422,1795.056277,1331.370989,1506.796156,1071.241224,1673.066281
ENSG00000115738,ID2,368.6399505,87.87602085,127.7646424,127.670053,178.1829436,235.2384562,178.686234
ENSG00000115594,IL1R1,258.6651317,90.3552803,253.7911709,133.9149442,122.8924218,140.9875123,89.10435578
ENSG00000091409,ITGA6,225.1073547,145.8924218,207.1420815,212.5550414,196.0924218,253.1588133,203.7866377
ENSG00000101384,JAG1,27.98830621,25.05429676,35.01697815,26.46405945,24.98490269,23.31988584,17.25866689
ENSG00000136504,KAT7,302.5806988,309.7754956,418.3924218,402.0924218,375.3238071,356.1025972,380.9392564
ENSG00000178695,KCTD12,802.4924218,567.7732241,618.4928983,416.3924218,389.3678766,598.2510536,515.6919814
ENSG00000147050,KDM6A,27.28272867,28.1830161,32.93622904,23.56873196,19.04161225,13.40716922,24.55032957
ENSG00000126214,KLC1,300.1197172,153.836523,202.691485,161.8389668,203.5407896,191.9188331,193.5062904
ENSG00000025800,KPNA6,541.2291613,472.9924218,669.448493,479.4557904,454.8747273,515.8191185,438.9924218
ENSG00000102897,LYRM1,584.6257927,568.3876769,795.1092816,586.2577695,659.330963,607.8986155,758.2676695
ENSG00000112893,MAN2A1,310.2763188,203.8355729,719.6923595,297.3564048,190.3056519,220.3155457,227.7377441
ENSG00000139793,MBNL2,2118.015037,1592.431244,1951.079972,1731.867043,1638.787123,1824.621787,1862.163268
ENSG00000139793,MBNL2,394.0920817,176.0924218,795.4150702,294.7048575,331.830083,358.8478017,506.3424218
ENSG00000197771,MCMBP,84.03299151,94.59880847,96.25889653,77.13260095,83.98459829,83.29253982,86.01711349
ENSG00000106484,MEST,642.9850278,125.3943514,438.0756343,111.7924218,121.970142,315.3300139,122.3960619
ENSG00000071073,MGAT4A,10.23514003,9.78693636,10.81042207,7.922199411,8.936325763,8.502163434,9.606990653
ENSG00000119684,MLH3,81.49416857,113.113742,136.4118501,109.5997846,97.79242405,112.9924218,94.27860432
ENSG00000061987,MON2,232.9903785,178.7574047,251.8141494,164.9773369,177.2707196,159.9558924,174.8961942
ENSG00000051825,MPHOSPH9,33.80651303,73.19400449,44.31139257,40.6988627,56.28074483,75.745884,51.68438576
ENSG00000166902,MRPL16,700.1883147,710.3892281,801.2640045,803.7273512,783.3093804,746.7408552,822.8097656
ENSG00000239789,MRPS17,234.5924218,247.3806707,329.4590547,279.2469594,230.1907402,212.3088287,300.3050316
ENSG00000119950,MXI1,1043.653608,695.8897188,859.7924218,882.3713693,922.5814066,556.9656624,1076.919762
ENSG00000172936,MYD88,111.6775415,62.0432679,95.31816623,70.17434395,76.46422282,79.78420885,100.15254
ENSG00000196531,NACA,3795.771833,3157.109613,3337.692422,2938.868123,3205.05451,2908.779231,3141.453672
ENSG00000151366,NDUFC2,2063.592422,2189.385064,2399.781418,2271.118472,2033.807896,2209.247561,2193.307229
ENSG00000168653,NDUFS5,2545.384643,2283.161007,3041.818621,2321.397963,3005.653476,2190.876562,3095.892422
ENSG00000010322,NISCH,338.4224793,212.9038964,273.8647976,291.6311632,320.369699,255.0099497,298.2092462
ENSG00000114857,NKTR,10.68270334,15.25526942,13.73186151,11.69221851,13.4833972,14.60180334,11.98473238
ENSG00000141279,NPEPPS,502.335963,677.0232304,809.3922963,748.2530214,574.3542383,671.7101549,642.4648129
ENSG00000106236,NPTX2,23.18938525,38.19673465,17.2239956,24.3161408,29.1494388,23.10750842,33.44808095
ENSG00000088833,NSFL1C,776.5556239,681.9676633,672.2927564,764.4719487,749.6193903,760.7349863,886.7950519
ENSG00000102898,NUTF2,247.3501539,325.9924218,338.2149006,224.6006207,222.7121706,258.0036346,288.9389919
ENSG00000160991,ORAI2,275.3537164,254.562332,189.9186363,254.612998,290.5874185,325.8135686,259.2770776
ENSG00000167770,OTUB1,183.7601011,170.4408204,228.0792278,176.103934,191.0276364,209.7065642,207.2944014
ENSG00000070756,PABPC1,1994.612352,954.5612823,1370.4754,1112.26724,1023.908444,932.6188783,1121.992904
ENSG00000070756,PABPC1,744.4303101,372.8012575,512.0160217,419.8787649,373.3534584,385.1072231,427.1146887
ENSG00000184226,PCDH9,13.74175507,17.0488451,11.53665505,16.81069046,11.54318936,9.878130292,8.907335763
ENSG00000115539,PDCL3,549.9471364,610.2949213,597.9999938,422.9087265,463.3266074,597.746331,472.7924218
ENSG00000113068,PFDN1,257.1936789,274.0790049,268.4262202,307.0924218,320.3793294,332.2496714,341.1005834
ENSG00000123349,PFDN5,2161.013127,2427.997713,2647.621297,1957.344579,2266.952898,2206.508818,2321.88706
ENSG00000241973,PI4KA,118.771888,77.34653653,104.8594606,98.74676589,119.0652045,95.44103087,107.2905849
ENSG00000241973,PI4KA,489.9556148,369.8622499,454.1177427,455.8638766,396.8825067,371.8924218,393.320302
ENSG00000131788,PIAS3,87.44610647,75.64121774,76.78553085,83.40002904,64.82409399,73.94652078,70.76254469
ENSG00000180957,PITPNB,423.7480769,397.5146602,547.0575536,405.1262158,463.4250766,366.8959516,406.942182
ENSG00000021300,PLEKHB1,21.80726757,31.07946883,33.76092195,35.80466763,41.21802614,64.06074906,37.2310004
ENSG00000152952,PLOD2,143.9132378,35.66777408,111.5924218,40.08512502,30.42369399,39.11665469,44.72596895
ENSG00000143442,POGZ,295.0924218,308.0432122,357.648461,296.2924218,322.1714359,308.0739827,264.6925685
ENSG00000131626,PPFIA1,117.665919,129.2336038,103.9020083,94.48428821,108.5930445,114.1245503,124.2924218
ENSG00000115685,PPP1R7,349.6010736,430.4309656,479.4276022,428.4365632,439.0266235,419.9921246,420.1137211
ENSG00000113575,PPP2CA,1406.155701,1082.313081,1696.083606,1167.830405,1045.592422,1179.628348,1653.03699
ENSG00000104695,PPP2CB,1737.298421,1769.028463,1562.730266,1765.281977,1286.499198,1371.401131,1437.218361
ENSG00000184304,PRKD1,41.8838267,31.48016835,62.87805425,33.27042562,27.49329285,27.80868203,31.05620736
ENSG00000117360,PRPF3,119.1970328,134.707951,141.8834282,111.4987019,95.6280078,104.1790815,96.6189866
ENSG00000197746,PSAP,1157.069381,951.3764407,983.0881212,836.1248827,837.9390659,963.6115023,821.4566941
ENSG00000159352,PSMD4,1429.632561,1392.425624,1747.410345,1309.599398,1360.114022,1417.109585,1288.292422
ENSG00000163636,PSMD6,1309.50829,1262.007481,1530.192422,1206.292251,1200.909027,1180.947582,1306.653442
ENSG00000163629,PTPN13,18.45918276,13.42747472,15.27632322,14.91171195,14.92423172,12.23827258,13.91567531
ENSG00000141542,RAB40B,483.5284982,311.0768559,355.9739086,217.6804789,244.5790446,317.6242472,279.5924218
ENSG00000138698,RAP1GDS1,87.75896957,65.23309058,79.61928194,46.23098911,46.6099659,60.40757439,58.21344389
ENSG00000162775,RBM15,65.97137555,99.69678091,144.2537049,69.1806665,76.42248672,75.75666203,65.06603055
ENSG00000113269,RNF130,475.1060891,477.4218115,454.7791384,435.5712095,306.9914647,441.6184025,418.0557616
ENSG00000114125,RNF7,756.4508284,595.0813215,609.8731935,558.6241492,558.1824297,618.7179859,688.432999
ENSG00000169855,ROBO1,270.2732954,308.7026554,317.1571859,238.7878107,166.9889441,237.3777562,113.0472714
ENSG00000197958,RPL12,3786.237103,3681.301115,3806.988881,3453.748436,4357.792422,4106.078774,4247.393425
ENSG00000174748,RPL15,308.8924218,284.7415764,261.0819395,244.4924218,247.1924218,323.7280126,331.9098671
ENSG00000182899,RPL35A,3362.76523,2786.650599,3382.105775,2929.360856,2962.293022,2980.186745,3592.234116
ENSG00000165502,RPL36AL,1427.704245,1453.539364,2018.047803,1522.732799,1465.767739,1469.070838,1344.385257
ENSG00000145592,RPL37,8229.839594,8300.991367,7746.542461,8008.683698,7996.492422,7979.399123,8629.573742
ENSG00000145592,RPL37,363.492947,200.9721726,199.0507994,157.9532739,198.1109656,190.3748526,207.5505891
ENSG00000177600,RPLP2,4582.388991,4074.329888,4904.967293,4710.470546,4227.066845,4998.293425,4557.529806
ENSG00000168028,RPSA,5734.212894,6226.554415,6242.199861,4821.24602,4764.692422,5985.899173,5885.659258
ENSG00000136444,RSAD1,330.6000609,305.2566553,305.0938612,394.5942827,291.4924218,277.3044495,289.8914626
ENSG00000183207,RUVBL2,735.9318844,603.2924218,559.4834602,568.9424218,760.8891963,575.4233865,618.0343687
ENSG00000105711,SCN1B,846.3228946,1143.243108,1015.294043,1561.842631,1122.956567,1228.476051,1189.375469
ENSG00000138758,Sep-11,270.9574308,113.9057611,176.3290554,96.04563833,110.0059047,121.8641049,99.24185048
ENSG00000142864,SERBP1,1590.956367,1672.805049,1866.269434,1104.736537,1216.209005,1387.317108,1424.662159
ENSG00000099995,SF3A1,366.916021,382.1924218,348.1184378,346.6471083,331.8512322,282.0326765,310.2030512
ENSG00000115524,SF3B1,456.3706411,443.818645,485.1735078,353.6636269,385.2250269,399.8061694,450.7924218
ENSG00000039123,SKIV2L2,430.6619191,540.0780546,572.1924218,423.5716444,437.1734239,398.8607321,429.1839585
ENSG00000117394,SLC2A1,44.27212868,43.60713852,33.40045875,54.38930901,56.19206987,41.75534972,49.64411237
ENSG00000174446,SNAPC5,188.8924218,252.5152344,225.7310577,247.3985767,202.4563711,249.6483997,249.1865948
ENSG00000139343,SNRPF,293.1542757,324.4324697,363.6856774,289.0855075,284.4628664,355.1497886,338.9539776
ENSG00000159140,SON,309.3014211,314.2863948,350.4715959,247.8443049,254.4802377,283.1013573,230.5661143
ENSG00000113140,SPARC,2749.754151,860.9334357,1735.676635,1073.192857,918.4520329,1471.824138,1004.089134
ENSG00000153037,SRP19,29.43996348,28.13074346,43.59218821,28.29707054,37.31928123,33.33822542,37.30184485
ENSG00000153037,SRP19,526.1612449,470.2924218,548.959533,449.7424218,462.3385184,522.5237073,477.0601217
ENSG00000116754,SRSF11,261.905284,227.018106,294.8164895,208.6924218,198.3479493,196.2589774,173.4924218
ENSG00000157216,SSBP3,82.44999108,78.20433218,70.25445983,88.54667467,91.61239979,83.73489521,116.638478
ENSG00000168610,STAT3,1176.13365,1188.593224,1389.61622,1195.142422,1257.652773,1370.387519,1439.518476
ENSG00000117632,STMN1,53.98436194,37.54669515,48.33624854,56.71942838,62.27510214,52.34952566,50.25937075
ENSG00000164828,SUN1,142.4334914,161.8046502,108.7935628,226.8137923,257.0463803,183.5924218,220.2196209
ENSG00000132718,SYT11,38.40808511,28.83429958,47.91122462,35.28750828,38.05960668,37.89257184,44.38735801
ENSG00000055208,TAB2,417.1805728,594.1377059,516.8514154,333.2680756,258.9924218,399.3454998,308.0149827
ENSG00000120948,TARDBP,445.9341504,441.2890029,620.0691766,434.0078524,435.9813317,471.1849849,478.7056437
ENSG00000113407,TARS,399.5725307,501.1779852,515.9318692,428.5490821,440.132105,563.2098016,445.392411
ENSG00000105254,TBCB,445.9924218,361.7876614,404.977552,313.7213017,412.913339,434.1924218,337.1924218
ENSG00000196628,TCF4,724.8066078,574.8924218,575.8669338,533.109767,541.9754949,497.8225236,465.2847911
ENSG00000166848,TERF2IP,421.8463993,426.928176,543.6533856,427.9274202,443.2725608,421.4747166,394.9266527
ENSG00000169908,TM4SF1,694.8924218,466.4924218,817.7653746,700.9718862,531.2221275,573.3542759,589.5147911
ENSG00000070269,TMEM260,110.9164941,101.0104372,131.9050748,71.2925216,69.99468615,71.58362103,73.82705157
ENSG00000170876,TMEM43,445.5905942,318.0927948,354.4752443,257.328339,271.6924218,273.8786707,334.6058395
ENSG00000139921,TMX1,78.96105854,78.19477961,117.6534601,39.22574198,40.91587331,45.78306362,42.02890567
ENSG00000156298,TSPAN7,972.1358076,622.1618394,1026.856647,873.8136423,1148.04919,896.1924218,1327.24189
ENSG00000253352,TUG1,209.4924218,190.3274869,241.2900706,155.3366296,158.0418326,147.3288668,167.3692278
