"","ensembl_gene_id","hgnc_symbol","P_LC.04.06.CEL","P_LC.299.99.CEL","P_LC.96.06.CEL"
"1","ENSG00000005194","CIAPIN1",12.07764199,15.9373344,11.65220629
"2","ENSG00000010322","NISCH",45.747626,47.75089969,45.05784041
"3","ENSG00000011465","DCN",15.32452368,14.18900028,17.96461962
"4","ENSG00000015171","ZMYND11",41.06493202,22.27888574,51.55845527
"5","ENSG00000017260","ATP2C1",15.20850464,34.28596432,15.53481267
"6","ENSG00000021300","PLEKHB1",4.724929598,12.69853871,7.447139253
"7","ENSG00000025800","KPNA6",7.448253267,14.02532451,6.509618915
"8","ENSG00000039123","SKIV2L2",3.327472811,5.024089094,2.989110796
"9","ENSG00000048828","FAM120A",5.818861627,7.220983773,7.371550716
"10","ENSG00000051825","MPHOSPH9",6.439960071,13.01312498,5.720109937
"11","ENSG00000055208","TAB2",11.09859937,17.7423974,17.45847284
"12","ENSG00000061987","MON2",7.142550065,10.29999747,7.725281866
"13","ENSG00000069122","ADGRF5",2.591028881,3.765741464,3.093136197
"14","ENSG00000070269","TMEM260",3.545852747,5.390519832,4.412951149
"15","ENSG00000070756","PABPC1",50.14378028,74.49308221,68.57335492
"16","ENSG00000070756","PABPC1",51.1844941,89.48338303,89.36946266
"17","ENSG00000071073","MGAT4A",2.570550803,3.119734064,2.952016895
"18","ENSG00000072110","ACTN1",10.87034014,25.23284138,28.39744739
"19","ENSG00000072121","ZFYVE26",7.087328109,10.74111385,7.087328109
"20","ENSG00000072210","ALDH3A2",24.10191943,29.5272737,17.96461962
"21","ENSG00000073331","ALPK1",5.165254041,4.143471866,3.192107576
"22","ENSG00000074201","CLNS1A",18.68108313,25.47232829,28.7657772
"23","ENSG00000081665","ZNF506",1.997862694,1.762996531,1.823415906
"24","ENSG00000087502","ERGIC2",6.33703333,10.29999747,11.65220629
"25","ENSG00000088833","NSFL1C",14.43788277,18.97754588,18.83980754
"26","ENSG00000091409","ITGA6",10.39009458,10.71730813,19.41359443
"27","ENSG00000096384","HSP90AB1",3.517864873,8.098052512,1.95514255
"28","ENSG00000096746","HNRNPH3",8.930506665,8.936602871,5.616347131
"29","ENSG00000099814","CEP170B",39.77216519,36.34634243,30.27545864
"30","ENSG00000099995","SF3A1",38.97902616,37.0130091,41.38614492
"31","ENSG00000100632","ERH",27.12543618,27.4502215,32.52144075
"32","ENSG00000101384","JAG1",9.87298311,8.124287549,25.23961801
"33","ENSG00000101439","CST3",4.546507382,7.13364746,5.341992484
"34","ENSG00000102897","LYRM1",46.60781611,43.52504634,42.05332743
"35","ENSG00000102898","NUTF2",18.6814882,19.72488521,21.58484739
"36","ENSG00000103415","HMOX2",6.439960071,8.75930631,4.040970691
"37","ENSG00000104695","PPP2CB",68.43760069,156.7686444,78.14290874
"38","ENSG00000105254","TBCB",36.40615446,114.9003044,42.14686323
"39","ENSG00000105323","HNRNPUL1",5.274447739,6.764416917,8.629423827
"40","ENSG00000105373","GLTSCR2",72.01610256,54.82206757,144.8789053
"41","ENSG00000105711","SCN1B",32.35635442,43.94450424,30.1611595
"42","ENSG00000106236","NPTX2",6.185993541,6.281815037,4.427629721
"43","ENSG00000106484","MEST",7.656844797,24.76714483,10.96830903
"44","ENSG00000108654","DDX5",42.13892979,79.3452186,59.50352731
"45","ENSG00000109670","FBXW7",14.7138012,20.34358589,9.414923426
"46","ENSG00000111727","HCFC2",3.532651585,2.74966278,5.235422071
"47","ENSG00000111801","BTN3A3",16.15023544,27.14419352,21.04489034
"48","ENSG00000112893","MAN2A1",14.47804042,11.98551127,18.67170881
"49","ENSG00000113140","SPARC",41.00084965,55.93026932,72.2548149
"50","ENSG00000113269","RNF130",9.429347391,14.18300233,9.449602726
"51","ENSG00000113269","RNF130",4.298547489,17.2087865,8.443716023
"52","ENSG00000113407","TARS",7.163783422,9.263303775,5.829578373
"53","ENSG00000113575","PPP2CA",28.40483495,97.65743578,30.53660717
"54","ENSG00000114125","RNF7",12.85066464,30.33699733,9.970770754
"55","ENSG00000114857","NKTR",4.109568801,1.897483263,2.738457104
"56","ENSG00000115524","SF3B1",9.329228033,8.826901948,11.47385081
"57","ENSG00000115539","PDCL3",3.240661301,9.303814637,5.922101851
"58","ENSG00000115594","IL1R1",3.966992686,6.792114416,2.738457104
"59","ENSG00000115685","PPP1R7",6.23505718,15.97935692,5.990913158
"60","ENSG00000115738","ID2",38.97902616,13.12071691,51.51054354
"61","ENSG00000116754","SRSF11",16.7566481,25.77950418,17.96461962
"62","ENSG00000117360","PRPF3",4.246050404,5.501630941,3.819844758
"63","ENSG00000117394","SLC2A1",7.144320713,14.20515319,13.67620226
"64","ENSG00000117632","STMN1",7.179406265,4.285716183,4.191804073
"65","ENSG00000117632","STMN1",18.40906406,11.01496693,13.15929191
"66","ENSG00000119596","YLPM1",11.69884014,21.07091868,10.09881638
"67","ENSG00000119684","MLH3",6.223979038,9.559598562,6.950585792
"68","ENSG00000119689","DLST",4.393181064,8.749047186,3.159698442
"69","ENSG00000119950","MXI1",29.44810844,30.20803446,33.61929766
"70","ENSG00000120860","CCDC53",3.357933305,4.880482504,3.233659173
"71","ENSG00000120948","TARDBP",13.8097516,33.96828616,21.06259364
"72","ENSG00000123349","PFDN5",6.60542433,10.20272222,9.414923426
"73","ENSG00000124172","ATP5E",81.8819711,120.4307753,94.05270456
"74","ENSG00000125462","C1orf61",44.12849613,23.40074613,55.95773383
"75","ENSG00000125633","CCDC93",13.19788405,16.54601241,5.612121651
"76","ENSG00000125977","EIF2S2",14.57138813,18.34854219,13.67620226
"77","ENSG00000126214","KLC1",10.01788526,61.42493115,13.67620226
"78","ENSG00000128016","ZFP36",14.00953295,22.57904192,24.93647881
"79","ENSG00000130177","CDC16",1.689776791,3.380413315,1.785449645
"80","ENSG00000131626","PPFIA1",43.90821775,48.18218117,42.53727485
"81","ENSG00000131788","PIAS3",5.1181099,10.43433988,5.690959923
"82","ENSG00000132466","ANKRD17",7.553041545,43.23496919,12.80694343
"83","ENSG00000132549","VPS13B",11.02063965,15.39928216,8.431593201
"84","ENSG00000132718","SYT11",23.32838215,41.84903396,20.44371693
"85","ENSG00000133935","C14orf1",11.51941196,14.50636561,7.600332729
"86","ENSG00000135046","ANXA1",2.217378444,5.532241652,5.728814823
"87","ENSG00000135842","FAM129A",4.724929598,3.891971121,3.08348621
"88","ENSG00000136444","RSAD1",9.11052552,9.456358747,5.086393006
"89","ENSG00000136504","KAT7",4.147013955,8.607605916,6.502829393
"90","ENSG00000136758","YME1L1",6.439960071,13.12716911,11.16343874
"91","ENSG00000138061","CYP1B1",6.343891727,4.808729027,6.542105977
"92","ENSG00000138698","RAP1GDS1",62.63032232,133.3819711,45.35778703
"93","ENSG00000138758","Sep-11",13.58501897,32.03024475,21.53372319
"94","ENSG00000139343","SNRPF",3.001703065,2.833402126,3.366675374
"95","ENSG00000139793","MBNL2",124.2772985,134.2199285,175.8256002
"96","ENSG00000139921","TMX1",11.98551127,21.83340482,27.4502215
"97","ENSG00000140264","SERF2",34.04967252,42.34412362,32.05156047
"98","ENSG00000140264","SERF2",15.99523198,21.74297623,13.06766658
"99","ENSG00000140937","CDH11",4.557894946,2.873504612,8.098975762
"100","ENSG00000141279","NPEPPS",16.15023544,22.40074613,13.67620226
"101","ENSG00000141279","NPEPPS",17.5348351,54.02847173,13.63552657
"102","ENSG00000141542","RAB40B",6.337464861,13.37304123,10.22020351
"103","ENSG00000142864","SERBP1",21.21489487,35.04081297,21.87728819
"104","ENSG00000143162","CREG1",10.40566879,36.34634243,28.95079877
"105","ENSG00000143442","POGZ",4.339878901,2.502484778,2.531259113
"106","ENSG00000144366","GULP1",2.856762868,2.414942937,3.97987111
"107","ENSG00000145592","RPL37",240.337189,237.4038034,335.8840541
"108","ENSG00000145592","RPL37",13.53931913,14.61581058,16.49776271
"109","ENSG00000146729","GBAS",4.445353294,10.92387588,5.681509458
"110","ENSG00000147050","KDM6A",3.635279429,4.664487366,3.635279429
"111","ENSG00000149187","CELF1",7.449150795,18.52017517,10.89031353
"112","ENSG00000149311","ATM",5.552687061,6.176943836,4.128302094
"113","ENSG00000151366","NDUFC2",33.85568451,47.96314662,33.98777482
"114","ENSG00000151914","DST",41.38745478,24.51481297,27.4502215
"115","ENSG00000152102","FAM168B",24.32587221,54.32978468,42.27951048
"116","ENSG00000152952","PLOD2",1.501316254,1.658985533,1.206271314
"117","ENSG00000153037","SRP19",40.96058579,80.27085999,55.49318206
"118","ENSG00000153207","AHCTF1",4.93478695,10.05815321,3.97987111
"119","ENSG00000156298","TSPAN7",24.80566163,51.49432669,31.08354264
"120","ENSG00000157216","SSBP3",3.517864873,5.390519832,4.060680236
"121","ENSG00000159140","SON",8.292309958,18.41160639,5.955166398
"122","ENSG00000159176","CSRP1",31.09681975,26.4138926,35.80659892
"123","ENSG00000159352","PSMD4",32.5651536,54.49318206,38.77341073
"124","ENSG00000160991","ORAI2",110.3819711,40.52725455,83.8690232
"125","ENSG00000162775","RBM15",2.661132144,7.342292891,2.297142441
"126","ENSG00000163468","CCT3",13.85884675,37.12412021,9.174238425
"127","ENSG00000163629","PTPN13",3.267984495,3.517864873,3.44755606
"128","ENSG00000163636","PSMD6",15.44989936,37.09416517,17.32055535
"129","ENSG00000164828","SUN1",19.53166749,40.21036636,21.54253964
"130","ENSG00000165502","RPL36AL",18.40906406,27.48848538,20.5525901
"131","ENSG00000165629","ATP5C1",38.55155859,57.64731211,30.81764083
"132","ENSG00000166147","FBN1",7.30263134,8.916816173,8.399839626
"133","ENSG00000166233","ARIH1",1.810804101,1.30235547,1.829871378
"134","ENSG00000166848","TERF2IP",47.74258495,101.6656211,42.51375357
"135","ENSG00000166902","MRPL16",6.180313839,7.896206189,5.124616375
"136","ENSG00000167770","OTUB1",1.615036436,3.258424102,2.016572171
"137","ENSG00000168028","RPSA",95.20423377,141.7262934,177.3863253
"138","ENSG00000168036","CTNNB1",13.66438504,12.8831967,20.68147801
"139","ENSG00000168610","STAT3",9.039798722,43.81068145,9.533821162
"140","ENSG00000168653","NDUFS5",78.71450137,106.7153044,121.7930884
"141","ENSG00000169855","ROBO1",43.9494807,82.15974887,46.84845287
"142","ENSG00000169908","TM4SF1",5.333347434,8.292309958,11.18906698
"143","ENSG00000170876","TMEM43",16.23953094,27.32011911,15.99556131
"144","ENSG00000171365","CLCN5",2.353325892,2.869677438,2.224533006
"145","ENSG00000171634","BPTF",4.396005959,22.38970065,8.866876858
"146","ENSG00000172466","ZNF24",7.079134043,12.68408999,4.555027467
"147","ENSG00000172936","MYD88",9.424109657,18.42104851,14.47431058
"148","ENSG00000174446","SNAPC5",7.241726424,8.995052551,6.110004193
"149","ENSG00000174748","RPL15",83.31910409,97.98094897,143.3703134
"150","ENSG00000175215","CTDSP2",17.78498362,26.24368111,27.4502215
"151","ENSG00000175756","AURKAIP1",14.00953295,21.07247433,23.75457554
"152","ENSG00000177600","RPLP2",6.45225576,14.83584278,12.62230777
"153","ENSG00000177853","ZNF518A",6.509762409,9.876193556,12.30096775
"154","ENSG00000178695","KCTD12",26.84924446,23.41622404,48.54251796
"155","ENSG00000180957","PITPNB",73.58557829,76.31668951,63.425519
"156","ENSG00000181789","COPG1",5.273273365,4.62357124,4.703175025
