ensembl_gene_id,hgnc_symbol,C_JK.C.05.07.CEL,C_JK.C.12.07.CEL,C_JK.C.35.96.CEL,C_JK.C.39.97.CEL,C_JK.CC2.CEL,C_JK.CC4.CEL
ENSG00000135842,FAM129A,8.933919162,4.528861671,8.389376418,5.721094143,3.369237449,8.665925561
ENSG00000152102,FAM168B,39.06105644,83.67057983,59.35289424,66.93752677,46.7255585,31.84702455
ENSG00000166147,FBN1,20.17814121,7.099552523,9.315146536,8.164132496,15.59159862,12.20770594
ENSG00000109670,FBXW7,9.016498865,28.69881346,28.21427057,53.27123712,10.55163519,13.0433874
ENSG00000146729,GBAS,11.76328905,16.08327482,9.069668202,9.188647153,10.22590417,6.138145008
ENSG00000105373,GLTSCR2,259.6041933,226.9375267,108.5097929,60.80511719,108.5097929,222.8662805
ENSG00000069122,GPR116,6.066710024,4.538576027,8.392246782,2.99129336,9.753305561,13.07931645
ENSG00000144366,GULP1,12.22330616,1.536020078,2.827829599,2.213919611,6.970239049,7.686576717
ENSG00000244734,HBB,89.45986735,72.48052688,32.45165451,9.385392417,29.16333986,361.27086
ENSG00000111727,HCFC2,3.008942807,3.008942807,2.471238563,3.838533768,1.977886572,3.008942807
ENSG00000103415,HMOX2,8.49151631,31.75220027,21.57980487,54.79594987,7.406647327,6.306595092
ENSG00000096746,HNRNPH3,11.14919643,9.702317548,10.74949628,7.986849827,6.700851976,8.667337349
ENSG00000105323,HNRNPUL1,13.9243079,8.142166788,8.629423827,8.629423827,9.977581348,8.629423827
ENSG00000096384,HSP90AB1,7.087328109,12.77209447,13.21037103,29.08878659,4.031738497,2.04444242
ENSG00000115738,ID2,120.9816385,29.11477511,28.22799927,12.6528031,13.78731073,53.99566797
ENSG00000115594,IL1R1,9.634289837,5.763339814,17.12421493,5.351350371,9.414923426,7.244933382
ENSG00000091409,ITGA6,20.23247478,58.1871635,8.334401016,6.711369119,18.5083894,23.52470762
ENSG00000101384,JAG1,43.48747324,13.8650606,35.74665163,14.60060263,39.20124838,46.10252389
ENSG00000136504,KAT7,6.392578415,24.01138584,15.25460145,20.23247478,8.799990934,7.817734141
ENSG00000178695,KCTD12,66.49308233,45.84653549,46.74899886,33.76413151,59.96646319,78.47414131
ENSG00000147050,KDM6A,3.635279429,2.738457104,4.08257572,3.022407426,2.315028756,5.608495937
ENSG00000126214,KLC1,25.80566163,200.4869047,127.597842,226.5735167,36.0549035,9.515044707
ENSG00000025800,KPNA6,10.50380575,19.26273597,16.48356877,23.28963502,9.840845352,8.629423827
ENSG00000102897,LYRM1,37.02065279,48.70603553,41.60021591,52.72625563,33.68122067,15.78168354
ENSG00000112893,MAN2A1,16.34793949,15.4847161,6.940558442,5.957126118,9.838745896,20.46351816
ENSG00000139793,MBNL2,99.45976899,99.3819711,158.1193842,211.982938,96.38313405,45.67496068
ENSG00000197771,MCMBP,6.042796429,3.790099568,5.699270752,4.538576027,6.17684828,7.171178329
ENSG00000106484,MEST,13.26481575,41.06390956,14.68675793,27.51484814,26.12757132,6.623457935
ENSG00000071073,MGAT4A,1.741023394,2.720748151,2.479262717,2.612545655,3.097886499,1.490482958
ENSG00000119684,MLH3,9.018181434,8.743843724,4.442841265,5.540915849,5.390519832,3.987133272
ENSG00000061987,MON2,17.90002848,11.98551127,10.91475846,10.29999747,9.424933219,10.29999747
ENSG00000051825,MPHOSPH9,5.110588574,4.963758371,6.439960071,5.721094143,6.439960071,5.069857753
ENSG00000166902,MRPL16,7.816099275,13.2626244,12.3084481,15.92801322,6.641921085,3.536782223
ENSG00000239789,MRPS17,4.794445454,11.57023482,15.01195794,21.20245284,5.888014532,5.390519832
ENSG00000119950,MXI1,77.26184792,26.84094021,33.61929766,26.84094021,39.10911112,48.68876308
ENSG00000172936,MYD88,14.72194005,22.45891597,11.86086561,12.77476298,18.22033751,15.92801322
ENSG00000196531,NACA,258.3564249,184.8843172,123.6041933,143.0279384,113.2273059,136.4094249
ENSG00000151366,NDUFC2,41.58757044,116.9433004,93.71530443,208.0428087,36.008135,26.0977179
ENSG00000168653,NDUFS5,107.073386,175.3508849,222.6153134,254.4413427,121.7930884,84.56642072
ENSG00000010322,NISCH,90.15974887,76.06851406,63.56541463,88.1843111,56.13001808,111.7492485
ENSG00000114857,NKTR,1.743532344,1.350473826,1.429801266,1.324778056,1.614639327,2.133488631
ENSG00000141279,NPEPPS,25.29320509,17.16297873,15.02667416,36.79213379,13.05391479,18.88826332
ENSG00000141279,NPEPPS,40.93248296,104.9375267,79.57675046,87.79054294,32.35635442,26.67125967
ENSG00000106236,NPTX2,4.103432572,126.4364716,6.393280333,4.306116781,11.65220629,6.826728903
ENSG00000088833,NSFL1C,12.59140749,27.19709198,31.02084394,30.66096728,20.23247478,13.66593139
ENSG00000102898,NUTF2,18.85787472,28.52025814,24.67777743,27.7733187,24.47232829,21.58484739
ENSG00000160991,ORAI2,71.62721402,46.84591113,12.96291563,12.46065939,62.58143181,107.8857432
ENSG00000167770,OTUB1,2.465714124,13.07279079,9.361337022,17.47162466,3.275552945,1.961646682
ENSG00000070756,PABPC1,282.552624,77.04863776,70.57839691,60.01554769,119.4426613,102.7154093
ENSG00000070756,PABPC1,398.7031718,123.0841833,121.1725794,95.15974887,249.7191949,196.3290968
ENSG00000184226,PCDH9,150.4365775,136.4982039,110.5260852,111.114998,95.04155037,170.9434221
ENSG00000115539,PDCL3,19.28605987,19.80300537,14.49817354,23.61668089,9.866500808,14.00953295
ENSG00000123349,PFDN5,22.79864965,20.08710776,30.47730965,25.41370976,22.84112324,22.44273334
ENSG00000241973,PI4KA,7.302336814,27.33911038,22.0674128,26.67244372,5.860580101,4.781247615
ENSG00000131788,PIAS3,9.634289837,11.15710148,13.25565548,17.499449,12.71910792,6.170781671
ENSG00000180957,PITPNB,67.00753646,109.3966358,165.9375267,142.6015416,63.97381955,64.32293047
ENSG00000021300,PLEKHB1,46.438325,107.9375267,16.41485784,22.96998364,63.19522697,52.50291108
ENSG00000152952,PLOD2,2.676219106,2.140073094,1.671811747,1.256891402,2.453878664,1.769587338
