ensembl_gene_id,hgnc_symbol,C_GSM764196.CEL,C_GSM764197.CEL,C_GSM764198.CEL
ENSG00000119950,MXI1,823.6057695,1311.280057,866.7924218
ENSG00000172936,MYD88,92.64944945,82.63871205,105.4326342
ENSG00000196531,NACA,3382.873157,2815.692422,2516.955436
ENSG00000151366,NDUFC2,2184.261159,2369.692422,2354.139706
ENSG00000168653,NDUFS5,2252.471346,2570.429011,2284.592422
ENSG00000010322,NISCH,277.6499201,256.4676005,248.0275537
ENSG00000114857,NKTR,9.253814304,11.44997755,10.93124208
ENSG00000141279,NPEPPS,148.8760592,134.0924218,130.445806
ENSG00000141279,NPEPPS,606.2364618,622.7235224,653.6020648
ENSG00000106236,NPTX2,33.13973753,28.20046522,30.65142366
ENSG00000088833,NSFL1C,870.9935394,610.1315866,638.7247788
ENSG00000102898,NUTF2,172.2476934,220.5440306,205.0181508
ENSG00000160991,ORAI2,317.6120337,302.7169716,289.9602475
ENSG00000167770,OTUB1,171.1985662,189.8970127,158.5518682
ENSG00000070756,PABPC1,1111.354119,876.2471102,867.3435651
ENSG00000070756,PABPC1,443.4019598,337.515946,330.862886
ENSG00000184226,PCDH9,9.683025412,9.297950608,12.64164583
ENSG00000115539,PDCL3,515.7899777,506.7008606,403.2754705
ENSG00000123349,PFDN5,2264.099877,2120.465301,2027.33692
ENSG00000241973,PI4KA,88.19244855,92.26880043,90.49243956
ENSG00000131788,PIAS3,73.54683124,67.08346328,66.1406439
ENSG00000180957,PITPNB,406.3789504,383.2335209,390.4135926
ENSG00000021300,PLEKHB1,33.85179594,73.70199587,40.91724192
ENSG00000152952,PLOD2,55.76070661,22.56506311,38.88466172
ENSG00000143442,POGZ,283.9743495,284.7925365,268.5656722
ENSG00000255529,POLR2M,314.3414055,321.0924218,229.2329675
ENSG00000131626,PPFIA1,95.80997084,106.6294278,114.1050121
ENSG00000115685,PPP1R7,360.7946242,392.8230084,345.5520525
ENSG00000113575,PPP2CA,900.2173222,1183.205259,1020.948858
ENSG00000104695,PPP2CB,1462.579224,1594.28939,1202.362226
ENSG00000184304,PRKD1,25.52295259,25.33584953,28.31483452
ENSG00000117360,PRPF3,108.250174,85.850831,90.60670752
ENSG00000197746,PSAP,743.4001134,795.4525958,765.0110726
ENSG00000159352,PSMD4,1325.334262,1497.956042,1123.454113
ENSG00000163636,PSMD6,1076.270146,1250.092422,1023.877218
ENSG00000163629,PTPN13,12.55873608,13.11050859,12.62478588
ENSG00000141542,RAB40B,348.9014114,450.084904,351.0649875
ENSG00000138698,RAP1GDS1,52.69089681,47.35168749,36.44899316
ENSG00000113269,RNF130,316.3159318,364.2731973,348.7496174
ENSG00000114125,RNF7,422.546089,607.1083141,441.4430027
ENSG00000169855,ROBO1,182.7315639,164.7398583,86.23324431
ENSG00000197958,RPL12,3665.9734,3757.111247,3302.012967
ENSG00000182899,RPL35A,2900.07552,2834.60812,2553.636527
ENSG00000165502,RPL36AL,1439.792422,1379.323251,1120.827116
ENSG00000145592,RPL37,8197.477181,8099.451128,7573.255678
ENSG00000145592,RPL37,179.0868142,147.9201999,140.1259511
ENSG00000177600,RPLP2,4065.608097,4514.747211,3990.901294
ENSG00000168028,RPSA,5697.992422,5134.577141,4720.192422
ENSG00000136444,RSAD1,276.2340232,274.5032816,318.6849643
ENSG00000183207,RUVBL2,508.7314459,574.5424218,463.2402997
ENSG00000105711,SCN1B,1204.367699,1341.449649,1417.397136
ENSG00000142864,SERBP1,1007.492422,1273.768039,1109.068535
ENSG00000140264,SERF2,492.2599275,541.5022226,439.0036458
ENSG00000140264,SERF2,1208.32373,1473.891704,1373.529842
ENSG00000099995,SF3A1,333.5924218,293.571284,270.3267128
ENSG00000115524,SF3B1,319.036634,334.5063936,416.8034386
ENSG00000039123,SKIV2L2,407.0702529,433.0032903,422.5924218
ENSG00000117394,SLC2A1,53.13075136,46.90465022,49.55049913
ENSG00000174446,SNAPC5,221.2961212,222.3579716,195.1616228
ENSG00000139343,SNRPF,253.6354051,274.2771009,267.2474049
ENSG00000159140,SON,201.9808637,205.6956474,201.0315336
ENSG00000113140,SPARC,1487.240034,742.5134343,818.3737202
ENSG00000153037,SRP19,394.8878435,490.0687665,374.1924218
ENSG00000116754,SRSF11,222.8924218,210.4924218,170.8851773
ENSG00000157216,SSBP3,91.80797196,89.72921552,101.2445142
ENSG00000168610,STAT3,1072.981515,1224.646908,841.1412579
ENSG00000117632,STMN1,84.88238671,97.38203054,116.0718563
ENSG00000117632,STMN1,40.17069202,41.95975879,53.83590922
ENSG00000164828,SUN1,81.51566911,94.21389406,78.49811694
ENSG00000164828,SUN1,195.9024007,196.0314763,173.8741706
ENSG00000164828,SUN1,222.9346486,143.1415665,153.2489878
ENSG00000132718,SYT11,29.69757856,35.51133366,36.89603774
ENSG00000055208,TAB2,295.0462292,378.8938013,332.0220348
ENSG00000120948,TARDBP,346.9207405,397.0877859,330.7052879
ENSG00000113407,TARS,329.4831288,388.6991023,343.4328738
ENSG00000105254,TBCB,402.2098998,338.036778,332.7331412
ENSG00000196628,TCF4,596.7186849,416.0871508,450.8924218
ENSG00000166848,TERF2IP,395.1291537,461.1989732,353.3424083
ENSG00000169908,TM4SF1,571.8286016,406.1863366,685.1505289
ENSG00000070269,TMEM260,56.25774752,69.07383905,81.09259029
ENSG00000170876,TMEM43,336.0864982,246.1701482,268.2874851
ENSG00000139921,TMX1,33.10257021,52.60959828,47.22720883
ENSG00000156298,TSPAN7,820.0067888,903.2875801,832.9111537
ENSG00000253352,TUG1,146.0924218,150.5563317,153.8147822
ENSG00000185651,UBE2L3,186.0726678,160.9924218,187.5924218
ENSG00000132549,VPS13B,146.810898,143.1209937,116.3566126
ENSG00000184575,XPOT,164.0842876,225.5933654,181.0274345
ENSG00000119596,YLPM1,175.9512768,164.2484614,155.0257624
ENSG00000136758,YME1L1,900.5422493,997.0474355,860.5733581
ENSG00000128016,ZFP36,479.7475244,916.0285107,471.638267
ENSG00000072121,ZFYVE26,202.0320695,182.3912191,177.1212902
ENSG00000015171,ZMYND11,66.77689493,76.30051969,75.19309216
ENSG00000172466,ZNF24,471.6519393,621.2164422,667.3924218
ENSG00000198039,ZNF273,29.50747103,110.2026405,37.5405189
ENSG00000198039,ZNF273,28.4878381,98.55776472,45.81768991
ENSG00000081665,ZNF506,13.87986748,8.927412574,11.10883896
ENSG00000177853,ZNF518A,37.98409496,34.25416833,30.9217226
