hgnc_symbol,ensembl_gene_id,sample_C9_1,sample_C9_2,sample_C9_3,sample_C9_4,sample_C9_5,sample_C9_6,sample_C9_7
ACTN1,ENSG00000072110,1557,2304,2258,2667,2507,3360,4158
AHCTF1,ENSG00000153207,378,690,938,502,687,742,1170
ALDH3A2,ENSG00000072210,692,1759,1695,1715,1822,1405,2734
ALPK1,ENSG00000073331,20,27,34,41,15,32,41
ANKRD17,ENSG00000132466,893,2227,2616,1757,1880,2174,3135
ANXA1,ENSG00000135046,78,299,390,326,370,212,311
AP2S1,ENSG00000042753,2255,3376,2610,3177,3475,4014,3295
ARHGAP29,ENSG00000137962,191,517,532,524,577,512,444
ARIH1,ENSG00000166233,725,1473,1154,1105,1260,1877,2342
ATM,ENSG00000149311,294,363,548,380,482,537,747
ATP2C1,ENSG00000017260,1225,3150,3800,2087,1925,2813,3884
ATP5C1,ENSG00000165629,1710,2587,2040,2393,2203,4439,4670
ATP5E,ENSG00000124172,3186,4300,3789,4220,3570,4261,4823
AURKAIP1,ENSG00000175756,2112,2590,2272,2490,3082,3251,2366
BBIP1,ENSG00000214413,159,206,207,213,264,324,451
BGN,ENSG00000182492,1220,2013,1751,2601,621,1455,616
BPTF,ENSG00000171634,667,859,1001,911,994,1060,1809
BTN3A3,ENSG00000111801,127,363,422,228,189,188,336
C14orf1,ENSG00000133935,528,877,771,755,1004,1094,1196
C1orf61,ENSG00000125462,6014,5504,4921,3634,6201,5754,7972
C6orf106,ENSG00000196821,4006,6709,5645,5666,5789,7041,11080
CCDC53,ENSG00000120860,440,500,525,533,615,773,711
CCDC93,ENSG00000125633,219,306,482,287,361,387,613
CCT3,ENSG00000163468,2028,5818,7057,4438,4134,4569,5713
CDC16,ENSG00000130177,558,766,945,756,764,1083,1129
CDH11,ENSG00000140937,326,524,388,398,708,688,664
CELF1,ENSG00000149187,1942,3385,2296,2504,2424,4611,4054
CEP170B,ENSG00000099814,5195,6531,5680,5868,5335,9102,7124
CIAPIN1,ENSG00000005194,499,1138,1058,1074,963,1766,2003
CLCN5,ENSG00000171365,85,140,167,143,143,176,148
CLNS1A,ENSG00000074201,800,1189,1194,1099,1253,1696,1863
COA3,ENSG00000183978,1062,1557,1296,1373,1729,1964,1963
COL4A1,ENSG00000187498,106,421,430,2010,317,239,130
COPG1,ENSG00000181789,2050,2866,1860,2709,2988,4920,4412
CREB3L2,ENSG00000182158,169,281,244,344,422,242,345
CREG1,ENSG00000143162,278,794,1145,641,775,930,1229
CSRP1,ENSG00000159176,11390,11278,12361,16696,21383,16192,13598
CST3,ENSG00000101439,19574,25573,25745,21629,43704,31902,22046
CTDSP2,ENSG00000175215,1444,2611,2787,2242,2765,1956,2984
CTNNB1,ENSG00000168036,1569,5105,4536,3471,4729,6806,8063
CXorf40B,ENSG00000197021,163,429,396,339,543,571,550
CYP1B1,ENSG00000138061,81,318,177,266,165,215,118
DCN,ENSG00000011465,287,539,1704,987,714,683,498
DDX5,ENSG00000108654,2075,3222,3578,3011,3815,6649,7634
