"","corRvec"
"ADGRF5:BTN3A3",0.633333333333333
"AHCTF1:BTN3A3",0.55
"ALDH3A2:BTN3A3",0.866666666666667
"ALPK1:BTN3A3",0.65
"ANKRD17:BTN3A3",0.916666666666667
"ANXA1:BTN3A3",0.616666666666667
"AP2S1:BTN3A3",0.1
"ARHGAP29:BTN3A3",0.733333333333333
"ARIH1:BTN3A3",0.966666666666667
"ATM:BTN3A3",0.8
"ATP2C1:BTN3A3",0.95
"ATP5C1:BTN3A3",0.733333333333333
"ATP5E:BTN3A3",-0.533333333333333
"AURKAIP1:BTN3A3",-0.483333333333333
"BBIP1:BTN3A3",0.866666666666667
"BGN:BTN3A3",-0.225943400364045
"BPTF:BTN3A3",0.866666666666667
"ACTN1:C14orf1",0.2
"ADGRF5:C14orf1",0.25
"AHCTF1:C14orf1",-0.133333333333333
"ALDH3A2:C14orf1",0.216666666666667
"ALPK1:C14orf1",-0.0666666666666667
"ANKRD17:C14orf1",0.133333333333333
"ANXA1:C14orf1",0.533333333333333
"AP2S1:C14orf1",0.483333333333333
"ARHGAP29:C14orf1",0.583333333333333
"ARIH1:C14orf1",0.233333333333333
"ATM:C14orf1",-0.183333333333333
"ATP2C1:C14orf1",0.216666666666667
"ATP5C1:C14orf1",0.55
"ATP5E:C14orf1",0.483333333333333
"AURKAIP1:C14orf1",0.533333333333333
"BBIP1:C14orf1",0.0166666666666667
"BGN:C14orf1",0.384940608027633
"BPTF:C14orf1",0.05
"BTN3A3:C14orf1",0.283333333333333
"ACTN1:C1orf61",-0.8
"ADGRF5:C1orf61",-0.183333333333333
"AHCTF1:C1orf61",-0.366666666666667
"ALDH3A2:C1orf61",-0.483333333333333
"ALPK1:C1orf61",-0.466666666666667
"ANKRD17:C1orf61",-0.6
"ANXA1:C1orf61",0
"AP2S1:C1orf61",-0.1
"ARHGAP29:C1orf61",-0.15
"ARIH1:C1orf61",-0.633333333333333
"ATM:C1orf61",-0.8
"ATP2C1:C1orf61",-0.65
"ATP5C1:C1orf61",-0.4
"ATP5E:C1orf61",0.616666666666667
"AURKAIP1:C1orf61",0.683333333333333
"BBIP1:C1orf61",-0.783333333333333
"BGN:C1orf61",0.175733755838702
"BPTF:C1orf61",-0.7
"BTN3A3:C1orf61",-0.616666666666667
"C14orf1:C1orf61",0.383333333333333
"ACTN1:C6orf106",0.933333333333333
"ADGRF5:C6orf106",0.683333333333333
"AHCTF1:C6orf106",0.483333333333333
"ALDH3A2:C6orf106",0.7
"ALPK1:C6orf106",0.633333333333333
"ANKRD17:C6orf106",0.883333333333333
"ANXA1:C6orf106",0.583333333333333
"AP2S1:C6orf106",0.383333333333333
"ARHGAP29:C6orf106",0.766666666666667
"ARIH1:C6orf106",0.95
"ATM:C6orf106",0.716666666666667
"ATP2C1:C6orf106",0.916666666666667
"ATP5C1:C6orf106",0.816666666666667
"ATP5E:C6orf106",-0.283333333333333
"AURKAIP1:C6orf106",-0.266666666666667
"BBIP1:C6orf106",0.8
"BGN:C6orf106",0.0920510149631295
"BPTF:C6orf106",0.8
"BTN3A3:C6orf106",0.916666666666667
"C14orf1:C6orf106",0.383333333333333
"C1orf61:C6orf106",-0.6
"ACTN1:CCDC53",0.166666666666667
"ADGRF5:CCDC53",0.433333333333333
"AHCTF1:CCDC53",-0.05
"ALDH3A2:CCDC53",0.283333333333333
"ALPK1:CCDC53",0.0166666666666667
"ANKRD17:CCDC53",0.15
"ANXA1:CCDC53",0.4
"AP2S1:CCDC53",0.1
"ARHGAP29:CCDC53",0.583333333333333
"ARIH1:CCDC53",0.316666666666667
"ATM:CCDC53",0.05
"ATP2C1:CCDC53",0.35
"ATP5C1:CCDC53",0.683333333333333
"ATP5E:CCDC53",-0.05
"AURKAIP1:CCDC53",0.0166666666666667
"BBIP1:CCDC53",0.133333333333333
"BGN:CCDC53",-0.234311674451602
"BPTF:CCDC53",0.0666666666666667
"BTN3A3:CCDC53",0.433333333333333
"C14orf1:CCDC53",0.783333333333333
"C1orf61:CCDC53",0.233333333333333
"C6orf106:CCDC53",0.366666666666667
"ACTN1:CCDC93",0.633333333333333
"ADGRF5:CCDC93",0.583333333333333
"AHCTF1:CCDC93",0.883333333333333
"ALDH3A2:CCDC93",0.833333333333333
"ALPK1:CCDC93",0.866666666666667
"ANKRD17:CCDC93",0.883333333333333
"ANXA1:CCDC93",0.65
"AP2S1:CCDC93",-0.366666666666667
"ARHGAP29:CCDC93",0.566666666666667
"ARIH1:CCDC93",0.8
"ATM:CCDC93",0.866666666666667
"ATP2C1:CCDC93",0.766666666666667
"ATP5C1:CCDC93",0.266666666666667
"ATP5E:CCDC93",-0.666666666666667
"AURKAIP1:CCDC93",-0.583333333333333
"BBIP1:CCDC93",0.833333333333333
"BGN:CCDC93",-0.343099237589846
"BPTF:CCDC93",0.883333333333333
"BTN3A3:CCDC93",0.783333333333333
"C14orf1:CCDC93",-0.133333333333333
"C1orf61:CCDC93",-0.55
"C6orf106:CCDC93",0.616666666666667
"CCDC53:CCDC93",0.0166666666666667
"ACTN1:CCT3",0.866666666666667
"ADGRF5:CCT3",0.716666666666667
"AHCTF1:CCT3",0.65
"ALDH3A2:CCT3",0.833333333333333
"ALPK1:CCT3",0.75
"ANKRD17:CCT3",0.983333333333333
