"","corRvec"
"ATM:C14orf1",-1
"ATP2C1:C14orf1",1
"ATP5C1:C14orf1",-0.5
"ATP5E:C14orf1",0.5
"AURKAIP1:C14orf1",1
"BBIP1:C14orf1",1
"BGN:C14orf1",-0.5
"BPTF:C14orf1",-0.5
"BTN3A3:C14orf1",-1
"ACTN1:C1orf61",-1
"ADGRF5:C1orf61",1
"AHCTF1:C1orf61",0.5
"ALDH3A2:C1orf61",0.5
"ALPK1:C1orf61",-1
"ANKRD17:C1orf61",0.5
"ANXA1:C1orf61",-0.5
"AP2S1:C1orf61",1
"ARHGAP29:C1orf61",1
"ARIH1:C1orf61",1
"ATM:C1orf61",0.5
"ATP2C1:C1orf61",-0.5
"ATP5C1:C1orf61",1
"ATP5E:C1orf61",0.5
"AURKAIP1:C1orf61",-0.5
"BBIP1:C1orf61",-0.5
"BGN:C1orf61",-0.5
"BPTF:C1orf61",1
"BTN3A3:C1orf61",0.5
"C14orf1:C1orf61",-0.5
"ACTN1:C6orf106",-0.5
"ADGRF5:C6orf106",0.5
"AHCTF1:C6orf106",-0.5
"ALDH3A2:C6orf106",-0.5
"ALPK1:C6orf106",-0.5
"ANKRD17:C6orf106",1
"ANXA1:C6orf106",0.5
"AP2S1:C6orf106",0.5
"ARHGAP29:C6orf106",0.5
"ARIH1:C6orf106",0.5
"ATM:C6orf106",1
"ATP2C1:C6orf106",-1
"ATP5C1:C6orf106",0.5
"ATP5E:C6orf106",-0.5
"AURKAIP1:C6orf106",-1
"BBIP1:C6orf106",-1
"BGN:C6orf106",0.5
"BPTF:C6orf106",0.5
"BTN3A3:C6orf106",1
"C14orf1:C6orf106",-1
"C1orf61:C6orf106",0.5
"ACTN1:CCDC53",0.5
"ADGRF5:CCDC53",-0.5
"AHCTF1:CCDC53",0.5
"ALDH3A2:CCDC53",0.5
"ALPK1:CCDC53",0.5
"ANKRD17:CCDC53",-1
"ANXA1:CCDC53",-0.5
"AP2S1:CCDC53",-0.5
"ARHGAP29:CCDC53",-0.5
"ARIH1:CCDC53",-0.5
"ATM:CCDC53",-1
"ATP2C1:CCDC53",1
"ATP5C1:CCDC53",-0.5
"ATP5E:CCDC53",0.5
"AURKAIP1:CCDC53",1
"BBIP1:CCDC53",1
"BGN:CCDC53",-0.5
"BPTF:CCDC53",-0.5
"BTN3A3:CCDC53",-1
"C14orf1:CCDC53",1
"C1orf61:CCDC53",-0.5
"C6orf106:CCDC53",-1
"ACTN1:CCDC93",1
"ADGRF5:CCDC93",-1
"AHCTF1:CCDC93",-0.5
"ALDH3A2:CCDC93",-0.5
"ALPK1:CCDC93",1
"ANKRD17:CCDC93",-0.5
"ANXA1:CCDC93",0.5
"AP2S1:CCDC93",-1
"ARHGAP29:CCDC93",-1
"ARIH1:CCDC93",-1
"ATM:CCDC93",-0.5
"ATP2C1:CCDC93",0.5
"ATP5C1:CCDC93",-1
"ATP5E:CCDC93",-0.5
"AURKAIP1:CCDC93",0.5
"BBIP1:CCDC93",0.5
"BGN:CCDC93",0.5
"BPTF:CCDC93",-1
"BTN3A3:CCDC93",-0.5
"C14orf1:CCDC93",0.5
"C1orf61:CCDC93",-1
"C6orf106:CCDC93",-0.5
"CCDC53:CCDC93",0.5
"ACTN1:CCT3",0.5
"ADGRF5:CCT3",-0.5
"AHCTF1:CCT3",0.5
"ALDH3A2:CCT3",0.5
"ALPK1:CCT3",0.5
"ANKRD17:CCT3",-1
"ANXA1:CCT3",-0.5
"AP2S1:CCT3",-0.5
"ARHGAP29:CCT3",-0.5
"ARIH1:CCT3",-0.5
"ATM:CCT3",-1
"ATP2C1:CCT3",1
"ATP5C1:CCT3",-0.5
"ATP5E:CCT3",0.5
"AURKAIP1:CCT3",1
"BBIP1:CCT3",1
"BGN:CCT3",-0.5
"BPTF:CCT3",-0.5
"BTN3A3:CCT3",-1
"C14orf1:CCT3",1
"C1orf61:CCT3",-0.5
"C6orf106:CCT3",-1
"CCDC53:CCT3",1
"CCDC93:CCT3",0.5
"ACTN1:CDC16",0.5
"ADGRF5:CDC16",-0.5
"AHCTF1:CDC16",0.5
"ALDH3A2:CDC16",0.5
"ALPK1:CDC16",0.5
"ANKRD17:CDC16",-1
"ANXA1:CDC16",-0.5
"AP2S1:CDC16",-0.5
"ARHGAP29:CDC16",-0.5
"ARIH1:CDC16",-0.5
"ATM:CDC16",-1
"ATP2C1:CDC16",1
"ATP5C1:CDC16",-0.5
"ATP5E:CDC16",0.5
"AURKAIP1:CDC16",1
"BBIP1:CDC16",1
"BGN:CDC16",-0.5
"BPTF:CDC16",-0.5
"BTN3A3:CDC16",-1
"C14orf1:CDC16",1
"C1orf61:CDC16",-0.5
"C6orf106:CDC16",-1
"CCDC53:CDC16",1
"CCDC93:CDC16",0.5
"CCT3:CDC16",1
"ACTN1:CDH11",0.5
"ADGRF5:CDH11",-0.5
"AHCTF1:CDH11",-1
"ALDH3A2:CDH11",-1
"ALPK1:CDH11",0.5
"ANKRD17:CDH11",0.5
"ANXA1:CDH11",1
"AP2S1:CDH11",-0.5
"ARHGAP29:CDH11",-0.5
"ARIH1:CDH11",-0.5
"ATM:CDH11",0.5
"ATP2C1:CDH11",-0.5
"ATP5C1:CDH11",-0.5
"ATP5E:CDH11",-1
"AURKAIP1:CDH11",-0.5
"BBIP1:CDH11",-0.5
"BGN:CDH11",1
"BPTF:CDH11",-0.5
"BTN3A3:CDH11",0.5
"C14orf1:CDH11",-0.5
"C1orf61:CDH11",-0.5
"C6orf106:CDH11",0.5
"CCDC53:CDH11",-0.5
"CCDC93:CDH11",0.5
"CCT3:CDH11",-0.5
"CDC16:CDH11",-0.5
"ACTN1:CELF1",-0.5
"ADGRF5:CELF1",0.5
"AHCTF1:CELF1",1
"ALDH3A2:CELF1",1
"ALPK1:CELF1",-0.5
"ANKRD17:CELF1",-0.5
"ANXA1:CELF1",-1
"AP2S1:CELF1",0.5
"ARHGAP29:CELF1",0.5
"ARIH1:CELF1",0.5
"ATM:CELF1",-0.5
"ATP2C1:CELF1",0.5
"ATP5C1:CELF1",0.5
"ATP5E:CELF1",1
"AURKAIP1:CELF1",0.5
"BBIP1:CELF1",0.5
"BGN:CELF1",-1
"BPTF:CELF1",0.5
"BTN3A3:CELF1",-0.5
"C14orf1:CELF1",0.5
"C1orf61:CELF1",0.5
"C6orf106:CELF1",-0.5
"CCDC53:CELF1",0.5
"CCDC93:CELF1",-0.5
"CCT3:CELF1",0.5
"CDC16:CELF1",0.5
"CDH11:CELF1",-1
"ACTN1:CEP170B",0.5
"ADGRF5:CEP170B",-0.5
"AHCTF1:CEP170B",0.5
"ALDH3A2:CEP170B",0.5
"ALPK1:CEP170B",0.5
"ANKRD17:CEP170B",-1
"ANXA1:CEP170B",-0.5
