ensembl_gene_id,hgnc_symbol,P_GSM329677.CEL,P_GSM329679.CEL,P_GSM329681.CEL,P_GSM329683.CEL,P_GSM329686.CEL,P_GSM329689.CEL
ENSG00000072110,ACTN1,353.8198645,702.0785359,813.9642347,580.0445064,475.8594421,869.7896098
ENSG00000153207,AHCTF1,125.7266582,101.5320173,92.6895756,114.8252287,144.9203705,130.3409295
ENSG00000072210,ALDH3A2,226.5611774,333.0921202,450.8999928,314.9457734,359.7495297,315.5120527
ENSG00000073331,ALPK1,236.4280759,171.3070359,245.1488371,383.8960462,225.8112566,232.1544691
ENSG00000132466,ANKRD17,173.5903391,329.1245545,214.835285,177.9941541,233.6386349,217.7334846
ENSG00000135046,ANXA1,111.5398449,100.4823413,781.5716794,1280.148368,423.8791595,532.5313872
ENSG00000042753,AP2S1,321.8061131,666.788673,489.5308353,389.0104498,353.7541595,336.221391
ENSG00000137962,ARHGAP29,235.6880983,125.7940111,598.1294886,849.607408,742.0299377,531.2880837
ENSG00000166233,ARIH1,109.1253217,258.474686,138.1410442,109.8660765,141.7368354,121.217168
ENSG00000149311,ATM,46.11794198,37.02521911,48.81334564,91.54581893,98.17895253,61.8283572
ENSG00000017260,ATP2C1,121.1201165,259.5924838,153.3597118,113.9832165,148.372457,131.5556855
ENSG00000165629,ATP5C1,672.3802946,2237.109208,1551.178829,1172.301812,1089.605502,1113.855655
ENSG00000124172,ATP5E,2595.630635,2964.336875,3101.251421,3147.685777,2838.421312,2746.895639
ENSG00000175756,AURKAIP1,845.6963544,1279.818276,990.9369637,998.1079842,815.5041595,814.756635
ENSG00000214413,BBIP1,230.4376659,262.1995121,341.2843732,391.6566998,344.6591015,225.8275487
ENSG00000182492,BGN,319.7261205,200.4919904,424.2597503,489.9806223,269.6877264,260.4614922
ENSG00000171634,BPTF,716.7289222,521.9147265,681.3166595,1260.021651,1410.718765,891.2749928
ENSG00000111801,BTN3A3,61.94737242,85.499506,81.01531392,286.1368581,61.31492068,53.24111691
ENSG00000133935,C14orf1,275.7608112,347.5843584,254.5534015,282.4456697,210.5290084,254.8166629
ENSG00000125462,C1orf61,4374.04541,5721.555314,2643.723087,2690.110081,2992.769042,3049.822805
ENSG00000196821,C6orf106,76.34768981,105.8278387,93.61407919,69.42675112,82.05702899,90.74213084
ENSG00000120860,CCDC53,203.715975,347.2023013,369.4744877,278.8400705,297.0538338,256.6916624
ENSG00000125633,CCDC93,95.51753947,74.48720642,126.233766,152.3773618,151.1278728,107.6139202
ENSG00000163468,CCT3,258.0052575,723.258897,617.3500055,487.7157359,482.7662738,458.6718418
ENSG00000130177,CDC16,86.7539764,158.3705687,168.8746572,154.1773992,183.8612559,89.93107661
ENSG00000140937,CDH11,148.8062918,116.1846853,211.8226341,165.4195176,161.2619027,185.6728269
ENSG00000149187,CELF1,23.46372268,30.57414069,36.73601804,29.82519531,29.13186213,29.57623681
ENSG00000099814,CEP170B,265.3675825,616.7705939,360.6411424,167.878157,233.3324679,239.3286062
ENSG00000005194,CIAPIN1,93.64989119,145.6888513,107.6195139,71.27809425,128.2614216,84.9798815
ENSG00000171365,CLCN5,15.60279692,14.56758005,15.40512428,15.26926412,16.80838456,16.46334115
ENSG00000074201,CLNS1A,799.6083261,781.770966,684.7184097,551.9928188,646.3203215,595.5626149
ENSG00000183978,COA3,841.9833261,1390.756902,918.3596051,764.8986625,667.5692472,741.8676743
ENSG00000187498,COL4A1,115.9307326,58.94987221,439.741805,236.8727379,200.1114892,212.6919136
ENSG00000181789,COPG1,108.2545566,197.0314596,106.4824799,100.8989555,82.43271412,85.81336591
ENSG00000182158,CREB3L2,205.4693106,105.2209306,340.5912876,381.2681442,288.5412713,299.2749928
ENSG00000143162,CREG1,388.0782227,598.2060189,1092.284197,1013.886324,813.1914692,839.3102619
ENSG00000159176,CSRP1,3994.254159,3603.562707,5084.345301,5035.733326,5202.835479,5290.436881
ENSG00000101439,CST3,4876.441659,6487.28511,4960.144643,5029.866375,4031.998573,5841.482857
ENSG00000175215,CTDSP2,830.7854155,442.429202,866.0359229,988.9987662,1094.804738,851.3749827
ENSG00000168036,CTNNB1,530.6214371,583.1821988,601.7407754,457.454799,544.3702269,612.4888283
ENSG00000197021,CXorf40B,159.4848941,356.4201978,218.0498135,224.2334122,219.0767877,140.1229226
ENSG00000138061,CYP1B1,123.4008984,115.2465906,801.0447452,1524.804099,198.3397478,461.3155046
ENSG00000011465,DCN,1825.158573,748.8968325,5556.839189,5129.893316,1592.437688,3218.035145
ENSG00000108654,DDX5,1495.555527,1456.165414,2950.2363,4130.36919,3252.962493,2717.441659
ENSG00000119689,DLST,119.9509283,162.1114173,151.0086782,166.4285453,134.1246609,108.2161632
ENSG00000198947,DMD,166.674098,225.0784975,558.3757906,370.2892028,178.049227,238.4552785
ENSG00000151914,DST,15.28555153,15.50713864,12.65459837,18.42139019,16.52931314,14.21277905
ENSG00000125977,EIF2S2,495.2747552,540.8889136,954.3590588,835.2496662,1021.803988,756.8374928
ENSG00000087502,ERGIC2,326.268717,340.070624,307.0648125,525.5242026,543.4044632,446.849482
ENSG00000100632,ERH,1843.490315,2463.472157,1750.006549,2135.279005,1609.649993,1450.803473
ENSG00000048828,FAM120A,197.6448196,163.2726847,238.002891,182.2782171,188.6685545,216.3147077
ENSG00000135842,FAM129A,39.72978079,29.17547848,92.24605645,50.96313463,46.57502086,73.71392627
ENSG00000152102,FAM168B,861.6916595,844.8467598,656.7949332,664.8781544,811.977367,716.7264602
ENSG00000166147,FBN1,68.30200795,44.36683385,175.1157656,93.28217641,69.6967737,57.95991648
ENSG00000109670,FBXW7,393.4833261,827.7752213,271.5622102,303.6311044,252.7148597,338.4208261
ENSG00000146729,GBAS,643.0497736,717.1226583,676.5758536,534.3716905,657.0198116,552.7339878
ENSG00000105373,GLTSCR2,2492.011414,2723.966398,3289.12074,2894.701861,3220.684823,2567.736253
ENSG00000144366,GULP1,58.5403569,117.1829987,67.87223237,102.4410071,86.54904271,83.165544
ENSG00000244734,HBB,3369.598312,2166.024993,3693.709199,265.2124938,1019.328462,2882.94391
ENSG00000111727,HCFC2,59.54468569,56.46183668,61.59919531,68.16914282,74.34677948,73.47085666
ENSG00000103415,HMOX2,212.946602,488.4249753,210.6573186,188.7520378,228.7738091,189.2631532
ENSG00000277424,HMOX2,212.946602,488.4249753,210.6573186,188.7520378,228.7738091,189.2631532
ENSG00000096746,HNRNPH3,286.4122484,215.5462956,288.4515533,280.8583263,281.8318203,284.6469976
ENSG00000105323,HNRNPUL1,446.4084464,376.6546941,410.5449627,342.5741275,425.7854337,434.7092238
ENSG00000096384,HSP90AB1,1730.015578,3490.753438,1985.828106,1338.90597,1990.013173,2008.057036
ENSG00000115738,ID2,100.5149034,107.9533743,664.4182042,219.4079132,105.8432292,99.99085337
ENSG00000115738,ID2,1003.524993,1669.314793,1915.526576,1185.348059,769.2475673,1311.325048
ENSG00000115594,IL1R1,89.17027716,27.21911808,484.988751,512.2794062,419.3293842,216.6844386
ENSG00000091409,ITGA6,180.9984544,77.08411031,195.0438334,472.3276454,229.0691134,208.3821189
ENSG00000101384,JAG1,27.21195941,26.44577267,40.62218026,44.41571081,29.53009445,36.87959901
ENSG00000136504,KAT7,280.3035759,422.914472,264.2333273,222.6803013,296.4759132,218.7646664
ENSG00000178695,KCTD12,268.1298562,392.5004162,1084.078873,882.4858479,949.3945463,744.7912914
ENSG00000147050,KDM6A,33.14008699,23.65704801,27.41345698,28.70858983,49.62325083,31.37166467
ENSG00000126214,KLC1,314.6455764,1441.55535,250.2471851,199.7652267,327.0320443,264.3998125
ENSG00000025800,KPNA6,399.4384128,681.2132109,552.0840815,452.7878471,535.3653443,611.5967171
ENSG00000102897,LYRM1,212.343459,398.2713651,351.0390848,354.6834764,217.9486198,213.8742573
ENSG00000112893,MAN2A1,280.5166612,220.39603,291.2395149,664.7862809,1182.691912,439.9552225
ENSG00000139793,MBNL2,756.1484594,913.7282953,604.7694143,956.2847241,1451.154673,886.8079908
ENSG00000197771,MCMBP,56.85124377,44.43386148,64.74040106,72.73730983,68.3245739,64.60131005
ENSG00000106484,MEST,111.0239378,376.2004951,252.9833307,117.8066346,84.23831676,142.2871936
ENSG00000071073,MGAT4A,13.76353636,17.11983918,26.25747319,22.09137419,21.3312348,19.22186565
ENSG00000119684,MLH3,121.4557614,102.0066269,98.11199159,68.71653766,94.31770493,104.382593
ENSG00000061987,MON2,266.8016878,258.191662,283.8191679,408.0507159,413.493583,219.8862785
ENSG00000051825,MPHOSPH9,50.78287588,42.5866704,51.57081853,64.38972851,61.27761431,48.47464442
ENSG00000166902,MRPL16,291.8077585,653.8492539,518.1827916,400.1677532,285.5118279,326.4435442
ENSG00000239789,MRPS17,103.1887343,192.818121,167.8446774,130.3817204,136.0712729,132.601485
ENSG00000119950,MXI1,3762.374416,2397.217832,4897.304406,4524.283448,5104.216791,5299.188155
ENSG00000172936,MYD88,308.1422581,220.7390024,642.4932463,574.1033905,295.6562947,345.7151435
ENSG00000196531,NACA,4214.75847,3225.387079,4213.530209,4604.094372,5090.144857,4439.087555
ENSG00000151366,NDUFC2,425.7587891,1153.552869,886.1473275,657.6758972,683.758715,519.9367256
ENSG00000168653,NDUFS5,1261.152235,2876.468881,1588.700133,1676.238808,1317.510528,1238.938095
ENSG00000010322,NISCH,1327.917527,1438.80067,1265.740706,1214.31795,1261.560854,1087.685936
ENSG00000114857,NKTR,1324.587493,830.0658294,862.8638467,1906.421742,2175.9314,1386.233326
ENSG00000141279,NPEPPS,463.6149688,972.6119462,1211.082974,903.9632511,884.1191325,838.8132222
ENSG00000106236,NPTX2,94.08362962,170.8663491,113.8217913,187.6372634,523.5666595,278.600795
ENSG00000088833,NSFL1C,324.5737895,363.7333261,252.9365165,357.7366436,279.6347585,203.8096302
ENSG00000102898,NUTF2,106.5057578,143.0208187,104.1501587,109.8753849,93.47492175,88.78243128
ENSG00000160991,ORAI2,72.38302375,100.8498334,106.5768734,71.30456228,78.37917526,61.92622427
ENSG00000167770,OTUB1,126.4959615,333.892845,185.6940721,183.7185995,131.0437041,142.5301812
ENSG00000070756,PABPC1,1355.338569,1191.752177,2213.879159,1485.140104,2218.697334,2015.095813
ENSG00000070756,PABPC1,2450.899449,1972.190903,3742.956847,2368.409011,3666.021352,3474.286943
ENSG00000184226,PCDH9,5485.505992,3786.092954,3381.605301,5343.214605,6599.441659,4702.205839
ENSG00000115539,PDCL3,231.1817857,206.7476032,216.6112369,301.3649101,335.7702493,259.6274166
ENSG00000113068,PFDN1,350.4135105,455.3674784,223.5029302,261.7313317,311.917726,310.9482948
ENSG00000123349,PFDN5,2677.333323,2622.938408,2417.725395,2646.730269,2600.473103,2354.983326
ENSG00000241973,PI4KA,243.2722844,912.6499928,481.6402416,316.0432296,328.2926066,246.8696022
ENSG00000241973,PI4KA,1044.816583,2583.415882,1510.227899,1044.067131,1294.867305,1227.024223
ENSG00000131788,PIAS3,162.6633183,177.6438449,165.9156765,200.6105875,163.0639862,121.6087221
ENSG00000180957,PITPNB,562.6085488,894.3940015,640.5462569,799.4650084,882.9613045,838.3122427
ENSG00000021300,PLEKHB1,5991.001753,3880.543891,3063.743629,2577.960903,4044.616545,4078.349759
ENSG00000152952,PLOD2,86.28620974,83.34252537,186.3334715,139.4115993,101.4784815,211.3550247
ENSG00000143442,POGZ,487.7531375,494.4138027,633.3885787,788.1036887,889.7749928,611.997493
ENSG00000131626,PPFIA1,151.2490658,170.3819074,198.460068,175.2299143,185.1569884,146.6837219
ENSG00000115685,PPP1R7,108.3682466,113.0387685,99.14001515,84.09885516,99.36918274,101.7139656
ENSG00000113575,PPP2CA,618.6758291,1483.568042,846.4521253,561.5249928,859.7273766,874.7886724
ENSG00000104695,PPP2CB,29.69844746,33.90134105,30.56507113,20.42730663,27.61147873,31.40335566
ENSG00000184304,PRKD1,80.58656184,73.78663148,108.7109087,81.42138843,79.82714349,92.68220329
ENSG00000117360,PRPF3,80.48398464,97.64217676,147.1370663,211.5808878,165.821094,96.9799705
ENSG00000197746,PSAP,1232.045661,1795.182174,2188.104549,1369.559819,1416.05624,1580.585271
ENSG00000159352,PSMD4,638.6757101,1015.264009,668.5503295,673.5423583,593.0146725,556.4812411
ENSG00000163636,PSMD6,316.5205756,739.5246031,640.3796664,649.287039,645.6734623,524.6469667
ENSG00000163629,PTPN13,162.3064664,88.66375562,244.9896376,401.6593071,149.5272671,210.9836115
ENSG00000141542,RAB40B,839.5155565,958.0288516,494.6627946,696.4991191,999.7823375,645.1102266
ENSG00000138698,RAP1GDS1,446.8147748,1001.358843,351.6916595,267.8918568,487.2767022,450.7869216
ENSG00000162775,RBM15,179.1571059,194.9065014,217.6972301,229.6917115,219.3406515,204.0185687
ENSG00000113269,RNF130,959.8999928,624.5393431,1020.424215,674.9158465,1201.018496,1019.536956
ENSG00000114125,RNF7,98.27393079,161.2627279,257.3584018,205.2895403,144.2594811,115.2455262
ENSG00000169855,ROBO1,319.6777962,337.0356794,379.5666595,368.8955271,424.9574325,295.5282285
ENSG00000197958,RPL12,2359.474738,2241.493257,2850.363014,2312.515411,2676.277695,2106.354288
ENSG00000174748,RPL15,161.1227934,182.2116207,178.6958324,139.6594282,131.1235172,196.8743687
ENSG00000182899,RPL35A,3155.210773,2859.116309,3141.714309,2817.838942,3014.358326,2912.464812
ENSG00000165502,RPL36AL,705.6256428,732.705187,1155.353127,831.4110703,1199.774125,818.0658169
ENSG00000145592,RPL37,5439.793593,4838.649993,5447.28696,5072.896391,5406.44373,4948.739567
ENSG00000177600,RPLP2,2852.11565,2488.166201,3562.053201,2834.549201,2955.595495,2680.413037
ENSG00000168028,RPSA,5153.420826,5545.245705,4823.441659,4607.781503,4793.920826,4842.848459
ENSG00000136444,RSAD1,330.2489453,286.204304,301.7604712,306.2862793,445.8508547,372.7429193
ENSG00000183207,RUVBL2,259.3214179,467.8478935,369.8167486,297.1160347,300.882292,294.5703677
ENSG00000105711,SCN1B,413.8563007,1217.783278,378.707519,349.3564762,393.2258581,429.9707288
ENSG00000138758,Sep-11,406.5675194,266.1804953,431.4882582,423.9416595,469.5086693,359.729352
ENSG00000142864,SERBP1,575.8460604,576.0016334,898.5423495,748.4916067,912.5249928,692.2278122
ENSG00000099995,SF3A1,194.2941649,291.8982217,338.6436108,288.4614538,280.4198805,220.9194679
ENSG00000115524,SF3B1,284.9359275,431.5622937,565.1532838,528.365595,627.6568436,462.21039
ENSG00000039123,SKIV2L2,167.5523038,239.9274475,228.2346123,229.0235875,283.1796476,240.4296618
ENSG00000117394,SLC2A1,396.5533419,232.3422502,362.1096703,455.7751548,329.4562365,346.2749928
ENSG00000174446,SNAPC5,306.0981384,535.3166595,465.9416595,393.8910683,341.0392092,306.7226323
ENSG00000139343,SNRPF,184.2698367,229.5445823,216.8602911,204.3714592,212.9107473,148.3086332
ENSG00000159140,SON,658.4754594,784.9317644,1024.118863,1153.450239,1162.044873,721.7222101
ENSG00000113140,SPARC,1227.590024,1000.421883,4023.299522,3231.037091,2068.123466,2521.389846
ENSG00000153037,SRP19,58.32288393,32.89827045,30.63269275,35.4191828,81.48932836,53.14017227
ENSG00000153037,SRP19,220.1506499,475.0672973,454.2324648,573.9282072,387.5149708,369.679987
ENSG00000116754,SRSF11,150.4205864,132.6890068,137.8754859,265.2124938,288.9221938,192.3181212
ENSG00000157216,SSBP3,273.2951638,469.7576452,271.0341654,205.8525735,233.5403007,284.3433544
ENSG00000168610,STAT3,1411.358326,831.1916595,2007.564645,1733.162536,1523.124826,1803.869608
ENSG00000117632,STMN1,229.5079524,480.2655649,158.1057187,187.8347029,257.4817688,182.4893466
ENSG00000164828,SUN1,362.1766854,350.2921611,527.3675208,713.7939518,575.7110992,399.4556879
ENSG00000132718,SYT11,1270.759164,1686.111887,1023.858326,1154.819068,1269.841819,1073.367236
